city,distance,through
KAB. ACEH BARAT,0.0,[]
KAB. ACEH BARAT DAYA,119.69179663316817,[0]
KAB. ACEH BESAR,369.9866388366986,"[0, 1]"
KAB. ACEH JAYA,446.29011217379735,"[0, 1, 2]"
KAB. ACEH SELATAN,696.7552939334357,"[0, 1, 2, 3]"
KAB. ACEH SINGKIL,817.4260188740171,"[0, 1, 2, 3, 4]"
KAB. ACEH TAMIANG,857.8634448128701,"[0, 1, 2, 21, 20, 7]"
KAB. ACEH TENGAH,726.1859195770928,"[0, 1, 2, 21, 20]"
KAB. ACEH TENGGARA,884.9939450586743,"[0, 1, 2, 21, 20, 7]"
KAB. ACEH TIMUR,1020.2721167309663,"[0, 1, 2, 21, 20, 7, 8]"
KAB. ACEH UTARA,1041.5920870227121,"[0, 51, 41, 42, 11]"
KAB. BENER MERIAH,1002.4708853232114,"[0, 51, 41, 42]"
KAB. BIREUEN,1053.466058896833,"[0, 51, 41, 42, 11]"
KAB. GAYO LUES,1140.4917822812656,"[0, 51, 26, 25, 14]"
KAB. NAGAN RAYA,1043.3969451962469,"[0, 51, 26, 25]"
KAB. PIDIE,1091.719712420078,"[0, 51, 26, 16]"
KAB. PIDIE JAYA,1062.1883157874975,"[0, 51, 26]"
KAB. SIMEULUE,1286.389363984837,"[0, 51, 26, 25, 28, 55]"
KOTA BANDA ACEH,1076.5418184749133,"[0, 1, 2, 21, 20, 19]"
KOTA LANGSA,759.382162908807,"[0, 1, 2, 21, 20]"
KOTA LHOKSEUMAWE,637.9109414284302,"[0, 1, 2, 21]"
KOTA SABANG,421.7634016597521,"[0, 1, 2]"
KOTA SUBULUSSALAM,877.4451304476449,"[0, 1, 2, 21]"
KAB. ASAHAN,880.7847226742618,"[0, 51, 50]"
KAB. BATUBARA,923.117300474616,"[0, 51, 50, 23]"
KAB. DAIRI,802.0992414219164,"[0, 51, 26]"
KAB. DELI SERDANG,723.6688492743548,"[0, 51]"
KAB. HUMBANG HASUNDUTAN,860.2601813935162,"[0, 51, 26]"
KAB. KARO,828.530275485328,"[0, 51, 26, 25]"
KAB. LABUHANBATU,1011.6137494668031,"[0, 51, 26, 30]"
KAB. LABUHANBATU SELATAN,960.0081840110635,"[0, 51, 26]"
KAB. LABUHANBATU UTARA,1025.3823796978581,"[0, 51, 26, 30]"
KAB. LANGKAT,1144.6674134638629,"[0, 51, 52, 43, 44, 45]"
KAB. MANDAILING NATAL,947.9147865661182,"[0, 51, 52, 43, 39]"
KAB. NIAS,840.5480478949772,"[0, 62]"
KAB. NIAS BARAT,870.6741683938233,"[0, 62, 34]"
KAB. NIAS SELATAN,921.9119165336881,"[0, 62, 34, 35]"
KAB. NIAS UTARA,1004.9514643170318,"[0, 62, 34, 35, 36]"
KAB. PADANG LAWAS,905.2576044865151,"[0, 51, 52, 43, 39]"
