city,distance,through
KAB. ACEH BARAT,1631.517678906916,"[195, 153, 123, 62]"
KAB. ACEH BARAT DAYA,1751.2094755400842,"[195, 153, 123, 62, 0]"
KAB. ACEH BESAR,1744.4995147612576,"[195, 38]"
KAB. ACEH JAYA,1680.8353836875735,"[195, 153]"
KAB. ACEH SELATAN,1437.228230439177,"[195, 153, 5]"
KAB. ACEH SINGKIL,1316.5575054985954,"[195, 153]"
KAB. ACEH TAMIANG,1454.1425591259854,"[195, 86]"
KAB. ACEH TENGAH,1568.933968873864,"[195, 73, 67, 8]"
KAB. ACEH TENGGARA,1410.1259433922824,"[195, 73, 67]"
KAB. ACEH TIMUR,1545.4041150645744,"[195, 73, 67, 8]"
KAB. ACEH UTARA,1611.9942491530621,"[195, 73, 67, 8, 9]"
KAB. BENER MERIAH,1607.3018712850835,"[195, 38, 39, 43, 42]"
KAB. BIREUEN,1658.297044858705,"[195, 38, 39, 43, 42, 11]"
KAB. GAYO LUES,1552.8808482862896,"[195, 73, 71, 70]"
KAB. NAGAN RAYA,1564.4201134586021,"[195, 38, 25]"
KAB. PIDIE,1686.4454755427855,"[195, 38, 25, 14]"
KAB. PIDIE JAYA,1692.9188145799849,"[195, 73, 74]"
KAB. SIMEULUE,1543.2330307069155,"[195, 153, 58]"
KOTA BANDA ACEH,1769.1351966107495,"[195, 38, 39]"
KOTA LANGSA,1611.4209617591846,"[195, 153, 123, 124, 125]"
KOTA LHOKSEUMAWE,1611.8781559840227,"[195, 38, 25, 28]"
KOTA SABANG,1796.2762775843112,"[195, 38, 2]"
KOTA SUBULUSSALAM,1431.6199358859299,"[195, 86, 85, 27]"
KAB. ASAHAN,1416.9767175137154,"[195, 153, 120, 92, 24]"
KAB. BATUBARA,1374.6441397133613,"[195, 153, 120, 92]"
KAB. DAIRI,1323.1224096842718,"[195, 38]"
KAB. DELI SERDANG,1388.5547265627545,"[195, 73, 74, 51]"
KAB. HUMBANG HASUNDUTAN,1339.0244393463506,"[195, 86, 85]"
KAB. KARO,1349.5534437476836,"[195, 38, 25]"
KAB. LABUHANBATU,1205.4667973093979,"[195, 38]"
KAB. LABUHANBATU SELATAN,1199.131979155264,"[195, 153, 123, 122, 84]"
KAB. LABUHANBATU UTARA,1264.5061748420587,"[195, 153, 123, 122, 84, 30]"
KAB. LANGKAT,1400.7062147190666,"[195, 153]"
KAB. MANDAILING NATAL,1215.331034884526,"[195, 38, 39]"
KAB. NIAS,1253.7279278732676,"[195, 153, 123, 62]"
KAB. NIAS BARAT,1283.8540483721138,"[195, 153, 123, 62, 34]"
KAB. NIAS SELATAN,1254.4643526857408,"[195, 153, 58]"
KAB. NIAS UTARA,1324.1774058380454,"[195, 153, 120]"
KAB. PADANG LAWAS,1063.5348827999712,[195]
KAB. PADANG LAWAS UTARA,1118.104367802447,"[195, 38]"
KAB. PAKPAK BHARAT,1298.3871099784642,[195]
KAB. SAMOSIR,1282.1127649797581,"[195, 73, 72]"
KAB. SERDANG BEDAGAI,1325.8437900933661,"[195, 38, 39, 43]"
KAB. SIMALUNGUN,1278.957724480579,"[195, 38, 39]"
KAB. TAPANULI SELATAN,1176.4186564322617,"[195, 153, 123, 124]"
KAB. TAPANULI TENGAH,1241.491716739741,"[195, 153, 46]"
KAB. TAPANULI UTARA,1192.4973325882265,"[195, 153]"
KAB. TOBA SAMOSIR,1203.3807627218075,[195]
KOTA BINJAI,1368.1821332406394,"[195, 47]"
KOTA GUNUNGSITOLI,1310.361879121277,"[195, 153, 123, 124, 66, 65]"
KOTA MEDAN,1408.257784119227,"[195, 73, 74, 51]"
KOTA PADANGSIDEMPUAN,1152.2203566365747,"[195, 73, 74]"
KOTA PEMATANGSIANTAR,1292.3083531830825,"[195, 153, 123]"
KOTA SIBOLGA,1249.6067890937084,"[195, 153, 123, 124, 66]"
KOTA TANJUNGBALAI,1291.3904984452934,"[195, 153, 123, 122]"
KOTA TEBING TINGGI,1373.1272461168517,"[195, 153, 123, 122, 54]"
KAB. AGAM,1063.0038455361514,"[195, 153, 123, 124, 125, 126, 109]"
KAB. DHARMASRAYA,986.7356393251634,"[195, 194, 159, 160]"
KAB. KEPULAUAN MENTAWAI,987.6584351733278,"[195, 153]"
KAB. LIMA PULUH KOTA,1038.9802104377532,"[195, 153, 120, 61]"
KAB. PADANG PARIAMAN,1082.1796683308642,"[195, 153, 120, 61]"
KAB. PASAMAN,995.7924935497886,"[195, 153, 120]"
KAB. PASAMAN BARAT,1022.3487794426032,"[195, 153, 123]"
KAB. PESISIR SELATAN,953.0977582452945,"[195, 153, 123, 124, 66, 65]"
KAB. SIJUNJUNG,907.7474171256896,"[195, 153, 123, 124, 66, 65]"
KAB. SOLOK,868.8231233413834,"[195, 153, 123, 124, 66]"
KAB. SOLOK SELATAN,804.4902642667314,"[195, 153, 123, 124]"
KAB. TANAH DATAR,881.2879118803284,"[195, 73]"
KOTA BUKITTINGGI,910.1607433022493,"[195, 73, 67]"
KOTA PADANG,981.7794078564549,"[195, 73, 67, 68]"
KOTA PADANGPANJANG,955.9695969193243,"[195, 73, 71]"
KOTA PARIAMAN,920.6058949984223,"[195, 73]"
KOTA PAYAKUMBUH,904.3407320447654,"[195, 73]"
KOTA SAWAHLUNTO,852.5819431251339,[195]
KOTA SOLOK,867.0260149854108,"[195, 73]"
KAB. BENGKALIS,1134.2078083262402,"[195, 73, 74]"
KAB. INDRAGIRI HILIR,1108.9003941626318,"[195, 194, 182, 170, 77]"
KAB. INDRAGIRI HULU,1004.0897261432299,"[195, 194, 182, 170]"
KAB. KAMPAR,1084.6065605355557,"[195, 194, 159]"
KAB. KEPULAUAN MERANTI,991.4539643864016,"[195, 194, 108]"
KAB. KUANTAN SINGINGI,971.1628921180753,"[195, 73, 74]"
KAB. PELALAWAN,1017.026426610997,"[195, 153, 120, 101]"
KAB. ROKAN HILIR,1119.023998357499,"[195, 73, 67]"
KAB. ROKAN HULU,1135.853262617903,"[195, 153, 123, 122, 84]"
KAB. SIAK,982.7016093931816,"[195, 153, 123, 122]"
KOTA DUMAI,1019.209278220339,"[195, 86]"
KOTA PEKANBARU,890.1702071782776,[195]
KAB. BINTAN,1058.8599275748693,"[195, 194, 88]"
KAB. KARIMUN,930.8167290487919,"[195, 194]"
KAB. KEPULAUAN ANAMBAS,1291.234320024461,"[195, 194, 88]"
KAB. LINGGA,986.750313170129,"[195, 153, 152, 157, 143]"
KAB. NATUNA,1385.0599474955657,"[195, 153, 120, 92]"
KOTA BATAM,820.117729848098,"[195, 153, 120]"
KOTA TANJUNG PINANG,871.7656299120865,"[195, 153, 120, 92]"
PULAU TAMBELAN KAB. BINTAN,1020.4037515243452,"[195, 153, 123]"
PEKAJANG KAB. LINGGA,1244.6412577433093,"[195, 194, 155, 132, 110]"
PULAU SERASAN KAB. NATUNA,1198.0371931335626,"[195, 153, 120, 323]"
PULAU MIDAI KAB. NATUNA,1349.4538057291786,"[195, 153, 120, 323, 96]"
PULAU LAUT KAB. NATUNA,1541.0952362650976,"[195, 153, 120, 323, 96, 97]"
KAB. BATANGHARI,718.5106220824557,"[195, 194]"
KAB. BUNGO,831.569480304655,"[195, 153, 120, 101]"
KAB. KERINCI,774.7750182633611,"[195, 153, 120]"
KAB. MERANGIN,708.7624454098845,"[195, 153, 120]"
KAB. MUARO JAMBI,912.150227349171,"[195, 194, 159, 104]"
KAB. SAROLANGUN,762.1091570920963,"[195, 194, 159]"
KAB. TANJUNG JABUNG BARAT,817.7684173055939,"[195, 153, 123, 124, 125]"
KAB. TANJUNG JABUNG TIMUR,804.132432158814,"[195, 153, 152]"
KAB. TEBO,816.4414573940123,"[195, 153, 123, 124, 125]"
KOTA JAMBI,691.026888394969,"[195, 194]"
KOTA SUNGAI PENUH,817.0333125302824,"[195, 153, 123, 124, 125, 126]"
KAB. BENGKULU SELATAN,739.9881401169623,"[195, 194, 155, 132]"
KAB. BENGKULU TENGAH,778.2656028431761,"[195, 153, 123, 124, 112]"
KAB. BENGKULU UTARA,712.1363863853855,"[195, 153, 123, 124]"
KAB. KAUR,629.7305854040361,"[195, 194, 182]"
KAB. KEPAHIANG,750.6309630626533,"[195, 194, 182, 113]"
KAB. LEBONG,769.6831855756316,"[195, 153, 152, 157]"
KAB. MUKOMUKO,787.0328094529192,"[195, 194, 117]"
KAB. REJANG LEBONG,623.0958999429378,"[195, 194]"
KAB. SELUMA,689.4636962206941,"[195, 194, 117]"
KOTA BENGKULU,687.5196941073652,"[195, 194, 159]"
KAB. BANYUASIN,397.0801188570563,"[195, 153]"
KAB. EMPAT LAWANG,493.05280795865417,"[195, 153, 123, 122]"
KAB. LAHAT,441.2527169617249,"[195, 153, 123]"
KAB. MUARA ENIM,368.6127592878057,"[195, 153]"
KAB. MUSI BANYUASIN,502.02690730386485,"[195, 153, 123]"
KAB. MUSI RAWAS,596.5016327755864,"[195, 153, 123, 124]"
KAB. MUSI RAWAS UTARA,649.839244894566,"[195, 153, 123, 124, 125]"
KAB. OGAN ILIR,833.9642978446128,"[195, 194, 159, 160, 161, 129, 128]"
KAB. OGAN KOMERING ILIR,766.4665304423559,"[195, 194, 159, 160, 161, 129]"
KAB. OGAN KOMERING ULU,617.6593965704951,"[195, 194, 159, 160, 161]"
KAB. OGAN KOMERING ULU SELATAN,674.4051286819362,"[195, 194, 159, 160, 131]"
KAB. OGAN KOMERING ULU TIMUR,552.0820559356898,"[195, 194, 159, 160]"
KAB. PENUKAL ABAB LEMATANG ILIR,578.2042320925821,"[195, 194, 155]"
KOTA LUBUKLINGGAU,706.043271471047,"[195, 194, 155, 132]"
KOTA PAGAR ALAM,798.2754935396864,"[195, 194, 155, 132, 133]"
KOTA PALEMBANG,650.0455714396096,"[195, 194, 159, 160, 131]"
KOTA PRABUMULIH,632.6245033807857,"[195, 194, 182, 170]"
KAB. BANGKA,758.4781743626368,"[195, 194, 155, 156]"
KAB. BANGKA BARAT,752.4169361802944,"[195, 194, 182, 139]"
KAB. BANGKA SELATAN,607.7165703005088,"[195, 194, 182]"
KAB. BANGKA TENGAH,652.8564968457877,"[195, 153, 123]"
KAB. BELITUNG,829.6194287116235,"[195, 153, 123, 140]"
KAB. BELITUNG TIMUR,874.7694426531758,"[195, 153, 123, 140, 141]"
KOTA PANGKAL PINANG,723.3703159130868,"[195, 153, 152, 157]"
KAB. LAMPUNG TENGAH,592.7764044916224,"[195, 194, 159, 160, 161, 162, 163, 164]"
KAB. LAMPUNG UTARA,654.9531197931907,"[195, 194, 159, 160, 161, 162, 163, 164, 144]"
KAB. LAMPUNG SELATAN,776.1592985025924,"[195, 194, 159, 160, 161, 162, 163, 164, 144, 145]"
KAB. LAMPUNG BARAT,891.4499762675437,"[195, 194, 182, 170, 169, 187, 149, 148]"
KAB. LAMPUNG TIMUR,720.713033892432,"[195, 194, 182, 170, 169, 187, 149]"
KAB. MESUJI,590.5775479828471,"[195, 194, 182, 170, 169, 187]"
KAB. PESAWARAN,519.96673501842,"[195, 153, 152, 151]"
KAB. PESISIR BARAT,411.84698790884266,"[195, 153, 152]"
KAB. PRINGSEWU,316.28149818068994,"[195, 153]"
KAB. TULANG BAWANG,189.77919384358597,[195]
KAB. TULANG BAWANG BARAT,241.9088950708993,"[195, 153]"
KAB. TANGGAMUS,340.61389314924406,"[195, 194]"
KAB. WAY KANAN,430.2703625027517,"[195, 194, 155]"
KOTA BANDAR LAMPUNG,348.21557431121306,"[195, 153, 152]"
KOTA METRO,340.54077996188187,"[195, 194, 159]"
KAB. LEBAK,148.71126603507787,"[195, 194]"
KAB. PANDEGLANG,214.2729994068535,"[195, 194, 159]"
KAB. SERANG,292.3429794364929,"[195, 194, 159, 160]"
KAB. TANGERANG,342.06324745625784,"[195, 194, 159, 160, 161]"
KOTA CILEGON,398.6199194212938,"[195, 194, 159, 160, 161, 162]"
KOTA SERANG,419.3513075805706,"[195, 194, 159, 160, 161, 162, 163]"
KOTA TANGERANG,474.33884127806107,"[195, 194, 159, 160, 161, 162, 163, 164]"
KOTA TANGERANG SELATAN,485.4419548368189,"[195, 194, 159, 160, 161, 162, 163, 164, 165]"
KAB. BANDUNG,373.8776776466339,"[195, 194, 182, 170, 169, 168]"
KAB. BANDUNG BARAT,340.73704147341226,"[195, 194, 182, 170, 169]"
KAB. BEKASI,262.25755174871705,"[195, 194, 182, 170]"
