city,distance,through
KAB. ACEH BARAT,1212.3908978751329,"[56, 109, 59, 62]"
KAB. ACEH BARAT DAYA,1292.7350803821137,"[56, 55, 28, 20, 21, 2]"
KAB. ACEH BESAR,1042.4402381785833,"[56, 55, 28, 20, 21]"
KAB. ACEH JAYA,1118.743711515682,"[56, 55, 28, 20, 21, 2]"
KAB. ACEH SELATAN,1030.309974862708,"[56, 109, 59, 62]"
KAB. ACEH SINGKIL,1040.850735248786,"[56, 57, 81, 80, 74, 73, 72]"
KAB. ACEH TAMIANG,985.4894843437381,"[56, 55, 28, 25, 26, 7]"
KAB. ACEH TENGAH,853.8119591079609,"[56, 55, 28, 25, 26]"
KAB. ACEH TENGGARA,1012.6199845895424,"[56, 55, 28, 25, 26, 7]"
KAB. ACEH TIMUR,1017.5456444287391,"[56, 48, 52, 43, 42, 11, 10]"
KAB. ACEH UTARA,950.9555103402515,"[56, 48, 52, 43, 42, 11]"
KAB. BENER MERIAH,911.8343086407508,"[56, 48, 52, 43, 42]"
KAB. BIREUEN,962.8294822143724,"[56, 48, 52, 43, 42, 11]"
KAB. GAYO LUES,877.0147982732734,"[56, 55, 28, 25, 14]"
KAB. NAGAN RAYA,779.9199611882547,"[56, 55, 28, 25]"
KAB. PIDIE,901.9453232724381,"[56, 55, 28, 25, 14]"
KAB. PIDIE JAYA,931.4767199050186,"[56, 55, 28, 25, 14, 15]"
KAB. SIMEULUE,766.0703276012325,"[56, 55]"
KOTA BANDA ACEH,1098.2596977858116,"[56, 55, 17]"
KOTA LANGSA,895.9871570672286,"[56, 55, 28, 20]"
KOTA LHOKSEUMAWE,774.5159355868518,"[56, 55, 28]"
KOTA SABANG,990.6634753555298,"[56, 55, 28, 20]"
KOTA SUBULUSSALAM,711.186157849189,"[56, 55, 28, 27]"
KAB. ASAHAN,722.3150066276118,"[56, 55, 28, 25, 24]"
KAB. BATUBARA,679.9824288272576,"[56, 55, 28, 25]"
KAB. DAIRI,538.6222574139243,"[56, 55, 28]"
KAB. DELI SERDANG,617.052649561486,"[56, 55, 28, 25]"
KAB. HUMBANG HASUNDUTAN,618.5906613096098,"[56, 55, 28]"
KAB. KARO,512.1912233505127,"[56, 55]"
KAB. LABUHANBATU,698.7823415509911,"[56, 57, 81, 30]"
KAB. LABUHANBATU SELATAN,647.1767760952514,"[56, 57, 81]"
KAB. LABUHANBATU UTARA,712.5509717820462,"[56, 57, 81, 30]"
KAB. LANGKAT,946.8125438734949,"[56, 48, 47, 46, 45]"
KAB. MANDAILING NATAL,841.5701855964569,"[56, 48, 52, 43, 39]"
KAB. NIAS,792.8221864324017,"[56, 55, 28, 25, 49, 35]"
KAB. NIAS BARAT,762.6960659335557,"[56, 55, 28, 25, 49]"
KAB. NIAS SELATAN,756.8350143017632,"[56, 57, 58]"
KAB. NIAS UTARA,730.2765427043361,"[56, 57]"
KAB. PADANG LAWAS,798.2097842982248,"[56, 55, 28, 25]"
KAB. PADANG LAWAS UTARA,744.343518514378,"[56, 48, 52, 43]"
KAB. PAKPAK BHARAT,779.2753324502314,"[56, 48, 52, 43, 42, 41]"
KAB. SAMOSIR,714.6057202802707,"[56, 48, 52, 43, 42]"
KAB. SERDANG BEDAGAI,630.3762274490333,"[56, 48, 52, 43]"
KAB. SIMALUNGUN,583.4901618362461,"[56, 48, 52]"
KAB. TAPANULI SELATAN,739.2408955872795,"[56, 48, 52, 43]"
KAB. TAPANULI TENGAH,718.3748386931966,"[56, 48, 47, 46]"
KAB. TAPANULI UTARA,669.3804545416822,"[56, 48, 47]"
KAB. TOBA SAMOSIR,629.7065823249777,"[56, 48]"
KOTA BINJAI,464.9052118061459,[56]
KOTA GUNUNGSITOLI,729.3248105541121,"[56, 55, 28, 25]"
KOTA MEDAN,859.7278224710465,"[56, 55, 28, 25, 24, 23]"
KOTA PADANGSIDEMPUAN,739.2270730121859,"[56, 48, 52]"
KOTA PEMATANGSIANTAR,560.1084756953497,"[56, 48]"
KOTA SIBOLGA,669.0361201309903,"[56, 55, 54]"
KOTA TANJUNGBALAI,491.9379788976764,"[56, 55]"
KOTA TEBING TINGGI,410.2012312261181,[56]
KAB. AGAM,0.0,[]
KAB. DHARMASRAYA,188.81483998710863,[56]
KAB. KEPULAUAN MENTAWAI,490.0290967893502,"[56, 57]"
KAB. LIMA PULUH KOTA,502.29834965672615,"[56, 109]"
KAB. PADANG PARIAMAN,580.4007539828774,"[56, 109, 59]"
KAB. PASAMAN,545.4860665446906,"[56, 109, 59]"
KAB. PASAMAN BARAT,603.2219984108199,"[56, 109, 59]"
KAB. PESISIR SELATAN,661.1227005343208,"[56, 57, 81, 80, 74]"
KAB. SIJUNJUNG,780.4295945061169,"[56, 57, 81, 80, 74, 63]"
KAB. SOLOK,745.3973354382318,"[56, 57, 81, 80, 74, 63]"
KAB. SOLOK SELATAN,725.6898224617883,"[56, 57, 81, 80, 74, 73, 67]"
KAB. TANAH DATAR,597.1948138006346,"[56, 57, 81, 80, 74, 73]"
KOTA BUKITTINGGI,626.0676452225556,"[56, 57, 81, 80, 74, 73, 67]"
KOTA PADANG,697.6863097767612,"[56, 57, 81, 80, 74, 73, 67, 68]"
KOTA PADANGPANJANG,671.8764988396306,"[56, 57, 81, 80, 74, 73, 71]"
KOTA PARIAMAN,636.5127969187286,"[56, 57, 81, 80, 74, 73]"
KOTA PAYAKUMBUH,620.2476339650717,"[56, 57, 81, 80, 74, 73]"
KOTA SAWAHLUNTO,568.4888450454401,"[56, 57, 81, 80, 74]"
KOTA SOLOK,554.0447731851632,"[56, 57, 81, 80]"
KAB. BENGKALIS,756.4005220330594,"[56, 55]"
KAB. INDRAGIRI HILIR,987.4969376062329,"[56, 55, 75]"
KAB. INDRAGIRI HULU,950.3257911595304,"[56, 57, 58, 78]"
KAB. KAMPAR,794.0920441863268,"[56, 57, 58]"
KAB. KEPULAUAN MERANTI,647.6105948077488,"[56, 57, 81, 80]"
KAB. KUANTAN SINGINGI,449.90789605249876,"[56, 57, 81]"
KAB. PELALAWAN,345.72750122141474,"[56, 57]"
KAB. ROKAN HILIR,578.0877665635815,"[56, 57, 81]"
KAB. ROKAN HULU,656.4097016237644,"[56, 57, 81, 82]"
KAB. SIAK,809.5613548484858,"[56, 57, 81, 82, 83]"
KOTA DUMAI,914.3846166859771,"[56, 57, 81, 82, 83, 84]"
KOTA PEKANBARU,979.0906005885829,"[56, 55, 28, 25]"
KAB. BINTAN,891.3041532054567,"[56, 109, 108, 88]"
KAB. KARIMUN,763.2609546793794,"[56, 109, 108]"
KAB. KEPULAUAN ANAMBAS,1123.6785456550488,"[56, 109, 108, 88]"
KAB. LINGGA,1358.1592358107664,"[56, 57, 148, 149]"
KAB. NATUNA,1410.9642920975537,"[56, 109, 108, 93, 92]"
KOTA BATAM,846.0220744500858,"[56, 109, 108, 93]"
KOTA TANJUNG PINANG,794.3741743860973,"[56, 109, 108]"
PULAU TAMBELAN KAB. BINTAN,1113.0747565373865,"[56, 109, 108, 93]"
PEKAJANG KAB. LINGGA,1061.1363221136182,"[56, 109, 110]"
PULAU SERASAN KAB. NATUNA,1159.442968878885,"[56, 323]"
PULAU MIDAI KAB. NATUNA,1310.859581474501,"[56, 323, 96]"
PULAU LAUT KAB. NATUNA,1502.50101201042,"[56, 323, 96, 97]"
KAB. BATANGHARI,777.5452042250247,"[56, 57, 81, 101, 100]"
KAB. BUNGO,644.7733716103446,"[56, 57, 81, 101]"
KAB. KERINCI,587.9789095690506,"[56, 57, 81]"
KAB. MERANGIN,657.4547595729624,"[56, 57, 81, 101]"
KAB. MUARO JAMBI,873.4824502673491,"[56, 57, 81, 101, 102]"
KAB. SAROLANGUN,768.8440322715687,"[56, 109, 108, 107]"
KAB. TANJUNG JABUNG BARAT,687.7689972905723,"[56, 109, 126, 125]"
KAB. TANJUNG JABUNG TIMUR,770.0165996041832,"[56, 109, 126, 125, 105]"
KAB. TEBO,643.7270302327265,"[56, 109, 108]"
KOTA JAMBI,497.6176320301711,"[56, 109]"
KOTA SUNGAI PENUH,245.97053300586893,[56]
KAB. BENGKULU SELATAN,556.4832044872711,"[56, 109]"
KAB. BENGKULU TENGAH,656.385547360277,"[56, 109, 110]"
KAB. BENGKULU UTARA,722.5147638180675,"[56, 109, 110, 111]"
KAB. KAUR,875.5038622144117,"[56, 109, 135, 136]"
KAB. KEPAHIANG,939.5812134216902,"[56, 57, 81, 80, 74]"
KAB. LEBONG,868.2187836850655,"[56, 109, 108, 116]"
KAB. MUKOMUKO,765.71154641622,"[56, 109, 108]"
