city,distance,through
KAB. ACEH BARAT,3096.9372510450357,"[418, 419, 51]"
KAB. ACEH BARAT DAYA,3110.5616801900005,"[418, 332, 331, 139, 140]"
KAB. ACEH BESAR,3201.3267081787576,"[418, 347, 4, 3]"
KAB. ACEH JAYA,3125.023234841659,"[418, 347, 4]"
KAB. ACEH SELATAN,2874.5580530820207,"[418, 347]"
KAB. ACEH SINGKIL,2945.5204046436857,"[418, 426, 448, 107, 72]"
KAB. ACEH TAMIANG,2832.4801332577536,"[418, 426]"
KAB. ACEH TENGAH,2964.1576584935306,"[418, 426, 6]"
KAB. ACEH TENGGARA,2980.9788015168165,"[418, 386, 387, 449, 329, 328]"
KAB. ACEH TIMUR,2998.2521928512037,"[418, 386, 346, 345]"
KAB. ACEH UTARA,3048.5734480304714,"[418, 426, 321, 320, 43, 42, 11]"
KAB. BENER MERIAH,3009.4522463309704,"[418, 426, 321, 320, 43, 42]"
KAB. BIREUEN,3060.447419904592,"[418, 426, 321, 320, 43, 42, 11]"
KAB. GAYO LUES,3042.242384948069,"[418, 386, 385]"
KAB. NAGAN RAYA,3043.5849221830217,"[418, 426, 28, 25]"
KAB. PIDIE,3134.584559660154,"[418, 426, 321, 30]"
KAB. PIDIE JAYA,3120.837903070823,"[418, 426, 321, 30, 26]"
KAB. SIMEULUE,3052.58565548971,"[418, 426, 321, 55]"
KOTA BANDA ACEH,3163.373459987861,"[418, 426, 6]"
KOTA LANGSA,2847.454173929297,"[418, 347]"
KOTA LHOKSEUMAWE,2952.82292949459,"[418, 426, 427]"
KOTA SABANG,3168.970469263268,"[418, 426, 427, 20]"
KOTA SUBULUSSALAM,2816.0540313696615,"[418, 426, 27]"
KAB. ASAHAN,2763.0888877326397,"[418, 386, 385]"
KAB. BATUBARA,2805.421465532994,"[418, 386, 385, 23]"
KAB. DAIRI,2802.2872184086914,"[418, 426, 28]"
KAB. DELI SERDANG,2782.3184365576803,"[418, 426, 321, 30]"
KAB. HUMBANG HASUNDUTAN,2723.458534830082,"[418, 426]"
KAB. KARO,2775.85618434528,"[418, 426]"
KAB. LABUHANBATU,2597.584667276711,"[418, 426, 321, 30]"
KAB. LABUHANBATU SELATAN,2545.9791018209717,"[418, 426, 321]"
KAB. LABUHANBATU UTARA,2611.3532975077665,"[418, 426, 321, 30]"
KAB. LANGKAT,2848.8291995661807,"[418, 426, 321, 30, 31]"
KAB. MANDAILING NATAL,2698.482515845836,"[418, 426, 321, 84, 39]"
KAB. NIAS,2809.1790219662885,"[418, 426, 61, 62]"
KAB. NIAS BARAT,2839.3051424651344,"[418, 426, 61, 62, 34]"
KAB. NIAS SELATAN,2885.022364807029,"[418, 426, 448, 447, 446]"
KAB. NIAS UTARA,2922.714676502298,"[418, 386, 387, 38]"
KAB. PADANG LAWAS,2653.0513076742936,"[418, 386, 387]"
KAB. PADANG LAWAS UTARA,2601.2558487637575,"[418, 426, 321, 84]"
KAB. PAKPAK BHARAT,2789.714418410054,"[418, 426, 321, 84, 39]"
KAB. SAMOSIR,2759.051603648942,"[418, 419, 51]"
KAB. SERDANG BEDAGAI,2727.994165139253,"[418, 426, 321, 320, 43]"
KAB. SIMALUNGUN,2681.1080995264656,"[418, 426, 321, 320]"
KAB. TAPANULI SELATAN,2622.5562053132135,"[418, 347]"
KAB. TAPANULI TENGAH,2693.2004170398372,"[418, 347, 44]"
KAB. TAPANULI UTARA,2742.194801191352,"[418, 347, 44, 45]"
KAB. TOBA SAMOSIR,2737.4403207832565,"[418, 386, 387]"
KOTA BINJAI,2799.6930495565657,"[418, 426, 321, 320, 43, 52]"
KOTA GUNUNGSITOLI,2847.111733026281,"[418, 426, 427, 77]"
KOTA MEDAN,2865.640199179513,"[418, 419, 51]"
KOTA PADANGSIDEMPUAN,2609.6027716968606,"[418, 419]"
KOTA PEMATANGSIANTAR,2704.489785667362,"[418, 426, 321, 320, 43]"
KOTA SIBOLGA,2691.8058674744934,"[418, 426]"
KOTA TANJUNGBALAI,2743.4210060928017,"[418, 317, 138]"
KOTA TEBING TINGGI,2696.7165591145954,"[418, 426, 321]"
KAB. AGAM,2624.126322003478,"[418, 426, 448, 447, 57]"
KAB. DHARMASRAYA,2435.311482016369,"[418, 426, 448, 447]"
KAB. KEPULAUAN MENTAWAI,2635.988896672814,"[418, 347]"
KAB. LIMA PULUH KOTA,2500.061823286314,"[418, 426, 321, 322]"
KAB. PADANG PARIAMAN,2578.1642276124653,"[418, 426, 321, 322, 59]"
KAB. PASAMAN,2518.1775812109354,"[418, 426]"
KAB. PASAMAN BARAT,2577.799873535624,"[418, 426, 61]"
KAB. PESISIR SELATAN,2513.858513453605,"[418, 426, 65]"
KAB. SIJUNJUNG,2468.508172334,"[418, 426, 65]"
KAB. SOLOK,2429.583878549694,"[418, 426]"
KAB. SOLOK SELATAN,2426.6047616412393,"[418, 332, 124]"
KAB. TANAH DATAR,2530.302847811114,"[418, 332, 355, 74, 73]"
KOTA BUKITTINGGI,2559.175679233035,"[418, 332, 355, 74, 73, 67]"
KOTA PADANG,2519.733874725014,"[418, 426, 448, 107]"
KOTA PADANGPANJANG,2472.1857395321153,[418]
KOTA PARIAMAN,2502.3999471640395,[418]
KOTA PAYAKUMBUH,2524.9173033599714,"[418, 426, 448, 107]"
KOTA SAWAHLUNTO,2501.5968790559195,"[418, 332, 355, 74]"
KOTA SOLOK,2487.1528071956427,"[418, 332, 355]"
KAB. BENGKALIS,2576.6328045602,"[418, 332, 331, 330, 341, 76]"
KAB. INDRAGIRI HILIR,2345.5363889870264,"[418, 332, 331, 330, 341]"
KAB. INDRAGIRI HULU,2284.565462796167,"[418, 426, 427]"
KAB. KAMPAR,2440.7992097693705,"[418, 426, 427, 77]"
KAB. KEPULAUAN MERANTI,2378.1430050926083,"[418, 347, 348]"
KAB. KUANTAN SINGINGI,2499.449730166788,"[418, 386, 387, 449, 329, 336]"
KAB. PELALAWAN,2592.2241432506753,"[418, 426, 448, 447, 57]"
KAB. ROKAN HILIR,2575.9260036744154,"[418, 332, 352, 353, 87, 88]"
KAB. ROKAN HULU,2499.2870641623704,"[418, 426, 321, 84]"
KAB. SIAK,2346.135410937649,"[418, 426, 321]"
KOTA DUMAI,2450.9586727751403,"[418, 426, 321, 84]"
KOTA PEKANBARU,2380.1816652220837,"[418, 426, 321]"
KAB. BINTAN,2142.3337496784616,"[418, 332, 352, 353]"
KAB. KARIMUN,2270.376948204539,"[418, 332, 352, 353, 87]"
KAB. KEPULAUAN ANAMBAS,2117.5645489231847,"[418, 426, 448, 447]"
KAB. LINGGA,2118.7480494519614,"[418, 386, 342]"
KAB. NATUNA,1854.374573626017,"[418, 386]"
KOTA BATAM,2253.178588072761,"[418, 332, 333, 334, 94, 93]"
KOTA TANJUNG PINANG,2201.530688008773,"[418, 332, 333, 334, 94]"
PULAU TAMBELAN KAB. BINTAN,1882.8301058574834,"[418, 332, 333, 334]"
PEKAJANG KAB. LINGGA,2003.4922750311976,[418]
PULAU SERASAN KAB. NATUNA,1707.129973295727,"[418, 386, 351]"
PULAU MIDAI KAB. NATUNA,1858.546585891343,"[418, 386, 351, 96]"
PULAU LAUT KAB. NATUNA,1964.3788077633535,"[418, 426, 321]"
KAB. BATANGHARI,2460.767498888948,"[418, 426, 321, 100]"
KAB. BUNGO,2327.995666274268,"[418, 426, 321]"
KAB. KERINCI,2367.5376498413757,"[418, 426]"
KAB. MERANGIN,2319.6955100449463,"[418, 317, 138, 103]"
KAB. MUARO JAMBI,2103.6678193505595,"[418, 317, 138]"
KAB. SAROLANGUN,2247.41280769931,"[418, 426, 321]"
KAB. TANJUNG JABUNG BARAT,2173.1126539216866,[418]
KAB. TANJUNG JABUNG TIMUR,2177.8443143333766,"[418, 386]"
KAB. TEBO,2302.465347449437,"[418, 426, 448]"
KOTA JAMBI,2159.3062545735393,"[418, 426, 448]"
KOTA SUNGAI PENUH,2385.4981741509255,"[418, 419, 135]"
KAB. BENGKULU SELATAN,2288.174631255718,"[418, 332, 333, 334]"
KAB. BENGKULU TENGAH,2345.1655053095287,"[418, 386, 387, 149]"
KAB. BENGKULU UTARA,2330.4495830055957,"[418, 332, 331, 139]"
KAB. KAUR,2236.990680929418,"[418, 419, 135, 136]"
KAB. KEPAHIANG,2357.8910585880353,"[418, 419, 135, 136, 113]"
KAB. LEBONG,2392.2740501520793,"[418, 386, 346, 345]"
KAB. MUKOMUKO,2387.9684687111385,"[418, 332, 331, 139]"
KAB. REJANG LEBONG,2330.0343996105366,"[418, 419, 135, 131]"
KAB. SELUMA,2306.253848890102,"[418, 426, 448, 447, 446]"
KOTA BENGKULU,2364.0408690643017,"[418, 426, 448, 447, 446, 118]"
KAB. BANYUASIN,2145.8289988723004,"[418, 419, 153]"
KAB. EMPAT LAWANG,2239.6391761358714,"[418, 332, 355]"
KAB. LAHAT,2190.001596976969,"[418, 419, 153, 123]"
KAB. MUARA ENIM,2117.3616393030497,"[418, 419, 153]"
KAB. MUSI BANYUASIN,2124.1414046783725,"[418, 332]"
KAB. MUSI RAWAS,2209.5513409033224,"[418, 317]"
KAB. MUSI RAWAS UTARA,2262.8889530223023,"[418, 317, 125]"
KAB. OGAN ILIR,2105.716921942457,"[418, 332, 331, 139, 140, 128]"
KAB. OGAN KOMERING ILIR,2038.2191545401997,"[418, 332, 331, 139, 140]"
KAB. OGAN KOMERING ULU,2098.987268875591,"[418, 426]"
KAB. OGAN KOMERING ULU SELATAN,2170.140902435444,"[418, 426, 129]"
KAB. OGAN KOMERING ULU TIMUR,2094.44127843982,"[418, 419, 135]"
KAB. PENUKAL ABAB LEMATANG ILIR,2159.977291753177,"[418, 426, 448, 447, 446]"
KOTA LUBUKLINGGAU,2222.5360488076262,"[418, 332, 352]"
KOTA PAGAR ALAM,2205.152980427574,"[418, 419, 135]"
KOTA PALEMBANG,1996.4777629359003,"[418, 419]"
KOTA PRABUMULIH,2073.5251207223673,"[418, 419, 135]"
KAB. BANGKA,1961.4344976548402,"[418, 317, 138]"
KAB. BANGKA BARAT,1914.3291511614689,"[418, 317]"
KAB. BANGKA SELATAN,1831.7612435246892,"[418, 332, 331]"
KAB. BANGKA TENGAH,1877.7632424273222,"[418, 332, 331, 139]"
KAB. BELITUNG,1763.1327600185316,"[418, 386, 385, 142]"
KAB. BELITUNG TIMUR,1717.9827460769793,"[418, 386, 385]"
KOTA PANGKAL PINANG,1915.9880739907837,"[418, 386]"
KAB. LAMPUNG TENGAH,2056.9836584778113,"[418, 386, 342]"
KAB. LAMPUNG UTARA,2045.862532991595,"[418, 426, 427]"
KAB. LAMPUNG SELATAN,1976.3021346003866,"[418, 426, 448]"
KAB. LAMPUNG BARAT,2107.733420297629,"[418, 426, 148]"
KAB. LAMPUNG TIMUR,1936.9964779225174,"[418, 426]"
KAB. MESUJI,2019.301653120566,"[418, 386, 387]"
KAB. PESAWARAN,2056.50573267904,"[418, 386]"
KAB. PESISIR BARAT,2113.3914460256424,"[418, 152]"
KAB. PRINGSEWU,2017.8259562974897,[418]
KAB. TULANG BAWANG,1938.52807385883,"[418, 419]"
KAB. TULANG BAWANG BARAT,1990.6577750861434,"[418, 419, 153]"
KAB. TANGGAMUS,2062.3498201158372,[418]
KAB. WAY KANAN,2059.292852385372,"[418, 332, 352, 353]"
KOTA BANDAR LAMPUNG,2034.245045384414,"[418, 386]"
KOTA METRO,2065.6238842269295,"[418, 386, 157]"
KAB. LEBAK,1976.4971753819023,"[418, 386, 387, 181]"
KAB. PANDEGLANG,2027.0179953648744,"[418, 426, 448, 447]"
KAB. SERANG,1978.5216060056073,"[418, 386, 385]"
KAB. TANGERANG,1939.1494299390488,"[418, 332, 355]"
KOTA CILEGON,1927.1474381511352,[418]
KOTA SERANG,1932.2261019087505,"[418, 332, 352]"
KOTA TANGERANG,1908.6016084026112,"[418, 426, 448, 447]"
KOTA TANGERANG SELATAN,1919.7047219613692,"[418, 426, 448, 447, 165]"
KAB. BANDUNG,1835.48884054108,"[418, 168]"
KAB. BANDUNG BARAT,1802.3482043678582,[418]
KAB. BEKASI,1880.8276940925534,"[418, 168]"
KAB. BOGOR,1913.9004353870998,"[418, 183, 182]"
KAB. CIAMIS,1762.253510542652,"[418, 332, 331]"
KAB. CIANJUR,1888.3459896056556,"[418, 426, 448, 447]"
KAB. CIREBON,1770.3129050671569,"[418, 426, 200]"
KAB. GARUT,1870.8467501491227,"[418, 386, 243]"
KAB. INDRAMAYU,1784.3957952993492,"[418, 426, 448, 222]"
KAB. KARAWANG,1893.6207548496257,"[418, 426, 448, 222, 175]"
KAB. KUNINGAN,1791.9357708248504,"[418, 332, 331, 330, 341]"
KAB. MAJALENGKA,1809.162684706856,"[418, 332, 217]"
KAB. PANGANDARAN,1766.054593608908,"[418, 332]"
KAB. PURWAKARTA,1851.587938964807,"[418, 386, 387, 181]"
KAB. SUBANG,1807.7912283334472,"[418, 386, 387]"
KAB. SUKABUMI,1863.9375622201983,"[418, 183]"
KAB. SUMEDANG,1753.5229452048723,[418]
KAB. TASIKMALAYA,1820.5491251509336,"[418, 386, 387]"
KOTA BANDUNG,1814.8065444466743,"[418, 210]"
KOTA BANJAR,1755.4436313062508,"[418, 386, 385, 390, 201]"
KOTA BEKASI,1867.8710577758445,"[418, 386]"
KOTA BOGOR,1911.9500125566456,"[418, 386, 187]"
KOTA CIMAHI,1879.8188845263671,"[418, 386, 387, 449]"
KOTA CIREBON,1842.055686365619,"[418, 386, 385, 390, 398]"
KOTA DEPOK,1890.1922180302752,"[418, 183]"
KOTA SUKABUMI,1912.0082329929696,"[418, 386, 385, 390, 201]"
KOTA TASIKMALAYA,1929.2639791021954,"[418, 379, 378, 400]"
KOTA JAKARTA,1941.2618368987683,"[418, 183, 182]"
KAB. ADMINISTRASI KEPULAUAN SERIBU,1994.59532242647,"[418, 196]"
KAB. BANJARNEGARA,1609.3581551710556,[418]
KAB. BANYUMAS,1663.0857397240277,"[418, 196]"
KAB. BATANG,1591.4506120659253,"[418, 386, 385]"
KAB. BLORA,1547.7516195260037,"[418, 332, 352]"
KAB. BOYOLALI,1512.517765477448,"[418, 426]"
KAB. BREBES,1694.2347460698675,"[418, 386, 385, 390]"
KAB. CILACAP,1734.613717013875,"[418, 239, 203]"
KAB. DEMAK,1525.5192615553588,"[418, 239]"
KAB. GROBOGAN,1497.7461395065795,"[418, 426, 448, 447]"
KAB. JEPARA,1556.7163047004576,"[418, 426, 448, 447, 446, 245]"
KAB. KARANGANYAR,1513.7366676071895,"[418, 426, 448, 447]"
KAB. KEBUMEN,1623.9574812644307,"[418, 224]"
KAB. KENDAL,1621.7145797668445,"[418, 386, 387, 449]"
KAB. KLATEN,1555.780010297,"[418, 210]"
KAB. KUDUS,1454.5352375441967,[418]
KAB. MAGELANG,1552.8970569373766,"[418, 210]"
KAB. PATI,1572.2374014443449,"[418, 426, 244]"
KAB. PEKALONGAN,1596.7996057486812,"[418, 426]"
KAB. PEMALANG,1617.830562431058,"[418, 426, 213]"
KAB. PURBALINGGA,1645.1845143856194,"[418, 426, 213, 214]"
KAB. PURWOREJO,1607.8596550168782,"[418, 386, 385, 390]"
KAB. REMBANG,1462.1826733936377,"[418, 332]"
KAB. SEMARANG,1575.1266038244041,"[418, 332, 217]"
KAB. SRAGEN,1544.3020859624635,"[418, 332]"
KAB. SUKOHARJO,1573.8985415930301,"[418, 332, 219]"
KAB. TEGAL,1659.7368340063344,"[418, 426, 213, 214]"
KAB. TEMANGGUNG,1563.5422372763041,"[418, 426, 448]"
KAB. WONOGIRI,1579.639568141299,"[418, 426, 448, 447, 204]"
KAB. WONOSOBO,1580.425059249217,[418]
KOTA MAGELANG,1586.3206131997924,"[418, 426, 448, 447, 204]"
KOTA PEKALONGAN,1652.3059654951273,"[418, 386, 273]"
KOTA SALATIGA,1570.1874678944766,"[418, 386, 387]"
KOTA SEMARANG,1607.1922128032227,"[418, 386, 387, 227]"
KOTA SURAKARTA,1533.8512451071788,"[418, 386, 243, 268]"
KOTA TEGAL,1687.0673713355595,"[418, 386, 387]"
KAB. BANTUL,1576.5604632467014,"[418, 386]"
KAB. GUNUNGKIDUL,1591.7678282182571,"[418, 426, 448, 255, 238]"
KAB. KULON PROGO,1636.620107940927,"[418, 426, 448, 447, 251, 235, 234]"
KAB. SLEMAN,1608.3538405627398,"[418, 426, 448, 447, 251, 235]"
KOTA YOGYAKARTA,1600.456444085002,"[418, 426, 448, 447, 251]"
KAB. BANGKALAN,1325.2747697924592,"[418, 386, 387]"
KAB. BANYUWANGI,1532.5521361046199,"[418, 386, 387, 236]"
KAB. BLITAR,1421.6265876216412,"[418, 426, 448, 255]"
KAB. BOJONEGORO,1396.8202324510835,[418]
KAB. BONDOWOSO,1241.5343737090232,[418]
KAB. GRESIK,1414.0995497985982,"[418, 240]"
KAB. JEMBER,1277.0684177769663,"[418, 419]"
KAB. JOMBANG,1372.2494999574471,"[418, 386]"
KAB. KEDIRI,1398.1277213728201,"[418, 426]"
KAB. LAMONGAN,1364.2346145111815,"[418, 426, 448, 447, 446]"
KAB. LUMAJANG,1504.060559684263,"[418, 426, 448, 447, 446, 245]"
KAB. MADIUN,1459.6348380545805,"[418, 426, 448, 447, 446, 245]"
KAB. MAGETAN,1453.662969187772,[418]
KAB. MALANG,1417.6682034435294,"[418, 379, 394]"
KAB. MOJOKERTO,1446.342284771112,"[418, 386, 385, 390, 391]"
KAB. NGANJUK,1429.8253785327815,"[418, 426, 448, 447]"
KAB. NGAWI,1494.6448669722063,"[418, 426, 448, 447, 251]"
KAB. PACITAN,1501.5064451222277,[418]
KAB. PAMEKASAN,1443.024552792561,"[418, 426, 448, 255]"
KAB. PASURUAN,1337.4749838858845,"[418, 426, 448]"
KAB. PONOROGO,1466.7394660658067,"[418, 386]"
KAB. PROBOLINGGO,1347.6411589511376,"[418, 379, 378]"
KAB. SAMPANG,1412.797973257958,"[418, 419, 242]"
KAB. SIDOARJO,1388.684486296762,"[418, 240]"
KAB. SITUBONDO,1506.2307980471633,"[418, 386, 387, 449, 329]"
KAB. SUMENEP,1424.0325815907186,"[418, 386, 387, 449, 329]"
KAB. TRENGGALEK,1472.1686269348684,"[418, 386, 243]"
KAB. TUBAN,1494.7491951358998,"[418, 332, 333]"
KAB. TULUNGAGUNG,1433.5723251385,"[418, 386, 385, 265]"
