city,distance,through
KAB. ACEH BARAT,2577.7378182257517,"[275, 199]"
KAB. ACEH BARAT DAYA,2479.128977598586,"[275, 274, 273, 140]"
KAB. ACEH BESAR,2711.754376973656,"[275, 276, 78, 4, 3]"
KAB. ACEH JAYA,2635.450903636557,"[275, 276, 78, 4]"
KAB. ACEH SELATAN,2384.985721876919,"[275, 276, 78]"
KAB. ACEH SINGKIL,2282.4296234505236,"[275, 107, 72]"
KAB. ACEH TAMIANG,2393.3053581393306,"[275, 276, 258, 86]"
KAB. ACEH TENGAH,2520.2091595259035,"[275, 276, 258, 80]"
KAB. ACEH TENGGARA,2369.446101325638,"[275, 276, 258, 241]"
KAB. ACEH TIMUR,2429.857936437587,[275]
KAB. ACEH UTARA,2496.4480705260744,"[275, 9]"
KAB. BENER MERIAH,2508.323107113773,"[275, 276, 258, 42]"
KAB. BIREUEN,2559.3182806873947,"[275, 276, 258, 42, 11]"
KAB. GAYO LUES,2440.9865203807844,"[275, 276, 258, 80]"
KAB. NAGAN RAYA,2511.0990531406114,"[275, 276, 258, 86, 25]"
KAB. PIDIE,2631.0240022685266,"[275, 261, 16]"
KAB. PIDIE JAYA,2601.492605635946,"[275, 261]"
KAB. SIMEULUE,2492.607835468383,"[275, 276, 268]"
KOTA BANDA ACEH,2724.1986848694382,"[275, 276, 258, 86, 6]"
KOTA LANGSA,2483.0505008259465,"[275, 261, 318, 317]"
KOTA LHOKSEUMAWE,2558.5570956660317,"[275, 276, 258, 86, 25, 28]"
KOTA SABANG,2724.546010866056,[275]
KOTA SUBULUSSALAM,2289.2013227544935,"[275, 27]"
KAB. ASAHAN,2303.430037204089,"[275, 276, 258, 259, 92, 24]"
KAB. BATUBARA,2261.097459403735,"[275, 276, 258, 259, 92]"
KAB. DAIRI,2269.801349366281,"[275, 276, 258, 86]"
KAB. DELI SERDANG,2290.413437693588,"[275, 276, 258, 241, 84, 30]"
KAB. HUMBANG HASUNDUTAN,2196.605826214914,[275]
KAB. KARO,2296.2323834296926,"[275, 276, 258, 86, 25]"
KAB. LABUHANBATU,2097.1973006773037,"[275, 274, 137]"
KAB. LABUHANBATU SELATAN,2054.0741029568794,"[275, 276, 258, 241, 84]"
KAB. LABUHANBATU UTARA,2119.448298643674,"[275, 276, 258, 241, 84, 30]"
KAB. LANGKAT,2352.936059093642,"[275, 276, 258, 241, 84]"
KAB. MANDAILING NATAL,2079.2453332140567,"[275, 276, 144]"
KAB. NIAS,2214.3394610281184,"[275, 107, 62]"
KAB. NIAS BARAT,2244.4655815269643,"[275, 107, 62, 34]"
KAB. NIAS SELATAN,2216.1163727599537,"[275, 276, 268, 229]"
KAB. NIAS UTARA,2268.6098328094645,"[275, 199, 100]"
KAB. PADANG LAWAS,2117.698312096741,"[275, 276, 258, 259, 195]"
KAB. PADANG LAWAS UTARA,2092.7641710209055,"[275, 276, 258, 241, 84]"
KAB. PAKPAK BHARAT,2281.222740667202,"[275, 276, 258, 241, 84, 39]"
KAB. SAMOSIR,2239.598555101802,"[275, 107, 72]"
KAB. SERDANG BEDAGAI,2226.8650259220553,"[275, 276, 258]"
KAB. SIMALUNGUN,2225.36187750572,"[275, 276, 52]"
KAB. TAPANULI SELATAN,2096.73781390725,"[275, 276, 258]"
KAB. TAPANULI TENGAH,2167.3820256338736,"[275, 276, 258, 44]"
KAB. TAPANULI UTARA,2145.571945866664,"[275, 276, 78]"
KAB. TOBA SAMOSIR,2185.2458180833687,"[275, 276, 78, 46]"
KOTA BINJAI,2297.183455254027,"[275, 276, 52]"
KOTA GUNUNGSITOLI,2275.895811467184,"[275, 274, 273, 77]"
KOTA MEDAN,2364.5225246509226,"[275, 276, 258, 241, 212, 64]"
KOTA PADANGSIDEMPUAN,2156.5264313931084,"[275, 276, 258, 80, 74]"
KOTA PEMATANGSIANTAR,2201.9801913648234,"[275, 276]"
KOTA SIBOLGA,2152.3522114115003,"[275, 276, 78]"
KOTA TANJUNGBALAI,2159.9047416047933,"[275, 276, 258, 241]"
KOTA TEBING TINGGI,2241.6414892763514,"[275, 276, 258, 241, 54]"
KAB. AGAM,1909.0430931524202,"[275, 276]"
