city,distance,through
KAB. ACEH BARAT,2093.605416366729,"[231, 230]"
KAB. ACEH BARAT DAYA,2007.2164334278652,"[231, 230, 165]"
KAB. ACEH BESAR,2244.7133827536563,"[231, 5, 4, 3]"
KAB. ACEH JAYA,2168.4099094165576,"[231, 5, 4]"
KAB. ACEH SELATAN,1917.9447276569194,"[231, 5]"
KAB. ACEH SINGKIL,1797.274002716338,[231]
KAB. ACEH TAMIANG,1926.2380513552696,[231]
KAB. ACEH TENGAH,2057.915576591047,"[231, 6]"
KAB. ACEH TENGGARA,1940.5521142632838,"[231, 230, 123, 124, 66, 67]"
KAB. ACEH TIMUR,2034.1749070314509,"[231, 125, 126, 109]"
KAB. ACEH UTARA,2046.6236138723307,"[231, 230]"
KAB. BENER MERIAH,2081.959628324697,"[231, 125, 70]"
KAB. BIREUEN,2100.6275319124443,[231]
KAB. GAYO LUES,1983.820755070029,"[231, 125, 70]"
KAB. NAGAN RAYA,2080.9155921550478,"[231, 125, 70, 13]"
KAB. PIDIE,2156.843430656304,[231]
KAB. PIDIE JAYA,2154.549439115802,"[231, 230, 76, 75]"
KAB. SIMEULUE,2009.4577659468623,"[231, 230, 165, 164, 114]"
KOTA BANDA ACEH,2242.9860692921557,"[231, 230]"
KOTA LANGSA,1984.1855211447466,"[231, 125]"
KOTA LHOKSEUMAWE,2081.152136817732,"[231, 28]"
KOTA SABANG,2296.49014557671,"[231, 5, 4, 3, 2]"
KOTA SUBULUSSALAM,1886.6903732216756,"[231, 230, 167, 168, 136]"
KAB. ASAHAN,1863.4229699607706,"[231, 232, 185, 24]"
KAB. BATUBARA,1821.0903921604165,"[231, 232, 185]"
KAB. DAIRI,1844.8019199811788,"[231, 230, 123, 124, 86]"
KAB. DELI SERDANG,1848.4706942969558,"[231, 125, 107]"
KAB. HUMBANG HASUNDUTAN,1826.820487430999,"[231, 232, 185, 130]"
KAB. KARO,1818.8274245813927,[231]
KAB. LABUHANBATU,1700.608149351597,"[231, 125, 70, 30]"
KAB. LABUHANBATU SELATAN,1649.0025838958572,"[231, 125, 70]"
KAB. LABUHANBATU UTARA,1714.376779582652,"[231, 125, 70, 30]"
KAB. LANGKAT,1907.5918019704425,"[231, 125]"
KAB. MANDAILING NATAL,1595.3663403632302,"[231, 230, 165, 164, 144]"
KAB. NIAS,1732.4567376967125,"[231, 230, 123, 62]"
KAB. NIAS BARAT,1762.5828581955586,"[231, 230, 123, 62, 34]"
KAB. NIAS SELATAN,1787.0966390004646,"[231, 230, 167, 168, 169, 187, 58]"
KAB. NIAS UTARA,1826.396739076026,"[231, 232, 215]"
KAB. PADANG LAWAS,1633.675048752992,"[231, 232, 176, 133]"
KAB. PADANG LAWAS UTARA,1639.219065339396,"[231, 230, 165, 164]"
KAB. PAKPAK BHARAT,1827.6776349856925,"[231, 230, 165, 164, 39]"
KAB. SAMOSIR,1789.430005625101,"[231, 125, 107, 72]"
KAB. SERDANG BEDAGAI,1824.4409045022246,"[231, 44, 43]"
KAB. SIMALUNGUN,1777.5548388894374,"[231, 44]"
KAB. TAPANULI SELATAN,1621.8041051384039,[231]
KAB. TAPANULI TENGAH,1692.4483168650277,"[231, 44]"
KAB. TAPANULI UTARA,1724.6172728786482,"[231, 230, 165, 164, 144, 77, 78]"
KAB. TOBA SAMOSIR,1702.0149446431574,"[231, 230, 123]"
KOTA BINJAI,1866.2404268957312,"[231, 230, 123, 52]"
KOTA GUNUNGSITOLI,1789.090688944722,"[231, 230, 123, 124, 66, 65]"
KOTA MEDAN,1901.9266993668548,"[231, 230, 167, 168]"
KOTA PADANGSIDEMPUAN,1665.8178235865157,"[231, 230, 165, 164, 114, 74]"
KOTA PEMATANGSIANTAR,1771.0371630065274,"[231, 230, 123]"
KOTA SIBOLGA,1728.3355989171532,"[231, 230, 123, 124, 66]"
KOTA TANJUNGBALAI,1737.818167614375,"[231, 125, 107]"
KOTA TEBING TINGGI,1769.2982823378054,"[231, 230, 76, 75]"
KAB. AGAM,1435.7684049217135,"[231, 125, 126, 109]"
KAB. DHARMASRAYA,1337.2631415206508,"[231, 232, 215, 214, 213]"
KAB. KEPULAUAN MENTAWAI,1520.2907214880518,"[231, 230, 167, 168, 169, 187]"
KAB. LIMA PULUH KOTA,1446.1256885667017,"[231, 125, 126, 109]"
KAB. PADANG PARIAMAN,1460.6068039147249,"[231, 232, 176, 133]"
KAB. PASAMAN,1459.8987642786874,"[231, 125]"
KAB. PASAMAN BARAT,1501.077589266048,"[231, 230, 123]"
KAB. PESISIR SELATAN,1303.5241352842602,"[231, 230, 165, 164, 144, 145]"
KAB. SIJUNJUNG,1386.4762269491346,"[231, 230, 123, 124, 66, 65]"
KAB. SOLOK,1347.5519331648284,"[231, 230, 123, 124, 66]"
KAB. SOLOK SELATAN,1283.2190740901763,"[231, 230, 123, 124]"
KAB. TANAH DATAR,1411.71408275133,"[231, 230, 123, 124, 66]"
KOTA BUKITTINGGI,1394.2719845309484,[231]
KOTA PADANG,1376.463813415496,"[231, 230, 165, 164]"
KOTA PADANGPANJANG,1386.9095037030636,"[231, 125]"
KOTA PARIAMAN,1422.2732056239656,"[231, 125, 70]"
KOTA PAYAKUMBUH,1411.6579726901084,"[231, 125, 107]"
KOTA SAWAHLUNTO,1395.0675537956286,"[231, 230, 165, 164, 114, 74]"
KOTA SOLOK,1380.6234819353517,"[231, 230, 165, 164, 114]"
KAB. BENGKALIS,1423.0989915308642,"[231, 230, 76]"
KAB. INDRAGIRI HILIR,1192.0025759576906,"[231, 230]"
KAB. INDRAGIRI HULU,1257.2404651561953,"[231, 230, 165, 164, 144]"
KAB. KAMPAR,1413.474212129399,"[231, 230, 165, 164, 144, 77]"
KAB. KEPULAUAN MERANTI,1392.8593901581407,"[231, 230, 165, 166]"
KAB. KUANTAN SINGINGI,1484.7603590680162,"[231, 230, 165, 164, 114, 74]"
KAB. PELALAWAN,1494.175802754957,"[231, 232, 215, 214, 213, 57]"
KAB. ROKAN HILIR,1649.4501692285007,"[231, 230, 123, 124, 66, 67]"
KAB. ROKAN HULU,1586.8553555521023,"[231, 230, 165, 166, 84]"
KAB. SIAK,1433.7037023273808,"[231, 230, 165, 166]"
KOTA DUMAI,1532.1599823063461,"[231, 230, 165, 164]"
KOTA PEKANBARU,1404.33357680652,"[231, 230, 123, 124]"
KAB. BINTAN,1438.2580960698733,"[231, 232, 215, 142, 141, 140, 139]"
KAB. KARIMUN,1410.3297024050114,"[231, 125, 108]"
KAB. KEPULAUAN ANAMBAS,1549.1184315905455,"[231, 251]"
KAB. LINGGA,1185.7417325039733,"[231, 230, 167, 168, 149]"
KAB. NATUNA,1665.6205589577326,"[231, 232, 215, 142, 141, 140]"
KOTA BATAM,1334.7543958284423,"[231, 232, 233, 234, 235]"
KOTA TANJUNG PINANG,1386.4022958924309,"[231, 232, 233, 234, 235, 92]"
PULAU TAMBELAN KAB. BINTAN,1284.0577818246009,"[231, 232, 215, 216]"
PEKAJANG KAB. LINGGA,1347.0020170375037,"[231, 232, 263]"
PULAU SERASAN KAB. NATUNA,1170.2119056565791,"[231, 323]"
PULAU MIDAI KAB. NATUNA,1321.6285182521951,"[231, 323, 96]"
PULAU LAUT KAB. NATUNA,1513.269948788114,"[231, 323, 96, 97]"
KAB. BATANGHARI,1173.3871423525584,"[231, 232, 233, 234, 235]"
KAB. BUNGO,1306.1589749672385,"[231, 232, 233, 234, 235, 99]"
KAB. KERINCI,1258.2498395298949,"[231, 232, 176]"
KAB. MERANGIN,1189.5516158462601,"[231, 232, 176]"
KAB. MUARO JAMBI,1298.5285685569831,"[231, 232, 215, 142, 141, 140, 139, 138]"
KAB. SAROLANGUN,1201.4225802197839,"[231, 232, 233, 234, 159]"
KAB. TANJUNG JABUNG BARAT,1167.804321296946,"[231, 232, 215]"
KAB. TANJUNG JABUNG TIMUR,1111.310953718695,"[231, 232, 215]"
KAB. TEBO,1189.2060167795744,"[231, 125]"
KOTA JAMBI,1144.686379755803,"[231, 125]"
KOTA SUNGAI PENUH,1189.7978719158446,"[231, 125, 126]"
KAB. BENGKULU SELATAN,962.8196051603549,"[231, 232, 233]"
KAB. BENGKULU TENGAH,1062.7219480333606,"[231, 232, 233, 110]"
KAB. BENGKULU UTARA,1111.4935925864902,"[231, 230, 167, 168]"
KAB. KAUR,932.0895867847951,"[231, 230, 167, 168, 169, 187]"
KAB. KEPAHIANG,995.0870416988246,"[231, 230, 165, 164]"
KAB. LEBONG,1067.844414869708,"[231, 230, 165, 164, 114]"
KAB. MUKOMUKO,1170.3516521385536,"[231, 230, 165, 164, 114, 115]"
KAB. REJANG LEBONG,1149.33658395063,"[231, 125, 118]"
KAB. SELUMA,1082.9687876728735,"[231, 125]"
KOTA BENGKULU,1126.833117235053,"[231, 232, 233, 234, 159]"
KAB. BANYUASIN,937.684414979845,"[231, 232, 233, 153]"
KAB. EMPAT LAWANG,971.7816177820989,"[231, 230, 123, 122]"
KAB. LAHAT,919.9815267851696,"[231, 230, 123]"
KAB. MUARA ENIM,847.3415691112505,"[231, 230]"
KAB. MUSI BANYUASIN,980.7557171273096,"[231, 230, 123]"
