city,distance,through
KAB. ACEH BARAT,2024.3119530248355,"[197, 159, 158, 112]"
KAB. ACEH BARAT DAYA,2014.5621925887208,"[197, 198, 166, 165]"
KAB. ACEH BESAR,2127.904401570802,"[197, 159]"
KAB. ACEH JAYA,2060.8960566116666,"[197, 159, 65]"
KAB. ACEH SELATAN,1821.1645754370093,"[197, 159, 78]"
KAB. ACEH SINGKIL,1716.282394467136,"[197, 159, 104, 107, 72]"
KAB. ACEH TAMIANG,1893.107310934372,"[197, 196, 195, 86]"
KAB. ACEH TENGAH,1953.1137856956084,"[197, 159, 102, 101, 8]"
KAB. ACEH TENGGARA,1794.3057602140268,"[197, 159, 102, 101]"
KAB. ACEH TIMUR,1929.5839318863189,"[197, 159, 102, 101, 8]"
KAB. ACEH UTARA,1963.654030863297,"[197, 159, 104]"
KAB. BENER MERIAH,2002.7752325627978,"[197, 159, 104, 10]"
KAB. BIREUEN,2026.066065534871,"[197, 159, 104, 107, 44]"
KAB. GAYO LUES,1902.6178436166824,"[197, 159, 158, 112]"
KAB. NAGAN RAYA,1962.4517203720145,"[197, 159, 119]"
KAB. PIDIE,2079.7807159312647,"[197, 159, 30]"
KAB. PIDIE JAYA,2065.044890071711,"[197, 159, 78, 53]"
KAB. SIMEULUE,1881.729662013744,"[197, 159, 158, 112]"
KOTA BANDA ACEH,2208.099948419136,"[197, 196, 195, 38, 39]"
KOTA LANGSA,1946.672798773683,"[197, 226, 125]"
KOTA LHOKSEUMAWE,2005.2131432880522,"[197, 159, 30, 28]"
KOTA SABANG,2178.0300235009795,"[197, 159, 158]"
KOTA SUBULUSSALAM,1792.2867037701742,"[197, 159, 160, 131, 132]"
KAB. ASAHAN,1748.525665330876,"[197, 159, 158, 157, 24]"
KAB. BATUBARA,1706.193087530522,"[197, 159, 158, 157]"
KAB. DAIRI,1756.0488018036965,"[197, 226]"
KAB. DELI SERDANG,1727.5145928287911,"[197, 159, 30]"
KAB. HUMBANG HASUNDUTAN,1721.0843518380661,"[197, 159, 30, 29]"
KAB. KARO,1742.888431051713,"[197, 159, 30]"
KAB. LABUHANBATU,1542.7808235478221,"[197, 159, 30]"
KAB. LABUHANBATU SELATAN,1491.1752580920825,"[197, 159]"
KAB. LABUHANBATU UTARA,1556.5494537788773,"[197, 159, 30]"
KAB. LANGKAT,1794.0253558372915,"[197, 159, 30, 31]"
KAB. MANDAILING NATAL,1512.6279376897091,"[197, 226]"
KAB. NIAS,1648.192232044731,"[197, 159, 104, 107, 62]"
KAB. NIAS BARAT,1670.6680721585462,"[197, 159, 65, 49]"
KAB. NIAS SELATAN,1655.6110116964546,"[197, 159, 158, 157, 58]"
KAB. NIAS UTARA,1714.1985201843404,"[197, 159, 160, 57]"
