city,distance,through
KAB. ACEH BARAT,2791.0846700143393,[378]
KAB. ACEH BARAT DAYA,2819.171620582546,"[378, 400, 332, 331, 139, 140]"
KAB. ACEH BESAR,2966.0111163112606,"[378, 325, 4, 3]"
KAB. ACEH JAYA,2889.707642974162,"[378, 325, 4]"
KAB. ACEH SELATAN,2639.2424612145237,"[378, 325]"
KAB. ACEH SINGKIL,2682.5687096518104,"[378, 400, 332, 355, 74, 73, 72]"
KAB. ACEH TAMIANG,2597.663746046186,"[378, 325]"
KAB. ACEH TENGAH,2729.341271281963,"[378, 325, 6]"
KAB. ACEH TENGGARA,2710.2665350037137,"[378, 400, 336, 137]"
KAB. ACEH TIMUR,2682.917724188561,"[378, 400, 315]"
KAB. ACEH UTARA,2749.5078582770484,"[378, 400, 315, 9]"
KAB. BENER MERIAH,2788.238097814511,"[378, 400, 332, 355, 321, 320, 43, 42]"
KAB. BIREUEN,2795.565580503201,"[378, 400, 332]"
KAB. GAYO LUES,2781.735527692469,"[378, 400, 336, 137]"
KAB. NAGAN RAYA,2743.0040068011585,[378]
KAB. PIDIE,2865.029368885342,"[378, 14]"
KAB. PIDIE JAYA,2894.560765517923,"[378, 14, 15]"
KAB. SIMEULUE,2801.7069540671914,"[378, 325, 55]"
KOTA BANDA ACEH,2928.557072776294,"[378, 325, 6]"
KOTA LANGSA,2632.6164537748878,"[378, 400, 347]"
KOTA LHOKSEUMAWE,2754.0876752552645,"[378, 400, 347, 19]"
KOTA SABANG,2970.2352150239426,"[378, 400, 347, 19, 20]"
KOTA SUBULUSSALAM,2593.70790455988,"[378, 325, 88, 83]"
KAB. ASAHAN,2543.57313940086,"[378, 379, 394]"
KAB. BATUBARA,2516.3149383305704,"[378, 400, 332, 333, 334, 94, 93, 92]"
KAB. DAIRI,2551.718959780532,"[378, 400, 336]"
KAB. DELI SERDANG,2561.104288041221,"[378, 400, 332, 355, 321, 30]"
KAB. HUMBANG HASUNDUTAN,2511.851942940567,"[378, 400, 332, 331, 85]"
KAB. KARO,2547.8278498164714,"[378, 325, 55]"
KAB. LABUHANBATU,2376.370518760252,"[378, 400, 332, 355, 321, 30]"
KAB. LABUHANBATU SELATAN,2324.7649533045123,"[378, 400, 332, 355, 321]"
KAB. LABUHANBATU UTARA,2390.139148991307,"[378, 400, 332, 355, 321, 30]"
KAB. LANGKAT,2627.6150510497214,"[378, 400, 332, 355, 321, 30, 31]"
KAB. MANDAILING NATAL,2375.1332331817393,"[378, 325, 88]"
KAB. NIAS,2559.864892969059,"[378, 325, 88, 33]"
KAB. NIAS BARAT,2589.991013467905,"[378, 325, 88, 33, 34]"
KAB. NIAS SELATAN,2641.2287616077697,"[378, 325, 88, 33, 34, 35]"
KAB. NIAS UTARA,2649.695265502473,"[378, 325, 324, 323]"
KAB. PADANG LAWAS,2384.9973318852954,"[378, 400, 332, 333]"
KAB. PADANG LAWAS UTARA,2380.0417002472977,"[378, 400, 332, 355, 321, 84]"
KAB. PAKPAK BHARAT,2534.0839693569133,"[378, 325, 88]"
KAB. SAMOSIR,2559.1346958918634,"[378, 379]"
KAB. SERDANG BEDAGAI,2506.7800166227935,"[378, 400, 332, 355, 321, 320, 43]"
KAB. SIMALUNGUN,2459.8939510100063,"[378, 400, 332, 355, 321, 320]"
KAB. TAPANULI SELATAN,2407.7184851588036,"[378, 400, 347]"
KAB. TAPANULI TENGAH,2478.3626968854273,"[378, 400, 347, 44]"
