city,distance,through
KAB. ACEH BARAT,2025.0328781006574,"[198, 213, 214, 221, 153, 123, 62]"
KAB. ACEH BARAT DAYA,1917.1125942764481,"[198, 166, 165]"
KAB. ACEH BESAR,2133.7777358261437,"[198, 213, 214]"
KAB. ACEH JAYA,2074.350582881315,"[198, 213, 214, 221, 153]"
KAB. ACEH SELATAN,1830.5075490372865,"[198, 125, 70]"
KAB. ACEH SINGKIL,1710.0727046923366,"[198, 213, 214, 221, 153]"
KAB. ACEH TAMIANG,1837.7354913207803,"[198, 213, 214, 86]"
KAB. ACEH TENGAH,1964.8457816251946,"[198, 213, 214, 221, 153, 67, 8]"
KAB. ACEH TENGGARA,1806.037756143613,"[198, 213, 214, 221, 153, 67]"
KAB. ACEH TIMUR,1938.2362826246654,"[198, 125, 126, 109]"
KAB. ACEH UTARA,2004.826416713153,"[198, 125, 126, 109, 9]"
KAB. BENER MERIAH,1986.0210039179115,"[198, 125, 70]"
KAB. BIREUEN,2037.016177491533,"[198, 125, 70, 11]"
KAB. GAYO LUES,1887.882130663243,"[198, 125, 70]"
KAB. NAGAN RAYA,1955.5291863220614,"[198, 213, 214, 86, 25]"
KAB. PIDIE,2077.554548406245,"[198, 213, 214, 86, 25, 14]"
KAB. PIDIE JAYA,2091.0515364033126,"[198, 125, 107, 26]"
KAB. SIMEULUE,1909.4441067265018,"[198, 111, 112]"
KOTA BANDA ACEH,2168.6288180508877,"[198, 213, 214, 86, 6]"
KOTA LANGSA,1884.3941619097404,"[198, 169]"
KOTA LHOKSEUMAWE,2002.987228847482,"[198, 213, 214, 86, 25, 28]"
KOTA SABANG,2185.5544986491973,"[198, 213, 214, 2]"
KOTA SUBULUSSALAM,1777.6010583809461,"[198, 213, 214, 221, 168, 136]"
KAB. ASAHAN,1803.0472164803718,"[198, 213, 214, 221, 152, 157, 24]"
KAB. BATUBARA,1760.7146386800177,"[198, 213, 214, 221, 152, 157]"
KAB. DAIRI,1714.231482547731,"[198, 213, 214, 86]"
KAB. DELI SERDANG,1752.53206989017,"[198, 125, 107]"
KAB. HUMBANG HASUNDUTAN,1704.67046654991,"[198, 118, 117]"
KAB. KARO,1740.6625166111428,"[198, 213, 214, 86, 25]"
KAB. LABUHANBATU,1589.42957127627,"[198, 166, 84, 30]"
KAB. LABUHANBATU SELATAN,1537.8240058205304,"[198, 166, 84]"
KAB. LABUHANBATU UTARA,1530.6722793055458,[198]
KAB. LANGKAT,1768.1481813639602,"[198, 31]"
KAB. MANDAILING NATAL,1505.2625012118128,"[198, 166, 165, 164, 144]"
KAB. NIAS,1647.2431270670088,"[198, 213, 214, 221, 153, 123, 62]"
KAB. NIAS BARAT,1677.369247565855,"[198, 213, 214, 221, 153, 123, 62, 34]"
KAB. NIAS SELATAN,1643.5840221495614,"[198, 169, 187, 58]"
KAB. NIAS UTARA,1678.8712271962745,"[198, 213, 57]"
KAB. PADANG LAWAS,1504.960724703783,"[198, 213, 214, 134, 133]"
KAB. PADANG LAWAS UTARA,1527.0775051358887,"[198, 169, 187]"
KAB. PAKPAK BHARAT,1715.073759840287,"[198, 213, 214, 41]"
KAB. SAMOSIR,1650.4041476703262,"[198, 213, 214]"
KAB. SERDANG BEDAGAI,1717.1635809991926,"[198, 169, 187, 149]"
KAB. SIMALUNGUN,1687.9308618140205,"[198, 169, 187, 39]"
KAB. TAPANULI SELATAN,1557.855121690877,"[198, 125, 107]"
KAB. TAPANULI TENGAH,1624.4863015222845,"[198, 213, 46]"
KAB. TAPANULI UTARA,1575.4919173707701,"[198, 213]"
KAB. TOBA SAMOSIR,1615.1657895874746,"[198, 213, 46]"
KOTA BINJAI,1779.9671601063064,"[198, 213, 46, 47]"
KOTA GUNUNGSITOLI,1702.8759968722172,"[198, 118, 66, 65]"
KOTA MEDAN,1792.8373845261253,"[198, 213, 214, 221, 168]"
KOTA PADANGSIDEMPUAN,1572.3407613295076,"[198, 111, 74]"
KOTA PEMATANGSIANTAR,1685.823552376824,"[198, 213, 214, 221, 153, 123]"
KOTA SIBOLGA,1641.2936992720674,"[198, 166, 165, 164, 144, 77, 78]"
KOTA TANJUNGBALAI,1641.879543207589,"[198, 125, 107]"
KOTA TEBING TINGGI,1723.6162908791473,"[198, 125, 107, 54]"
KAB. AGAM,1326.2243644661555,"[198, 213, 57]"
KAB. DHARMASRAYA,1137.409524479047,"[198, 213]"
KAB. KEPULAUAN MENTAWAI,1376.7781046371483,"[198, 169, 187]"
KAB. LIMA PULUH KOTA,1350.1870641599162,"[198, 125, 126, 109]"
KAB. PADANG PARIAMAN,1331.8924798655157,"[198, 213, 214, 134, 133]"
KAB. PASAMAN,1363.9601398719014,"[198, 125]"
KAB. PASAMAN BARAT,1415.8639786363444,"[198, 213, 214, 221, 153, 123]"
KAB. PESISIR SELATAN,1213.4202961328429,"[198, 166, 165, 164, 144, 145]"
KAB. SIJUNJUNG,1300.2615348766299,"[198, 118, 66, 65]"
KAB. SOLOK,1261.3372410923237,"[198, 118, 66]"
KAB. SOLOK SELATAN,1197.0043820176716,"[198, 118]"
KAB. TANAH DATAR,1277.1997246316591,"[198, 213, 214, 221, 153]"
KOTA BUKITTINGGI,1306.07255605358,"[198, 213, 214, 221, 153, 67]"
KOTA PADANG,1286.3599742640788,"[198, 166, 165, 164]"
KOTA PADANGPANJANG,1290.9708792962779,"[198, 125]"
KOTA PARIAMAN,1307.951595636467,"[198, 213, 214]"
KOTA PAYAKUMBUH,1315.7193482833227,"[198, 125, 107]"
KOTA SAWAHLUNTO,1301.5904915386204,"[198, 111, 74]"
KOTA SOLOK,1287.1464196783436,"[198, 111]"
KAB. BENGKALIS,1380.2872196435887,"[198, 213, 214, 215, 76]"
KAB. INDRAGIRI HILIR,1149.1908040704152,"[198, 213, 214, 215]"
KAB. INDRAGIRI HULU,1167.136626004778,"[198, 166, 165, 164, 144]"
KAB. KAMPAR,1323.3703729779816,"[198, 166, 165, 164, 144, 77]"
KAB. KEPULAUAN MERANTI,1280.549323889208,"[198, 166]"
KAB. KUANTAN SINGINGI,1391.283296811008,"[198, 111, 74]"
KAB. PELALAWAN,1294.322185713353,"[198, 213, 57]"
KAB. ROKAN HILIR,1503.8228763627042,"[198, 213, 214, 134]"
KAB. ROKAN HULU,1474.5452892831695,"[198, 166, 84]"
KAB. SIAK,1321.393636058448,"[198, 166]"
KOTA DUMAI,1402.8022104151337,"[198, 213, 214, 86]"
KOTA PEKANBARU,1273.7631393730724,"[198, 213, 214]"
KAB. BINTAN,1306.8497835033838,"[198, 169, 187, 149, 139]"
KAB. KARIMUN,1314.3910779982257,"[198, 125, 108]"
KAB. KEPULAUAN ANAMBAS,1470.4697883563156,"[198, 169, 187, 149, 90]"
KAB. LINGGA,1049.8463852177224,"[198, 169, 187, 149]"
KAB. NATUNA,1562.536759190005,"[198, 213, 214, 215, 142, 141, 140]"
KOTA BATAM,1213.6329290418391,"[198, 213, 214, 221, 153, 120]"
KOTA TANJUNG PINANG,1265.2808291058277,"[198, 213, 214, 221, 153, 120, 92]"
