city,distance,through
KAB. ACEH BARAT,1063.0834342116182,"[99, 100]"
KAB. ACEH BARAT DAYA,1182.7752308447864,"[99, 100, 0]"
KAB. ACEH BESAR,1232.2161722646854,"[99, 64, 65, 3]"
KAB. ACEH JAYA,1155.9126989275867,"[99, 64, 65]"
KAB. ACEH SELATAN,1034.8003881074442,"[99, 79, 78]"
KAB. ACEH SINGKIL,918.4659828781354,"[99, 64, 65, 66]"
KAB. ACEH TAMIANG,1097.1157021987874,"[99, 29, 38]"
KAB. ACEH TENGAH,1058.5040766957814,"[99, 100, 101, 8]"
KAB. ACEH TENGGARA,899.6960512141999,"[99, 100, 101]"
KAB. ACEH TIMUR,1034.9742228864918,"[99, 100, 101, 8]"
KAB. ACEH UTARA,1101.5643569749795,"[99, 100, 101, 8, 9]"
KAB. BENER MERIAH,1095.7945681526915,"[99, 13, 12]"
KAB. BIREUEN,1044.79939457907,"[99, 13]"
KAB. GAYO LUES,895.592233879178,[99]
KAB. NAGAN RAYA,992.6870709641968,"[99, 13]"
KAB. PIDIE,1114.7124330483803,"[99, 13, 14]"
KAB. PIDIE JAYA,1095.3550103478883,"[99, 29]"
KAB. SIMEULUE,1169.4557627710715,"[99, 64, 65, 66, 58]"
KOTA BANDA ACEH,1402.3378944574285,"[99, 29, 38, 39]"
KOTA LANGSA,1087.710315494392,"[99, 100, 37]"
KOTA LHOKSEUMAWE,1045.0422265858244,"[99, 29, 28]"
KOTA SABANG,1261.1897663545026,"[99, 29, 28, 20]"
KOTA SUBULUSSALAM,825.7046909670471,"[99, 29, 27]"
KAB. ASAHAN,932.8179943856506,"[99, 64, 50]"
KAB. BATUBARA,915.657277972163,"[99, 29, 25]"
KAB. DAIRI,774.2971065588297,"[99, 29]"
KAB. DELI SERDANG,842.7505663296721,"[99, 29, 30]"
KAB. HUMBANG HASUNDUTAN,733.1091944274679,"[99, 29]"
KAB. KARO,782.7175143494853,"[99, 29]"
KAB. LABUHANBATU,554.8056661372237,[99]
KAB. LABUHANBATU SELATAN,606.4112315929634,"[99, 29]"
KAB. LABUHANBATU UTARA,671.7854272797582,"[99, 29, 30]"
KAB. LANGKAT,909.2613293381726,"[99, 29, 30, 31]"
KAB. MANDAILING NATAL,693.386539596673,"[99, 64, 63]"
KAB. NIAS,795.8108349733124,"[99, 64, 65, 49, 35]"
KAB. NIAS BARAT,765.6847144744663,"[99, 64, 65, 49]"
KAB. NIAS SELATAN,813.9549594942172,"[99, 100, 37]"
KAB. NIAS UTARA,730.9154117108735,"[99, 100]"
KAB. PADANG LAWAS,696.7375806466503,"[99, 29]"
KAB. PADANG LAWAS UTARA,751.307065649126,"[99, 29, 38]"
KAB. PAKPAK BHARAT,939.7656352954225,"[99, 29, 38, 39]"
KAB. SAMOSIR,908.8489065381565,"[99, 64, 63, 51]"
KAB. SERDANG BEDAGAI,882.3634911228896,"[99, 79, 44, 43]"
KAB. SIMALUNGUN,835.4774255101024,"[99, 79, 44]"
KAB. TAPANULI SELATAN,679.7266917590689,"[99, 79]"
KAB. TAPANULI TENGAH,750.3709034856926,"[99, 79, 44]"
KAB. TAPANULI UTARA,795.3866120971895,"[99, 79, 78]"
KAB. TOBA SAMOSIR,835.060484313894,"[99, 79, 78, 46]"
KOTA BINJAI,954.0623755402025,"[99, 79, 44, 43, 52]"
KOTA GUNUNGSITOLI,732.3134590950227,"[99, 64, 65]"
KOTA MEDAN,795.4051785422159,"[99, 64]"
KOTA PADANGSIDEMPUAN,759.4000745860749,"[99, 64, 63]"
KOTA PEMATANGSIANTAR,858.8591116509988,"[99, 79, 44, 43]"
KOTA SIBOLGA,800.2240872167581,"[99, 64, 65, 66]"
KOTA TANJUNGBALAI,966.4442541454382,"[99, 29, 28, 55]"
KOTA TEBING TINGGI,884.7075064738799,"[99, 29, 28]"
KAB. AGAM,777.5452042250247,"[99, 100, 101, 81, 57]"
KAB. DHARMASRAYA,588.7303642379161,"[99, 100, 101, 81]"
KAB. KEPULAUAN MENTAWAI,613.8811672374836,"[99, 64, 65, 66]"
KAB. LIMA PULUH KOTA,627.5320233768463,"[99, 79, 61]"
KAB. PADANG PARIAMAN,670.7314812699574,"[99, 79, 61]"
KAB. PASAMAN,584.3443064888818,"[99, 79]"
KAB. PASAMAN BARAT,628.4768098599164,"[99, 64, 63]"
KAB. PESISIR SELATAN,371.15730350261913,"[99, 64]"
KAB. SIJUNJUNG,251.85040953082296,[99]
KAB. SOLOK,290.7747033151291,"[99, 64]"
KAB. SOLOK SELATAN,355.10756238978115,"[99, 64, 65]"
KAB. TANAH DATAR,483.6025710509347,"[99, 64, 65, 66]"
KOTA BUKITTINGGI,512.4754024728556,"[99, 64, 65, 66, 67]"
KOTA PADANG,584.0940670270612,"[99, 64, 65, 66, 67, 68]"
KOTA PADANGPANJANG,596.066956506244,"[99, 64, 63, 74, 73, 71]"
KOTA PARIAMAN,560.7032545853419,"[99, 64, 63, 74, 73]"
KOTA PAYAKUMBUH,539.6028009134209,"[99, 64, 63]"
KOTA SAWAHLUNTO,492.6793027120535,"[99, 64, 63, 74]"
KOTA SOLOK,478.23523085177663,"[99, 64, 63]"
KAB. BENGKALIS,745.417024192606,"[99, 64, 63, 74]"
KAB. INDRAGIRI HILIR,745.2879663405455,"[99, 79, 78, 77]"
KAB. INDRAGIRI HULU,640.4772983211436,"[99, 79, 78]"
KAB. KAMPAR,484.2435513479401,"[99, 79]"
KAB. KEPULAUAN MERANTI,295.9695211474135,[99]
KAB. KUANTAN SINGINGI,493.67221990266364,"[99, 79]"
KAB. PELALAWAN,431.81770300360995,"[99, 100, 101]"
KAB. ROKAN HILIR,664.1779683457767,"[99, 100, 101, 81]"
KAB. ROKAN HULU,739.7510767027934,"[99, 79, 78, 84]"
KAB. SIAK,586.5994234780719,"[99, 79, 78]"
KOTA DUMAI,691.4226853155632,"[99, 79, 78, 84]"
KOTA PEKANBARU,694.0018489552044,"[99, 87]"
KAB. BINTAN,347.01637399156334,[99]
KAB. KARIMUN,475.0595725176407,"[99, 87]"
KAB. KEPULAUAN ANAMBAS,835.47716349331,"[99, 87, 88]"
KAB. LINGGA,1086.1859501167824,"[99, 100, 101, 102, 149]"
KAB. NATUNA,1356.7593913419196,"[99, 64, 65, 93, 92]"
KOTA BATAM,791.8171736944519,"[99, 64, 65, 93]"
KOTA TANJUNG PINANG,740.1692736304633,"[99, 64, 65]"
PULAU TAMBELAN KAB. BINTAN,1058.8698557817524,"[99, 64, 65, 93]"
PEKAJANG KAB. LINGGA,1265.8286551792041,"[99, 64, 65, 66, 58]"
PULAU SERASAN KAB. NATUNA,1239.9713257093804,"[99, 98, 97]"
PULAU MIDAI KAB. NATUNA,1088.5547131137644,"[99, 98]"
PULAU LAUT KAB. NATUNA,896.9132825778454,[99]
KAB. BATANGHARI,0.0,[]
KAB. BUNGO,132.77183261468008,[99]
KAB. KERINCI,189.56629465597405,"[99, 100]"
KAB. MERANGIN,259.0421446598859,"[99, 100, 101]"
KAB. MUARO JAMBI,475.0698353542725,"[99, 100, 101, 102]"
KAB. SAROLANGUN,625.1109056113472,"[99, 100, 101, 102, 103]"
KAB. TANJUNG JABUNG BARAT,578.160824301347,"[99, 100, 101, 102, 106]"
KAB. TANJUNG JABUNG TIMUR,495.9132219877361,"[99, 100, 101, 102]"
KAB. TEBO,660.838465246605,"[99, 100, 101, 102, 106]"
KOTA JAMBI,596.3965971388461,"[99, 79]"
KOTA SUNGAI PENUH,804.5772763580356,"[99, 100, 101, 118, 125, 126]"
KAB. BENGKULU SELATAN,831.6265576296985,"[99, 155, 132]"
KAB. BENGKULU TENGAH,854.7792966246766,"[99, 64, 63, 74]"
KAB. BENGKULU UTARA,839.6323774851599,"[99, 155, 156]"
KAB. KAUR,984.6041067011238,"[99, 64, 63, 74]"
KAB. KEPAHIANG,863.7716710883037,"[99, 64, 63, 74]"
KAB. LEBONG,803.154944148198,"[99, 100, 101, 118, 117, 116]"
KAB. MUKOMUKO,700.6477068793524,"[99, 100, 101, 118, 117]"
KAB. REJANG LEBONG,536.710797369371,"[99, 100, 101, 118]"
KAB. SELUMA,470.3430010916146,"[99, 100, 101]"
KOTA BENGKULU,528.1300212658144,"[99, 100, 101, 118]"
KAB. BANYUASIN,567.261194062279,"[99, 100, 101]"
KAB. EMPAT LAWANG,807.840335464891,"[99, 100, 101, 120]"
KAB. LAHAT,839.3071089179341,"[99, 155, 154, 153, 123]"
KAB. MUARA ENIM,766.6671512440149,"[99, 155, 154, 153]"
KAB. MUSI BANYUASIN,657.5709193526477,"[99, 64, 65, 66]"
KAB. MUSI RAWAS,584.0455966033396,"[99, 100, 101, 118]"
KAB. MUSI RAWAS UTARA,637.3832087223193,"[99, 100, 101, 118, 125]"
