city,distance,through
KAB. ACEH BARAT,1746.0136192934601,"[169, 187, 113, 114, 115, 62]"
KAB. ACEH BARAT DAYA,1795.2661804301852,"[169, 187, 149, 139, 140]"
KAB. ACEH BESAR,1840.8967006680111,"[169, 187]"
KAB. ACEH JAYA,1780.6127821888044,"[169, 187, 149, 4]"
KAB. ACEH SELATAN,1530.147600429166,"[169, 187, 149]"
KAB. ACEH SINGKIL,1465.1363296901177,"[169, 187, 113, 74, 73, 72]"
KAB. ACEH TAMIANG,1628.053800874493,"[169, 187, 113, 114, 115, 116, 69, 70]"
KAB. ACEH TENGAH,1657.1450017658794,"[169, 187, 8]"
KAB. ACEH TENGGARA,1498.3369762842979,"[169, 187]"
KAB. ACEH TIMUR,1633.61514795659,"[169, 187, 8]"
KAB. ACEH UTARA,1700.2052820450776,"[169, 187, 8, 9]"
KAB. BENER MERIAH,1682.0061840341664,"[169, 187, 149, 42]"
KAB. BIREUEN,1733.001357607788,"[169, 187, 149, 42, 11]"
KAB. GAYO LUES,1625.1367564342186,"[169, 187, 113, 112]"
KAB. NAGAN RAYA,1722.2315935192373,"[169, 187, 113, 112, 13]"
KAB. PIDIE,1774.921995240162,"[169, 187]"
KAB. PIDIE JAYA,1804.2231672210692,"[169, 187, 113, 74]"
KAB. SIMEULUE,1604.2485748312802,"[169, 187, 113, 112]"
KOTA BANDA ACEH,1861.4928557874473,"[169, 187, 39]"
KOTA LANGSA,1567.7786837529966,[169]
KOTA LHOKSEUMAWE,1689.2499052333733,"[169, 19]"
KOTA SABANG,1892.6734634910647,"[169, 187, 2]"
KOTA SUBULUSSALAM,1483.3055964426585,"[169, 170, 136]"
KAB. ASAHAN,1627.4962544454443,"[169, 187, 149, 102, 50]"
KAB. BATUBARA,1636.9016914620784,"[169, 170, 182, 194, 195, 153, 120, 92]"
KAB. DAIRI,1524.6190388659213,"[169, 187, 39, 38]"
KAB. DELI SERDANG,1499.7131269115914,"[169, 187, 113, 51]"
KAB. HUMBANG HASUNDUTAN,1524.8284143140254,"[169, 170, 182, 194, 117]"
KAB. KARO,1540.2738446081812,"[169, 187, 56, 55]"
KAB. LABUHANBATU,1355.3681527180493,"[169, 187, 113, 114, 115, 116, 69, 70, 30]"
KAB. LABUHANBATU SELATAN,1303.7625872623096,"[169, 187, 113, 114, 115, 116, 69, 70]"
KAB. LABUHANBATU UTARA,1369.1367829491044,"[169, 187, 113, 114, 115, 116, 69, 70, 30]"
KAB. LANGKAT,1571.6010867988587,"[169, 187, 113, 114, 45]"
KAB. MANDAILING NATAL,1210.068165023692,"[169, 170]"
KAB. NIAS,1361.8431463107258,"[169, 187, 113, 114, 115, 116, 69]"
KAB. NIAS BARAT,1378.2062921326824,"[169, 187, 58, 36]"
KAB. NIAS SELATAN,1326.9685439928176,"[169, 187, 58]"
KAB. NIAS UTARA,1410.0080917761613,"[169, 187, 58, 36]"
KAB. PADANG LAWAS,1265.0315119816207,"[169, 187, 39]"
KAB. PADANG LAWAS UTARA,1210.4620269791449,"[169, 187]"
KAB. PAKPAK BHARAT,1398.9205966254415,"[169, 187, 39]"
KAB. SAMOSIR,1412.8275889374931,"[169, 187, 113, 51]"
KAB. SERDANG BEDAGAI,1400.5481028424488,"[169, 187, 149]"
KAB. SIMALUNGUN,1371.3153836572767,"[169, 187, 39]"
