city,distance,through
KAB. ACEH BARAT,1574.4031802032348,"[142, 141, 140, 1]"
KAB. ACEH BARAT DAYA,1454.7113835700666,"[142, 141, 140]"
KAB. ACEH BESAR,1705.006225773597,"[142, 141, 140, 1]"
KAB. ACEH JAYA,1689.2103860907703,"[142, 141, 73, 67]"
KAB. ACEH SELATAN,1451.8230270142162,"[142, 141, 73, 72, 5]"
KAB. ACEH SINGKIL,1331.152302073635,"[142, 141, 73, 72]"
KAB. ACEH TAMIANG,1397.4322664389922,"[142, 86]"
KAB. ACEH TENGAH,1529.1097916747694,"[142, 86, 6]"
KAB. ACEH TENGGARA,1416.3344121374375,"[142, 141, 73, 67]"
KAB. ACEH TIMUR,1551.6125838097296,"[142, 141, 73, 67, 8]"
KAB. ACEH UTARA,1618.2027178982173,"[142, 141, 73, 67, 8, 9]"
KAB. BENER MERIAH,1620.752200371462,"[142, 141, 73, 71]"
KAB. BIREUEN,1671.7473739450836,"[142, 141, 73, 71, 11]"
KAB. GAYO LUES,1559.0893170314448,"[142, 141, 73, 71, 70]"
KAB. NAGAN RAYA,1515.2259614402733,"[142, 86, 25]"
KAB. PIDIE,1632.9133020565168,"[142, 141, 140]"
KAB. PIDIE JAYA,1662.4446986890973,"[142, 141, 140, 15]"
KAB. SIMEULUE,1587.80053778915,"[142, 109, 59]"
KOTA BANDA ACEH,1728.3255931690999,"[142, 86, 6]"
KOTA LANGSA,1649.3842986374898,"[142, 57, 37]"
KOTA LHOKSEUMAWE,1562.6840039656938,"[142, 86, 25, 28]"
KOTA SABANG,1754.0332507067305,"[142, 143, 22]"
KOTA SUBULUSSALAM,1298.3515219188375,"[142, 143]"
KAB. ASAHAN,1457.6210068796304,"[142, 86, 25, 24]"
KAB. BATUBARA,1415.2884290792763,"[142, 86, 25]"
KAB. DAIRI,1273.928257665943,"[142, 86]"
KAB. DELI SERDANG,1352.3586498135046,"[142, 86, 25]"
KAB. HUMBANG HASUNDUTAN,1282.3141466593572,"[142, 86, 85]"
KAB. KARO,1300.3592917293547,"[142, 86, 25]"
KAB. LABUHANBATU,1165.4213675150759,"[142, 141, 140, 139]"
KAB. LABUHANBATU SELATAN,1209.4896282448867,"[142, 57, 81]"
KAB. LABUHANBATU UTARA,1274.8638239316815,"[142, 57, 81, 30]"
KAB. LANGKAT,1489.3032867643583,"[142, 141, 73, 46, 45]"
KAB. MANDAILING NATAL,1283.9344211008606,"[142, 144]"
KAB. NIAS,1343.6117198985853,"[142, 109, 59, 62]"
KAB. NIAS BARAT,1370.3856145912632,"[142, 57, 58, 36]"
KAB. NIAS SELATAN,1319.1478664513984,"[142, 57, 58]"
KAB. NIAS UTARA,1292.5893948539713,"[142, 57]"
KAB. PADANG LAWAS,1307.3532820245023,"[142, 141, 140, 139, 29]"
KAB. PADANG LAWAS UTARA,1322.4426851969456,"[142, 86, 85, 84]"
KAB. PAKPAK BHARAT,1352.9908458948742,"[142, 141, 73, 72, 41]"
KAB. SAMOSIR,1288.3212337249133,"[142, 141, 73, 72]"
KAB. SERDANG BEDAGAI,1372.5507265561507,"[142, 141, 73, 72, 41]"
KAB. SIMALUNGUN,1360.9291088394625,"[142, 141, 73, 74, 51, 52]"
KAB. TAPANULI SELATAN,1313.9625805098262,"[142, 141, 140, 123, 124]"
KAB. TAPANULI TENGAH,1260.86558158406,"[142, 141, 73, 46]"
KAB. TAPANULI UTARA,1211.8711974325456,"[142, 141, 73]"
KAB. TOBA SAMOSIR,1251.54506964925,"[142, 141, 73, 46]"
KOTA BINJAI,1404.8477439299984,"[142, 57, 56]"
KOTA GUNUNGSITOLI,1375.846379925873,"[142, 141, 140, 139, 138, 103, 65]"
KOTA MEDAN,1414.4662528643823,"[142, 141, 73, 74, 51]"
KOTA PADANGSIDEMPUAN,1158.4288253817301,"[142, 141, 73, 74]"
KOTA PEMATANGSIANTAR,1337.5474226985662,"[142, 141, 73, 74, 51]"
KOTA SIBOLGA,1352.715415472921,"[142, 141, 140, 139, 138, 137, 78]"
KOTA TANJUNGBALAI,1241.7071655211396,"[142, 141, 140, 139, 138]"
KOTA TEBING TINGGI,1321.7328608585592,"[142, 141, 140, 139]"
KAB. AGAM,939.9425321238524,"[142, 57]"
KAB. DHARMASRAYA,751.1276921367438,[142]
KAB. KEPULAUAN MENTAWAI,1052.3419489389853,"[142, 57]"
KAB. LIMA PULUH KOTA,1011.3089227138273,"[142, 109]"
KAB. PADANG PARIAMAN,1089.4113270399787,"[142, 109, 59]"
KAB. PASAMAN,1054.496639601792,"[142, 109, 59]"
KAB. PASAMAN BARAT,1112.232571467921,"[142, 109, 59]"
KAB. PESISIR SELATAN,980.3124110797237,"[142, 141, 73, 74]"
KAB. SIJUNJUNG,973.2319179302856,"[142, 141, 140, 139, 138, 103, 65]"
KAB. SOLOK,934.3076241459794,"[142, 141, 140, 139, 138, 103]"
KAB. SOLOK SELATAN,942.0341883442959,"[142, 141, 140, 123, 124]"
KAB. TANAH DATAR,887.4963806254837,"[142, 141, 73]"
KOTA BUKITTINGGI,916.3692120474046,"[142, 141, 73, 67]"
KOTA PADANG,987.9878766016102,"[142, 141, 73, 67, 68]"
KOTA PADANGPANJANG,962.1780656644796,"[142, 141, 73, 71]"
KOTA PARIAMAN,926.8143637435776,"[142, 141, 73]"
KOTA PAYAKUMBUH,910.5492007899207,"[142, 141, 73]"
KOTA SAWAHLUNTO,858.7904118702892,"[142, 141]"
KOTA SOLOK,873.2344837305661,"[142, 141, 73]"
KAB. BENGKALIS,1140.4162770713956,"[142, 141, 73, 74]"
KAB. INDRAGIRI HILIR,1050.6192139132277,"[142, 144, 77]"
KAB. INDRAGIRI HULU,945.8085458938257,"[142, 144]"
KAB. KAMPAR,1034.7920891788353,"[142, 141, 140, 139, 138, 137]"
KAB. KEPULAUAN MERANTI,1121.0148440253881,"[142, 144, 145]"
KAB. KUANTAN SINGINGI,977.3713608632306,"[142, 141, 73, 74]"
KAB. PELALAWAN,908.04035337105,"[142, 57]"
KAB. ROKAN HILIR,958.2276597992349,[142]
KAB. ROKAN HULU,1036.5495948594178,"[142, 82]"
KAB. SIAK,1067.322247370837,"[142, 86, 85]"
KOTA DUMAI,962.4989855333456,"[142, 86]"
KOTA PEKANBARU,833.4599144912843,[142]
KAB. BINTAN,741.6835062917874,"[142, 141, 140, 139]"
KAB. KARIMUN,869.7267048178646,"[142, 141, 140, 139, 87]"
KAB. KEPULAUAN ANAMBAS,923.4936550942277,"[142, 143, 90]"
KAB. LINGGA,502.87025195563456,"[142, 143]"
KAB. NATUNA,969.0459691796465,"[142, 141, 140]"
KOTA BATAM,1227.2141587990097,"[142, 130, 125, 108, 93]"
KOTA TANJUNG PINANG,1175.5662587350212,"[142, 130, 125, 108]"
PULAU TAMBELAN KAB. BINTAN,1157.9476756019096,"[142, 141, 140, 123]"
PEKAJANG KAB. LINGGA,1094.1145001092725,"[142, 110]"
PULAU SERASAN KAB. NATUNA,1094.75494168605,"[142, 141, 140, 139, 138, 323]"
PULAU MIDAI KAB. NATUNA,1246.171554281666,"[142, 141, 140, 139, 138, 323, 96]"
PULAU LAUT KAB. NATUNA,1437.812984817585,"[142, 141, 140, 139, 138, 323, 96, 97]"
KAB. BATANGHARI,1077.0238141331697,"[142, 141, 140, 139, 138, 103, 102, 101, 100]"
KAB. BUNGO,944.2519815184895,"[142, 141, 140, 139, 138, 103, 102, 101]"
KAB. KERINCI,887.4575194771955,"[142, 141, 140, 139, 138, 103, 102]"
KAB. MERANGIN,817.9816694732838,"[142, 141, 140, 139, 138, 103]"
