city,distance,through
KAB. ACEH BARAT,1960.4744780334959,"[315, 64, 63, 62]"
KAB. ACEH BARAT DAYA,1923.9900963433752,"[315, 142, 141, 140]"
KAB. ACEH BESAR,1825.7605899571367,"[315, 22, 21]"
KAB. ACEH JAYA,1878.741467636853,"[315, 64, 65]"
KAB. ACEH SELATAN,1671.5714201300643,"[315, 6, 5]"
KAB. ACEH SINGKIL,1550.9006951894828,"[315, 6]"
KAB. ACEH TAMIANG,1342.016933998833,[315]
KAB. ACEH TENGAH,1473.6944592346103,"[315, 6]"
KAB. ACEH TENGGARA,1527.6453576258773,"[315, 9]"
KAB. ACEH TIMUR,1392.3671859535852,[315]
KAB. ACEH UTARA,1458.957320042073,"[315, 9]"
KAB. BENER MERIAH,1498.0785217415737,"[315, 9, 10]"
KAB. BIREUEN,1549.0736953151952,"[315, 9, 10, 11]"
KAB. GAYO LUES,1698.2808560150872,"[315, 9, 10, 11, 12]"
KAB. NAGAN RAYA,1771.7329687433614,"[315, 49, 25]"
KAB. PIDIE,1660.3217383890562,"[315, 22]"
KAB. PIDIE JAYA,1689.8531350216367,"[315, 22, 15]"
KAB. SIMEULUE,1892.284531480338,"[315, 64, 65, 66, 58]"
KOTA BANDA ACEH,1672.9102607289408,"[315, 6]"
KOTA LANGSA,1683.4406588636498,"[315, 6, 7, 20]"
KOTA LHOKSEUMAWE,1561.969437383273,"[315, 6, 7]"
KOTA SABANG,1773.9838271340832,"[315, 22]"
KOTA SUBULUSSALAM,1318.3020983461902,[315]
KAB. ASAHAN,1509.5165032378454,"[315, 22]"
KAB. BATUBARA,1551.8490810381995,"[315, 22, 23]"
KAB. DAIRI,1530.435264969031,"[315, 49]"
KAB. DELI SERDANG,1547.4889270049307,"[315, 22, 27]"
KAB. HUMBANG HASUNDUTAN,1410.8975948857694,"[315, 22]"
KAB. KARO,1517.2970328448664,"[315, 22, 27]"
KAB. LABUHANBATU,1589.2011231760134,"[315, 22, 27]"
KAB. LABUHANBATU SELATAN,1580.9888054083042,"[315, 64, 63, 74, 73, 71, 70]"
KAB. LABUHANBATU UTARA,1646.363001095099,"[315, 64, 63, 74, 73, 71, 70, 30]"
KAB. LANGKAT,1782.761851146588,"[315, 64, 63, 33]"
KAB. MANDAILING NATAL,1416.2153083059393,"[315, 64, 63]"
KAB. NIAS,1403.2300877071332,"[315, 49, 35]"
KAB. NIAS BARAT,1373.103967208287,"[315, 49]"
KAB. NIAS SELATAN,1424.3417153481519,"[315, 49, 35]"
KAB. NIAS UTARA,1507.3812631314956,"[315, 49, 35, 36]"
KAB. PADANG LAWAS,1568.011460390494,"[315, 64, 63, 33, 39]"
KAB. PADANG LAWAS UTARA,1513.4419753880181,"[315, 64, 63, 33]"
KAB. PAKPAK BHARAT,1696.3472874173838,"[315, 64, 63, 51, 41]"
KAB. SAMOSIR,1631.677675247423,"[315, 64, 63, 51]"
KAB. SERDANG BEDAGAI,1715.9071680786603,"[315, 64, 63, 51, 41]"
KAB. SIMALUNGUN,1674.1418890654534,"[315, 49, 35, 34]"
KAB. TAPANULI SELATAN,1688.2274528617145,"[315, 64, 63, 74, 73, 46, 45]"
KAB. TAPANULI TENGAH,1617.583241135091,"[315, 64, 63, 74, 73, 46]"
KAB. TAPANULI UTARA,1568.5888569835765,"[315, 64, 63, 74, 73]"
KAB. TOBA SAMOSIR,1608.262729200281,"[315, 64, 63, 74, 73, 46]"
KOTA BINJAI,1617.2644616802152,"[315, 49]"
KOTA GUNUNGSITOLI,1339.7327118288433,[315]
KOTA MEDAN,1518.2339472514823,"[315, 64]"
KOTA PADANGSIDEMPUAN,1482.2288432953414,"[315, 64, 63]"
KOTA PEMATANGSIANTAR,1661.3474406121775,"[315, 64, 63, 51]"
KOTA SIBOLGA,1523.0528559260247,"[315, 64, 65, 66]"
KOTA TANJUNGBALAI,1700.1509971593387,"[315, 64, 65, 66, 53]"
KOTA TEBING TINGGI,1619.287024969261,"[315, 22, 27, 28]"
KAB. AGAM,1409.221244897161,"[315, 142, 57]"
KAB. DHARMASRAYA,1220.4064049100523,"[315, 142]"
KAB. KEPULAUAN MENTAWAI,1336.7099359467502,"[315, 64, 65, 66]"
KAB. LIMA PULUH KOTA,1367.5992862993253,"[315, 64, 63, 61]"
KAB. PADANG PARIAMAN,1410.7987441924363,"[315, 64, 63, 61]"
KAB. PASAMAN,1324.4115694113607,"[315, 64, 63]"
KAB. PASAMAN BARAT,1351.305578569183,"[315, 64, 63]"
KAB. PESISIR SELATAN,1093.9860722118856,"[315, 64]"
KAB. SIJUNJUNG,974.6791782400894,[315]
KAB. SOLOK,1013.6034720243956,"[315, 64]"
KAB. SOLOK SELATAN,1077.9363310990477,"[315, 64, 65]"
KAB. TANAH DATAR,1206.4313397602014,"[315, 64, 65, 66]"
KOTA BUKITTINGGI,1235.3041711821222,"[315, 64, 65, 66, 67]"
KOTA PADANG,1306.9228357363277,"[315, 64, 65, 66, 67, 68]"
KOTA PADANGPANJANG,1318.8957252155105,"[315, 64, 63, 74, 73, 71]"
KOTA PARIAMAN,1283.5320232946085,"[315, 64, 63, 74, 73]"
KOTA PAYAKUMBUH,1262.4315696226872,"[315, 64, 63]"
KOTA SAWAHLUNTO,1215.50807142132,"[315, 64, 63, 74]"
KOTA SOLOK,1201.0639995610431,"[315, 64, 63]"
KAB. BENGKALIS,1468.2457929018724,"[315, 64, 63, 74]"
KAB. INDRAGIRI HILIR,1519.897926686536,"[315, 142, 144, 77]"
KAB. INDRAGIRI HULU,1415.0872586671342,"[315, 142, 144]"
KAB. KAMPAR,1504.070801952144,"[315, 142, 141, 140, 139, 138, 137]"
KAB. KEPULAUAN MERANTI,1502.9035754489578,"[315, 64, 63, 74, 80]"
KAB. KUANTAN SINGINGI,1305.2008766937076,"[315, 64, 63, 74]"
KAB. PELALAWAN,1377.3190661443584,"[315, 142, 57]"
KAB. ROKAN HILIR,1427.5063725725433,"[315, 142]"
KAB. ROKAN HULU,1505.8283076327261,"[315, 142, 82]"
KAB. SIAK,1528.9470432330133,"[315, 64, 63, 74, 73, 71]"
KOTA DUMAI,1431.777698306654,"[315, 142, 86]"
KOTA PEKANBARU,1302.7386272645927,"[315, 142]"
KAB. BINTAN,1210.962219065096,"[315, 142, 141, 140, 139]"
KAB. KARIMUN,1339.0054175911732,"[315, 142, 141, 140, 139, 87]"
KAB. KEPULAUAN ANAMBAS,1392.772367867536,"[315, 142, 143, 90]"
KAB. LINGGA,972.1489647289429,"[315, 142, 143]"
KAB. NATUNA,1438.324681952955,"[315, 142, 141, 140]"
KOTA BATAM,1514.6459424037184,"[315, 64, 65, 93]"
KOTA TANJUNG PINANG,1462.9980423397299,"[315, 64, 65]"
PULAU TAMBELAN KAB. BINTAN,1627.2263883752182,"[315, 142, 141, 140, 123]"
PEKAJANG KAB. LINGGA,1363.6668495493975,"[315, 316, 317]"
PULAU SERASAN KAB. NATUNA,1564.0336544593583,"[315, 142, 141, 140, 139, 138, 323]"
PULAU MIDAI KAB. NATUNA,1715.4502670549743,"[315, 142, 141, 140, 139, 138, 323, 96]"
PULAU LAUT KAB. NATUNA,1755.65430758616,"[315, 316, 355, 321]"
KAB. BATANGHARI,1226.5295877709123,"[315, 64]"
KAB. BUNGO,1359.3014203855923,"[315, 64, 99]"
KAB. KERINCI,1323.000142470696,"[315, 119, 118]"
KAB. MERANGIN,1287.2603822465921,"[315, 142, 141, 140, 139, 138, 103]"
KAB. MUARO JAMBI,1071.2326915522056,"[315, 142, 141, 140, 139, 138]"
KAB. SAROLANGUN,1221.2737618092804,"[315, 142, 141, 140, 139, 138, 103]"
KAB. TANJUNG JABUNG BARAT,1362.6748115608,"[315, 142, 141, 140, 139, 138, 103, 104]"
KAB. TANJUNG JABUNG TIMUR,1444.9224138744107,"[315, 142, 141, 140, 139, 138, 103, 104, 105]"
KAB. TEBO,1346.3907638481226,"[315, 142, 141, 140, 139, 138, 103, 104]"
KOTA JAMBI,1331.346219141435,"[315, 119, 118, 125]"
KOTA SUNGAI PENUH,1224.2598188362786,"[315, 142]"
KAB. BENGKULU SELATAN,1058.7400952562339,"[315, 142]"
KAB. BENGKULU TENGAH,1158.6424381292397,"[315, 142, 110]"
KAB. BENGKULU UTARA,1224.7716545870303,"[315, 142, 110, 111]"
KAB. KAUR,1056.6494508657383,"[315, 114]"
KAB. KEPAHIANG,935.7490732071211,[315]
KAB. LEBONG,1008.5064463780046,"[315, 114]"
KAB. MUKOMUKO,1111.01368364685,"[315, 114, 115]"
KAB. REJANG LEBONG,1108.5912323128118,"[315, 119, 118]"
KAB. SELUMA,1042.2234360350553,"[315, 119]"
KOTA BENGKULU,984.4364158608554,[315]
KAB. BANYUASIN,1290.716548890359,"[315, 119]"
KAB. EMPAT LAWANG,1099.8754448095274,"[315, 142, 141, 140, 123, 122]"
KAB. LAHAT,1048.075353812598,"[315, 142, 141, 140, 123]"
KAB. MUARA ENIM,975.4353961386787,"[315, 142, 141, 140]"
KAB. MUSI BANYUASIN,1108.849544154738,"[315, 142, 141, 140, 123]"
KAB. MUSI RAWAS,1155.9260315467805,"[315, 119, 118]"
KAB. MUSI RAWAS UTARA,1141.5905190142773,"[315, 142, 141, 140, 128, 127]"
KAB. OGAN ILIR,919.1453380958311,"[315, 142, 141, 140, 128]"
KAB. OGAN KOMERING ILIR,851.6475706935742,"[315, 142, 141, 140]"
KAB. OGAN KOMERING ULU,1000.4547045654349,"[315, 142, 141, 140, 128]"
KAB. OGAN KOMERING ULU SELATAN,969.9046055547592,"[315, 142]"
KAB. OGAN KOMERING ULU TIMUR,1092.2276783010054,"[315, 142, 130]"
KAB. PENUKAL ABAB LEMATANG ILIR,1199.6579878258788,"[315, 142, 130, 131]"
KOTA LUBUKLINGGAU,1327.4970272043438,"[315, 142, 130, 131, 132]"
KOTA PAGAR ALAM,1269.9076010363913,"[315, 142, 144, 135]"
KOTA PALEMBANG,1061.2323835447175,"[315, 142, 144]"
KOTA PRABUMULIH,1138.2797413311844,"[315, 142, 144, 135]"
KAB. BANGKA,928.9993698564864,"[315, 142, 141, 140, 139, 138]"
KAB. BANGKA BARAT,881.8940233631151,"[315, 142, 141, 140, 139]"
KAB. BANGKA SELATAN,737.1936574833295,"[315, 142, 141, 140]"
KAB. BANGKA TENGAH,691.1916585806966,"[315, 142, 141]"
KAB. BELITUNG,514.4287267148608,"[315, 142]"
KAB. BELITUNG TIMUR,469.2787127733084,[315]
KOTA PANGKAL PINANG,708.7689674719007,"[315, 142]"
KAB. LAMPUNG TENGAH,849.7486040108554,"[315, 142]"
KAB. LAMPUNG UTARA,911.9253193124237,"[315, 142, 144]"
KAB. LAMPUNG SELATAN,1033.1314980218253,"[315, 142, 144, 145]"
KAB. LAMPUNG BARAT,1196.1861799371318,"[315, 142, 144, 145, 146]"
KAB. LAMPUNG TIMUR,1055.4748909236582,"[315, 142, 141, 140, 139, 149]"
KAB. MESUJI,925.3394050140732,"[315, 142, 141, 140, 139]"
KAB. PESAWARAN,1092.893788416938,"[315, 142, 141, 140, 139, 149]"
KAB. PESISIR BARAT,1201.0135355265152,"[315, 142, 141, 140, 139, 149, 150]"
KAB. PRINGSEWU,1115.8577852042977,"[315, 142, 143, 157]"
KAB. TULANG BAWANG,1154.2689615828986,"[315, 142, 141, 140, 123]"
KAB. TULANG BAWANG BARAT,1206.3986628102118,"[315, 142, 141, 140, 123, 153]"
KAB. TANGGAMUS,1300.333365854955,"[315, 142, 143, 157, 156]"
KAB. WAY KANAN,1210.6768965014473,"[315, 142, 143, 157]"
KOTA BANDAR LAMPUNG,1083.9237090737745,"[315, 142, 143]"
KOTA METRO,1115.3025479162902,"[315, 142, 143, 157]"
KAB. LEBAK,1293.8137424674,"[315, 142, 144, 164, 163, 162, 161, 160]"
KAB. PANDEGLANG,1228.2520090956243,"[315, 142, 144, 164, 163, 162, 161]"
KAB. SERANG,1150.182029065985,"[315, 142, 144, 164, 163, 162]"
KAB. TANGERANG,1100.46176104622,"[315, 142, 144, 164, 163]"
KOTA CILEGON,1043.905089081184,"[315, 142, 144, 164]"
KOTA SERANG,1023.1737009219072,"[315, 142, 144]"
KOTA TANGERANG,1078.1612346193976,"[315, 142, 144, 164]"
KOTA TANGERANG SELATAN,1089.2643481781556,"[315, 142, 144, 164, 165]"
KAB. BANDUNG,1227.2832753883265,"[315, 142, 144, 164, 165, 166]"
KAB. BANDUNG BARAT,1221.9158640599974,"[315, 142, 215, 221]"
