city,distance,through
KAB. ACEH BARAT,1241.3263867051558,"[110, 111, 112]"
KAB. ACEH BARAT DAYA,1361.018183338324,"[110, 111, 112, 0]"
KAB. ACEH BESAR,1397.6139280637626,"[110, 111, 74, 73, 67, 3]"
KAB. ACEH JAYA,1321.310454726664,"[110, 111, 74, 73, 67]"
KAB. ACEH SELATAN,1083.9230956501099,"[110, 111, 74, 73, 72, 5]"
KAB. ACEH SINGKIL,963.2523707095285,"[110, 111, 74, 73, 72]"
KAB. ACEH TAMIANG,1107.8678318819564,"[110, 109, 59]"
KAB. ACEH TENGAH,1207.2425062549128,"[110, 111, 74, 73, 67, 8]"
KAB. ACEH TENGGARA,1048.4344807733312,"[110, 111, 74, 73, 67]"
KAB. ACEH TIMUR,1154.8897065970086,"[110, 109]"
KAB. ACEH UTARA,1221.4798406854964,"[110, 109, 9]"
KAB. BENER MERIAH,1252.8522690073557,"[110, 111, 74, 73, 71]"
KAB. BIREUEN,1268.8394379968945,"[110, 111, 112, 13]"
KAB. GAYO LUES,1119.6322772970025,"[110, 111, 112]"
KAB. NAGAN RAYA,1216.7271143820212,"[110, 111, 112, 13]"
KAB. PIDIE,1331.8706048730605,"[110, 111, 74, 16]"
KAB. PIDIE JAYA,1302.33920824048,"[110, 111, 74]"
KAB. SIMEULUE,1098.744095694064,"[110, 111, 112]"
KOTA BANDA ACEH,1430.9334658786431,"[110, 111, 112, 17]"
KOTA LANGSA,1309.932562837935,"[110, 132, 133]"
KOTA LHOKSEUMAWE,1295.5174844035755,"[110, 111, 74, 73, 67, 8, 7]"
KOTA SABANG,1449.3906908868162,"[110, 111, 74, 73, 67, 3, 2]"
KOTA SUBULUSSALAM,1077.1022262243678,"[110, 84, 83]"
KAB. ASAHAN,1155.0909936231567,"[110, 111, 74, 51, 50]"
KAB. BATUBARA,1149.4673327574214,"[110, 111, 74, 63]"
KAB. DAIRI,1075.0231244780373,"[110, 84, 30, 29]"
KAB. DELI SERDANG,997.9751202232497,"[110, 111, 74, 51]"
KAB. HUMBANG HASUNDUTAN,1012.1341718021123,"[110, 84, 85]"
KAB. KARO,1055.6392915603224,"[110, 84, 30]"
KAB. LABUHANBATU,855.5316840564315,"[110, 84, 30]"
KAB. LABUHANBATU SELATAN,803.9261186006918,"[110, 84]"
KAB. LABUHANBATU UTARA,869.3003142874866,"[110, 84, 30]"
KAB. LANGKAT,1102.7880747374543,"[110, 84]"
KAB. MANDAILING NATAL,905.7535720891171,"[110, 111, 74, 63]"
KAB. NIAS,891.5779469842792,"[110, 111, 61, 62]"
KAB. NIAS BARAT,921.7040674831252,"[110, 111, 61, 62, 34]"
KAB. NIAS SELATAN,972.94181562299,"[110, 111, 61, 62, 34, 35]"
KAB. NIAS UTARA,1055.9813634063337,"[110, 111, 61, 62, 34, 35, 36]"
KAB. PADANG LAWAS,886.1877909376742,"[110, 132, 133]"
KAB. PADANG LAWAS UTARA,842.6161866647179,"[110, 84]"
KAB. PAKPAK BHARAT,975.7591944191122,"[110, 111, 74, 51, 41]"
KAB. SAMOSIR,911.0895822491515,"[110, 111, 74, 51]"
KAB. SERDANG BEDAGAI,995.3190750803889,"[110, 111, 74, 51, 41]"
KAB. SIMALUNGUN,964.1410337548024,"[110, 111, 74, 51, 52]"
KAB. TAPANULI SELATAN,963.6098619465773,"[110, 111, 74, 73, 46, 45]"
KAB. TAPANULI TENGAH,892.9656502199537,"[110, 111, 74, 73, 46]"
KAB. TAPANULI UTARA,843.9712660684393,"[110, 111, 74, 73]"
KAB. TOBA SAMOSIR,883.6451382851437,"[110, 111, 74, 73, 46]"
KOTA BINJAI,1020.372407567069,"[110, 109, 59]"
KOTA GUNUNGSITOLI,955.0753228625688,"[110, 111, 61, 62, 34, 35]"
KOTA MEDAN,1017.6781777797221,"[110, 111, 74, 51]"
KOTA PADANGSIDEMPUAN,761.6407502970699,"[110, 111, 74]"
KOTA PEMATANGSIANTAR,940.759347613906,"[110, 111, 74, 51]"
KOTA SIBOLGA,1007.774947262827,"[110, 84, 78]"
KOTA TANJUNGBALAI,1048.4211833849474,"[110, 109, 56, 55]"
KOTA TEBING TINGGI,966.6844357133892,"[110, 109, 56]"
KAB. AGAM,556.4832044872711,"[110, 109]"
KAB. DHARMASRAYA,745.2980444743797,"[110, 109, 56]"
KAB. KEPULAUAN MENTAWAI,708.1450686146958,"[110, 111, 74, 73]"
KAB. LIMA PULUH KOTA,566.8404881322595,"[110, 109]"
KAB. PADANG PARIAMAN,644.9428924584107,"[110, 109, 59]"
KAB. PASAMAN,600.5765062289262,"[110, 111]"
KAB. PASAMAN BARAT,660.1987985536148,"[110, 111, 61]"
KAB. PESISIR SELATAN,583.5243359950634,"[110, 111, 74]"
KAB. SIJUNJUNG,702.8312299668596,"[110, 111, 74, 63]"
KAB. SOLOK,667.7989708989745,"[110, 111, 74, 63]"
KAB. SOLOK SELATAN,648.0914579225309,"[110, 111, 74, 73, 67]"
KAB. TANAH DATAR,519.5964492613773,"[110, 111, 74, 73]"
KOTA BUKITTINGGI,538.1920411278027,"[110, 111]"
KOTA PADANG,609.8107056820082,"[110, 111, 68]"
KOTA PADANGPANJANG,594.2781343003733,"[110, 111, 74, 73, 71]"
KOTA PARIAMAN,558.9144323794712,"[110, 111, 74, 73]"
KOTA PAYAKUMBUH,542.6492694258144,"[110, 111, 74, 73]"
KOTA SAWAHLUNTO,490.89048050618277,"[110, 111, 74]"
KOTA SOLOK,476.4464086459059,"[110, 111]"
KAB. BENGKALIS,743.6282019867352,"[110, 111, 74]"
KAB. INDRAGIRI HILIR,950.8960359613467,"[110, 84, 78, 77]"
KAB. INDRAGIRI HULU,846.0853679419448,"[110, 84, 78]"
KAB. KAMPAR,689.8516209687413,"[110, 84]"
KAB. KEPULAUAN MERANTI,778.2859845338205,"[110, 111, 74, 80]"
KAB. KUANTAN SINGINGI,580.5832857785704,"[110, 111, 74]"
KAB. PELALAWAN,684.7636806096543,"[110, 111, 74, 80]"
KAB. ROKAN HILIR,757.3325357385481,"[110, 111, 74, 73, 67]"
KAB. ROKAN HULU,740.6474020633309,"[110, 84]"
KAB. SIAK,587.4957488386094,[110]
KOTA DUMAI,692.3190106761007,"[110, 84]"
KOTA PEKANBARU,799.7188980915275,"[110, 111, 112, 124]"
KAB. BINTAN,933.0516530940884,"[110, 132, 131, 88]"
KAB. KARIMUN,805.0084545680111,"[110, 132, 131]"
KAB. KEPULAUAN ANAMBAS,1165.4260455436804,"[110, 132, 131, 88]"
KAB. LINGGA,830.6771058888169,"[110, 111, 149]"
KAB. NATUNA,1407.0469648676035,"[110, 111, 149, 139, 140]"
KOTA BATAM,910.5642129256191,"[110, 109, 108, 93]"
KOTA TANJUNG PINANG,858.9163128616306,"[110, 109, 108]"
PULAU TAMBELAN KAB. BINTAN,832.5677157265443,"[110, 95]"
PEKAJANG KAB. LINGGA,504.65311762634707,[110]
PULAU SERASAN KAB. NATUNA,1074.4163700866825,"[110, 95]"
PULAU MIDAI KAB. NATUNA,993.4830067922345,"[110, 95]"
PULAU LAUT KAB. NATUNA,1185.1244373281534,"[110, 95, 97]"
KAB. BATANGHARI,831.6265576296985,"[110, 132, 155]"
KAB. BUNGO,908.7463034746611,"[110, 132, 131, 117, 118, 101]"
KAB. KERINCI,851.9518414333671,"[110, 132, 131, 117, 118]"
KAB. MERANGIN,847.9990896920164,"[110, 111, 149]"
KAB. MUARO JAMBI,866.9581094375504,"[110, 111, 112, 137, 138]"
KAB. SAROLANGUN,815.6725905413067,"[110, 111, 112, 124, 125, 107]"
KAB. TANJUNG JABUNG BARAT,691.8825484140459,"[110, 111, 112, 124, 125]"
KAB. TANJUNG JABUNG TIMUR,774.1301507276568,"[110, 111, 112, 124, 125, 105]"
KAB. TEBO,690.5555885024645,"[110, 111, 112, 124, 125]"
KOTA JAMBI,562.1597705057044,"[110, 109]"
KOTA SUNGAI PENUH,310.5126714814022,[110]
KAB. BENGKULU SELATAN,0.0,[]
KAB. BENGKULU TENGAH,99.90234287300584,[110]
KAB. BENGKULU UTARA,166.0315593307964,"[110, 111]"
KAB. KAUR,365.60610602166105,"[110, 111, 112]"
KAB. KEPAHIANG,486.5064836802783,"[110, 111, 112, 113]"
KAB. LEBONG,559.2638568511618,"[110, 111, 112, 113, 114]"
KAB. MUKOMUKO,661.7710941200073,"[110, 111, 112, 113, 114, 115]"
KAB. REJANG LEBONG,504.8073387199702,"[110, 132, 131]"
