city,distance,through
KAB. ACEH BARAT,3187.403397648299,"[433, 359, 323]"
KAB. ACEH BARAT DAYA,3193.7327407900566,"[433, 359, 358, 357]"
KAB. ACEH BESAR,3260.282690586181,[433]
KAB. ACEH JAYA,3336.58616392328,"[433, 2]"
KAB. ACEH SELATAN,3091.886418557674,"[433, 432, 373, 374, 325]"
KAB. ACEH SINGKIL,3092.6737809818605,"[433, 432, 373, 372, 371]"
KAB. ACEH TAMIANG,2965.0162088362454,[433]
KAB. ACEH TENGAH,3096.6937340720224,"[433, 6]"
KAB. ACEH TENGGARA,3085.8462854824406,"[433, 432, 373, 327, 328]"
KAB. ACEH TIMUR,3046.7052471973857,"[433, 432, 373, 374, 375]"
KAB. ACEH UTARA,3088.0829651547792,"[433, 432, 373, 374]"
KAB. BENER MERIAH,3122.6759614072153,"[433, 432, 373, 374, 375]"
KAB. BIREUEN,3173.671134980837,"[433, 432, 373, 374, 375, 11]"
KAB. GAYO LUES,3160.209704070935,"[433, 359, 358, 357]"
KAB. NAGAN RAYA,3197.874924339381,"[433, 434, 26, 25]"
KAB. PIDIE,3246.197691563212,"[433, 434, 26, 16]"
KAB. PIDIE JAYA,3216.6662949306315,"[433, 434, 26]"
KAB. SIMEULUE,3190.0947924218967,"[433, 54, 55]"
KOTA BANDA ACEH,3295.909535566353,"[433, 6]"
KOTA LANGSA,2985.6182894879394,"[433, 432, 373, 97]"
KOTA LHOKSEUMAWE,3107.089510968316,"[433, 432, 373, 97, 19]"
KOTA SABANG,3312.0594534092347,"[433, 2]"
KOTA SUBULUSSALAM,2961.409657668506,"[433, 359, 360]"
KAB. ASAHAN,2886.1378738261437,"[433, 359, 358, 357]"
KAB. BATUBARA,2919.6586549182093,"[433, 432, 373, 372, 371]"
KAB. DAIRI,2956.5772205650505,"[433, 434, 26]"
KAB. DELI SERDANG,2878.146828417489,"[433, 434]"
KAB. HUMBANG HASUNDUTAN,2966.307795099075,"[433, 432, 431, 356, 29]"
KAB. KARO,2936.2156881711767,"[433, 54, 55]"
KAB. LABUHANBATU,2788.004266808831,"[433, 432, 431, 356]"
KAB. LABUHANBATU SELATAN,2740.765474285562,"[433, 359, 351]"
KAB. LABUHANBATU UTARA,2757.0404665969077,"[433, 432]"
KAB. LANGKAT,2994.516368655322,"[433, 432, 31]"
KAB. MANDAILING NATAL,2793.995273953316,"[433, 359, 323]"
KAB. NIAS,2978.7269337406356,"[433, 359, 323, 33]"
KAB. NIAS BARAT,3008.8530542394815,"[433, 359, 323, 33, 34]"
KAB. NIAS SELATAN,3060.0908023793463,"[433, 359, 323, 33, 34, 35]"
KAB. NIAS UTARA,3011.006681205027,"[433, 359, 323]"
KAB. PADANG LAWAS,2742.516226579848,"[433, 434]"
KAB. PADANG LAWAS UTARA,2797.0857115823237,"[433, 434, 38]"
KAB. PAKPAK BHARAT,2925.547837989019,"[433, 359, 360]"
KAB. SAMOSIR,2967.358913311085,"[433, 432, 373, 374, 43, 42]"
KAB. SERDANG BEDAGAI,2883.129420479848,"[433, 432, 373, 374, 43]"
KAB. SIMALUNGUN,2836.2433548670606,"[433, 432, 373, 374]"
KAB. TAPANULI SELATAN,2873.9033124535313,"[433, 359, 347]"
KAB. TAPANULI TENGAH,2944.547524180155,"[433, 359, 347, 44]"
KAB. TAPANULI UTARA,2955.4895986053825,"[433, 432, 373, 372, 316]"
KAB. TOBA SAMOSIR,2995.163470822087,"[433, 432, 373, 372, 316, 46]"
KOTA BINJAI,2954.6644403533633,"[433, 432, 373, 374, 52]"
KOTA GUNUNGSITOLI,2994.9001421366893,"[433, 432]"
KOTA MEDAN,3023.5506896695783,"[433, 359, 358, 357, 23]"
KOTA PADANGSIDEMPUAN,2885.7244347174505,"[433, 419]"
KOTA PEMATANGSIANTAR,2859.4611764641595,"[433, 432, 373, 374]"
KOTA SIBOLGA,2866.8580253569453,"[433, 432]"
KOTA TANJUNGBALAI,2752.488948375224,[433]
KOTA TEBING TINGGI,2834.225696046782,"[433, 54]"
KAB. AGAM,2706.905563298861,"[433, 359, 360]"
KAB. DHARMASRAYA,2647.5828555963094,"[433, 432, 373, 374, 142]"
KAB. KEPULAUAN MENTAWAI,2867.0084674999543,"[433, 359, 80]"
KAB. LIMA PULUH KOTA,2707.7983256176876,"[433, 432, 373, 374, 325, 88]"
KAB. PADANG PARIAMAN,2785.900729943839,"[433, 432, 373, 374, 325, 88, 59]"
KAB. PASAMAN,2701.81784506657,[433]
KAB. PASAMAN BARAT,2761.4401373912588,"[433, 61]"
KAB. PESISIR SELATAN,2651.0413143952874,"[433, 432, 373, 345]"
KAB. SIJUNJUNG,2634.9619651012595,"[433, 432, 373, 374]"
KAB. SOLOK,2650.650249658588,"[433, 432, 373, 345]"
KAB. SOLOK SELATAN,2637.0601116566,"[433, 432, 373, 374, 375, 137]"
KAB. TANAH DATAR,2690.756313000863,"[433, 432, 373, 374, 375]"
KOTA BUKITTINGGI,2719.629144422784,"[433, 432, 373, 374, 375, 67]"
KOTA PADANG,2731.237435776824,"[433, 359, 323, 107]"
KOTA PADANGPANJANG,2748.3074025527053,"[433, 419, 418]"
KOTA PARIAMAN,2716.371542963265,"[433, 359, 360]"
KOTA PAYAKUMBUH,2728.2057273659934,"[433, 359, 80, 74, 73]"
KOTA SAWAHLUNTO,2676.446938446362,"[433, 359, 80, 74]"
KOTA SOLOK,2662.002866586085,"[433, 359, 80]"
KAB. BENGKALIS,2651.038899993906,"[433, 432, 373, 374, 325, 76]"
KAB. INDRAGIRI HILIR,2419.9424844207324,"[433, 432, 373, 374, 325]"
KAB. INDRAGIRI HULU,2524.7531524401343,"[433, 432, 373, 374, 325, 76]"
KAB. KAMPAR,2653.2674059280284,"[433, 432, 373, 374, 375, 84]"
KAB. KEPULAUAN MERANTI,2521.5468024994816,"[433, 359, 358, 357]"
KAB. KUANTAN SINGINGI,2557.8659894534208,"[433, 359]"
KAB. PELALAWAN,2662.0463842845047,"[433, 359, 80]"
KAB. ROKAN HILIR,2684.3950197420686,"[433, 432, 373, 374, 325, 88]"
KAB. ROKAN HULU,2704.063187022618,"[433, 432, 373, 374, 375, 84]"
KAB. SIAK,2550.9115337978965,"[433, 432, 373, 374, 375]"
KOTA DUMAI,2655.734795635388,"[433, 432, 373, 374, 375, 84]"
KOTA PEKANBARU,2605.120100814058,"[433, 432, 373, 345, 321]"
KAB. BINTAN,2358.318272892142,"[433, 359, 351, 350]"
KAB. KARIMUN,2378.8459642721923,"[433, 432, 373, 374, 325]"
