city,distance,through
KAB. ACEH BARAT,3322.3512535446025,"[434, 433, 359, 323]"
KAB. ACEH BARAT DAYA,3276.06438404219,"[434, 337, 338, 142, 141, 140]"
KAB. ACEH BESAR,3288.53300264483,"[434, 38]"
KAB. ACEH JAYA,3364.8364759819287,"[434, 38, 2]"
KAB. ACEH SELATAN,3226.834274453978,"[434, 433, 432, 373, 374, 325]"
KAB. ACEH SINGKIL,3121.8940124901756,"[434, 353, 87, 72]"
KAB. ACEH TAMIANG,3007.946492235681,"[434, 38]"
KAB. ACEH TENGAH,2979.9582820676596,"[434, 26]"
KAB. ACEH TENGGARA,3138.766307549241,"[434, 26, 7]"
KAB. ACEH TIMUR,3140.659279962715,"[434, 353, 87, 88]"
KAB. ACEH UTARA,3165.4802714505213,"[434, 353, 87]"
KAB. BENER MERIAH,3151.3353591686564,"[434, 38, 39, 43, 42]"
KAB. BIREUEN,3202.330532742278,"[434, 38, 39, 43, 42, 11]"
KAB. GAYO LUES,3160.0219055280954,"[434, 26, 25, 14]"
KAB. NAGAN RAYA,3062.9270684430767,"[434, 26, 25]"
KAB. PIDIE,3111.249835666908,"[434, 26, 16]"
KAB. PIDIE JAYA,3081.7184390343273,"[434, 26]"
KAB. SIMEULUE,3279.2370867796153,"[434, 353, 87, 88, 59]"
KOTA BANDA ACEH,3313.168684494322,"[434, 38, 39]"
KOTA LANGSA,3120.566145384243,"[434, 433, 432, 373, 97]"
KOTA LHOKSEUMAWE,3068.2332602163224,"[434, 26, 7]"
KOTA SABANG,3284.3807999850005,"[434, 26, 7, 20]"
KOTA SUBULUSSALAM,2972.3858011799257,"[434, 26, 27]"
KAB. ASAHAN,3005.3221138824338,"[434, 26, 25, 24]"
KAB. BATUBARA,2962.9895360820797,"[434, 26, 25]"
KAB. DAIRI,2821.6293646687463,"[434, 26]"
KAB. DELI SERDANG,2743.1989725211847,[434]
KAB. HUMBANG HASUNDUTAN,2879.790304640346,"[434, 26]"
KAB. KARO,2848.060398732158,"[434, 26, 25]"
KAB. LABUHANBATU,2749.5002851929703,"[434, 38]"
KAB. LABUHANBATU SELATAN,2801.1058506487097,"[434, 38, 29]"
KAB. LABUHANBATU UTARA,2866.4800463355045,"[434, 38, 29, 30]"
KAB. LANGKAT,3103.955948393919,"[434, 38, 29, 30, 31]"
KAB. MANDAILING NATAL,2759.364522768098,"[434, 38, 39]"
KAB. NIAS,2944.0961825554177,"[434, 38, 39, 33]"
KAB. NIAS BARAT,2974.2223030542636,"[434, 38, 39, 33, 34]"
KAB. NIAS SELATAN,2960.271287294892,"[434, 38, 37]"
KAB. NIAS UTARA,2877.2317395115483,"[434, 38]"
KAB. PADANG LAWAS,2607.568370683544,[434]
KAB. PADANG LAWAS UTARA,2662.1378556860195,"[434, 38]"
KAB. PAKPAK BHARAT,2850.596425332316,"[434, 38, 39]"
KAB. SAMOSIR,2915.2660375022765,"[434, 38, 39, 40]"
KAB. SERDANG BEDAGAI,2869.877277976939,"[434, 38, 39, 43]"
KAB. SIMALUNGUN,2822.9912123641516,"[434, 38, 39]"
KAB. TAPANULI SELATAN,2831.1024992348175,"[434, 353, 87]"
KAB. TAPANULI TENGAH,2901.7467109614413,"[434, 353, 87, 44]"
KAB. TAPANULI UTARA,2935.979260224168,"[434, 337, 338]"
KAB. TOBA SAMOSIR,2975.6531324408725,"[434, 337, 338, 46]"
KOTA BINJAI,2941.5761623942517,"[434, 38, 39, 43, 52]"
KOTA GUNUNGSITOLI,3007.593558433707,"[434, 38, 39, 33, 34, 35]"
KOTA MEDAN,3142.7349297258684,"[434, 26, 25, 24, 23]"
KOTA PADANGSIDEMPUAN,2979.5333424473647,"[434, 26]"
KOTA PEMATANGSIANTAR,2846.372898505048,"[434, 38, 39, 43]"
KOTA SIBOLGA,2987.0592932717586,"[434, 38, 39, 43, 52]"
KOTA TANJUNGBALAI,2887.436804271528,"[434, 433]"
KOTA TEBING TINGGI,2950.0503908565524,"[434, 26, 25, 28]"
KAB. AGAM,2747.3833013152985,"[434, 353, 135, 109]"
KAB. DHARMASRAYA,2572.4806926088672,"[434, 337, 338, 142]"
KAB. KEPULAUAN MENTAWAI,2845.7992374194346,"[434, 337]"
KAB. LIMA PULUH KOTA,2702.745471704293,"[434, 353, 87, 88]"
KAB. PADANG PARIAMAN,2780.8478760304442,"[434, 353, 87, 88, 59]"
KAB. PASAMAN,2745.9331885922575,"[434, 353, 87, 88, 59]"
KAB. PASAMAN BARAT,2803.6691204583867,"[434, 353, 87, 88, 59]"
KAB. PESISIR SELATAN,2700.5290383577753,"[434, 353, 135, 131]"
KAB. SIJUNJUNG,2706.2093153025908,"[434, 337, 338, 66, 65]"
KAB. SOLOK,2667.285021518285,"[434, 337, 338, 66]"
KAB. SOLOK SELATAN,2602.952162443633,"[434, 337, 338]"
KAB. TANAH DATAR,2697.8423158037062,"[434, 337, 338]"
KOTA BUKITTINGGI,2726.7151472256273,"[434, 337, 338, 67]"
KOTA PADANG,2798.333811779833,"[434, 337, 338, 67, 68]"
KOTA PADANGPANJANG,2783.5310661366025,"[434, 337, 338, 142, 141, 73, 71]"
KOTA PARIAMAN,2748.1673642157007,"[434, 337, 338, 142, 141, 73]"
KOTA PAYAKUMBUH,2701.2909112064613,"[434, 353, 87]"
KOTA SAWAHLUNTO,2680.1434123424124,"[434, 337, 338, 142, 141]"
KOTA SOLOK,2694.587484202689,"[434, 337, 338, 142, 141, 73]"
KAB. BENGKALIS,2785.98675589021,"[434, 433, 432, 373, 374, 325, 76]"
KAB. INDRAGIRI HILIR,2554.8903403170366,"[434, 433, 432, 373, 374, 325]"
KAB. INDRAGIRI HULU,2659.7010083364385,"[434, 433, 432, 373, 374, 325, 76]"
KAB. KAMPAR,2750.420030284478,"[434, 353, 135, 84]"
KAB. KEPULAUAN MERANTI,2656.4946583957853,"[434, 433, 359, 358, 357]"
KAB. KUANTAN SINGINGI,2692.813845349725,"[434, 433, 359]"
KAB. PELALAWAN,2729.3933538431734,"[434, 337, 338, 142, 57]"
KAB. ROKAN HILIR,2679.342165828674,"[434, 353, 87, 88]"
KAB. ROKAN HULU,2704.844183828599,"[434, 353, 87, 88]"
KAB. SIAK,2648.064158154346,"[434, 353, 135]"
KOTA DUMAI,2721.7744578384227,"[434, 353, 87, 86]"
KOTA PEKANBARU,2592.735386796361,"[434, 353, 87]"
KAB. BINTAN,2245.74991183272,"[434, 353]"
KAB. KARIMUN,2373.7931103587975,"[434, 353, 87]"
KAB. KEPULAUAN ANAMBAS,2322.0568429867735,"[434, 445]"
KAB. LINGGA,2324.223252427758,"[434, 337, 338, 142, 143]"
KAB. NATUNA,2109.5723131695763,"[434, 433, 432, 373, 372, 371]"
KOTA BATAM,2475.2784218019315,"[434, 337, 338, 339]"
KOTA TANJUNG PINANG,2460.3111065833045,"[434, 337, 338, 339, 94]"
PULAU TAMBELAN KAB. BINTAN,2141.610524432015,"[434, 337, 338, 339]"
PEKAJANG KAB. LINGGA,2414.5617939480917,"[434, 433, 419, 418]"
PULAU SERASAN KAB. NATUNA,1942.3860256018918,"[434, 433, 359, 351]"
PULAU MIDAI KAB. NATUNA,2020.9244040967194,"[434, 433, 432, 373]"
PULAU LAUT KAB. NATUNA,2039.4474020446303,"[434, 433, 432, 373]"
KAB. BATANGHARI,2592.7662858242834,"[434, 353, 87]"
KAB. BUNGO,2528.9364565861183,"[434, 337, 338]"
KAB. KERINCI,2585.7309186274124,"[434, 337, 338, 100]"
KAB. MERANGIN,2639.3346699454073,"[434, 337, 338, 142, 141, 140, 139, 138, 103]"
KAB. MUARO JAMBI,2423.3069792510205,"[434, 337, 338, 142, 141, 140, 139, 138]"
KAB. SAROLANGUN,2573.3480495080953,"[434, 337, 338, 142, 141, 140, 139, 138, 103]"
KAB. TANJUNG JABUNG BARAT,2529.4798362045394,"[434, 433, 359]"
KAB. TANJUNG JABUNG TIMUR,2529.1502695939043,"[434, 337, 336, 329]"
KAB. TEBO,2596.228043052465,"[434, 337, 338, 339]"
KOTA JAMBI,2570.375773490433,"[434, 433, 419, 418, 426, 448]"
KOTA SUNGAI PENUH,2501.4127683094293,"[434, 353, 135]"
KAB. BENGKULU SELATAN,2410.814382955049,"[434, 337, 338, 142]"
KAB. BENGKULU TENGAH,2510.7167258280547,"[434, 337, 338, 142, 110]"
KAB. BENGKULU UTARA,2480.4326120093024,"[434, 353, 156]"
KAB. KAUR,2352.905275087922,"[434, 353, 135, 136]"
KAB. KEPAHIANG,2473.805652746539,"[434, 353, 135, 136, 113]"
KAB. LEBONG,2546.5630259174227,"[434, 353, 135, 136, 113, 114]"
KAB. MUKOMUKO,2609.885903279022,"[434, 353, 135, 131, 117]"
KAB. REJANG LEBONG,2445.9489937690405,"[434, 353, 135, 131]"
KAB. SELUMA,2512.316790046797,"[434, 353, 135, 131, 117]"
KOTA BENGKULU,2466.857862759107,"[434, 337, 338]"
KAB. BANYUASIN,2494.3118774576806,"[434, 433, 359, 323]"
KAB. EMPAT LAWANG,2416.8740330169494,"[434, 353, 135, 131, 122]"
KAB. LAHAT,2365.0739420200202,"[434, 353, 135, 131]"
KAB. MUARA ENIM,2327.5096838374934,"[434, 337, 338, 142, 141, 140]"
KAB. MUSI BANYUASIN,2460.9238318535527,"[434, 337, 338, 142, 141, 140, 123]"
KAB. MUSI RAWAS,2524.7425292565636,"[434, 337, 338, 142, 130]"
KAB. MUSI RAWAS UTARA,2493.664806713092,"[434, 337, 338, 142, 141, 140, 128, 127]"
KAB. OGAN ILIR,2271.2196257946457,"[434, 337, 338, 142, 141, 140, 128]"
KAB. OGAN KOMERING ILIR,2203.7218583923886,"[434, 337, 338, 142, 141, 140]"
KAB. OGAN KOMERING ULU,2352.5289922642496,"[434, 337, 338, 142, 141, 140, 128]"
KAB. OGAN KOMERING ULU SELATAN,2321.978893253574,"[434, 337, 338, 142]"
KAB. OGAN KOMERING ULU TIMUR,2210.355872598324,"[434, 353, 135]"
KAB. PENUKAL ABAB LEMATANG ILIR,2317.7861821231972,"[434, 353, 135, 131]"
KOTA LUBUKLINGGAU,2413.2997966547177,"[434, 353, 135, 134]"
KOTA PAGAR ALAM,2321.067574586078,"[434, 353, 135]"
KOTA PALEMBANG,2112.3923570944044,"[434, 353]"
KOTA PRABUMULIH,2189.439714880871,"[434, 353, 135]"
KAB. BANGKA,2193.240635631084,"[434, 337, 338, 339]"
KAB. BANGKA BARAT,2233.96831106193,"[434, 337, 338, 142, 141, 140, 139]"
KAB. BANGKA SELATAN,2089.267945182144,"[434, 337, 338, 142, 141, 140]"
KAB. BANGKA TENGAH,2043.2659462795114,"[434, 337, 338, 142, 141]"
KAB. BELITUNG,1866.5030144136756,"[434, 337, 338, 142]"
KAB. BELITUNG TIMUR,1821.3530004721233,"[434, 337, 338]"
KOTA PANGKAL PINANG,2060.8432551707156,"[434, 337, 338, 142]"
KAB. LAMPUNG TENGAH,2201.8228917096703,"[434, 337, 338, 142]"
KAB. LAMPUNG UTARA,2225.313052436125,"[434, 353, 146]"
