city,distance,through
KAB. ACEH BARAT,3045.655548369451,"[401, 400, 336, 342]"
KAB. ACEH BARAT DAYA,3033.6455623665915,"[401, 400, 332, 331, 139, 140]"
KAB. ACEH BESAR,3200.9629298083933,"[401, 400, 347, 4, 3]"
KAB. ACEH JAYA,3124.6594564712946,"[401, 400, 347, 4]"
KAB. ACEH SELATAN,2874.1942747116564,"[401, 400, 347]"
KAB. ACEH SINGKIL,2897.042651435856,"[401, 400, 332, 355, 74, 73, 72]"
KAB. ACEH TAMIANG,2847.0414140178545,"[401, 400, 315]"
KAB. ACEH TENGAH,2972.3488865682966,"[401, 400, 332, 352]"
KAB. ACEH TENGGARA,2924.740476787759,"[401, 400, 336, 137]"
KAB. ACEH TIMUR,2897.3916659726065,"[401, 400, 315]"
KAB. ACEH UTARA,2963.981800061094,"[401, 400, 315, 9]"
KAB. BENER MERIAH,3002.7120395985567,"[401, 400, 332, 355, 321, 320, 43, 42]"
KAB. BIREUEN,3010.039522287246,"[401, 400, 332]"
KAB. GAYO LUES,2996.2094694765146,"[401, 400, 336, 137]"
KAB. NAGAN RAYA,3007.4906053389072,"[401, 400, 336, 25]"
KAB. PIDIE,3082.747299409514,"[401, 400, 332]"
KAB. PIDIE JAYA,3112.278696042095,"[401, 400, 332, 15]"
KAB. SIMEULUE,3042.6341238634946,"[401, 400, 332, 352, 55]"
KOTA BANDA ACEH,3164.250051125039,"[401, 400, 347, 19]"
KOTA LANGSA,2847.090395558933,"[401, 400, 347]"
KOTA LHOKSEUMAWE,2968.5616170393096,"[401, 400, 347, 19]"
KOTA SABANG,3184.7091568079877,"[401, 400, 347, 19, 20]"
KOTA SUBULUSSALAM,2808.9917983292485,"[401, 88, 83]"
KAB. ASAHAN,2773.1214579149696,"[401, 400, 332, 333, 334, 94, 93, 92, 24]"
KAB. BATUBARA,2730.7888801146155,"[401, 400, 332, 333, 334, 94, 93, 92]"
KAB. DAIRI,2766.192901564577,"[401, 400, 336]"
KAB. DELI SERDANG,2775.5782298252666,"[401, 400, 332, 355, 321, 30]"
KAB. HUMBANG HASUNDUTAN,2726.3258847246125,"[401, 400, 332, 331, 85]"
KAB. KARO,2765.215626970742,"[401, 400, 332, 355]"
KAB. LABUHANBATU,2590.8444605442974,"[401, 400, 332, 355, 321, 30]"
KAB. LABUHANBATU SELATAN,2539.238895088558,"[401, 400, 332, 355, 321]"
KAB. LABUHANBATU UTARA,2604.6130907753527,"[401, 400, 332, 355, 321, 30]"
KAB. LANGKAT,2842.088992833767,"[401, 400, 332, 355, 321, 30, 31]"
KAB. MANDAILING NATAL,2590.417126951108,"[401, 88]"
KAB. NIAS,2775.1487867384276,"[401, 88, 33]"
KAB. NIAS BARAT,2805.2749072372735,"[401, 88, 33, 34]"
KAB. NIAS SELATAN,2856.5126553771383,"[401, 88, 33, 34, 35]"
KAB. NIAS UTARA,2869.1346424973453,"[401, 400, 332, 333, 38]"
KAB. PADANG LAWAS,2599.471273669341,"[401, 400, 332, 333]"
KAB. PADANG LAWAS UTARA,2594.515642031343,"[401, 400, 332, 355, 321, 84]"
KAB. PAKPAK BHARAT,2749.367863126282,"[401, 88]"
KAB. SAMOSIR,2751.2238383751323,"[401, 51]"
KAB. SERDANG BEDAGAI,2721.253958406839,"[401, 400, 332, 355, 321, 320, 43]"
KAB. SIMALUNGUN,2674.367892794052,"[401, 400, 332, 355, 321, 320]"
KAB. TAPANULI SELATAN,2622.1924269428487,"[401, 400, 347]"
KAB. TAPANULI TENGAH,2692.8366386694724,"[401, 400, 347, 44]"
KAB. TAPANULI UTARA,2696.4573355340963,"[401, 400, 332, 77, 78]"
KAB. TOBA SAMOSIR,2736.131207750801,"[401, 400, 332, 77, 78, 46]"
KOTA BINJAI,2776.72534000954,"[401, 400, 332, 352, 52]"
KOTA GUNUNGSITOLI,2791.6267980417574,"[401, 400, 332, 77]"
KOTA MEDAN,2857.812433905703,"[401, 51]"
KOTA PADANGSIDEMPUAN,2601.775006423051,[401]
KOTA PEMATANGSIANTAR,2681.5220761203364,"[401, 400, 332, 352]"
KOTA SIBOLGA,2685.088573441029,"[401, 400, 332, 331]"
KOTA TANJUNGBALAI,2720.250514881804,"[401, 400, 336, 137, 138]"
KOTA TEBING TINGGI,2686.76502748838,"[401, 400, 332, 352]"
KAB. AGAM,2549.5276721625205,"[401, 400, 135, 109]"
KAB. DHARMASRAYA,2486.917085845401,"[401, 400, 118]"
KAB. KEPULAUAN MENTAWAI,2595.4081942749294,"[401, 400, 332, 124]"
KAB. LIMA PULUH KOTA,2470.4382620439055,"[401, 88]"
KAB. PADANG PARIAMAN,2542.5366615766898,"[401, 132, 133]"
KAB. PASAMAN,2513.62597893187,"[401, 88, 59]"
KAB. PASAMAN BARAT,2571.3619107979994,"[401, 88, 59]"
KAB. PESISIR SELATAN,2473.901526896382,"[401, 400, 332, 331, 103, 65]"
KAB. SIJUNJUNG,2428.551185776777,"[401, 400, 332, 331, 103, 65]"
KAB. SOLOK,2389.626891992471,"[401, 400, 332, 331, 103]"
KAB. SOLOK SELATAN,2349.68864381783,"[401, 400, 332, 124]"
KAB. TANAH DATAR,2453.386729987705,"[401, 400, 332, 355, 74, 73]"
KOTA BUKITTINGGI,2439.439120054974,"[401, 400]"
KOTA PADANG,2511.0577846091796,"[401, 400, 68]"
KOTA PADANGPANJANG,2516.4982468487665,"[401, 400, 332, 331, 103, 71]"
KOTA PARIAMAN,2481.1345449278647,"[401, 400, 332, 331, 103]"
KOTA PAYAKUMBUH,2476.439550152142,"[401, 400, 332, 355, 74, 73]"
KOTA SAWAHLUNTO,2424.6807612325106,"[401, 400, 332, 355, 74]"
KOTA SOLOK,2410.2366893722337,"[401, 400, 332, 355]"
KAB. BENGKALIS,2499.7166867367905,"[401, 400, 332, 331, 330, 341, 76]"
KAB. INDRAGIRI HILIR,2268.620271163617,"[401, 400, 332, 331, 330, 341]"
KAB. INDRAGIRI HULU,2229.0805278116436,"[401, 400, 332]"
KAB. KAMPAR,2385.314274784847,"[401, 400, 332, 77]"
KAB. KEPULAUAN MERANTI,2377.779226722244,"[401, 400, 347, 348]"
KAB. KUANTAN SINGINGI,2341.323676051006,"[401, 400, 336]"
KAB. PELALAWAN,2445.5040708820898,"[401, 400, 336, 80]"
KAB. ROKAN HILIR,2447.0349561682865,"[401, 88]"
KAB. ROKAN HULU,2472.5369741682116,"[401, 88]"
KAB. SIAK,2339.395204205234,"[401, 400, 332, 355, 321]"
KOTA DUMAI,2406.5107235986006,"[401, 400, 332, 331]"
