city,distance,through
KAB. ACEH BARAT,2101.4177059267095,"[200, 62]"
KAB. ACEH BARAT DAYA,2084.232056716982,"[200, 168, 167, 166, 165]"
KAB. ACEH BESAR,2246.1054380110218,"[200, 62, 4, 3]"
KAB. ACEH JAYA,2169.801964673923,"[200, 62, 4]"
KAB. ACEH SELATAN,1919.3367829142846,"[200, 62]"
KAB. ACEH SINGKIL,1815.6040898476426,"[200, 129, 66]"
KAB. ACEH TAMIANG,1965.6052989477193,"[200, 129]"
KAB. ACEH TENGAH,2037.8086789417148,"[200, 85]"
KAB. ACEH TENGGARA,1909.578709532396,"[200, 129, 66, 67]"
KAB. ACEH TIMUR,2010.3472075745372,"[200, 224, 88]"
KAB. ACEH UTARA,2076.9373416630247,"[200, 224, 88, 9]"
KAB. BENER MERIAH,2062.5175515411293,"[200, 201]"
KAB. BIREUEN,2113.512725114751,"[200, 201, 11]"
KAB. GAYO LUES,1990.8361253632738,"[200, 129, 70]"
KAB. NAGAN RAYA,2085.5862037270726,"[200, 168]"
KAB. PIDIE,2153.2845195972022,"[200, 22]"
KAB. PIDIE JAYA,2168.498977414191,"[200, 201, 76, 75]"
KAB. SIMEULUE,2013.9237956492439,"[200, 201, 155]"
KOTA BANDA ACEH,2251.5563291623585,"[200, 19]"
KOTA LANGSA,1934.3966735962522,[200]
KOTA LHOKSEUMAWE,2055.867895076629,"[200, 19]"
KOTA SABANG,2266.946608342229,"[200, 22]"
KOTA SUBULUSSALAM,1811.2648795543362,[200]
KAB. ASAHAN,1774.1216886590275,"[200, 224, 24]"
KAB. BATUBARA,1731.7891108586734,"[200, 224]"
KAB. DAIRI,1858.434691557357,"[200, 168, 124, 86]"
KAB. DELI SERDANG,1846.8083683149378,"[200, 129]"
KAB. HUMBANG HASUNDUTAN,1733.5301692675616,"[200, 224]"
KAB. KARO,1839.9296072266586,"[200, 224, 27]"
KAB. LABUHANBATU,1704.6020405363715,"[200, 201, 155, 99]"
KAB. LABUHANBATU SELATAN,1656.0179541891023,"[200, 129, 70]"
KAB. LABUHANBATU UTARA,1721.392149875897,"[200, 129, 70, 30]"
KAB. LANGKAT,1929.3744569445303,"[200, 224, 33]"
KAB. MANDAILING NATAL,1562.8279141038815,"[200, 224]"
KAB. NIAS,1723.6279548930609,"[200, 62]"
KAB. NIAS BARAT,1753.754075391907,"[200, 62, 34]"
KAB. NIAS SELATAN,1763.6901599558537,"[200, 168, 169, 187, 58]"
KAB. NIAS UTARA,1766.5681260285112,[200]
KAB. PADANG LAWAS,1622.9020231643644,"[200, 224, 207, 176, 133]"
KAB. PADANG LAWAS UTARA,1647.183642942181,"[200, 168, 169, 187]"
KAB. PAKPAK BHARAT,1835.6422125884776,"[200, 168, 169, 187, 39]"
KAB. SAMOSIR,1816.152499201744,"[200, 201, 192]"
