city,distance,through
KAB. ACEH BARAT,2732.2267546108214,"[366, 367, 368, 324, 323]"
KAB. ACEH BARAT DAYA,2703.498150053632,"[366, 367, 3, 2]"
KAB. ACEH BESAR,2453.2033078501013,"[366, 367, 3]"
KAB. ACEH JAYA,2376.8998345130026,"[366, 367]"
KAB. ACEH SELATAN,2181.586436632878,"[366, 367]"
KAB. ACEH SINGKIL,2302.257161573459,"[366, 367, 4]"
KAB. ACEH TAMIANG,2511.140922764109,"[366, 367, 4, 5]"
KAB. ACEH TENGAH,2449.282264677297,"[366, 367, 31, 30, 26]"
KAB. ACEH TENGGARA,2587.991703389273,"[366, 367, 368, 10, 9]"
KAB. ACEH TIMUR,2452.713531716981,"[366, 367, 368, 10]"
KAB. ACEH UTARA,2386.1233976284934,"[366, 367, 368]"
KAB. BENER MERIAH,2425.2445993279944,"[366, 367, 368, 10]"
KAB. BIREUEN,2476.239772901616,"[366, 367, 368, 10, 11]"
KAB. GAYO LUES,2375.3947354938305,"[366, 14]"
KAB. NAGAN RAYA,2278.2998984088117,[366]
KAB. PIDIE,2400.3252604929953,"[366, 14]"
KAB. PIDIE JAYA,2429.856657125576,"[366, 14, 15]"
KAB. SIMEULUE,2685.755881853253,"[366, 367, 31, 30, 28, 55]"
KOTA BANDA ACEH,2628.482899500171,"[366, 98, 97, 19]"
KOTA LANGSA,2311.3232439340645,"[366, 98, 97]"
KOTA LHOKSEUMAWE,2432.794465414441,"[366, 98, 97, 19]"
KOTA SABANG,2504.980070673155,"[366, 367, 3, 2]"
KOTA SUBULUSSALAM,2186.685801383326,"[366, 83]"
KAB. ASAHAN,2377.9002062749814,"[366, 83, 22]"
KAB. BATUBARA,2373.1316609475152,"[366, 367, 344, 93, 92]"
KAB. DAIRI,2247.280626271459,"[366, 367, 31, 30, 29]"
KAB. DELI SERDANG,2212.522955130822,"[366, 367, 31, 30]"
KAB. HUMBANG HASUNDUTAN,2206.092714140097,"[366, 367, 31, 30, 29]"
KAB. KARO,2227.8967933537438,"[366, 367, 31, 30]"
KAB. LABUHANBATU,2027.7891858498529,"[366, 367, 31, 30]"
KAB. LABUHANBATU SELATAN,1976.1836203941132,"[366, 367, 31]"
KAB. LABUHANBATU UTARA,1910.8094247073184,"[366, 367]"
KAB. LANGKAT,2148.285326765733,"[366, 367, 31]"
KAB. MANDAILING NATAL,2321.5172524438335,"[366, 367, 31, 30, 29, 38, 39]"
KAB. NIAS,2401.096746018871,"[366, 367, 120, 61, 62]"
KAB. NIAS BARAT,2382.719876684681,"[366, 83, 22, 49]"
KAB. NIAS SELATAN,2433.9576248245457,"[366, 83, 22, 49, 35]"
KAB. NIAS UTARA,2438.4802175517743,"[366, 367, 120]"
KAB. PADANG LAWAS,2169.7211003592793,"[366, 367, 31, 30, 29]"
KAB. PADANG LAWAS UTARA,2224.290585361755,"[366, 367, 31, 30, 29, 38]"
KAB. PAKPAK BHARAT,2283.829066666746,"[366, 367, 368, 41]"
KAB. SAMOSIR,2219.159454496785,"[366, 367, 368]"
KAB. SERDANG BEDAGAI,2209.032850789641,"[366, 367, 368, 43]"
KAB. SIMALUNGUN,2162.146785176854,"[366, 367, 368]"
