city,distance,through
KAB. ACEH BARAT,3022.6083344531553,"[421, 429, 77]"
KAB. ACEH BARAT DAYA,3106.4085271219456,"[421, 429, 339, 340, 139, 140]"
KAB. ACEH BESAR,2974.657902950039,"[421, 429, 370]"
KAB. ACEH JAYA,3050.9613762871377,"[421, 429, 370, 2]"
KAB. ACEH SELATAN,2839.06756402954,"[421, 429, 77, 78]"
KAB. ACEH SINGKIL,2817.4390485263457,"[421, 429, 67, 73, 72]"
KAB. ACEH TAMIANG,2809.8573226848807,"[421, 425, 38]"
KAB. ACEH TENGAH,2877.731430513813,"[421, 425, 84, 30, 26]"
KAB. ACEH TENGGARA,2845.2092210797596,"[421, 429, 67]"
KAB. ACEH TIMUR,2870.4321846412477,"[421, 429, 370, 369, 368, 10]"
KAB. ACEH UTARA,2803.84205055276,"[421, 429, 370, 369, 368]"
KAB. BENER MERIAH,2842.963252252261,"[421, 429, 370, 369, 368, 10]"
KAB. BIREUEN,2893.958425825883,"[421, 429, 370, 369, 368, 10, 11]"
KAB. GAYO LUES,2919.0458507662584,"[421, 429, 29, 25, 14]"
KAB. NAGAN RAYA,2821.9510136812396,"[421, 429, 29, 25]"
KAB. PIDIE,2931.2426103285484,"[421, 429, 29, 16]"
KAB. PIDIE JAYA,2901.7112136959677,"[421, 429, 29]"
KAB. SIMEULUE,2894.5463204880925,"[421, 429, 59]"
KOTA BANDA ACEH,3094.353683102958,"[421, 425, 84, 39]"
KOTA LANGSA,2800.808378378503,"[421, 429, 430, 96, 97]"
KOTA LHOKSEUMAWE,2851.398429933904,"[421, 429, 29, 28]"
KOTA SABANG,3026.4346657730925,"[421, 429, 370, 2]"
KOTA SUBULUSSALAM,2632.060894315127,"[421, 429, 29, 27]"
KAB. ASAHAN,2501.9927073808785,"[421, 425, 24]"
KAB. BATUBARA,2459.6601295805244,"[421, 425]"
KAB. DAIRI,2580.6533099069093,"[421, 429, 29]"
KAB. DELI SERDANG,2640.972120967338,"[421, 425, 84, 30]"
KAB. HUMBANG HASUNDUTAN,2539.4653977755474,"[421, 429, 29]"
KAB. KARO,2589.073717697565,"[421, 429, 29]"
KAB. LABUHANBATU,2361.161869485303,"[421, 429]"
