city,distance,through
KAB. ACEH BARAT,3531.107994465329,"[452, 325, 324, 323]"
KAB. ACEH BARAT DAYA,3430.389907553972,"[452, 412, 363, 357]"
KAB. ACEH BESAR,3671.0271288308445,"[452, 325, 4, 3]"
KAB. ACEH JAYA,3594.723655493746,"[452, 325, 4]"
KAB. ACEH SELATAN,3344.2584737341076,"[452, 325]"
KAB. ACEH SINGKIL,3410.0171778679605,"[452, 372, 371]"
KAB. ACEH TAMIANG,3302.6797585657705,"[452, 325]"
KAB. ACEH TENGAH,3434.3572838015475,"[452, 325, 6]"
KAB. ACEH TENGGARA,3306.051698621625,[452]
KAB. ACEH TIMUR,3362.167621769634,"[452, 345]"
KAB. ACEH UTARA,3420.0585054705916,"[452, 345]"
KAB. BENER MERIAH,3459.1797071700926,"[452, 345, 10]"
KAB. BIREUEN,3510.1748807437143,"[452, 345, 10, 11]"
KAB. GAYO LUES,3396.8668708348505,"[452, 412, 363, 357]"
KAB. NAGAN RAYA,3475.3675135717226,"[452, 412]"
KAB. PIDIE,3595.352018879643,"[452, 345, 321, 30]"
KAB. PIDIE JAYA,3581.605362290312,"[452, 345, 321, 30, 26]"
KAB. SIMEULUE,3506.722966586776,"[452, 325, 55]"
KOTA BANDA ACEH,3633.573085295878,"[452, 325, 6]"
KOTA LANGSA,3349.277036920599,"[452, 467, 96, 97]"
KOTA LHOKSEUMAWE,3436.397785326132,"[452, 345]"
KOTA SABANG,3652.5453250948103,"[452, 345, 20]"
KOTA SUBULUSSALAM,3296.509347542896,"[452, 345, 321, 84, 83]"
KAB. ASAHAN,3122.795040590059,"[452, 412, 363, 357]"
KAB. BATUBARA,3107.6683199078016,[452]
KAB. DAIRI,3249.028491321135,"[452, 24]"
KAB. DELI SERDANG,3243.0858957771693,"[452, 345, 321, 30]"
KAB. HUMBANG HASUNDUTAN,3231.541293120641,"[452, 345, 321, 84, 85]"
KAB. KARO,3252.8438623360557,"[452, 325, 55]"
KAB. LABUHANBATU,3054.722324844184,"[452, 412, 363, 357]"
KAB. LABUHANBATU SELATAN,3006.7465610404606,"[452, 345, 321]"
KAB. LABUHANBATU UTARA,3057.3965541823086,"[452, 319]"
KAB. LANGKAT,3294.872456240723,"[452, 319, 31]"
