city,distance,through
KAB. ACEH BARAT,3178.3080760716416,"[403, 379, 378]"
KAB. ACEH BARAT DAYA,3122.6542150043006,"[403, 379, 140]"
KAB. ACEH BESAR,3314.0263451606697,"[403, 393, 3]"
KAB. ACEH JAYA,3237.722871823571,"[403, 393]"
KAB. ACEH SELATAN,3012.4033820726563,"[403, 346, 347]"
KAB. ACEH SINGKIL,3017.5180810755346,"[403, 337, 338, 142, 141, 73, 72]"
KAB. ACEH TAMIANG,2970.9027007239133,"[403, 402]"
KAB. ACEH TENGAH,3102.5802259596903,"[403, 402, 6]"
KAB. ACEH TENGGARA,3006.3865545660656,"[403, 399, 362]"
KAB. ACEH TIMUR,3027.1660357884507,"[403, 346, 345]"
KAB. ACEH UTARA,3082.4741519515906,"[403, 393]"
KAB. BENER MERIAH,3108.1503464571956,"[403, 42]"
KAB. BIREUEN,3150.7818592975527,"[403, 402, 401, 400, 332]"
KAB. GAYO LUES,3028.2936706717046,"[403, 393]"
KAB. NAGAN RAYA,3125.3885077567234,"[403, 393, 13]"
KAB. PIDIE,3223.4896364198203,"[403, 402, 401, 400, 332]"
KAB. PIDIE JAYA,3201.815626918078,"[403, 404]"
KAB. SIMEULUE,3178.3515287280156,"[403, 346, 345, 321, 55]"
KOTA BANDA ACEH,3301.796027454021,"[403, 402, 6]"
KOTA LANGSA,2985.299502919933,"[403, 346, 347]"
KOTA LHOKSEUMAWE,3101.3961993449493,"[403, 346, 345]"
KOTA SABANG,3317.5437391136275,"[403, 346, 345, 20]"
KOTA SUBULUSSALAM,2929.2843171456216,"[403, 346]"
KAB. ASAHAN,2815.830256266458,"[403, 379, 394]"
KAB. BATUBARA,2776.198875151543,"[403, 393, 92]"
KAB. DAIRI,2906.9352385748834,"[403, 402, 401, 400, 336]"
KAB. DELI SERDANG,2902.5779591970095,"[403, 84, 30]"
KAB. HUMBANG HASUNDUTAN,2867.0682217349186,"[403, 402, 401, 400, 332, 331, 85]"
KAB. KARO,2905.957963981048,"[403, 402, 401, 400, 332, 355]"
KAB. LABUHANBATU,2717.8441899160407,"[403, 84, 30]"
KAB. LABUHANBATU SELATAN,2666.238624460301,"[403, 84]"
KAB. LABUHANBATU UTARA,2731.6128201470956,"[403, 84, 30]"
KAB. LANGKAT,2965.100580597063,"[403, 84]"
KAB. MANDAILING NATAL,2726.5446115935874,"[403, 402, 318, 88]"
KAB. NIAS,2911.276271380907,"[403, 402, 318, 88, 33]"
KAB. NIAS BARAT,2941.402391879753,"[403, 402, 318, 88, 33, 34]"
KAB. NIAS SELATAN,2973.322545496865,"[403, 124, 58]"
KAB. NIAS UTARA,2941.413561900681,"[403, 393, 38]"
KAB. PADANG LAWAS,2671.7501930726767,"[403, 393]"
KAB. PADANG LAWAS UTARA,2704.587271690144,[403]
KAB. PAKPAK BHARAT,2885.4953477687613,"[403, 402, 318, 88]"
KAB. SAMOSIR,2831.3918127574616,"[403, 379]"
KAB. SERDANG BEDAGAI,2826.692265265478,[403]
KAB. SIMALUNGUN,2806.8739727647717,"[403, 346, 345, 321, 320]"
KAB. TAPANULI SELATAN,2744.543462569689,"[403, 402, 318, 79]"
KAB. TAPANULI TENGAH,2815.1876742963127,"[403, 402, 318, 79, 44]"
KAB. TAPANULI UTARA,2800.992038753944,"[403, 337, 338]"
KAB. TOBA SAMOSIR,2840.665910970649,"[403, 337, 338, 46]"
KOTA BINJAI,2917.4676770198466,"[403, 402, 401, 400, 332, 352, 52]"
KOTA GUNUNGSITOLI,2932.369135052064,"[403, 402, 401, 400, 332, 77]"
KOTA MEDAN,2940.976027770071,"[403, 399, 362, 361]"
KOTA PADANGSIDEMPUAN,2742.5173434333574,"[403, 402, 401]"
KOTA PEMATANGSIANTAR,2822.264413130643,"[403, 402, 401, 400, 332, 352]"
KOTA SIBOLGA,2825.830910451335,"[403, 402, 401, 400, 332, 331]"
KOTA TANJUNGBALAI,2810.726663945671,"[403, 393, 137, 138]"
KOTA TEBING TINGGI,2822.482432352901,"[403, 346, 345, 321]"
KAB. AGAM,2626.3083111257524,"[403, 337, 338, 142, 57]"
KAB. DHARMASRAYA,2437.4934711386436,"[403, 337, 338, 142]"
KAB. KEPULAUAN MENTAWAI,2706.516627984452,"[403, 124]"
KAB. LIMA PULUH KOTA,2606.5657466863854,"[403, 402, 318, 88]"
KAB. PADANG PARIAMAN,2683.278998586996,"[403, 402, 401, 132, 133]"
KAB. PASAMAN,2649.161077299502,"[403, 402, 318, 79]"
KAB. PASAMAN BARAT,2706.9318946320914,"[403, 402, 318, 79]"
KAB. PESISIR SELATAN,2484.720793170779,"[403, 379]"
KAB. SIJUNJUNG,2487.3149944164024,[403]
KAB. SOLOK,2500.0633745598916,"[403, 379]"
KAB. SOLOK SELATAN,2456.159487223087,"[403, 393, 137]"
KAB. TANAH DATAR,2562.855094333483,"[403, 337, 338]"
KOTA BUKITTINGGI,2580.1814570652805,"[403, 402, 401, 400]"
KOTA PADANG,2570.090050382036,"[403, 402, 318]"
KOTA PADANGPANJANG,2565.1274886930046,[403]
KOTA PARIAMAN,2594.8347755059044,"[403, 393, 137, 138, 103]"
KOTA PAYAKUMBUH,2596.9149797918203,"[403, 337, 338, 142, 141, 73]"
KOTA SAWAHLUNTO,2545.1561908721887,"[403, 337, 338, 142, 141]"
KOTA SOLOK,2550.97902638254,"[403, 402, 401, 400, 332, 355]"
KAB. BENGKALIS,2585.618348708058,"[403, 379, 378, 325, 76]"
KAB. INDRAGIRI HILIR,2354.5219331348844,"[403, 379, 378, 325]"
KAB. INDRAGIRI HULU,2369.82286482195,"[403, 402, 401, 400, 332]"
KAB. KAMPAR,2509.6008946166244,"[403, 393, 137]"
KAB. KEPULAUAN MERANTI,2360.7862919580334,"[403, 402, 318]"
KAB. KUANTAN SINGINGI,2482.0660130613123,"[403, 402, 401, 400, 336]"
KAB. PELALAWAN,2586.2464078923963,"[403, 402, 401, 400, 336, 80]"
KAB. ROKAN HILIR,2583.1624408107664,"[403, 402, 318, 88]"
KAB. ROKAN HULU,2602.9599079229397,"[403, 84]"
KAB. SIAK,2449.808254698218,[403]
KOTA DUMAI,2547.2530606089067,"[403, 402, 401, 400, 332, 331]"
KOTA PEKANBARU,2498.15442750293,"[403, 393, 137]"
KAB. BINTAN,2206.1599688653587,"[403, 402, 401, 400, 332, 352, 353]"
KAB. KARIMUN,2277.61338534089,"[403, 402, 318]"
KAB. KEPULAUAN ANAMBAS,2140.80116339688,"[403, 402]"
