city,distance,through
KAB. ACEH BARAT,1888.972317988613,"[171, 165, 1]"
KAB. ACEH BARAT DAYA,1769.2805213554448,"[171, 165]"
KAB. ACEH BESAR,2019.5753635589751,"[171, 165, 1]"
KAB. ACEH JAYA,1963.7401965732074,"[171, 170, 4]"
KAB. ACEH SELATAN,1713.275014813569,"[171, 170]"
KAB. ACEH SINGKIL,1621.42645134725,"[171, 165, 164, 144, 145, 66]"
KAB. ACEH TAMIANG,1773.5315560504678,"[171, 172, 124, 86]"
KAB. ACEH TENGAH,1863.8198609564245,"[171, 166, 84, 30, 26]"
KAB. ACEH TENGGARA,1713.879641075555,"[171, 165, 164, 144, 145, 67]"
KAB. ACEH TIMUR,1849.157812747847,"[171, 165, 164, 144, 145, 67, 8]"
KAB. ACEH UTARA,1879.954330967075,"[171, 170, 33]"
KAB. BENER MERIAH,1887.1036167968673,"[171, 165, 164, 69, 70]"
KAB. BIREUEN,1916.9376301062189,"[171, 165, 164, 163, 13]"
KAB. GAYO LUES,1767.7304694063268,"[171, 165, 164, 163]"
KAB. NAGAN RAYA,1864.8253064913456,"[171, 165, 164, 163, 13]"
KAB. PIDIE,1950.6829274410154,"[171, 132, 22]"
KAB. PIDIE JAYA,1956.3797159950482,"[171, 170, 77]"
KAB. SIMEULUE,1771.521853874442,"[171, 165, 164, 114]"
KOTA BANDA ACEH,2052.313982075278,"[171, 165, 164, 39]"
KOTA LANGSA,1754.272259814121,"[171, 165]"
KOTA LHOKSEUMAWE,1875.7434812944978,"[171, 165, 19]"
KOTA SABANG,2064.3450161860424,"[171, 132, 22]"
KOTA SUBULUSSALAM,1608.6632873981494,"[171, 132]"
KAB. ASAHAN,1622.7747617536884,"[171, 172, 157, 24]"
KAB. BATUBARA,1580.4421839533343,"[171, 172, 157]"
KAB. DAIRI,1637.9829229264208,"[171, 165, 164, 144, 135]"
KAB. DELI SERDANG,1627.0605514099495,"[171, 166, 84, 30]"
KAB. HUMBANG HASUNDUTAN,1563.0910234198486,"[171, 172, 130]"
KAB. KARO,1642.4343896328714,"[171, 166, 84, 30]"
KAB. LABUHANBATU,1442.3267821289805,"[171, 166, 84, 30]"
KAB. LABUHANBATU SELATAN,1390.7212166732409,"[171, 166, 84]"
KAB. LABUHANBATU UTARA,1456.0954123600357,"[171, 166, 84, 30]"
KAB. LANGKAT,1689.5831728100034,"[171, 166, 84]"
KAB. MANDAILING NATAL,1352.1949933319277,"[171, 170]"
KAB. NIAS,1504.409772200085,"[171, 165]"
KAB. NIAS BARAT,1521.2113725305176,[171]
KAB. NIAS SELATAN,1529.860108119267,"[171, 172, 157, 58]"
KAB. NIAS UTARA,1612.8996559026107,"[171, 172, 157, 58, 36]"
KAB. PADANG LAWAS,1386.2940101437816,"[171, 132, 133]"
KAB. PADANG LAWAS UTARA,1401.2831532669754,"[171, 165, 164]"
KAB. PAKPAK BHARAT,1589.741722913272,"[171, 165, 164, 39]"
KAB. SAMOSIR,1576.7666832217847,"[171, 165, 164, 144, 135]"
KAB. SERDANG BEDAGAI,1609.0225755578945,"[171, 165, 164, 39, 43]"
KAB. SIMALUNGUN,1562.1365099451073,"[171, 165, 164, 39]"
KAB. TAPANULI SELATAN,1451.4220438987118,"[171, 165, 164, 144, 145]"
KAB. TAPANULI TENGAH,1507.4526418091996,"[171, 165, 164, 114]"
KAB. TAPANULI UTARA,1484.5997464452653,"[171, 170, 77, 78]"
KAB. TOBA SAMOSIR,1524.2736186619697,"[171, 170, 77, 78, 46]"
