city,distance,through
KAB. ACEH BARAT,2066.682537267202,"[203, 100]"
KAB. ACEH BARAT DAYA,2111.7699315569757,"[203, 202, 168, 167, 166, 165]"
KAB. ACEH BESAR,2256.2600709661683,"[203, 227, 226, 3]"
KAB. ACEH JAYA,2179.9565976290696,"[203, 227, 226]"
KAB. ACEH SELATAN,1951.8570826453524,"[203, 227, 226, 221, 153, 5]"
KAB. ACEH SINGKIL,1831.1863577047711,"[203, 227, 226, 221, 153]"
KAB. ACEH TAMIANG,1994.498168952913,"[203, 204, 213, 214, 86]"
KAB. ACEH TENGAH,2062.1031797513647,"[203, 100, 101, 8]"
KAB. ACEH TENGGARA,1903.2951542697833,"[203, 100, 101]"
KAB. ACEH TIMUR,2022.8579127972457,"[203, 204, 88]"
KAB. ACEH UTARA,2089.448046885733,"[203, 204, 88, 9]"
KAB. BENER MERIAH,2092.09500758113,"[203, 204, 205, 43, 42]"
KAB. BIREUEN,2137.0324466622233,"[203, 227, 228, 44]"
KAB. GAYO LUES,1997.70675172761,"[203, 112]"
KAB. NAGAN RAYA,2060.551083784546,"[203, 227, 135, 25]"
KAB. PIDIE,2122.9338091613777,"[203, 16]"
KAB. PIDIE JAYA,2093.402412528797,[203]
KAB. SIMEULUE,1976.8185701246716,"[203, 112]"
KOTA BANDA ACEH,2288.5432027395054,"[203, 227, 135, 84, 39]"
KOTA LANGSA,2010.826236791594,"[203, 227, 226, 125]"
KOTA LHOKSEUMAWE,2060.189130317898,"[203, 100]"
KOTA SABANG,2276.3366700865763,"[203, 100, 20]"
KOTA SUBULUSSALAM,1871.9984134908527,"[203, 227, 135, 84, 83]"
KAB. ASAHAN,1853.4288654973238,"[203, 204, 225, 224, 24]"
KAB. BATUBARA,1811.0962876969697,"[203, 204, 225, 224]"
KAB. DAIRI,1819.2533800102156,"[203, 227, 135]"
KAB. DELI SERDANG,1835.1616406038854,"[203, 227, 135, 84, 30]"
KAB. HUMBANG HASUNDUTAN,1796.4655544775526,"[203, 227, 228, 85]"
KAB. KARO,1845.6844140736273,"[203, 227, 135, 25]"
KAB. LABUHANBATU,1627.8510864438515,"[203, 227, 228]"
KAB. LABUHANBATU SELATAN,1598.8223058671767,"[203, 227, 135, 84]"
KAB. LABUHANBATU UTARA,1664.1965015539715,"[203, 227, 135, 84, 30]"
KAB. LANGKAT,1897.6842620039392,"[203, 227, 135, 84]"
KAB. MANDAILING NATAL,1576.7813757076203,"[203, 227, 226]"
KAB. NIAS,1761.51303549494,"[203, 227, 226, 33]"
KAB. NIAS BARAT,1765.5232063803346,"[203, 227]"
KAB. NIAS SELATAN,1769.0932048919167,"[203, 227, 226, 221, 153, 58]"
KAB. NIAS UTARA,1734.514514766457,"[203, 100]"
KAB. PADANG LAWAS,1626.3580607126692,"[203, 227, 226, 221, 134, 133]"
KAB. PADANG LAWAS UTARA,1637.512373931203,"[203, 227, 135, 84]"
KAB. PAKPAK BHARAT,1822.7067524755405,"[203, 227, 135, 41]"
KAB. SAMOSIR,1758.0371403055797,"[203, 227, 135]"
KAB. SERDANG BEDAGAI,1810.6369263894128,"[203, 204, 205, 43]"
KAB. SIMALUNGUN,1763.7508607766256,"[203, 204, 205]"
KAB. TAPANULI SELATAN,1648.7814477183285,"[203, 227, 228]"
KAB. TAPANULI TENGAH,1719.425659444952,"[203, 227, 228, 44]"
KAB. TAPANULI UTARA,1707.1261847944022,"[203, 227, 226, 221, 153]"
KAB. TOBA SAMOSIR,1737.9149870258884,"[203, 227, 226, 221, 153, 123]"
KOTA BINJAI,1864.3906392741428,"[203, 227, 135, 84, 52]"
KOTA GUNUNGSITOLI,1769.6507617734921,"[203, 227, 65]"
KOTA MEDAN,1906.0580951622374,"[203, 202, 168]"
