city,distance,through
KAB. ACEH BARAT,1140.4917822812654,"[13, 14, 25, 26, 51]"
KAB. ACEH BARAT DAYA,1145.3674319543618,"[13, 14, 25, 28, 20, 21, 2]"
KAB. ACEH BESAR,895.0725897508314,"[13, 14, 25, 28, 20, 21]"
KAB. ACEH JAYA,971.3760630879301,"[13, 14, 25, 28, 20, 21, 2]"
KAB. ACEH SELATAN,1061.231878582384,"[13, 12, 11, 10, 9, 8, 7, 6, 5]"
KAB. ACEH SINGKIL,940.5611536418025,"[13, 12, 11, 10, 9, 8, 7, 6]"
KAB. ACEH TAMIANG,731.6773924511527,"[13, 12, 11, 10, 9, 8, 7]"
KAB. ACEH TENGAH,599.9998672153755,"[13, 12, 11, 10, 9, 8]"
KAB. ACEH TENGGARA,441.19184173379404,"[13, 12, 11, 10, 9]"
KAB. ACEH TIMUR,305.91367006150205,"[13, 12, 11, 10]"
KAB. ACEH UTARA,239.32353597301437,"[13, 12, 11]"
KAB. BENER MERIAH,200.20233427351363,"[13, 12]"
KAB. BIREUEN,149.207160699892,[13]
KAB. GAYO LUES,0.0,[]
KAB. NAGAN RAYA,97.09483708501874,[13]
KAB. PIDIE,219.12019916920218,"[13, 14]"
KAB. PIDIE JAYA,248.65159580178272,"[13, 14, 15]"
KAB. SIMEULUE,528.4722397450112,"[13, 14, 15, 16]"
KOTA BANDA ACEH,860.6616099295902,"[13, 14, 15, 16, 17]"
KOTA LANGSA,748.6195086394766,"[13, 14, 25, 28, 20]"
KOTA LHOKSEUMAWE,627.1482871590998,"[13, 14, 25, 28]"
KOTA SABANG,843.2958269277779,"[13, 14, 25, 28, 20]"
KOTA SUBULUSSALAM,561.1398392120683,"[13, 14, 15]"
KAB. ASAHAN,522.0852900730365,"[13, 14, 25, 24]"
KAB. BATUBARA,479.7527122726824,"[13, 14, 25]"
KAB. DAIRI,338.3925408593491,"[13, 14]"
KAB. DELI SERDANG,416.8229330069107,"[13, 14, 25]"
KAB. HUMBANG HASUNDUTAN,471.22301288185776,"[13, 14, 25, 28]"
KAB. KARO,364.8235749227607,"[13, 14, 25]"
KAB. LABUHANBATU,557.883981280955,"[13, 14, 25]"
KAB. LABUHANBATU SELATAN,609.4895467366947,"[13, 14, 25, 29]"
KAB. LABUHANBATU UTARA,674.8637424234895,"[13, 14, 25, 29, 30]"
KAB. LANGKAT,912.3396444819039,"[13, 14, 25, 29, 30, 31]"
KAB. MANDAILING NATAL,749.7762198282043,"[13, 14, 25, 38, 39]"
KAB. NIAS,592.5924698778265,"[13, 14, 25, 49, 35]"
KAB. NIAS BARAT,562.4663493789805,"[13, 14, 25, 49]"
KAB. NIAS SELATAN,613.7040975188453,"[13, 14, 25, 49, 35]"
KAB. NIAS UTARA,667.0412392261385,"[13, 14, 15]"
KAB. PADANG LAWAS,597.9800677436497,"[13, 14, 25]"
KAB. PADANG LAWAS UTARA,652.5495527461254,"[13, 14, 25, 38]"
KAB. PAKPAK BHARAT,630.5595204664293,"[13, 12, 11, 42, 41]"
KAB. SAMOSIR,565.8899082964685,"[13, 12, 11, 42]"
KAB. SERDANG BEDAGAI,481.66041546523115,"[13, 12, 11]"
KAB. SIMALUNGUN,528.5464810780184,"[13, 12, 11, 42]"
KAB. TAPANULI SELATAN,637.4581596437868,"[13, 12]"
KAB. TAPANULI TENGAH,708.1023713704104,"[13, 12, 44]"
KAB. TAPANULI UTARA,757.0967555219248,"[13, 12, 44, 45]"
KAB. TOBA SAMOSIR,796.7706277386293,"[13, 12, 44, 45, 46]"
KOTA BINJAI,647.1314311081185,"[13, 12, 11, 42, 43, 52]"
KOTA GUNUNGSITOLI,529.0950939995369,"[13, 14, 25]"
KOTA MEDAN,659.4981059164712,"[13, 14, 25, 24, 23]"
KOTA PADANGSIDEMPUAN,653.1573029330906,"[13, 14, 25, 26]"
KOTA PEMATANGSIANTAR,551.9281672189147,"[13, 12, 11, 42, 43]"
KOTA SIBOLGA,692.6145619856253,"[13, 12, 11, 42, 43, 52]"
KOTA TANJUNGBALAI,548.5503147187135,"[13, 14, 25, 28, 55]"
KOTA TEBING TINGGI,466.8135670471553,"[13, 14, 25, 28]"
KAB. AGAM,877.0147982732734,"[13, 14, 25, 28, 55]"
KAB. DHARMASRAYA,934.8843638368949,"[13, 80, 81]"
KAB. KEPULAUAN MENTAWAI,880.5100150312583,"[13, 14, 25, 49, 35, 36]"
KAB. LIMA PULUH KOTA,924.8952670625846,"[13, 14, 25, 49, 35, 34, 62]"
KAB. PADANG PARIAMAN,933.1552832336964,"[13, 12, 11, 42]"
KAB. PASAMAN,883.5939106331795,"[13, 14, 25, 49, 35, 34, 62]"
KAB. PASAMAN BARAT,823.9716183084909,"[13, 14, 25, 49, 35, 34]"
KAB. PESISIR SELATAN,821.8209043705901,"[13, 70, 71, 73, 74]"
KAB. SIJUNJUNG,941.1277983423863,"[13, 70, 71, 73, 74, 63]"
KAB. SOLOK,906.0955392745012,"[13, 70, 71, 73, 74, 63]"
KAB. SOLOK SELATAN,857.4998825775037,"[13, 70, 71, 73, 67]"
KAB. TANAH DATAR,729.0048739163502,"[13, 70, 71, 73]"
KOTA BUKITTINGGI,722.0555067533294,"[13, 70, 69]"
KOTA PADANG,650.4368421991238,"[13, 70]"
KOTA PADANGPANJANG,596.9112513669653,[13]
KOTA PARIAMAN,632.2749532878673,"[13, 70]"
KOTA PAYAKUMBUH,703.8536749815063,"[13, 70, 71]"
KOTA SAWAHLUNTO,700.2989051611557,"[13, 70, 71]"
KOTA SOLOK,714.7429770214327,"[13, 70, 71, 73]"
KAB. BENGKALIS,813.0128578540966,"[13, 14, 25, 28, 55]"
KAB. INDRAGIRI HILIR,1044.1092734272702,"[13, 14, 25, 28, 55, 75]"
KAB. INDRAGIRI HULU,1084.5095356021125,"[13, 14, 25, 29, 30, 84, 78]"
KAB. KAMPAR,928.275788628909,"[13, 14, 25, 29, 30, 84]"
KAB. KEPULAUAN MERANTI,871.4940065267548,"[13, 80]"
