city,distance,through
KAB. ACEH BARAT,2122.6383341620995,"[232, 231, 230]"
KAB. ACEH BARAT DAYA,2036.2493512232356,"[232, 231, 230, 165]"
KAB. ACEH BESAR,2253.439089055752,"[232, 233]"
KAB. ACEH JAYA,2192.4067620149917,"[232, 233, 153]"
KAB. ACEH SELATAN,1946.9776454522898,"[232, 231, 5]"
KAB. ACEH SINGKIL,1826.3069205117085,"[232, 231]"
KAB. ACEH TAMIANG,1953.7389851955427,[232]
KAB. ACEH TENGAH,2071.739659120217,"[232, 26]"
KAB. ACEH TENGGARA,1924.09393527729,"[232, 233, 153, 67]"
KAB. ACEH TIMUR,2059.372106949582,"[232, 233, 153, 67, 8]"
KAB. ACEH UTARA,2075.656531667701,"[232, 231, 230]"
KAB. BENER MERIAH,2095.4106393763145,"[232, 176]"
KAB. BIREUEN,2129.6604497078147,"[232, 231]"
KAB. GAYO LUES,1987.7832765737344,"[232, 233]"
KAB. NAGAN RAYA,2084.287972203541,"[232, 215, 214, 86, 25]"
KAB. PIDIE,2185.8763484516744,"[232, 231]"
KAB. PIDIE JAYA,2173.499816086885,"[232, 26]"
KAB. SIMEULUE,2031.918022767757,"[232, 176, 155]"
KOTA BANDA ACEH,2272.018987087526,"[232, 231, 230]"
KOTA LANGSA,2013.2184389401173,"[232, 231, 125]"
KOTA LHOKSEUMAWE,2110.1850546131027,"[232, 231, 28]"
KOTA SABANG,2305.2158518788056,"[232, 233, 2]"
KOTA SUBULUSSALAM,1890.383066175208,"[232, 185, 130, 27]"
KAB. ASAHAN,1834.3900521654,"[232, 185, 24]"
KAB. BATUBARA,1792.057474365046,"[232, 185]"
KAB. DAIRI,1842.9902684292106,"[232, 215, 214, 86]"
KAB. DELI SERDANG,1834.9803495737422,[232]
KAB. HUMBANG HASUNDUTAN,1797.7875696356286,"[232, 185, 130]"
KAB. KARO,1847.8603423767634,"[232, 231]"
KAB. LABUHANBATU,1685.2514839252995,"[232, 185, 30]"
KAB. LABUHANBATU SELATAN,1633.6459184695598,"[232, 185]"
KAB. LABUHANBATU UTARA,1699.0201141563546,"[232, 185, 30]"
KAB. LANGKAT,1912.2775930464848,"[232, 233, 153]"
KAB. MANDAILING NATAL,1624.3992581586008,"[232, 231, 230, 165, 164, 144]"
KAB. NIAS,1761.4896554920829,"[232, 231, 230, 123, 62]"
KAB. NIAS BARAT,1791.615775990929,"[232, 231, 230, 123, 62, 34]"
KAB. NIAS SELATAN,1766.035731013159,"[232, 233, 153, 58]"
KAB. NIAS UTARA,1797.3638212806554,"[232, 215]"
KAB. PADANG LAWAS,1604.6421309576217,"[232, 176, 133]"
KAB. PADANG LAWAS UTARA,1659.2116159600976,"[232, 176, 133, 38]"
KAB. PAKPAK BHARAT,1843.8325457217668,"[232, 215, 214, 41]"
KAB. SAMOSIR,1779.162933551806,"[232, 215, 214]"
KAB. SERDANG BEDAGAI,1853.4738222975952,"[232, 231, 44, 43]"
KAB. SIMALUNGUN,1806.587756684808,"[232, 231, 44]"
KAB. TAPANULI SELATAN,1650.8370229337745,"[232, 231]"
KAB. TAPANULI TENGAH,1719.7138476526022,"[232, 215]"
KAB. TAPANULI UTARA,1704.0687109156447,"[232, 233, 153]"
KAB. TOBA SAMOSIR,1731.047862438528,"[232, 231, 230, 123]"
KOTA BINJAI,1895.2733446911016,"[232, 231, 230, 123, 52]"
KOTA GUNUNGSITOLI,1774.9035966923373,[232]
KOTA MEDAN,1900.0492457887212,"[232, 176, 102]"
KOTA PADANGSIDEMPUAN,1694.850741381886,"[232, 231, 230, 165, 164, 114, 74]"
KOTA PEMATANGSIANTAR,1800.0700808018978,"[232, 231, 230, 123]"
KOTA SIBOLGA,1732.0608804958224,"[232, 185, 66]"
KOTA TANJUNGBALAI,1738.0382785901522,"[232, 176]"
KOTA TEBING TINGGI,1798.331200133176,"[232, 231, 230, 76, 75]"
KAB. AGAM,1464.8013227170838,"[232, 231, 125, 126, 109]"
KAB. DHARMASRAYA,1308.2302237252802,"[232, 215, 214, 213]"
KAB. KEPULAUAN MENTAWAI,1499.2298135007459,"[232, 233, 153]"
KAB. LIMA PULUH KOTA,1475.158606362072,"[232, 231, 125, 126, 109]"
KAB. PADANG PARIAMAN,1431.5738861193545,"[232, 176, 133]"
KAB. PASAMAN,1488.9316820740578,"[232, 231, 125]"
KAB. PASAMAN BARAT,1530.1105070614185,"[232, 231, 230, 123]"
KAB. PESISIR SELATAN,1332.5570530796308,"[232, 231, 230, 165, 164, 144, 145]"
KAB. SIJUNJUNG,1390.2015085278038,"[232, 185, 66, 65]"
KAB. SOLOK,1351.2772147434976,"[232, 185, 66]"
KAB. SOLOK SELATAN,1286.9443556688454,"[232, 185]"
KAB. TANAH DATAR,1395.2559037653361,"[232, 233, 153]"
KOTA BUKITTINGGI,1423.304902326319,"[232, 231]"
KOTA PADANG,1405.4967312108665,"[232, 231, 230, 165, 164]"
KOTA PADANGPANJANG,1415.9424214984342,"[232, 231, 125]"
KOTA PARIAMAN,1424.9866312464158,"[232, 215]"
KOTA PAYAKUMBUH,1440.690890485479,"[232, 231, 125, 107]"
KOTA SAWAHLUNTO,1423.9618725205307,"[232, 233, 153, 67]"
