city,distance,through
KAB. ACEH BARAT,3628.2770170773124,"[466, 343, 342]"
KAB. ACEH BARAT DAYA,3655.652585076686,"[466, 467, 385, 142, 141, 140]"
KAB. ACEH BESAR,3726.027941069462,"[466, 467, 89, 3]"
KAB. ACEH JAYA,3649.7244677323633,"[466, 467, 89]"
KAB. ACEH SELATAN,3515.2942823049716,"[466, 467, 78]"
KAB. ACEH SINGKIL,3525.955833225107,"[466, 467, 67, 73, 72]"
KAB. ACEH TAMIANG,3558.967529433629,"[466, 467, 396, 395, 345, 321, 86]"
KAB. ACEH TENGAH,3552.5143188015195,"[466, 467, 328, 8]"
KAB. ACEH TENGGARA,3393.706293319938,"[466, 467, 328]"
KAB. ACEH TIMUR,3516.213674813982,"[466, 467, 396, 395, 345]"
KAB. ACEH UTARA,3482.025486199318,"[466, 467, 89]"
KAB. BENER MERIAH,3514.2799229639686,"[466, 467, 328]"
KAB. BIREUEN,3565.2750965375903,"[466, 467, 328, 11]"
KAB. GAYO LUES,3525.200840377708,"[466, 467, 385]"
KAB. NAGAN RAYA,3589.7849334258162,"[466, 467, 96, 29, 25]"
KAB. PIDIE,3699.076530073125,"[466, 467, 96, 29, 16]"
KAB. PIDIE JAYA,3669.5451334405443,"[466, 467, 96, 29]"
KAB. SIMEULUE,3605.8707676070508,"[466, 467, 396]"
KOTA BANDA ACEH,3710.3930531042215,"[466, 467, 96, 97, 19]"
KOTA LANGSA,3393.2333975381152,"[466, 467, 96, 97]"
KOTA LHOKSEUMAWE,3514.704619018492,"[466, 467, 96, 97, 19]"
KOTA SABANG,3730.85215878717,"[466, 467, 96, 97, 19, 20]"
KOTA SUBULUSSALAM,3357.938891954117,"[466, 467, 328]"
KAB. ASAHAN,3246.0473431622795,"[466, 467, 385]"
KAB. BATUBARA,3288.3799209626336,"[466, 467, 385, 23]"
KAB. DAIRI,3348.487229651486,"[466, 467, 96, 29]"
KAB. DELI SERDANG,3397.1319488215177,"[466, 467, 396, 395, 345, 321, 30]"
KAB. HUMBANG HASUNDUTAN,3307.299317520124,"[466, 467, 96, 29]"
KAB. KARO,3356.9076374421415,"[466, 467, 96, 29]"
KAB. LABUHANBATU,3128.99578922988,"[466, 467, 96]"
KAB. LABUHANBATU SELATAN,3160.792614084809,"[466, 467, 396, 395, 345, 321]"
KAB. LABUHANBATU UTARA,3225.3234731322773,"[466, 467, 320, 319]"
KAB. LANGKAT,3462.7993751906915,"[466, 467, 320, 319, 31]"
KAB. MANDAILING NATAL,3199.6988248631105,"[466, 467, 396]"
KAB. NIAS,3384.43048465043,"[466, 467, 396, 33]"
KAB. NIAS BARAT,3414.556605149276,"[466, 467, 396, 33, 34]"
KAB. NIAS SELATAN,3465.794353289141,"[466, 467, 396, 33, 34, 35]"
KAB. NIAS UTARA,3444.4246940638805,"[466, 467, 96]"
KAB. PADANG LAWAS,3180.6595336287182,"[466, 467, 96]"
KAB. PADANG LAWAS UTARA,3169.019488530385,"[466, 343]"
KAB. PAKPAK BHARAT,3357.4780581766813,"[466, 343, 39]"
KAB. SAMOSIR,3348.1213635460476,"[466, 467, 320, 43, 42]"
KAB. SERDANG BEDAGAI,3263.8918707148105,"[466, 467, 320, 43]"
KAB. SIMALUNGUN,3217.0058051020233,"[466, 467, 320]"
KAB. TAPANULI SELATAN,3193.0955545512224,"[466, 467, 328]"
KAB. TAPANULI TENGAH,3263.7397662778462,"[466, 467, 328, 44]"
