city,distance,through
KAB. ACEH BARAT,3725.856856400528,"[465, 96, 323]"
KAB. ACEH BARAT DAYA,3682.7676398668323,"[465, 140]"
KAB. ACEH BESAR,3625.0735294030483,"[465, 370]"
KAB. ACEH JAYA,3701.377002740147,"[465, 370, 2]"
KAB. ACEH SELATAN,3506.758148745468,"[465, 370, 369, 368, 367]"
KAB. ACEH SINGKIL,3524.9595416834345,"[465, 464, 371]"
KAB. ACEH TAMIANG,3535.723017562979,"[465, 96, 38]"
KAB. ACEH TENGAH,3519.1950832855455,"[465, 8]"
KAB. ACEH TENGGARA,3360.387057803964,[465]
KAB. ACEH TIMUR,3495.665229476256,"[465, 8]"
KAB. ACEH UTARA,3454.2576770057694,"[465, 370, 369, 368]"
KAB. BENER MERIAH,3493.3788787052704,"[465, 370, 369, 368, 10]"
KAB. BIREUEN,3544.374052278892,"[465, 370, 369, 368, 10, 11]"
KAB. GAYO LUES,3623.5920597548293,"[465, 137]"
KAB. NAGAN RAYA,3544.4702958079397,"[465, 96, 29, 25]"
KAB. PIDIE,3653.7618924552485,"[465, 96, 29, 16]"
KAB. PIDIE JAYA,3624.2304958226678,"[465, 96, 29]"
KAB. SIMEULUE,3759.1735935040397,"[465, 370, 369, 61, 59]"
KOTA BANDA ACEH,3665.078415486345,"[465, 96, 97, 19]"
KOTA LANGSA,3347.9187599202387,"[465, 96, 97]"
KOTA LHOKSEUMAWE,3469.3899814006154,"[465, 96, 97, 19]"
KOTA SABANG,3676.850292226102,"[465, 370, 2]"
KOTA SUBULUSSALAM,3333.719531116414,[465]
KAB. ASAHAN,3394.2769934201374,"[465, 464, 371, 24]"
KAB. BATUBARA,3351.9444156197833,"[465, 464, 371]"
KAB. DAIRI,3303.1725920336094,"[465, 96, 29]"
KAB. DELI SERDANG,3371.6260518044514,"[465, 96, 29, 30]"
KAB. HUMBANG HASUNDUTAN,3261.9846799022475,"[465, 96, 29]"
KAB. KARO,3311.592999824265,"[465, 96, 29]"
KAB. LABUHANBATU,3083.6811516120033,"[465, 96]"
KAB. LABUHANBATU SELATAN,3135.2867170677428,"[465, 96, 29]"
KAB. LABUHANBATU UTARA,3200.6609127545375,"[465, 96, 29, 30]"
KAB. LANGKAT,3438.136814812952,"[465, 96, 29, 30, 31]"
KAB. MANDAILING NATAL,3287.141048095396,"[465, 96, 38, 39]"
KAB. NIAS,3430.4957022961057,"[465, 370, 369, 61, 62]"
KAB. NIAS BARAT,3460.6218227949516,"[465, 370, 369, 61, 62, 34]"
KAB. NIAS SELATAN,3482.1496042293475,"[465, 96, 37]"
KAB. NIAS UTARA,3399.110056446004,"[465, 96]"
KAB. PADANG LAWAS,3135.3448960108417,"[465, 96]"
KAB. PADANG LAWAS UTARA,3189.9143810133173,"[465, 96, 38]"
KAB. PAKPAK BHARAT,3351.963346044022,"[465, 370, 369, 368, 41]"
KAB. SAMOSIR,3287.293733874061,"[465, 370, 369, 368]"
KAB. SERDANG BEDAGAI,3277.1671301669176,"[465, 370, 369, 368, 43]"
KAB. SIMALUNGUN,3230.2810645541304,"[465, 370, 369, 368]"
KAB. TAPANULI SELATAN,3340.6769721180012,"[465, 47, 46, 45]"
KAB. TAPANULI TENGAH,3270.0327603913775,"[465, 47, 46]"
KAB. TAPANULI UTARA,3221.038376239863,"[465, 47]"
KAB. TOBA SAMOSIR,3181.364504023158,[465]
KOTA BINJAI,3320.1464656458224,"[465, 370, 369, 52]"
KOTA GUNUNGSITOLI,3481.772319564852,"[465, 137, 138, 103, 65]"
KOTA MEDAN,3531.689809263572,"[465, 464, 371, 24, 23]"
KOTA PADANGSIDEMPUAN,3404.061799073455,"[465, 370, 369, 52]"
KOTA PEMATANGSIANTAR,3224.9432017566187,"[465, 370, 369]"
KOTA SIBOLGA,3364.4306621251576,"[465, 137, 78]"
KOTA TANJUNGBALAI,3347.6331051601182,"[465, 137, 138]"
KOTA TEBING TINGGI,3413.5829919486596,"[465, 96, 29, 28]"
KAB. AGAM,3208.3862714282795,"[465, 370, 369, 57]"
KAB. DHARMASRAYA,3019.5714314411707,"[465, 370, 369]"
KAB. KEPULAUAN MENTAWAI,3251.8395332852374,"[465, 137, 66]"
KAB. LIMA PULUH KOTA,3182.6819784287172,"[465, 370, 369, 61]"
KAB. PADANG PARIAMAN,3225.8814363218285,"[465, 370, 369, 61]"
KAB. PASAMAN,3139.4942615407526,"[465, 370, 369]"
KAB. PASAMAN BARAT,3199.1165538654413,"[465, 370, 369, 61]"
KAB. PESISIR SELATAN,3124.5081986888695,"[465, 137, 138, 103, 65]"
KAB. SIJUNJUNG,3079.1578575692643,"[465, 137, 138, 103, 65]"
KAB. SOLOK,3040.2335637849583,"[465, 137, 138, 103]"
KAB. SOLOK SELATAN,2993.0659284375347,"[465, 137]"
KAB. TANAH DATAR,3121.560937098688,"[465, 137, 66]"
KOTA BUKITTINGGI,3150.433768520609,"[465, 137, 66, 67]"
KOTA PADANG,3200.30651798937,"[465, 137, 138, 103, 104, 107]"
KOTA PADANGPANJANG,3167.104918641254,"[465, 137, 138, 103, 71]"
KOTA PARIAMAN,3131.741216720352,"[465, 137, 138, 103]"
KOTA PAYAKUMBUH,3202.0256947735143,"[465, 137, 66, 67, 73]"
KOTA SAWAHLUNTO,3150.2669058538827,"[465, 137, 66, 67]"
KOTA SOLOK,3164.7109777141595,"[465, 137, 66, 67, 73]"
KAB. BENGKALIS,3288.5219284966697,"[465, 370, 369, 368, 324, 325, 76]"
KAB. INDRAGIRI HILIR,3057.425512923496,"[465, 370, 369, 368, 324, 325]"
KAB. INDRAGIRI HULU,3091.1784583890944,"[465, 464, 332]"
KAB. KAMPAR,3046.507335831072,"[465, 137]"
KAB. KEPULAUAN MERANTI,3055.6953475384416,"[465, 464, 463, 357]"
KAB. KUANTAN SINGINGI,3189.626750331674,"[465, 464, 445, 444, 443, 376]"
KAB. PELALAWAN,3176.484092675477,"[465, 370, 369, 57]"
KAB. ROKAN HILIR,3146.244718601609,"[465, 96, 83]"
KAB. ROKAN HULU,3067.922783541426,"[465, 96]"
KAB. SIAK,3144.246728910871,"[465, 464, 445, 444, 321]"
KOTA DUMAI,3164.099939759439,"[465, 137, 86]"
KOTA PEKANBARU,3035.0608687173776,"[465, 137]"
KAB. BINTAN,2836.530627755111,"[465, 338, 353]"
KAB. KARIMUN,2964.5738262811883,"[465, 338, 353, 87]"
KAB. KEPULAUAN ANAMBAS,2673.4651217804444,"[465, 464, 445]"
KAB. LINGGA,2817.685356457627,"[465, 338, 142, 143]"
KAB. NATUNA,2406.910217974846,"[465, 464, 371]"
KOTA BATAM,2968.7405258318013,"[465, 338, 339]"
KOTA TANJUNG PINANG,2924.0603612383575,"[465, 464, 471, 334, 94]"
PULAU TAMBELAN KAB. BINTAN,2605.359779087068,"[465, 464, 471, 334]"
PEKAJANG KAB. LINGGA,2666.623658497435,"[465, 96]"
PULAU SERASAN KAB. NATUNA,2096.8604060370994,[465]
PULAU MIDAI KAB. NATUNA,2248.277018632715,"[465, 96]"
PULAU LAUT KAB. NATUNA,2439.918449168634,"[465, 96, 97]"
KAB. BATANGHARI,3136.1161454208377,"[465, 194]"
KAB. BUNGO,3022.3985606159877,"[465, 338]"
KAB. KERINCI,2993.383459116175,"[465, 137, 138, 103, 102]"
KAB. MERANGIN,2923.907609112263,"[465, 137, 138, 103]"
KAB. MUARO JAMBI,2707.879918417876,"[465, 137, 138]"
KAB. SAROLANGUN,2857.920988674951,"[465, 137, 138, 103]"
KAB. TANJUNG JABUNG BARAT,2994.827704897967,"[465, 370, 369, 368, 317]"
KAB. TANJUNG JABUNG TIMUR,2924.8413113476354,"[465, 464, 335]"
KAB. TEBO,2983.037990713793,"[465, 137, 138, 103, 104]"
KOTA JAMBI,2986.296728082225,"[465, 464, 387, 449, 448]"
KOTA SUNGAI PENUH,3067.562130173451,"[465, 140, 128, 127, 126]"
KAB. BENGKULU SELATAN,2904.276486984918,"[465, 338, 142]"
KAB. BENGKULU TENGAH,3002.047655617497,"[465, 137, 112]"
KAB. BENGKULU UTARA,2935.9184391597064,"[465, 137]"
KAB. KAUR,2888.6446778605978,"[465, 137, 136]"
KAB. KEPAHIANG,3009.545055519215,"[465, 137, 136, 113]"
KAB. LEBONG,3065.8132269359085,"[465, 338, 147]"
KAB. MUKOMUKO,3052.1784261932357,"[465, 140, 139]"
KAB. REJANG LEBONG,3030.425616809426,"[465, 464, 471]"
KAB. SELUMA,3018.1069869631765,"[465, 338, 119]"
KOTA BENGKULU,2960.3199667889767,"[465, 338]"
KAB. BANYUASIN,2836.5546426833753,"[465, 370, 369, 368, 367]"
KAB. EMPAT LAWANG,2858.652988332984,"[465, 140, 123, 122]"
KAB. LAHAT,2806.852897336055,"[465, 140, 123]"
KAB. MUARA ENIM,2734.212939662136,"[465, 140]"
KAB. MUSI BANYUASIN,2867.627087678195,"[465, 140, 123]"
KAB. MUSI RAWAS,2925.981872105935,"[465, 370]"
KAB. MUSI RAWAS UTARA,2900.3680625377347,"[465, 140, 128, 127]"
KAB. OGAN ILIR,2677.9228816192885,"[465, 140, 128]"
KAB. OGAN KOMERING ILIR,2610.4251142170315,"[465, 140]"
KAB. OGAN KOMERING ULU,2759.2322480888924,"[465, 140, 128]"
KAB. OGAN KOMERING ULU SELATAN,2815.4409972834433,"[465, 338, 142]"
KAB. OGAN KOMERING ULU TIMUR,2801.136588520715,"[465, 338, 353, 135]"
KAB. PENUKAL ABAB LEMATANG ILIR,2866.5204440001075,"[465, 464]"
KOTA LUBUKLINGGAU,2978.9475221565635,"[465, 370, 369]"
KOTA PAGAR ALAM,2911.8482905084693,"[465, 338, 353, 135]"
KOTA PALEMBANG,2703.1730730167956,"[465, 338, 353]"
KOTA PRABUMULIH,2725.179117653547,"[465, 137]"
KAB. BANGKA,2471.4359037354143,[465]
KAB. BANGKA BARAT,2518.5412502287854,"[465, 137]"
KAB. BANGKA SELATAN,2495.9712010067865,"[465, 140]"
KAB. BANGKA TENGAH,2449.9692021041537,[465]
KAB. BELITUNG,2359.965118443545,"[465, 338, 142]"
KAB. BELITUNG TIMUR,2314.8151045019927,"[465, 338]"
KOTA PANGKAL PINANG,2554.305359200585,"[465, 338, 142]"
KAB. LAMPUNG TENGAH,2695.2849957395397,"[465, 338, 142]"
KAB. LAMPUNG UTARA,2757.4617110411077,"[465, 338, 142, 144]"
KAB. LAMPUNG SELATAN,2694.887589649114,"[465, 338, 353]"
KAB. LAMPUNG BARAT,2759.4360493926633,"[465, 338]"
KAB. LAMPUNG TIMUR,2814.2524344471153,"[465, 140, 139, 149]"
KAB. MESUJI,2684.1169485375303,"[465, 140, 139]"
KAB. PESAWARAN,2797.448500192442,"[465, 464, 335]"
KAB. PESISIR BARAT,2871.5533156834626,"[465, 226, 221, 152]"
KAB. PRINGSEWU,2775.9878259553097,"[465, 226, 221]"
KAB. TULANG BAWANG,2681.671586823377,"[465, 195]"
KAB. TULANG BAWANG BARAT,2733.8012880506903,"[465, 195, 153]"
KAB. TANGGAMUS,2758.219416487626,"[465, 194]"
