city,distance,through
KAB. ACEH BARAT,860.2601813935162,"[27, 26, 51]"
KAB. ACEH BARAT DAYA,850.3488303540561,"[27, 22, 21, 2]"
KAB. ACEH BESAR,600.0539881505257,"[27, 22, 21]"
KAB. ACEH JAYA,676.3574614876245,"[27, 22, 21, 2]"
KAB. ACEH SELATAN,834.5826530326448,"[27, 26, 7, 6, 5]"
KAB. ACEH SINGKIL,713.9119280920634,"[27, 26, 7, 6]"
KAB. ACEH TAMIANG,505.02816690141356,"[27, 26, 7]"
KAB. ACEH TENGAH,373.3506416656363,"[27, 26]"
KAB. ACEH TENGGARA,532.1586671472178,"[27, 26, 7]"
KAB. ACEH TIMUR,667.4368388195098,"[27, 26, 7, 8]"
KAB. ACEH UTARA,710.5465488548722,"[27, 28, 25, 14, 13, 12, 11]"
KAB. BENER MERIAH,671.4253471553715,"[27, 28, 25, 14, 13, 12]"
KAB. BIREUEN,620.4301735817498,"[27, 28, 25, 14, 13]"
KAB. GAYO LUES,471.2230128818578,"[27, 28, 25, 14]"
KAB. NAGAN RAYA,374.12817579683906,"[27, 28, 25]"
KAB. PIDIE,434.6151365824454,"[27, 22]"
KAB. PIDIE JAYA,464.14653321502595,"[27, 22, 15]"
KAB. SIMEULUE,564.2585264586061,"[27, 28, 55]"
KOTA BANDA ACEH,807.3550272419192,"[27, 28, 20, 19]"
KOTA LANGSA,490.1953716758129,"[27, 28, 20]"
KOTA LHOKSEUMAWE,368.72415019543615,"[27, 28]"
KOTA SABANG,548.2772253274721,"[27, 22]"
KOTA SUBULUSSALAM,92.59549653957927,[27]
KAB. ASAHAN,283.80990143123455,"[27, 22]"
KAB. BATUBARA,274.19064343584205,"[27, 28, 25]"
KAB. DAIRI,132.8304720225087,"[27, 28]"
KAB. DELI SERDANG,136.5913321191614,[27]
KAB. HUMBANG HASUNDUTAN,0.0,[]
KAB. KARO,106.39943795909706,[27]
KAB. LABUHANBATU,178.30352829024412,[27]
KAB. LABUHANBATU SELATAN,229.9090937459838,"[27, 29]"
KAB. LABUHANBATU UTARA,295.2832894327786,"[27, 29, 30]"
KAB. LANGKAT,532.759191491193,"[27, 29, 30, 31]"
KAB. MANDAILING NATAL,472.03159488422517,"[27, 29, 38, 39]"
KAB. NIAS,318.7556923397801,"[27, 22, 49, 35]"
KAB. NIAS BARAT,288.62957184093403,"[27, 22, 49]"
KAB. NIAS SELATAN,339.86731998079887,"[27, 22, 49, 35]"
KAB. NIAS UTARA,422.90686776414253,"[27, 22, 49, 35, 36]"
KAB. PADANG LAWAS,320.23544279967064,"[27, 29]"
KAB. PADANG LAWAS UTARA,374.8049278021464,"[27, 29, 38]"
KAB. PAKPAK BHARAT,563.2634974484429,"[27, 29, 38, 39]"
KAB. SAMOSIR,522.3745339974229,"[27, 26, 51]"
KAB. SERDANG BEDAGAI,582.5443500930655,"[27, 29, 38, 39, 43]"
KAB. SIMALUNGUN,535.6582844802783,"[27, 29, 38, 39]"
KAB. TAPANULI SELATAN,691.4090182313118,"[27, 29, 38, 39, 43]"
KAB. TAPANULI TENGAH,761.1968966714912,"[27, 29, 30, 31, 32]"
KAB. TAPANULI UTARA,737.2653090483985,"[27, 22, 49, 48, 47]"
KAB. TOBA SAMOSIR,697.5914368316941,"[27, 22, 49, 48]"
KOTA BINJAI,532.7900663128622,"[27, 22, 49]"
KOTA GUNUNGSITOLI,255.2583164614904,"[27, 22]"
KOTA MEDAN,421.2227172746692,"[27, 22, 23]"
KOTA PADANGSIDEMPUAN,372.92570204534127,"[27, 26]"
KOTA PEMATANGSIANTAR,552.0442993621774,"[27, 26, 51]"
KOTA SIBOLGA,467.22431898836373,"[27, 28, 55, 54]"
KOTA TANJUNGBALAI,290.12617775504987,"[27, 28, 55]"
KOTA TEBING TINGGI,208.38943008349165,"[27, 28]"
KAB. AGAM,618.5906613096098,"[27, 28, 55]"
KAB. DHARMASRAYA,688.2710298541267,"[27, 29, 30, 81]"
KAB. KEPULAUAN MENTAWAI,606.6732374932119,"[27, 22, 49, 35, 36]"
KAB. LIMA PULUH KOTA,651.0584895245382,"[27, 22, 49, 35, 34, 62]"
KAB. PADANG PARIAMAN,696.1443078762087,"[27, 22, 49, 35, 34, 62, 61]"
KAB. PASAMAN,609.7571330951331,"[27, 22, 49, 35, 34, 62]"
KAB. PASAMAN BARAT,550.1348407704445,"[27, 22, 49, 35, 34]"
KAB. PESISIR SELATAN,716.9118269424023,"[27, 29, 30, 70, 71, 73, 74]"
KAB. SIJUNJUNG,735.7213660256903,"[27, 22, 49, 65]"
KAB. SOLOK,696.7970722413841,"[27, 22, 49]"
KAB. SOLOK SELATAN,752.5908051493159,"[27, 29, 30, 70, 71, 73, 67]"
KAB. TANAH DATAR,624.0957964881624,"[27, 29, 30, 70, 71, 73]"
KOTA BUKITTINGGI,617.1464293251415,"[27, 29, 30, 70, 69]"
KOTA PADANG,545.527764770936,"[27, 29, 30, 70]"
KOTA PADANGPANJANG,492.00217393877745,"[27, 29, 30]"
KOTA PARIAMAN,527.3658758596795,"[27, 29, 30, 70]"
KOTA PAYAKUMBUH,598.9445975533184,"[27, 29, 30, 70, 71]"
KOTA SAWAHLUNTO,595.3898277329679,"[27, 29, 30, 70, 71]"
KOTA SOLOK,609.8338995932448,"[27, 29, 30, 70, 71, 73]"
KAB. BENGKALIS,554.5887208904329,"[27, 28, 55]"
KAB. INDRAGIRI HILIR,785.6851364636066,"[27, 28, 55, 75]"
KAB. INDRAGIRI HULU,683.2280420668383,"[27, 85, 84, 78]"
KAB. KAMPAR,526.9942950936347,"[27, 85, 84]"
KAB. KEPULAUAN MERANTI,715.2683252941613,"[27, 85, 84, 78]"
KAB. KUANTAN SINGINGI,635.5387634509045,"[27, 29, 30, 81]"
KAB. PELALAWAN,531.3583686198206,"[27, 29, 30]"
KAB. ROKAN HILIR,507.37225576079896,"[27, 22, 83]"
KAB. ROKAN HULU,429.0503207006161,"[27, 22]"
KAB. SIAK,424.6384229635029,"[27, 85]"
KOTA DUMAI,319.8151611260116,[27]
KOTA PEKANBARU,448.854232168073,"[27, 85]"
KAB. BINTAN,795.839707131714,"[27, 85, 86]"
KAB. KARIMUN,760.1013941704174,"[27, 22, 83]"
KAB. KEPULAUAN ANAMBAS,793.0187622017007,[27]
KAB. LINGGA,1213.642165340294,"[27, 89]"
KAB. NATUNA,1393.6592709485733,"[27, 28, 25, 24, 92]"
KOTA BATAM,828.7170533011055,"[27, 28, 25, 24]"
KOTA TANJUNG PINANG,880.364953365094,"[27, 28, 25, 24, 92]"
PULAU TAMBELAN KAB. BINTAN,1029.7532627837331,"[27, 29, 30]"
PEKAJANG KAB. LINGGA,1258.6207254349324,"[27, 22, 49, 35, 36, 58]"
