city,distance,through
KAB. ACEH BARAT,995.1420221757251,"[76, 77]"
KAB. ACEH BARAT DAYA,1114.8338188088933,"[76, 77, 0]"
KAB. ACEH BESAR,1138.3699068488465,"[76, 77, 78, 4, 3]"
KAB. ACEH JAYA,1062.0664335117478,"[76, 77, 78, 4]"
KAB. ACEH SELATAN,811.6012517521095,"[76, 77, 78]"
KAB. ACEH SINGKIL,932.2719766926909,"[76, 77, 78, 4]"
KAB. ACEH TAMIANG,1073.4683315034586,"[76, 77, 78, 84, 39, 38]"
KAB. ACEH TENGAH,1020.9064342619577,"[76, 75, 55, 28, 25, 26]"
KAB. ACEH TENGGARA,1070.266281041428,"[76, 75, 74, 73, 67]"
KAB. ACEH TIMUR,1177.0913047867912,"[76, 77, 78, 53, 52, 43, 42, 11, 10]"
KAB. ACEH UTARA,1110.5011706983034,"[76, 77, 78, 53, 52, 43, 42, 11]"
KAB. BENER MERIAH,1071.3799689988027,"[76, 77, 78, 53, 52, 43, 42]"
KAB. BIREUEN,1122.3751425724242,"[76, 77, 78, 53, 52, 43, 42, 11]"
KAB. GAYO LUES,1044.1092734272702,"[76, 75, 55, 28, 25, 14]"
KAB. NAGAN RAYA,947.0144363422514,"[76, 75, 55, 28, 25]"
KAB. PIDIE,992.0782597906923,"[76, 75, 16]"
KAB. PIDIE JAYA,962.5468631581118,"[76, 75]"
KAB. SIMEULUE,933.1648027552294,"[76, 75, 55]"
KOTA BANDA ACEH,1265.3541729398084,"[76, 75, 55, 17]"
KOTA LANGSA,1063.0816322212254,"[76, 75, 55, 28, 20]"
KOTA LHOKSEUMAWE,941.6104107408486,"[76, 75, 55, 28]"
KOTA SABANG,1157.7579505095266,"[76, 75, 55, 28, 20]"
KOTA SUBULUSSALAM,821.8634335364457,"[76, 35, 49]"
KAB. ASAHAN,889.4094817816085,"[76, 75, 55, 28, 25, 24]"
KAB. BATUBARA,847.0769039812544,"[76, 75, 55, 28, 25]"
KAB. DAIRI,705.7167325679211,"[76, 75, 55, 28]"
KAB. DELI SERDANG,784.1471247154827,"[76, 75, 55, 28, 25]"
KAB. HUMBANG HASUNDUTAN,785.6851364636066,"[76, 75, 55, 28]"
KAB. KARO,679.2856985045095,"[76, 75, 55]"
KAB. LABUHANBATU,631.4362223405594,"[76, 77, 78, 84, 30]"
KAB. LABUHANBATU SELATAN,579.8306568848197,"[76, 77, 78, 84]"
KAB. LABUHANBATU UTARA,645.2048525716145,"[76, 77, 78, 84, 30]"
