city,distance,through
KAB. ACEH BARAT,1858.2097657888153,"[175, 158, 112]"
KAB. ACEH BARAT DAYA,1977.9015624219835,"[175, 158, 112, 0]"
KAB. ACEH BESAR,1938.0819573204374,"[175, 38]"
KAB. ACEH JAYA,1947.9039098026938,"[175, 127, 126, 109, 59, 62, 4]"
KAB. ACEH SELATAN,1697.4387280430553,"[175, 127, 126, 109, 59, 62]"
KAB. ACEH SINGKIL,1625.978567313175,"[175, 176, 133, 71, 72]"
KAB. ACEH TAMIANG,1657.4954469112881,"[175, 38]"
KAB. ACEH TENGAH,1789.1729721470654,"[175, 38, 6]"
KAB. ACEH TENGGARA,1639.9898436849162,"[175, 176, 101]"
KAB. ACEH TIMUR,1757.4763213018227,"[175, 127, 126, 109]"
KAB. ACEH UTARA,1794.4660944997659,"[175, 176]"
KAB. BENER MERIAH,1796.0538047684809,"[175, 176]"
KAB. BIREUEN,1847.0489783421024,"[175, 176, 11]"
KAB. GAYO LUES,1736.5156563806622,"[175, 158, 112]"
KAB. NAGAN RAYA,1758.002556017782,"[175, 38, 25]"
KAB. PIDIE,1878.2055518941793,"[175, 83, 22]"
KAB. PIDIE JAYA,1907.7369485267598,"[175, 83, 22, 15]"
KAB. SIMEULUE,1691.8086023154115,[175]
KOTA BANDA ACEH,1962.7176391699295,"[175, 38, 39]"
KOTA LANGSA,1729.0300682500483,"[175, 176, 133]"
KOTA LHOKSEUMAWE,1805.4605985432024,"[175, 38, 25, 28]"
KOTA SABANG,1989.858720143491,"[175, 38, 2]"
KOTA SUBULUSSALAM,1536.1859118513132,"[175, 83]"
KAB. ASAHAN,1582.4234780948557,"[175, 158, 157, 24]"
KAB. BATUBARA,1540.0909002945016,"[175, 158, 157]"
KAB. DAIRI,1516.7048522434516,"[175, 38]"
KAB. DELI SERDANG,1595.1352443910132,"[175, 38, 25]"
KAB. HUMBANG HASUNDUTAN,1577.3527681588216,"[175, 38, 29]"
KAB. KARO,1543.1358863068633,"[175, 38, 25]"
KAB. LABUHANBATU,1399.0492398685774,"[175, 38]"
KAB. LABUHANBATU SELATAN,1431.2535264495177,"[175, 176, 133, 71, 70]"
KAB. LABUHANBATU UTARA,1494.4439537125404,"[175, 158, 157, 152, 151]"
KAB. LANGKAT,1679.4417551065505,"[175, 158, 157]"
KAB. MANDAILING NATAL,1408.9134774437057,"[175, 38, 39]"
KAB. NIAS,1495.5567118599997,"[175, 158, 157]"
KAB. NIAS BARAT,1525.6828323588459,"[175, 158, 157, 34]"
KAB. NIAS SELATAN,1489.5088244604344,"[175, 158, 157, 58]"
KAB. NIAS UTARA,1526.7806941871554,"[175, 38]"
KAB. PADANG LAWAS,1257.117325359151,[175]
KAB. PADANG LAWAS UTARA,1311.6868103616268,"[175, 38]"
KAB. PAKPAK BHARAT,1500.1453800079234,"[175, 38, 39]"
KAB. SAMOSIR,1564.8149921778843,"[175, 38, 39, 40]"
