city,distance,through
KAB. ACEH BARAT,4624.377291688548,"[478, 477]"
KAB. ACEH BARAT DAYA,4631.661137598802,"[478, 477, 413, 357]"
KAB. ACEH BESAR,4763.2024114940905,"[478, 477, 3]"
KAB. ACEH JAYA,4686.898938156992,"[478, 477]"
KAB. ACEH SELATAN,4449.295060040941,"[478, 325]"
KAB. ACEH SINGKIL,4487.900951110505,"[478, 477, 462, 461]"
KAB. ACEH TAMIANG,4407.716344872604,"[478, 325]"
KAB. ACEH TENGAH,4539.393870108382,"[478, 325, 6]"
KAB. ACEH TENGGARA,4498.679074845767,"[478, 477, 413]"
KAB. ACEH TIMUR,4503.120775359377,"[478, 325, 88]"
KAB. ACEH UTARA,4569.710909447865,"[478, 325, 88, 9]"
KAB. BENER MERIAH,4544.432153517528,"[478, 477]"
KAB. BIREUEN,4595.427327091149,"[478, 477, 11]"
KAB. GAYO LUES,4594.8693981141605,"[478, 477, 413, 411]"
KAB. NAGAN RAYA,4615.707630316565,"[478, 55, 28, 25]"
KAB. PIDIE,4687.990641192182,"[478, 434, 26, 16]"
KAB. PIDIE JAYA,4658.459244559602,"[478, 434, 26]"
KAB. SIMEULUE,4601.857996729542,"[478, 55]"
KOTA BANDA ACEH,4738.609671602711,"[478, 325, 6]"
KOTA LANGSA,4514.696006612819,"[478, 477, 413, 400, 347]"
KOTA LHOKSEUMAWE,4610.303604715162,"[478, 55, 28]"
KOTA SABANG,4814.979174317144,"[478, 477, 3, 2]"
KOTA SUBULUSSALAM,4382.668876760272,"[478, 27]"
KAB. ASAHAN,4321.064703681865,"[478, 477, 394]"
KAB. BATUBARA,4346.509319438063,"[478, 477, 413, 411, 93, 92]"
KAB. DAIRI,4374.409926542235,"[478, 55, 28]"
KAB. DELI SERDANG,4319.939778046459,"[478, 434]"
KAB. HUMBANG HASUNDUTAN,4290.073380220692,[478]
KAB. KARO,4347.978892478823,"[478, 55]"
KAB. LABUHANBATU,4241.196631401412,"[478, 477, 462, 397, 335]"
KAB. LABUHANBATU SELATAN,4206.844506142444,"[478, 477, 413, 400, 332, 355, 321]"
KAB. LABUHANBATU UTARA,4256.318639602632,"[478, 477, 448, 447, 446]"
KAB. LANGKAT,4493.794541661046,"[478, 477, 448, 447, 446, 31]"
KAB. MANDAILING NATAL,4185.1858320081565,"[478, 325, 88]"
KAB. NIAS,4369.917491795476,"[478, 325, 88, 33]"
KAB. NIAS BARAT,4400.043612294322,"[478, 325, 88, 33, 34]"
KAB. NIAS SELATAN,4430.834064316865,"[478, 477, 448, 447, 446]"
KAB. NIAS UTARA,4453.972545036822,"[478, 434, 38]"
KAB. PADANG LAWAS,4184.309176208818,"[478, 434]"
KAB. PADANG LAWAS UTARA,4236.613379899044,"[478, 477, 413]"
KAB. PAKPAK BHARAT,4344.13656818333,"[478, 325, 88]"
KAB. SAMOSIR,4367.058991131208,"[478, 477, 379]"
KAB. SERDANG BEDAGAI,4369.0268601712105,"[478, 477, 448, 447, 446, 346]"
KAB. SIMALUNGUN,4341.9735038479375,"[478, 477, 413, 400, 332, 355, 321, 320]"
KAB. TAPANULI SELATAN,4289.798037996734,"[478, 477, 413, 400, 347]"
KAB. TAPANULI TENGAH,4356.832829478986,"[478, 477, 448, 78, 46]"
KAB. TAPANULI UTARA,4307.838445327472,"[478, 477, 448, 78]"
KAB. TOBA SAMOSIR,4347.512317544177,"[478, 477, 448, 78, 46]"
KOTA BINJAI,4442.841091245727,"[478, 477, 448, 447, 52]"
KOTA GUNUNGSITOLI,4433.414867673766,"[478, 325, 88, 33, 34, 35]"
KOTA MEDAN,4458.4775195253,"[478, 477, 394, 23]"
KOTA PADANGSIDEMPUAN,4305.73383365139,"[478, 477, 462, 397, 335]"
KOTA PEMATANGSIANTAR,4347.637827356522,"[478, 477, 448, 447]"
KOTA SIBOLGA,4314.618710872309,"[478, 477, 448, 78]"
KOTA TANJUNGBALAI,4327.725648025986,"[478, 55]"
KOTA TEBING TINGGI,4245.988900354428,[478]
KAB. AGAM,4145.368778904342,"[478, 477, 413, 338, 142, 57]"
KAB. DHARMASRAYA,3956.5539389172336,"[478, 477, 413, 338, 142]"
KAB. KEPULAUAN MENTAWAI,4237.712859742067,"[478, 80]"
KAB. LIMA PULUH KOTA,4065.2069671009544,"[478, 325, 88]"
KAB. PADANG PARIAMAN,4143.309371427105,"[478, 325, 88, 59]"
KAB. PASAMAN,4108.394683988919,"[478, 325, 88, 59]"
KAB. PASAMAN BARAT,4166.130615855048,"[478, 325, 88, 59]"
KAB. PESISIR SELATAN,4020.387971544525,"[478, 477, 379]"
KAB. SIJUNJUNG,4074.654846717944,"[478, 477, 379, 65]"
KAB. SOLOK,4035.730552933638,"[478, 477, 379]"
KAB. SOLOK SELATAN,3987.0254087519993,"[478, 477, 413, 338]"
KAB. TANAH DATAR,4075.8572994436695,"[478, 80, 74, 73]"
KOTA BUKITTINGGI,4104.730130865591,"[478, 80, 74, 73, 67]"
KOTA PADANG,4065.545574234849,"[478, 477, 448, 107]"
KOTA PADANGPANJANG,4119.071165067007,"[478, 477, 448, 107, 69]"
KOTA PARIAMAN,4115.175282561763,"[478, 80, 74, 73]"
KOTA PAYAKUMBUH,4070.729002869806,"[478, 477, 448, 107]"
KOTA SAWAHLUNTO,4047.151330688475,"[478, 80, 74]"
KOTA SOLOK,4032.707258828198,"[478, 80]"
KAB. BENGKALIS,4008.4475414771728,"[478, 325, 76]"
KAB. INDRAGIRI HILIR,3777.351125903999,"[478, 325]"
KAB. INDRAGIRI HULU,3882.161793923401,"[478, 325, 76]"
KAB. KAMPAR,3996.6953845782227,"[478, 477, 448]"
KAB. KEPULAUAN MERANTI,3925.181523590481,"[478, 477, 462, 318]"
KAB. KUANTAN SINGINGI,3928.570381695534,[478]
KAB. PELALAWAN,3951.028427806391,"[478, 477, 462, 397]"
KAB. ROKAN HILIR,4041.8036612253354,"[478, 325, 88]"
KAB. ROKAN HULU,4067.3056792252605,"[478, 325, 88]"
KAB. SIAK,4007.00081525912,"[478, 477, 413, 400, 332, 355, 321]"
KOTA DUMAI,4074.1163346524863,"[478, 477, 413, 400, 332, 331]"
KOTA PEKANBARU,4010.8210598287187,"[478, 477, 413]"
KAB. BINTAN,3727.141770033608,"[478, 477, 413, 338, 353]"
KAB. KARIMUN,3736.254605755459,"[478, 325]"
KAB. KEPULAUAN ANAMBAS,3663.3762484330196,"[478, 477, 448, 447]"
KAB. LINGGA,3607.2127308222184,[478]
KAB. NATUNA,3473.3045183473096,"[478, 477, 462, 372, 371]"
KOTA BATAM,3791.9829095728,"[478, 477, 413, 411, 93]"
KOTA TANJUNG PINANG,3740.3350095088117,"[478, 477, 413, 411]"
PULAU TAMBELAN KAB. BINTAN,3454.063513168864,"[478, 477, 462, 397, 335, 334]"
PEKAJANG KAB. LINGGA,3707.808213829875,"[478, 477, 462, 318, 317]"
PULAU SERASAN KAB. NATUNA,3269.2158003619747,"[478, 325, 324, 323]"
PULAU MIDAI KAB. NATUNA,3420.6324129575905,"[478, 325, 324, 323, 96]"
PULAU LAUT KAB. NATUNA,3441.88024156537,"[478, 477, 506, 505, 373]"
KAB. BATANGHARI,3969.78452396339,"[478, 477, 413, 414, 404, 405]"
KAB. BUNGO,3913.0097028944847,"[478, 477, 413, 338]"
KAB. KERINCI,3963.357632324482,"[478, 477, 413, 102]"
KAB. MERANGIN,3893.88178232057,"[478, 477, 413]"
KAB. MUARO JAMBI,3724.8788576792745,"[478, 477, 413, 400, 332, 331]"
KAB. SAROLANGUN,3825.6324088168244,"[478, 477, 394]"
KAB. TANJUNG JABUNG BARAT,3834.0467832540558,"[478, 477, 462, 397, 106]"
KAB. TANJUNG JABUNG TIMUR,3751.799180940445,"[478, 477, 462, 397]"
KAB. TEBO,3848.277046959272,"[478, 477, 448]"
KOTA JAMBI,3705.117954083374,"[478, 477, 448]"
KOTA SUNGAI PENUH,3956.765053107676,"[478, 477, 448, 108]"
KAB. BENGKULU SELATAN,3741.4092137531106,"[478, 378]"
KAB. BENGKULU TENGAH,3829.024839996452,"[478, 477, 379, 149]"
KAB. BENGKULU UTARA,3895.154056454243,"[478, 477, 379, 149, 111]"
KAB. KAUR,3769.894829814366,"[478, 378, 169, 187]"
KAB. KEPAHIANG,3887.518177214485,"[478, 477, 394, 165, 164]"
KAB. LEBONG,3956.424369214405,"[478, 477, 413, 338, 147]"
KAB. MUKOMUKO,3973.2118684694233,"[478, 477, 448, 108]"
KAB. REJANG LEBONG,3872.2114014953468,"[478, 477, 413, 400, 118]"
KAB. SELUMA,3805.8436052175903,"[478, 477, 413, 400]"
KOTA BENGKULU,3850.9311090674737,"[478, 477, 413, 338]"
KAB. BANYUASIN,3687.9773480752465,"[478, 477, 379, 153]"
KAB. EMPAT LAWANG,3772.9019921198665,"[478, 477, 379, 149]"
KAB. LAHAT,3732.1499461799153,"[478, 477, 379, 153, 123]"
KAB. MUARA ENIM,3659.5099885059963,"[478, 477, 379, 153]"
KAB. MUSI BANYUASIN,3714.830897908849,"[478, 477, 413, 400, 332]"
KAB. MUSI RAWAS,3759.9449980836744,"[478, 477, 413, 414]"
KAB. MUSI RAWAS UTARA,3813.2826102026543,"[478, 477, 413, 414, 125]"
KAB. OGAN ILIR,3653.476635130503,"[478, 477, 379, 140, 128]"
KAB. OGAN KOMERING ILIR,3585.978867728246,"[478, 477, 379, 140]"
KAB. OGAN KOMERING ULU,3699.7653490911607,"[478, 477, 462, 397]"
KAB. OGAN KOMERING ULU SELATAN,3706.0521395619403,"[478, 477, 413, 338, 142]"
KAB. OGAN KOMERING ULU TIMUR,3652.9794622016916,"[478, 477, 413, 236]"
KAB. PENUKAL ABAB LEMATANG ILIR,3702.6992287929843,"[478, 477, 462, 397]"
KOTA LUBUKLINGGAU,3813.225542038103,"[478, 477, 413, 400, 332, 352]"
