city,distance,through
KAB. ACEH BARAT,2589.4010068006587,"[278, 146, 145, 63, 62]"
KAB. ACEH BARAT DAYA,2569.7438190032226,"[278, 128, 140]"
KAB. ACEH BESAR,2718.759972346873,"[278, 186, 187]"
KAB. ACEH JAYA,2644.079992796096,"[278, 146, 145, 67]"
KAB. ACEH SELATAN,2399.4150730615956,"[278, 146, 66, 5]"
KAB. ACEH SINGKIL,2278.7443481210144,"[278, 146, 66]"
KAB. ACEH TAMIANG,2424.963494417846,"[278, 127, 126, 109, 59]"
KAB. ACEH TENGAH,2442.2100647851694,"[278, 8]"
KAB. ACEH TENGGARA,2283.402039303588,[278]
KAB. ACEH TIMUR,2418.68021097588,"[278, 8]"
KAB. ACEH UTARA,2485.2703450643676,"[278, 8, 9]"
KAB. BENER MERIAH,2477.5401164999157,"[278, 128, 42]"
KAB. BIREUEN,2528.5352900735375,"[278, 128, 42, 11]"
KAB. GAYO LUES,2485.302407088195,"[278, 186, 185, 130, 125, 70]"
KAB. NAGAN RAYA,2491.755906245479,"[278, 228, 29, 25]"
KAB. PIDIE,2601.047502892788,"[278, 228, 29, 16]"
KAB. PIDIE JAYA,2571.5161062602074,"[278, 228, 29]"
KAB. SIMEULUE,2406.873160426492,"[278, 127]"
KOTA BANDA ACEH,2737.0458001468764,"[278, 228, 33, 39]"
KOTA LANGSA,2446.3958699443715,"[278, 186]"
KOTA LHOKSEUMAWE,2521.2033224981433,"[278, 228, 29, 28]"
KOTA SABANG,2737.3508622668214,"[278, 228, 29, 28, 20]"
KOTA SUBULUSSALAM,2292.1767266228235,"[278, 228, 85, 27]"
KAB. ASAHAN,2268.699707551709,"[278, 186, 24]"
KAB. BATUBARA,2226.3671297513547,"[278, 186]"
KAB. DAIRI,2250.4582024711485,"[278, 228, 29]"
KAB. DELI SERDANG,2312.286806027069,"[278, 228, 227, 135, 84, 30]"
KAB. HUMBANG HASUNDUTAN,2199.581230083244,"[278, 228, 85]"
KAB. KARO,2258.878610261804,"[278, 228, 29]"
KAB. LABUHANBATU,2030.9667620495427,"[278, 228]"
KAB. LABUHANBATU SELATAN,2075.94747129036,"[278, 228, 227, 135, 84]"
KAB. LABUHANBATU UTARA,2141.321666977155,"[278, 228, 227, 135, 84, 30]"
KAB. LANGKAT,2295.6156853651587,"[278, 128]"
KAB. MANDAILING NATAL,1988.7883042564954,"[278, 228]"
KAB. NIAS,2173.519964043815,"[278, 228, 33]"
KAB. NIAS BARAT,2203.646084542661,"[278, 228, 33, 34]"
