city,distance,through
KAB. ACEH BARAT,2900.8292497765315,"[383, 329, 336, 342]"
KAB. ACEH BARAT DAYA,2944.878484501155,"[383, 329, 330, 331, 139, 140]"
KAB. ACEH BESAR,3056.137111599437,"[383, 382, 78, 4, 3]"
KAB. ACEH JAYA,2979.8336382623384,"[383, 382, 78, 4]"
KAB. ACEH SELATAN,2729.3684565027,"[383, 382, 78]"
KAB. ACEH SINGKIL,2672.9806307288673,"[383, 335, 106, 107, 72]"
KAB. ACEH TAMIANG,2679.4965256564965,"[383, 329, 315]"
KAB. ACEH TENGAH,2810.9727800976702,"[383, 329, 85]"
KAB. ACEH TENGGARA,2678.0264488081143,"[383, 329, 328]"
KAB. ACEH TIMUR,2729.8467776112484,"[383, 329, 315]"
KAB. ACEH UTARA,2796.436911699736,"[383, 329, 315, 9]"
KAB. BENER MERIAH,2792.0645798310948,"[383, 335, 334, 42]"
KAB. BIREUEN,2829.5938493991707,"[383, 335, 334, 94]"
KAB. GAYO LUES,2760.673576399633,"[383, 382, 137]"
KAB. NAGAN RAYA,2813.636705359448,"[383, 335, 29, 25]"
KAB. PIDIE,2922.9283020067573,"[383, 335, 29, 16]"
KAB. PIDIE JAYA,2893.3969053741766,"[383, 335, 29]"
KAB. SIMEULUE,2855.651545422349,"[383, 335, 334, 55]"
KOTA BANDA ACEH,3010.389852386604,"[383, 329, 315, 6]"
KOTA LANGSA,2742.9192405532704,"[383, 335, 344]"
KOTA LHOKSEUMAWE,2843.0841216121125,"[383, 335, 29, 28]"
KOTA SABANG,3059.2316613807907,"[383, 335, 29, 28, 20]"
KOTA SUBULUSSALAM,2623.7465859933354,"[383, 335, 29, 27]"
KAB. ASAHAN,2532.92191281186,"[383, 335, 334, 94, 93, 92, 24]"
KAB. BATUBARA,2490.5893350115057,"[383, 335, 334, 94, 93, 92]"
KAB. DAIRI,2572.339001585118,"[383, 335, 29]"
KAB. DELI SERDANG,2589.0493414262123,"[383, 335, 334, 321, 30]"
KAB. HUMBANG HASUNDUTAN,2531.151089453756,"[383, 335, 29]"
KAB. KARO,2580.7594093757734,"[383, 335, 29]"
KAB. LABUHANBATU,2352.8475611635117,"[383, 335]"
KAB. LABUHANBATU SELATAN,2352.7100066895036,"[383, 335, 334, 321]"
KAB. LABUHANBATU UTARA,2418.0842023762984,"[383, 335, 334, 321, 30]"
KAB. LANGKAT,2655.5601044347127,"[383, 335, 334, 321, 30, 31]"
KAB. MANDAILING NATAL,2499.188622831026,"[383, 236]"
KAB. NIAS,2575.643251184073,"[383, 382, 62]"
KAB. NIAS BARAT,2605.769371682919,"[383, 382, 62, 34]"
KAB. NIAS SELATAN,2647.268970898447,"[383, 236]"
KAB. NIAS UTARA,2712.108633828516,"[383, 335, 334, 333, 38]"
KAB. PADANG LAWAS,2442.4452650005114,"[383, 335, 334, 333]"
KAB. PADANG LAWAS UTARA,2407.9867536322886,"[383, 335, 334, 321, 84]"
KAB. PAKPAK BHARAT,2596.445323278585,"[383, 335, 334, 321, 84, 39]"
KAB. SAMOSIR,2566.8335953655724,"[383, 335, 51]"
KAB. SERDANG BEDAGAI,2510.606498639377,"[383, 335, 334]"
KAB. SIMALUNGUN,2487.8390043949976,"[383, 335, 334, 321, 320]"
KAB. TAPANULI SELATAN,2477.4157100393986,"[383, 329, 328]"
KAB. TAPANULI TENGAH,2536.695073410585,"[383, 382, 137, 138, 46]"
KAB. TAPANULI UTARA,2487.7006892590703,"[383, 382, 137, 138]"
KAB. TOBA SAMOSIR,2527.374561475775,"[383, 382, 137, 138, 46]"
KOTA BINJAI,2606.4239544250977,"[383, 335, 334, 321, 320, 43, 52]"
KOTA GUNUNGSITOLI,2618.853836209656,"[383, 382, 137, 138, 103, 65]"
KOTA MEDAN,2670.3347286552944,"[383, 335, 334, 94, 93, 92, 24, 23]"
KOTA PADANGSIDEMPUAN,2417.384763413491,"[383, 335]"
KOTA PEMATANGSIANTAR,2511.220690535894,"[383, 335, 334, 321, 320, 43]"
KOTA SIBOLGA,2496.7349460372816,"[383, 382, 78]"
KOTA TANJUNGBALAI,2427.0704223515772,"[383, 382]"
KOTA TEBING TINGGI,2499.7824490472344,"[383, 335, 334]"
KAB. AGAM,2369.155935947247,"[383, 236, 57]"
KAB. DHARMASRAYA,2180.3410959601383,"[383, 236]"
KAB. KEPULAUAN MENTAWAI,2388.9210499300416,"[383, 382, 137, 66]"
KAB. LIMA PULUH KOTA,2306.7927281548455,"[383, 335, 334, 321, 322]"
KAB. PADANG PARIAMAN,2384.895132480997,"[383, 335, 334, 321, 322, 59]"
KAB. PASAMAN,2349.98044504281,"[383, 335, 334, 321, 322, 59]"
KAB. PASAMAN BARAT,2344.2641027534087,"[383, 382]"
KAB. PESISIR SELATAN,2203.8027232520117,"[383, 145]"
KAB. SIJUNJUNG,2216.2393742140684,"[383, 382, 137, 138, 103, 65]"
KAB. SOLOK,2177.3150804297625,"[383, 382, 137, 138, 103]"
KAB. SOLOK SELATAN,2130.147445082339,"[383, 382, 137]"
KAB. TANAH DATAR,2240.526560641773,"[383, 80, 74, 73]"
KOTA BUKITTINGGI,2269.399392063694,"[383, 80, 74, 73, 67]"
KOTA PADANG,2247.194100810196,"[383, 335, 106, 107]"
KOTA PADANGPANJANG,2300.7196916423545,"[383, 335, 106, 107, 69]"
KOTA PARIAMAN,2268.8227333651557,"[383, 382, 137, 138, 103]"
KOTA PAYAKUMBUH,2252.377529445153,"[383, 335, 106, 107]"
KOTA SAWAHLUNTO,2211.8205918865783,"[383, 80, 74]"
KOTA SOLOK,2197.3765200263015,"[383, 80]"
KAB. BENGKALIS,2318.763128152141,"[383, 329, 330, 341, 76]"
KAB. INDRAGIRI HILIR,2087.6667125789672,"[383, 329, 330, 341]"
KAB. INDRAGIRI HULU,2071.2514934499554,"[383, 329]"
KAB. KAMPAR,2178.811619743196,"[383, 382]"
KAB. KEPULAUAN MERANTI,2142.085660404549,"[383, 382, 393]"
KAB. KUANTAN SINGINGI,2093.239642893637,[383]
KAB. PELALAWAN,2197.420037724721,"[383, 80]"
KAB. ROKAN HILIR,2384.3399040910845,"[383, 335, 334, 321, 84, 83]"
KAB. ROKAN HULU,2306.0179690309014,"[383, 335, 334, 321, 84]"
KAB. SIAK,2152.86631580618,"[383, 335, 334, 321]"
KOTA DUMAI,2217.202732267418,"[383, 329]"
KOTA PEKANBARU,2172.1423853621814,"[383, 382, 137]"
KAB. BINTAN,1979.9396792197567,"[383, 335, 334, 333, 332, 352, 353]"
KAB. KARIMUN,2107.9828777458342,"[383, 335, 334, 333, 332, 352, 353, 87]"
KAB. KEPULAUAN ANAMBAS,2049.676907332989,"[383, 448, 447]"
KAB. LINGGA,1876.471359195827,"[383, 329, 336, 342]"
KAB. NATUNA,1657.860854261961,"[383, 335]"
KOTA BATAM,1936.0629251462422,"[383, 335, 334, 94, 93]"
KOTA TANJUNG PINANG,1884.4150250822536,"[383, 335, 334, 94]"
PULAU TAMBELAN KAB. BINTAN,1565.7144429309642,"[383, 335, 334]"
PEKAJANG KAB. LINGGA,1893.6290410311615,"[383, 335, 334, 94]"
PULAU SERASAN KAB. NATUNA,1500.389140316114,"[383, 329, 336]"
PULAU MIDAI KAB. NATUNA,1651.80575291173,"[383, 329, 336, 96]"
PULAU LAUT KAB. NATUNA,1771.109712631885,"[383, 335, 334, 321]"
KAB. BATANGHARI,2106.3403127884962,"[383, 382, 194]"
KAB. BUNGO,2134.7265711428,"[383, 335, 334, 321]"
KAB. KERINCI,2130.4649757609786,"[383, 382, 137, 138, 103, 102]"
KAB. MERANGIN,2060.9891257570666,"[383, 382, 137, 138, 103]"
KAB. MUARO JAMBI,1844.96143506268,"[383, 382, 137, 138]"
KAB. SAROLANGUN,1915.0952038006958,[383]
KAB. TANJUNG JABUNG BARAT,1935.6690023649712,"[383, 382]"
KAB. TANJUNG JABUNG TIMUR,1865.00033027575,"[383, 335]"
KAB. TEBO,2029.9255735346187,"[383, 335, 106]"
KOTA JAMBI,2021.8172793194926,"[383, 251]"
KOTA SUNGAI PENUH,2202.5472125664787,"[383, 329, 336, 342]"
KAB. BENGKULU SELATAN,1971.0589683291983,"[383, 335, 334]"
KAB. BENGKULU TENGAH,2027.4743616851752,"[383, 251, 198]"
KAB. BENGKULU UTARA,2013.6575600256217,"[383, 158]"
KAB. KAUR,1904.7731276643526,"[383, 168, 169, 187]"
KAB. KEPAHIANG,1997.8881845206108,"[383, 236, 166, 165, 164]"
KAB. LEBONG,2044.028842585911,"[383, 158, 157]"
KAB. MUKOMUKO,2134.6941602316274,"[383, 236, 131, 117]"
KAB. REJANG LEBONG,1970.757250721646,"[383, 236, 131]"
KAB. SELUMA,1979.0228436430875,"[383, 251, 198]"
KOTA BENGKULU,2024.6748965842512,"[383, 259]"
