city,distance,through
KAB. ACEH BARAT,2237.2815513619444,"[243, 77]"
KAB. ACEH BARAT DAYA,2191.431196509273,"[243, 268, 229, 230, 165]"
KAB. ACEH BESAR,2380.509436035066,"[243, 77, 78, 4, 3]"
KAB. ACEH JAYA,2304.205962697967,"[243, 77, 78, 4]"
KAB. ACEH SELATAN,2053.740780938329,"[243, 77, 78]"
KAB. ACEH SINGKIL,2005.7807475875588,"[243, 244, 227, 226, 221, 153]"
KAB. ACEH TAMIANG,2149.4624688765057,"[243, 183, 38]"
KAB. ACEH TENGAH,2216.5323967956783,"[243, 268, 229, 30, 26]"
KAB. ACEH TENGGARA,2090.947251460866,"[243, 268, 229, 149, 102, 101]"
KAB. ACEH TIMUR,2210.312367725631,"[243, 244, 224, 88]"
KAB. ACEH UTARA,2201.4865136241006,"[243, 268]"
KAB. BENER MERIAH,2237.7236087069477,"[243, 244, 80]"
KAB. BIREUEN,2234.420391631928,[243]
KAB. GAYO LUES,2142.5387667881428,"[243, 244, 80]"
KAB. NAGAN RAYA,2206.746694819566,"[243, 268, 135, 25]"
KAB. PIDIE,2315.638371110438,"[243, 77, 16]"
KAB. PIDIE JAYA,2286.1069744778574,"[243, 77]"
KAB. SIMEULUE,2148.5064417523963,"[243, 268]"
KOTA BANDA ACEH,2425.0181606992587,"[243, 268, 229, 149]"
KOTA LANGSA,2160.853943701981,"[243, 268, 125]"
KOTA LHOKSEUMAWE,2240.9019896099608,"[243, 268, 28]"
KOTA SABANG,2432.2861988581194,"[243, 77, 78, 4, 3, 2]"
KOTA SUBULUSSALAM,2002.4383963676182,"[243, 173]"
KAB. ASAHAN,1974.0868488101212,"[243, 244, 224, 24]"
KAB. BATUBARA,1931.754271009767,"[243, 244, 224]"
KAB. DAIRI,1965.4489910452355,"[243, 268, 135]"
KAB. DELI SERDANG,1979.7730872492032,"[243, 268, 229, 30]"
KAB. HUMBANG HASUNDUTAN,1933.4953294186553,"[243, 244, 224]"
KAB. KARO,1978.5772773736217,"[243, 268]"
KAB. LABUHANBATU,1780.464597572495,"[243, 268, 229, 228]"
KAB. LABUHANBATU SELATAN,1743.4337525124945,"[243, 268, 229]"
KAB. LABUHANBATU UTARA,1808.8079481992893,"[243, 268, 229, 30]"
KAB. LANGKAT,2043.8798730389594,"[243, 268, 135, 84]"
KAB. MANDAILING NATAL,1738.2861397794477,"[243, 268, 229, 228]"
KAB. NIAS,1916.6715007781204,"[243, 268, 229, 230, 123, 62]"
KAB. NIAS BARAT,1923.2527271838317,"[243, 268, 229, 36]"
KAB. NIAS SELATAN,1872.0149790439668,"[243, 268, 229]"
KAB. NIAS UTARA,1955.0545268273106,"[243, 268, 229, 36]"
KAB. PADANG LAWAS,1749.0843473243685,"[243, 183]"
