city,distance,through
KAB. ACEH BARAT,4335.716619836429,"[504, 452, 325, 324, 323]"
KAB. ACEH BARAT DAYA,4234.998532925072,"[504, 452, 412, 363, 357]"
KAB. ACEH BESAR,4452.15226618895,"[504, 443, 89, 3]"
KAB. ACEH JAYA,4375.848792851852,"[504, 443, 89]"
KAB. ACEH SELATAN,4148.867099105209,"[504, 452, 325]"
KAB. ACEH SINGKIL,4075.0421105281675,"[504, 461]"
KAB. ACEH TAMIANG,4107.2883839368715,"[504, 452, 325]"
KAB. ACEH TENGAH,4238.965909172649,"[504, 452, 325, 6]"
KAB. ACEH TENGGARA,4110.660323992725,"[504, 452]"
KAB. ACEH TIMUR,4161.420178821684,"[504, 443, 376, 375]"
KAB. ACEH UTARA,4208.149811318806,"[504, 443, 89]"
KAB. BENER MERIAH,4205.602867976147,"[504, 503]"
KAB. BIREUEN,4256.598041549768,"[504, 503, 11]"
KAB. GAYO LUES,4145.061009691199,"[504, 503]"
KAB. NAGAN RAYA,4242.155846776217,"[504, 503, 13]"
KAB. PIDIE,4364.1812088604,"[504, 503, 13, 14]"
KAB. PIDIE JAYA,4383.222753552787,"[504, 410, 26]"
KAB. SIMEULUE,4265.813292053675,"[504, 503]"
KOTA BANDA ACEH,4438.181710666979,"[504, 452, 325, 6]"
KOTA LANGSA,4153.8856622917,"[504, 452, 467, 96, 97]"
KOTA LHOKSEUMAWE,4241.006410697233,"[504, 452, 345]"
KOTA SABANG,4457.153950465911,"[504, 452, 345, 20]"
KOTA SUBULUSSALAM,4071.107323294283,"[504, 27]"
KAB. ASAHAN,3927.4036659611593,"[504, 452, 412, 363, 357]"
KAB. BATUBARA,3912.276945278902,"[504, 452]"
KAB. DAIRI,4053.6371166922354,"[504, 452, 24]"
KAB. DELI SERDANG,4044.7032870396447,"[504, 410]"
KAB. HUMBANG HASUNDUTAN,3978.5118267547036,[504]
KAB. KARO,4028.432246572962,[504]
KAB. LABUHANBATU,3854.7251431063046,"[504, 410]"
KAB. LABUHANBATU SELATAN,3811.3551864115616,"[504, 452, 345, 321]"
KAB. LABUHANBATU UTARA,3862.005179553409,"[504, 452, 319]"
KAB. LANGKAT,4099.481081611823,"[504, 452, 319, 31]"
KAB. MANDAILING NATAL,3884.7578710724238,"[504, 452, 325, 88]"
KAB. NIAS,4069.4895308597434,"[504, 452, 325, 88, 33]"
KAB. NIAS BARAT,4099.615651358589,"[504, 452, 325, 88, 33, 34]"
KAB. NIAS SELATAN,4090.9731751661375,"[504, 410, 409, 408, 447, 446]"
KAB. NIAS UTARA,4143.981469522001,"[504, 410, 381, 341, 38]"
KAB. PADANG LAWAS,3874.3181006939967,"[504, 410, 381, 341]"
KAB. PADANG LAWAS UTARA,3856.907714147351,"[504, 84]"
KAB. PAKPAK BHARAT,4037.6568075048845,"[504, 452, 319]"
KAB. SAMOSIR,4049.3654733972426,"[504, 379]"
KAB. SERDANG BEDAGAI,3985.907220215,"[504, 452, 319, 43]"
KAB. SIMALUNGUN,3939.021154602213,"[504, 452, 319]"
KAB. TAPANULI SELATAN,3890.778175967054,[504]
KAB. TAPANULI TENGAH,3961.4223876936776,"[504, 44]"
KAB. TAPANULI UTARA,3930.291401248438,"[504, 452, 319]"
KAB. TOBA SAMOSIR,3962.7467261832335,"[504, 452, 467]"
KOTA BINJAI,4043.361305128441,"[504, 452, 319]"
KOTA GUNUNGSITOLI,4095.086196561566,"[504, 77]"
KOTA MEDAN,4064.816481804594,"[504, 452, 412, 363, 357, 23]"
KOTA PADANGSIDEMPUAN,4022.778195515352,"[504, 410, 424]"
KOTA PEMATANGSIANTAR,3962.402840743109,"[504, 452, 319, 43]"
KOTA SIBOLGA,4006.696999598741,"[504, 77, 78]"
KOTA TANJUNGBALAI,3987.185242978436,"[504, 443, 428]"
KOTA TEBING TINGGI,3955.462495582761,"[504, 452, 325]"
KAB. AGAM,3793.3578422414967,"[504, 452, 412, 57]"
KAB. DHARMASRAYA,3604.543002254388,"[504, 452, 412]"
KAB. KEPULAUAN MENTAWAI,3905.757259056629,"[504, 452, 412, 57]"
KAB. LIMA PULUH KOTA,3764.7790061652217,"[504, 452, 325, 88]"
KAB. PADANG PARIAMAN,3761.190232472129,"[504, 503]"
KAB. PASAMAN,3807.9667230531863,"[504, 452, 325, 88, 59]"
