city,distance,through
KAB. ACEH BARAT,1778.1704585313214,"[176, 133, 60, 61, 62]"
KAB. ACEH BARAT DAYA,1897.8622551644896,"[176, 133, 60, 61, 62, 0]"
KAB. ACEH BESAR,1877.0249687607977,"[176, 133, 38]"
KAB. ACEH JAYA,1846.554717278535,"[176, 133, 60, 61, 62, 4]"
KAB. ACEH SELATAN,1596.0895355188966,"[176, 133, 60, 61, 62]"
KAB. ACEH SINGKIL,1516.7536077628988,"[176, 133, 71, 72]"
KAB. ACEH TAMIANG,1596.4384583516485,"[176, 133, 38]"
KAB. ACEH TENGAH,1689.5729096162215,"[176, 101, 8]"
KAB. ACEH TENGGARA,1530.76488413464,"[176, 101]"
KAB. ACEH TIMUR,1666.043055806932,"[176, 101, 8]"
KAB. ACEH UTARA,1685.2411349494894,[176]
KAB. BENER MERIAH,1686.8288452182044,[176]
KAB. BIREUEN,1737.824018791826,"[176, 11]"
KAB. GAYO LUES,1654.8010412387289,"[176, 155, 99]"
KAB. NAGAN RAYA,1696.9455674581422,"[176, 133, 38, 25]"
KAB. PIDIE,1818.9709295423256,"[176, 133, 38, 25, 14]"
KAB. PIDIE JAYA,1848.502326174906,"[176, 133, 38, 25, 14, 15]"
KAB. SIMEULUE,1623.3362286096467,"[176, 155]"
KOTA BANDA ACEH,1901.6606506102898,"[176, 133, 38, 39]"
KOTA LANGSA,1619.805108699772,"[176, 133]"
KOTA LHOKSEUMAWE,1741.2763301801488,"[176, 133, 19]"
KOTA SABANG,1928.8017315838513,"[176, 133, 38, 2]"
KOTA SUBULUSSALAM,1511.3199958085702,"[176, 155, 132]"
KAB. ASAHAN,1628.8802674740455,"[176, 102, 50]"
KAB. BATUBARA,1597.0080350971452,"[176, 133, 38, 25]"
KAB. DAIRI,1455.647863683812,"[176, 133, 38]"
KAB. DELI SERDANG,1534.0782558313736,"[176, 133, 38, 25]"
KAB. HUMBANG HASUNDUTAN,1492.3180017870186,"[176, 155, 99, 29]"
KAB. KARO,1482.0788977472237,"[176, 133, 38, 25]"
KAB. LABUHANBATU,1314.0144734967744,"[176, 155, 99]"
KAB. LABUHANBATU SELATAN,1322.0285668992415,"[176, 133, 71, 70]"
KAB. LABUHANBATU UTARA,1387.4027625860363,"[176, 133, 71, 70, 30]"
KAB. LANGKAT,1621.7760182750335,"[176, 155, 46, 45]"
KAB. MANDAILING NATAL,1347.856488884066,"[176, 133, 38, 39]"
KAB. NIAS,1400.3807074976728,"[176, 133, 60, 61, 62]"
KAB. NIAS BARAT,1430.506827996519,"[176, 133, 60, 61, 62, 34]"
KAB. NIAS SELATAN,1481.7445761363838,"[176, 133, 60, 61, 62, 34, 35]"
KAB. NIAS UTARA,1465.7237056275158,"[176, 133, 38]"
KAB. PADANG LAWAS,1196.0603367995113,"[176, 133]"
KAB. PADANG LAWAS UTARA,1250.6298218019872,"[176, 133, 38]"
KAB. PAKPAK BHARAT,1439.0883914482838,"[176, 133, 38, 39]"
KAB. SAMOSIR,1473.9225394141774,"[176, 133, 71, 72]"
KAB. SERDANG BEDAGAI,1458.3692440929062,"[176, 133, 38, 39, 43]"
KAB. SIMALUNGUN,1411.483178480119,"[176, 133, 38, 39]"
KAB. TAPANULI SELATAN,1438.9354991186194,"[176, 155, 99, 79]"
KAB. TAPANULI TENGAH,1393.3383130947352,"[176, 155, 46]"
KAB. TAPANULI UTARA,1344.3439289432208,"[176, 155]"
KAB. TOBA SAMOSIR,1337.9732108904561,"[176, 102]"
KOTA BINJAI,1502.774581409288,"[176, 102, 47]"
KOTA GUNUNGSITOLI,1463.8780833759627,"[176, 133, 60, 61, 62, 34, 35]"
KOTA MEDAN,1491.4674516306109,"[176, 102]"
KOTA PADANGSIDEMPUAN,1378.6316632477551,"[176, 68, 67, 73, 74]"
KOTA PEMATANGSIANTAR,1434.8648646210154,"[176, 133, 38, 39, 43]"
KOTA SIBOLGA,1506.5546256653558,"[176, 54]"
KOTA TANJUNGBALAI,1329.4564844320419,[176]
KOTA TEBING TINGGI,1411.1932321036002,"[176, 54]"
KAB. AGAM,1268.2947787423618,"[176, 175, 127, 126, 109]"
KAB. DHARMASRAYA,1219.799197158356,"[176, 101, 81]"
KAB. KEPULAUAN MENTAWAI,1280.4170131651272,"[176, 155, 154, 153]"
KAB. LIMA PULUH KOTA,1101.0944962873955,"[176, 133, 60]"
KAB. PADANG PARIAMAN,1022.9920919612442,"[176, 133]"
KAB. PASAMAN,1109.37926674232,"[176, 133, 60]"
KAB. PASAMAN BARAT,1169.0015590670084,"[176, 133, 60, 61]"
KAB. PESISIR SELATAN,1130.36611086217,"[176, 155, 99, 64]"
KAB. SIJUNJUNG,1011.0592168903737,"[176, 155, 99]"
KAB. SOLOK,1049.9835106746798,"[176, 155, 99, 64]"
KAB. SOLOK SELATAN,1097.2488422585309,"[176, 155, 154, 153, 123, 124]"
KAB. TANAH DATAR,1050.2872809811197,"[176, 68]"
KOTA BUKITTINGGI,1021.4144495591987,[176]
