city,distance,through
KAB. ACEH BARAT,1039.044909563902,"[88, 59, 62]"
KAB. ACEH BARAT DAYA,1158.7367061970701,"[88, 59, 62, 0]"
KAB. ACEH BESAR,1174.9643892417846,"[88, 83, 22, 21]"
KAB. ACEH JAYA,1107.4291683111157,"[88, 59, 62, 4]"
KAB. ACEH SELATAN,856.9639865514773,"[88, 59, 62]"
KAB. ACEH SINGKIL,897.5319169258505,"[88, 107, 72]"
KAB. ACEH TAMIANG,869.9797050951923,"[88, 59]"
KAB. ACEH TENGAH,1001.6572303309696,"[88, 59, 6]"
KAB. ACEH TENGGARA,902.1443412762097,"[88, 9]"
KAB. ACEH TIMUR,766.8661696039177,[88]
KAB. ACEH UTARA,833.4563036924053,"[88, 9]"
KAB. BENER MERIAH,872.577505391906,"[88, 9, 10]"
KAB. BIREUEN,923.5726789655276,"[88, 9, 10, 11]"
KAB. GAYO LUES,1072.7798396654196,"[88, 9, 10, 11, 12]"
KAB. NAGAN RAYA,1101.612608995883,"[88, 33, 39, 38, 25]"
KAB. PIDIE,1009.5255376737043,"[88, 83, 22]"
KAB. PIDIE JAYA,1039.0569343062848,"[88, 83, 22, 15]"
KAB. SIMEULUE,905.4439764208181,"[88, 59]"
KOTA BANDA ACEH,1197.1887221430788,"[88, 33, 39]"
KOTA LANGSA,1154.86120624559,"[88, 33, 34, 35, 36, 37]"
KOTA LHOKSEUMAWE,1089.9322084796322,"[88, 59, 6, 7]"
KOTA SABANG,1123.187626418731,"[88, 83, 22]"
KOTA SUBULUSSALAM,667.5058976308381,"[88, 83]"
KAB. ASAHAN,858.7203025224934,"[88, 83, 22]"
KAB. BATUBARA,901.0528803228475,"[88, 83, 22, 23]"
KAB. DAIRI,860.3149052215526,"[88, 33, 39, 38]"
KAB. DELI SERDANG,896.6927262895788,"[88, 83, 22, 27]"
KAB. HUMBANG HASUNDUTAN,760.1013941704174,"[88, 83, 22]"
KAB. KARO,866.5008321295145,"[88, 83, 22, 27]"
KAB. LABUHANBATU,742.6592928466787,"[88, 33, 39, 38]"
KAB. LABUHANBATU SELATAN,700.6330964566052,"[88, 83, 84]"
KAB. LABUHANBATU UTARA,766.0072921434,"[88, 83, 84, 30]"
KAB. LANGKAT,815.4777690933464,"[88, 33]"
KAB. MANDAILING NATAL,448.93122625269757,[88]
KAB. NIAS,633.662886040017,"[88, 33]"
KAB. NIAS BARAT,663.7890065388631,"[88, 33, 34]"
KAB. NIAS SELATAN,715.0267546787279,"[88, 33, 34, 35]"
KAB. NIAS UTARA,798.0663024620716,"[88, 33, 34, 35, 36]"
KAB. PADANG LAWAS,600.7273783372522,"[88, 33, 39]"
KAB. PADANG LAWAS UTARA,546.1578933347764,"[88, 33]"
KAB. PAKPAK BHARAT,607.8819624278715,[88]
KAB. SAMOSIR,672.5515745978322,"[88, 40]"
KAB. SERDANG BEDAGAI,753.8973156256955,"[88, 33, 39, 43]"
KAB. SIMALUNGUN,707.0112500129082,"[88, 33, 39]"
KAB. TAPANULI SELATAN,713.3957859281747,"[88, 87]"
KAB. TAPANULI TENGAH,784.0399976547984,"[88, 87, 44]"
KAB. TAPANULI UTARA,833.0343818063128,"[88, 87, 44, 45]"
