city,distance,through
KAB. ACEH BARAT,828.530275485328,"[28, 25, 26, 51]"
KAB. ACEH BARAT DAYA,780.5438570316011,"[28, 20, 21, 2]"
KAB. ACEH BESAR,530.2490148280707,"[28, 20, 21]"
KAB. ACEH JAYA,606.5524881651695,"[28, 20, 21, 2]"
KAB. ACEH SELATAN,802.8527471244566,"[28, 25, 26, 7, 6, 5]"
KAB. ACEH SINGKIL,682.1820221838752,"[28, 25, 26, 7, 6]"
KAB. ACEH TAMIANG,473.2982609932254,"[28, 25, 26, 7]"
KAB. ACEH TENGAH,341.6207357574482,"[28, 25, 26]"
KAB. ACEH TENGGARA,500.42876123902965,"[28, 25, 26, 7]"
KAB. ACEH TIMUR,635.7069329113217,"[28, 25, 26, 7, 8]"
KAB. ACEH UTARA,604.1471108957751,"[28, 25, 14, 13, 12, 11]"
KAB. BENER MERIAH,565.0259091962744,"[28, 25, 14, 13, 12]"
KAB. BIREUEN,514.0307356226527,"[28, 25, 14, 13]"
KAB. GAYO LUES,364.82357492276077,"[28, 25, 14]"
KAB. NAGAN RAYA,267.728737837742,"[28, 25]"
KAB. PIDIE,389.75409992192544,"[28, 25, 14]"
KAB. PIDIE JAYA,419.285496554506,"[28, 25, 14, 15]"
KAB. SIMEULUE,457.859088499509,"[28, 55]"
KOTA BANDA ACEH,700.9555892828221,"[28, 20, 19]"
KOTA LANGSA,383.79593371671587,"[28, 20]"
KOTA LHOKSEUMAWE,262.3247122363391,[28]
KOTA SABANG,478.47225200501714,"[28, 20]"
KOTA SUBULUSSALAM,198.99493449867634,"[28, 27]"
KAB. ASAHAN,210.12378327709905,"[28, 25, 24]"
KAB. BATUBARA,167.791205476745,"[28, 25]"
KAB. DAIRI,26.43103406341165,[28]
KAB. DELI SERDANG,104.86142621097326,"[28, 25]"
KAB. HUMBANG HASUNDUTAN,106.39943795909706,[28]
KAB. KARO,0.0,[]
KAB. LABUHANBATU,227.9118482122616,[28]
KAB. LABUHANBATU SELATAN,251.71317295963053,[28]
KAB. LABUHANBATU UTARA,317.0873686464253,"[28, 30]"
KAB. LANGKAT,554.5632707048396,"[28, 30, 31]"
KAB. MANDAILING NATAL,437.8147130322667,"[28, 25, 38, 39]"
KAB. NIAS,280.63096308188915,"[28, 25, 49, 35]"
KAB. NIAS BARAT,250.5048425830431,"[28, 25, 49]"
KAB. NIAS SELATAN,301.7425907229079,"[28, 25, 49, 35]"
KAB. NIAS UTARA,384.78213850625156,"[28, 25, 49, 35, 36]"
KAB. PADANG LAWAS,286.01856094771216,"[28, 25]"
KAB. PADANG LAWAS UTARA,340.5880459501879,"[28, 25, 38]"
KAB. PAKPAK BHARAT,529.0466155964845,"[28, 25, 38, 39]"
KAB. SAMOSIR,490.64462808923474,"[28, 25, 26, 51]"
KAB. SERDANG BEDAGAI,548.327468241107,"[28, 25, 38, 39, 43]"
KAB. SIMALUNGUN,501.4414026283198,"[28, 25, 38, 39]"
KAB. TAPANULI SELATAN,657.1921363793533,"[28, 25, 38, 39, 43]"
KAB. TAPANULI TENGAH,671.3955015558843,"[28, 20]"
KAB. TAPANULI UTARA,699.1405797905076,"[28, 25, 49, 48, 47]"
KAB. TOBA SAMOSIR,659.4667075738031,"[28, 25, 49, 48]"
KOTA BINJAI,494.66533705497125,"[28, 25, 49]"
KOTA GUNUNGSITOLI,217.13358720359946,"[28, 25]"
KOTA MEDAN,347.53659912053377,"[28, 25, 24, 23]"
KOTA PADANGSIDEMPUAN,341.19579613715314,"[28, 25, 26]"
KOTA PEMATANGSIANTAR,501.5112757959773,"[28, 55, 54, 53]"
KOTA SIBOLGA,360.82488102926675,"[28, 55, 54]"
KOTA TANJUNGBALAI,183.72673979595282,"[28, 55]"
KOTA TEBING TINGGI,101.98999212439459,[28]
KAB. AGAM,512.1912233505127,"[28, 55]"
KAB. DHARMASRAYA,701.0060633376213,"[28, 55, 56]"
KAB. KEPULAUAN MENTAWAI,568.5485082353209,"[28, 25, 49, 35, 36]"
KAB. LIMA PULUH KOTA,612.9337602666473,"[28, 25, 49, 35, 34, 62]"
KAB. PADANG PARIAMAN,658.0195786183177,"[28, 25, 49, 35, 34, 62, 61]"
KAB. PASAMAN,571.6324038372421,"[28, 25, 49, 35, 34, 62]"
KAB. PASAMAN BARAT,512.0101115125535,"[28, 25, 49, 35, 34]"
KAB. PESISIR SELATAN,614.340827658088,"[28, 25]"
KAB. SIJUNJUNG,697.5966367677993,"[28, 25, 49, 65]"
KAB. SOLOK,658.6723429834931,"[28, 25, 49]"
KAB. SOLOK SELATAN,723.0052020581451,"[28, 25, 49, 65]"
KAB. TANAH DATAR,645.8998757018092,"[28, 30, 70, 71, 73]"
KOTA BUKITTINGGI,638.9505085387883,"[28, 30, 70, 69]"
KOTA PADANG,567.3318439845827,"[28, 30, 70]"
KOTA PADANGPANJANG,513.8062531524242,"[28, 30]"
KOTA PARIAMAN,549.1699550733263,"[28, 30, 70]"
KOTA PAYAKUMBUH,620.7486767669652,"[28, 30, 70, 71]"
KOTA SAWAHLUNTO,617.1939069466147,"[28, 30, 70, 71]"
KOTA SOLOK,626.3901377883171,"[28, 25, 26, 51]"
KAB. BENGKALIS,448.18928293133587,"[28, 55]"
KAB. INDRAGIRI HILIR,679.2856985045095,"[28, 55, 75]"
KAB. INDRAGIRI HULU,726.7331618250483,"[28, 30, 84, 78]"
KAB. KAMPAR,570.4994148518448,"[28, 30, 84]"
KAB. KEPULAUAN MERANTI,758.7734450523715,"[28, 30, 84, 78]"
KAB. KUANTAN SINGINGI,657.3428426645512,"[28, 30, 81]"
KAB. PELALAWAN,553.1624478334672,"[28, 30]"
KAB. ROKAN HILIR,613.7716937198961,"[28, 27, 22, 83]"
KAB. ROKAN HULU,535.4497586597132,"[28, 27, 22]"
KAB. SIAK,468.14354272171295,"[28, 30]"
KOTA DUMAI,426.21459908510866,"[28, 27]"
KOTA PEKANBARU,466.8993772380702,"[28, 25]"
KAB. BINTAN,813.8848522017113,"[28, 25, 86]"
KAB. KARIMUN,866.5008321295145,"[28, 27, 22, 83]"
KAB. KEPULAUAN ANAMBAS,899.4182001607978,"[28, 27]"
KAB. LINGGA,1320.041603299391,"[28, 27, 89]"
KAB. NATUNA,1287.2598329894763,"[28, 25, 24, 92]"
KOTA BATAM,722.3176153420084,"[28, 25, 24]"
KOTA TANJUNG PINANG,773.9655154059969,"[28, 25, 24, 92]"
PULAU TAMBELAN KAB. BINTAN,1051.5573419973798,"[28, 30]"
PEKAJANG KAB. LINGGA,1220.4959961770414,"[28, 25, 49, 35, 36, 58]"
PULAU SERASAN KAB. NATUNA,1214.7325937871653,"[28, 29]"
PULAU MIDAI KAB. NATUNA,1366.1492063827814,"[28, 29, 96]"
PULAU LAUT KAB. NATUNA,1557.7906369187003,"[28, 29, 96, 97]"
KAB. BATANGHARI,782.7175143494853,"[28, 29]"
KAB. BUNGO,852.2083182223971,"[28, 30, 81, 101]"
KAB. KERINCI,795.4138561811031,"[28, 30, 81]"
KAB. MERANGIN,864.8897061850149,"[28, 30, 81, 101]"
KAB. MUARO JAMBI,973.0312533758022,"[28, 30, 70, 71]"
KAB. SAROLANGUN,857.4558926695954,"[28, 55, 54, 107]"
KAB. TANJUNG JABUNG BARAT,979.5117362032329,"[28, 55, 54, 107, 106]"
KAB. TANJUNG JABUNG TIMUR,897.264133889622,"[28, 55, 54, 107]"
KAB. TEBO,732.3388906307532,"[28, 55, 54]"
KOTA JAMBI,878.4482888333087,"[28, 55, 54, 107]"
KOTA SUNGAI PENUH,758.1617563563816,"[28, 55, 56]"
KAB. BENGKULU SELATAN,1055.6392915603224,"[28, 30, 84]"
KAB. BENGKULU TENGAH,1002.9342035612171,"[28, 25, 26, 51, 74]"
KAB. BENGKULU UTARA,1069.0634200190077,"[28, 25, 26, 51, 74, 111]"
KAB. KAUR,1083.5142684447924,"[28, 30, 70, 69, 116, 115, 114]"
KAB. KEPAHIANG,962.613890786175,"[28, 30, 70, 69, 116, 115]"
KAB. LEBONG,889.8565176152915,"[28, 30, 70, 69, 116]"
KAB. MUKOMUKO,787.3492803464461,"[28, 30, 70, 69]"
KAB. REJANG LEBONG,882.5512723678952,"[28, 27]"
KAB. SELUMA,948.9190686456516,"[28, 27, 117]"
KOTA BENGKULU,1006.7060888198514,"[28, 27, 117, 118]"
KAB. BANYUASIN,970.2697690901742,"[28, 25]"
KAB. EMPAT LAWANG,1048.7841255181047,"[28, 27, 85]"
KAB. LAHAT,1009.5924351531696,"[28, 30, 84]"
KAB. MUARA ENIM,1023.8913849333397,"[28, 25, 86, 124]"
KAB. MUSI BANYUASIN,890.4772369172806,"[28, 25, 86]"
KAB. MUSI RAWAS,931.4495646943394,"[28, 30, 70]"
KAB. MUSI RAWAS UTARA,925.355823992098,"[28, 55, 56, 109]"
KAB. OGAN ILIR,1147.8010049105442,"[28, 55, 56, 109, 126]"
KAB. OGAN KOMERING ILIR,1215.2987723128012,"[28, 55, 56, 109, 126, 127]"
KAB. OGAN KOMERING ULU,1077.3843054971658,"[28, 30, 70]"
KAB. OGAN KOMERING ULU SELATAN,1079.8996900089353,"[28, 27]"
KAB. OGAN KOMERING ULU TIMUR,1096.9277945323938,"[28, 25, 135]"
KAB. PENUKAL ABAB LEMATANG ILIR,1010.4224438610062,"[28, 25, 38, 133]"
KOTA LUBUKLINGGAU,882.5834044825413,"[28, 25, 38]"
KOTA PAGAR ALAM,974.8156265511807,"[28, 25, 38, 133]"
KOTA PALEMBANG,998.9642790284742,"[28, 25]"
KOTA PRABUMULIH,1076.011636814941,"[28, 25, 135]"
KAB. BANGKA,1021.0061297686831,"[28, 29]"
KAB. BANGKA BARAT,1012.8185947272857,"[28, 55, 54]"
KAB. BANGKA SELATAN,1125.4182710173163,"[28, 29]"
KAB. BANGKA TENGAH,1171.4202699199493,"[28, 29, 139]"
KAB. BELITUNG,1345.5093056709068,"[28, 25, 86, 142]"
KAB. BELITUNG TIMUR,1300.3592917293545,"[28, 25, 86]"
KOTA PANGKAL PINANG,1257.8562017189215,"[28, 27, 22]"
KAB. LAMPUNG TENGAH,1210.4480585623362,"[28, 25, 135]"
KAB. LAMPUNG UTARA,1163.7864371408632,"[28, 25, 63]"
KAB. LAMPUNG SELATAN,1284.9926158502649,"[28, 25, 63, 145]"
KAB. LAMPUNG BARAT,1196.2336951585364,"[28, 30, 70, 69, 116, 115]"
KAB. LAMPUNG TIMUR,1266.8139042830776,"[28, 25, 63]"
KAB. MESUJI,1287.122600815063,"[28, 30, 81, 101, 102]"
KAB. PESAWARAN,1278.9793154201575,"[28, 30, 70, 129]"
KAB. PESISIR BARAT,1222.2938864201108,"[28, 55, 54, 107]"
KAB. PRINGSEWU,1225.8884008556436,"[28, 25, 86]"
KAB. TULANG BAWANG,1177.5706941036447,"[28, 25, 120]"
KAB. TULANG BAWANG BARAT,1229.700395330958,"[28, 25, 120, 153]"
KAB. TANGGAMUS,1214.9698250114657,"[28, 29, 99]"
KAB. WAY KANAN,1159.2264464600971,"[28, 55]"
KOTA BANDAR LAMPUNG,1257.8224769861667,"[28, 25, 86, 152]"
KOTA METRO,1289.2013158286825,"[28, 25, 86, 152, 157]"
KAB. LEBAK,1408.1759868746858,"[28, 30]"
KAB. PANDEGLANG,1434.73685106123,"[28, 25, 135, 131]"
KAB. SERANG,1402.700722631168,"[28, 30, 70, 129]"
KAB. TANGERANG,1452.420990650933,"[28, 30, 70, 129, 161]"
KOTA CILEGON,1404.6045436326647,"[28, 25, 135, 144, 164]"
KOTA SERANG,1383.873155473388,"[28, 25, 135, 144]"
KOTA TANGERANG,1438.3580651577197,"[28, 30, 84, 166]"
KOTA TANGERANG SELATAN,1427.2549515989617,"[28, 30, 84]"
KAB. BANDUNG,1559.7642355556497,"[28, 25, 86, 124, 168]"
KAB. BANDUNG BARAT,1526.623599382428,"[28, 25, 86, 124]"
KAB. BEKASI,1540.2738446081812,"[28, 55, 56, 187]"
KAB. BOGOR,1513.0105564570415,"[28, 25, 135, 136]"
KAB. CIAMIS,1642.4343896328714,"[28, 30, 84, 166]"
KAB. CIANJUR,1542.2360283545495,"[28, 27, 130]"
KAB. CIREBON,1688.0257942111612,"[28, 30, 70, 69, 116, 115]"
KAB. GARUT,1645.8272184516609,"[28, 30, 70, 129, 161]"
KAB. INDRAMAYU,1543.135886306863,"[28, 25, 38]"
KAB. KARAWANG,1482.0788977472237,"[28, 25, 38, 133]"
KAB. KUNINGAN,1614.1050187618728,"[28, 30, 81, 178]"
KAB. MAJALENGKA,1573.2370341457731,"[28, 30, 81]"
KAB. PANGANDARAN,1659.0665770879273,"[28, 25, 38, 195, 194]"
KAB. PURWAKARTA,1516.1478727111403,"[28, 25, 135, 144]"
KAB. SUBANG,1559.9445833425002,"[28, 25, 135, 144, 180]"
KAB. SUKABUMI,1495.216154319467,"[28, 25, 38, 195, 194]"
