city,distance,through
KAB. ACEH BARAT,5078.291493388549,"[481, 343, 342]"
KAB. ACEH BARAT DAYA,5005.245895149583,"[481, 480, 452, 412, 363, 357]"
KAB. ACEH BESAR,5202.369302227545,"[481, 482, 467, 89, 3]"
KAB. ACEH JAYA,5126.065828890446,"[481, 482, 467, 89]"
KAB. ACEH SELATAN,4919.114461329718,"[481, 480, 452, 325]"
KAB. ACEH SINGKIL,4867.505477487457,"[481, 480, 443]"
KAB. ACEH TAMIANG,4834.229651328873,"[481, 316, 315]"
KAB. ACEH TENGAH,4965.90717656465,"[481, 316, 315, 6]"
KAB. ACEH TENGGARA,4870.047654478021,"[481, 482, 467, 328]"
KAB. ACEH TIMUR,4884.579903283626,"[481, 316, 315]"
KAB. ACEH UTARA,4951.170037372113,"[481, 316, 315, 9]"
KAB. BENER MERIAH,4990.291239071614,"[481, 316, 315, 9, 10]"
KAB. BIREUEN,5041.286412645235,"[481, 316, 315, 9, 10, 11]"
KAB. GAYO LUES,4971.722858430461,"[481, 480, 452, 412, 363, 357]"
KAB. NAGAN RAYA,5041.630688620476,"[481, 480, 443, 376]"
KAB. PIDIE,5152.534455719096,"[481, 316, 315, 22]"
KAB. PIDIE JAYA,5145.886494598627,"[481, 482, 467, 96, 29]"
KAB. SIMEULUE,5081.578954182386,"[481, 480, 452, 325, 55]"
KOTA BANDA ACEH,5165.12297805898,"[481, 316, 315, 6]"
KOTA LANGSA,4869.574758696198,"[481, 482, 467, 96, 97]"
KOTA LHOKSEUMAWE,4983.052957557118,"[481, 480, 426, 427]"
KOTA SABANG,5199.200497325796,"[481, 480, 426, 427, 20]"
KOTA SUBULUSSALAM,4810.51481567623,"[481, 316, 315]"
KAB. ASAHAN,4697.65102818567,"[481, 480, 452, 412, 363, 357]"
KAB. BATUBARA,4682.524307503412,"[481, 480, 452]"
KAB. DAIRI,4823.884478916746,"[481, 480, 452, 24]"
KAB. DELI SERDANG,4812.548464620209,"[481, 480, 426, 321, 30]"
KAB. HUMBANG HASUNDUTAN,4729.599706271281,[481]
KAB. KARO,4806.0862124078085,"[481, 480, 426]"
KAB. LABUHANBATU,4605.3371503879625,"[481, 482, 467, 96]"
KAB. LABUHANBATU SELATAN,4576.2091298835,"[481, 480, 426, 321]"
KAB. LABUHANBATU UTARA,4607.595808631839,"[481, 482]"
KAB. LANGKAT,4845.071710690253,"[481, 482, 31]"
KAB. MANDAILING NATAL,4655.005233296934,"[481, 480, 452, 325, 88]"
KAB. NIAS,4817.022656017698,"[481, 316]"
KAB. NIAS BARAT,4834.73835103188,[481]
KAB. NIAS SELATAN,4885.976099171744,"[481, 35]"
KAB. NIAS UTARA,4864.685453538436,"[481, 482, 38]"
KAB. PADANG LAWAS,4595.022084710432,"[481, 482]"
KAB. PADANG LAWAS UTARA,4619.033964841621,"[481, 343]"
KAB. PAKPAK BHARAT,4807.4925344879175,"[481, 343, 39]"
KAB. SAMOSIR,4824.462724704131,"[481, 482, 467, 320, 43, 42]"
KAB. SERDANG BEDAGAI,4740.233231872893,"[481, 482, 467, 320, 43]"
KAB. SIMALUNGUN,4693.347166260106,"[481, 482, 467, 320]"
KAB. TAPANULI SELATAN,4669.436915709305,"[481, 482, 467, 328]"
KAB. TAPANULI TENGAH,4720.142985505758,"[481, 316, 46]"
KAB. TAPANULI UTARA,4671.1486013542435,"[481, 316]"
KAB. TOBA SAMOSIR,4678.435822587731,"[481, 482, 467]"
KOTA BINJAI,4808.5257783623,"[481, 480, 443]"
KOTA GUNUNGSITOLI,4831.945429158884,"[481, 316, 315]"
