city,distance,through
KAB. ACEH BARAT,1399.4625005395712,"[89, 88, 59, 62]"
KAB. ACEH BARAT DAYA,1452.3828775549782,"[89, 3, 2]"
KAB. ACEH BESAR,1202.0880353514478,"[89, 3]"
KAB. ACEH JAYA,1125.7845620143491,[89]
KAB. ACEH SELATAN,1217.3815775271464,"[89, 88, 59, 62]"
KAB. ACEH SINGKIL,1257.9495079015196,"[89, 88, 107, 72]"
KAB. ACEH TAMIANG,1230.3972960708616,"[89, 88, 59]"
KAB. ACEH TENGAH,1166.369403867337,"[89, 27, 26]"
KAB. ACEH TENGGARA,1159.9538862420839,"[89, 10, 9]"
KAB. ACEH TIMUR,1024.6757145697918,"[89, 10]"
KAB. ACEH UTARA,958.0855804813042,[89]
KAB. BENER MERIAH,997.2067821808049,"[89, 10]"
KAB. BIREUEN,1048.2019557544265,"[89, 10, 11]"
KAB. GAYO LUES,1197.4091164543186,"[89, 10, 11, 12]"
KAB. NAGAN RAYA,1167.14693799854,"[89, 27, 28, 25]"
KAB. PIDIE,1227.6338987841461,"[89, 27, 22]"
KAB. PIDIE JAYA,1257.1652954167266,"[89, 27, 22, 15]"
KAB. SIMEULUE,1265.8615673964873,"[89, 88, 59]"
KOTA BANDA ACEH,1557.6063131187484,"[89, 88, 33, 39]"
KOTA LANGSA,1283.2141338775136,"[89, 27, 28, 20]"
KOTA LHOKSEUMAWE,1161.742912397137,"[89, 27, 28]"
KOTA SABANG,1253.8647981745014,"[89, 3, 2]"
KOTA SUBULUSSALAM,885.61425874128,"[89, 27]"
KAB. ASAHAN,1076.8286636329353,"[89, 27, 22]"
KAB. BATUBARA,1067.209405637543,"[89, 27, 28, 25]"
KAB. DAIRI,925.8492342242095,"[89, 27, 28]"
KAB. DELI SERDANG,929.6100943208621,"[89, 27]"
KAB. HUMBANG HASUNDUTAN,793.0187622017007,[89]
KAB. KARO,899.4182001607978,"[89, 27]"
KAB. LABUHANBATU,971.3222904919448,"[89, 27]"
KAB. LABUHANBATU SELATAN,992.7597760314923,"[89, 83, 84]"
KAB. LABUHANBATU UTARA,1058.133971718287,"[89, 83, 84, 30]"
KAB. LANGKAT,1175.8953600690156,"[89, 88, 33]"
KAB. MANDAILING NATAL,809.3488172283669,"[89, 88]"
KAB. NIAS,979.462031792833,"[89, 49, 35]"
KAB. NIAS BARAT,949.335911293987,"[89, 49]"
KAB. NIAS SELATAN,1000.5736594338518,"[89, 49, 35]"
KAB. NIAS UTARA,1083.6132072171956,"[89, 49, 35, 36]"
KAB. PADANG LAWAS,961.1449693129215,"[89, 88, 33, 39]"
KAB. PADANG LAWAS UTARA,906.5754843104457,"[89, 88, 33]"
KAB. PAKPAK BHARAT,968.2995534035408,"[89, 88]"
KAB. SAMOSIR,1032.9691655735016,"[89, 88, 40]"
KAB. SERDANG BEDAGAI,1114.3149066013648,"[89, 88, 33, 39, 43]"
KAB. SIMALUNGUN,1067.4288409885776,"[89, 88, 33, 39]"
KAB. TAPANULI SELATAN,1073.813376903844,"[89, 88, 87]"
KAB. TAPANULI TENGAH,1144.4575886304679,"[89, 88, 87, 44]"
KAB. TAPANULI UTARA,1189.8283391487912,"[89, 83, 84, 78]"
KAB. TOBA SAMOSIR,1229.5022113654957,"[89, 83, 84, 78, 46]"
KOTA BINJAI,1142.9018717559743,"[89, 88, 59]"
KOTA GUNUNGSITOLI,915.9646559145434,[89]
KOTA MEDAN,1198.8889166195638,"[89, 49]"
KOTA PADANGSIDEMPUAN,1165.9444642470419,"[89, 27, 26]"
KOTA PEMATANGSIANTAR,1090.810527129474,"[89, 88, 33, 39, 43]"
KOTA SIBOLGA,1196.6086046936275,"[89, 83, 84, 78]"
KOTA TANJUNGBALAI,1083.1449399567507,"[89, 27, 28, 55]"
KOTA TEBING TINGGI,1001.4081922851924,"[89, 27, 28]"
KAB. AGAM,1123.6785456550488,"[89, 88, 108, 109]"
KAB. DHARMASRAYA,1055.2395730220185,"[89, 88, 82, 81]"
KAB. KEPULAUAN MENTAWAI,933.59513199984,"[89, 88, 59]"
KAB. LIMA PULUH KOTA,689.3699523211646,"[89, 88]"
KAB. PADANG PARIAMAN,767.4723566473159,"[89, 88, 59]"
KAB. PASAMAN,732.5576692091291,"[89, 88, 59]"
KAB. PASAMAN BARAT,790.2936010752584,"[89, 88, 59]"
KAB. PESISIR SELATAN,962.9831664086042,"[89, 88, 59, 61]"
KAB. SIJUNJUNG,1082.2900603804005,"[89, 88, 59, 61, 63]"
KAB. SOLOK,1047.2578013125153,"[89, 88, 59, 61, 63]"
KAB. SOLOK SELATAN,1032.19774158387,"[89, 88, 82, 67]"
KAB. TANAH DATAR,903.7027329227165,"[89, 88, 82]"
KOTA BUKITTINGGI,903.7816425370539,"[89, 88, 107, 69]"
KOTA PADANG,832.1629779828484,"[89, 88, 107]"
KOTA PADANGPANJANG,885.6885688150069,"[89, 88, 107, 69]"
KOTA PARIAMAN,908.9251283114446,"[89, 88, 107, 72]"
KOTA PAYAKUMBUH,837.3464066178057,"[89, 88, 107]"
KOTA SAWAHLUNTO,889.1051955374372,"[89, 88, 107, 72]"
KOTA SOLOK,903.5492673977142,"[89, 88, 107, 72, 73]"
KAB. BENGKALIS,1170.7310607385434,"[89, 88, 107, 72, 73, 74]"
KAB. INDRAGIRI HILIR,1139.729693392147,"[89, 83, 84, 78, 77]"
KAB. INDRAGIRI HULU,1034.9190253727452,"[89, 83, 84, 78]"
KAB. KAMPAR,878.6852783995417,"[89, 83, 84]"
KAB. KEPULAUAN MERANTI,926.4879896163104,"[89, 88, 108]"
KAB. KUANTAN SINGINGI,1002.5073066187963,"[89, 88, 82, 81]"
KAB. PELALAWAN,898.3269117877123,"[89, 88, 82]"
KAB. ROKAN HILIR,665.9666464455456,"[89, 88]"
KAB. ROKAN HULU,623.1777530446884,[89]
KAB. SIAK,776.3294062694099,"[89, 83]"
KOTA DUMAI,881.1526681069012,"[89, 83, 84]"
KOTA PEKANBARU,835.4462644653877,"[89, 88, 87]"
KAB. BINTAN,488.4607895017466,"[89, 88]"
KAB. KARIMUN,360.41759097566927,[89]
KAB. KEPULAUAN ANAMBAS,0.0,[]
KAB. LINGGA,420.6234031385932,[89]
KAB. NATUNA,1074.7611118410355,"[89, 90]"
KOTA BATAM,974.4653560447924,"[89, 88, 108, 93]"
KOTA TANJUNG PINANG,922.8174559808039,"[89, 88, 108]"
PULAU TAMBELAN KAB. BINTAN,1241.5180381320931,"[89, 88, 108, 93]"
PEKAJANG KAB. LINGGA,1569.4326362322904,"[89, 88, 108, 93, 94]"
PULAU SERASAN KAB. NATUNA,1570.4564119236481,"[89, 88, 107, 323]"
PULAU MIDAI KAB. NATUNA,1721.8730245192642,"[89, 88, 107, 323, 96]"
PULAU LAUT KAB. NATUNA,1732.3904460711553,"[89, 88, 87, 99]"
KAB. BATANGHARI,835.47716349331,"[89, 88, 87]"
KAB. BUNGO,968.24899610799,"[89, 88, 87, 99]"
KAB. KERINCI,1025.0434581492839,"[89, 88, 87, 99, 100]"
KAB. MERANGIN,1016.6907712939906,"[89, 88, 107, 106]"
