city,distance,through
KAB. ACEH BARAT,954.3177278970819,"[58, 59, 62]"
KAB. ACEH BARAT DAYA,1074.00952453025,"[58, 59, 62, 0]"
KAB. ACEH BESAR,1021.536232564579,"[58, 36, 35, 49, 22, 21]"
KAB. ACEH JAYA,1022.7019866442956,"[58, 59, 62, 4]"
KAB. ACEH SELATAN,772.2368048846572,"[58, 59, 62]"
KAB. ACEH SINGKIL,689.6164783118587,"[58, 73, 72]"
KAB. ACEH TAMIANG,785.2525234283722,"[58, 59]"
KAB. ACEH TENGAH,857.3071758659457,"[58, 36, 35, 49, 25, 26]"
KAB. ACEH TENGGARA,774.7985883756614,"[58, 73, 67]"
KAB. ACEH TIMUR,910.0767600479535,"[58, 73, 67, 8]"
KAB. ACEH UTARA,976.6668941364411,"[58, 73, 67, 8, 9]"
KAB. BENER MERIAH,947.4257343139487,"[58, 36, 35, 34, 43, 42]"
KAB. BIREUEN,998.4209078875704,"[58, 36, 35, 34, 43, 42, 11]"
KAB. GAYO LUES,880.5100150312583,"[58, 36, 35, 49, 25, 14]"
KAB. NAGAN RAYA,783.4151779462395,"[58, 36, 35, 49, 25]"
KAB. PIDIE,797.7665053526929,"[58, 36, 37]"
KAB. PIDIE JAYA,827.2979019852735,"[58, 36, 37, 15]"
KAB. SIMEULUE,555.5745955335879,[58]
KOTA BANDA ACEH,887.7639657181669,"[58, 17]"
KOTA LANGSA,706.6403690792752,"[58, 36, 37]"
KOTA LHOKSEUMAWE,828.111590559652,"[58, 36, 37, 19]"
KOTA SABANG,969.7594697415254,"[58, 36, 35, 49, 22]"
KOTA SUBULUSSALAM,514.0777409536325,"[58, 36, 35, 49]"
KAB. ASAHAN,705.2921458452878,"[58, 36, 35, 49, 22]"
KAB. BATUBARA,683.4776455852425,"[58, 36, 35, 49, 25]"
KAB. DAIRI,542.1174741719092,"[58, 36, 35, 49]"
KAB. DELI SERDANG,620.5478663194708,"[58, 36, 35, 49, 25]"
KAB. HUMBANG HASUNDUTAN,606.6732374932118,"[58, 36, 35, 49, 22]"
KAB. KARO,568.5485082353208,"[58, 36, 35, 49, 25]"
KAB. LABUHANBATU,634.3408875512368,"[58, 73, 71, 70, 30]"
KAB. LABUHANBATU SELATAN,582.7353220954972,"[58, 73, 71, 70]"
KAB. LABUHANBATU UTARA,648.109517782292,"[58, 73, 71, 70, 30]"
KAB. LANGKAT,847.7674630025822,"[58, 73, 46, 45]"
KAB. MANDAILING NATAL,532.9014459384433,"[58, 36, 35, 34]"
KAB. NIAS,348.16978615112384,"[58, 36, 35]"
KAB. NIAS BARAT,318.0436656522778,"[58, 36]"
KAB. NIAS SELATAN,266.805917512413,[58]
KAB. NIAS UTARA,349.84546529575664,"[58, 36]"
KAB. PADANG LAWAS,619.5088341237611,"[58, 36, 37]"
KAB. PADANG LAWAS UTARA,630.1281130205222,"[58, 36, 35, 34, 33]"
KAB. PAKPAK BHARAT,711.4550221330979,"[58, 73, 72, 41]"
KAB. SAMOSIR,646.7854099631372,"[58, 73, 72]"
KAB. SERDANG BEDAGAI,665.9676531222312,"[58, 36, 35, 34, 43]"
KAB. SIMALUNGUN,619.081587509444,"[58, 36, 35, 34]"
KAB. TAPANULI SELATAN,689.9739695489076,"[58, 73, 46, 45]"
KAB. TAPANULI TENGAH,619.3297578222839,"[58, 73, 46]"
KAB. TAPANULI UTARA,570.3353736707695,"[58, 73]"
KAB. TOBA SAMOSIR,610.009245887474,"[58, 73, 46]"
KOTA BINJAI,628.9466708830932,"[58, 36, 35, 49]"
KOTA GUNUNGSITOLI,351.4149210317214,"[58, 36, 35]"
KOTA MEDAN,634.3391817367419,"[58, 36, 35, 49]"
KOTA PADANGSIDEMPUAN,516.893001619954,"[58, 73, 74]"
KOTA PEMATANGSIANTAR,642.4632736503404,"[58, 36, 35, 34, 43]"
KOTA SIBOLGA,621.9862736910623,"[58, 78]"
KOTA TANJUNGBALAI,752.2752480312736,"[58, 36, 35, 49, 25, 28, 55]"
KOTA TEBING TINGGI,670.5385003597154,"[58, 36, 35, 49, 25, 28]"
KAB. AGAM,490.0290967893502,"[58, 57]"
KAB. DHARMASRAYA,301.21425680224155,[58]
KAB. KEPULAUAN MENTAWAI,0.0,[]
KAB. LIMA PULUH KOTA,244.22517967867535,[58]
KAB. PADANG PARIAMAN,322.32758400482663,"[58, 59]"
KAB. PASAMAN,287.41289656663986,"[58, 59]"
KAB. PASAMAN BARAT,345.14882843276905,"[58, 59]"
KAB. PESISIR SELATAN,338.7765873179475,"[58, 73, 74]"
KAB. SIJUNJUNG,362.0307577066607,"[58, 66, 65]"
KAB. SOLOK,323.1064639223546,"[58, 66]"
KAB. SOLOK SELATAN,258.77360484770253,[58]
KAB. TANAH DATAR,245.96055686370752,"[58, 73]"
KOTA BUKITTINGGI,274.8333882856285,"[58, 73, 67]"
KOTA PADANG,346.45205283983404,"[58, 73, 67, 68]"
KOTA PADANGPANJANG,320.64224190270346,"[58, 73, 71]"
KOTA PARIAMAN,285.2785399818015,"[58, 73]"
KOTA PAYAKUMBUH,269.01337702814465,"[58, 73]"
KOTA SAWAHLUNTO,217.25458810851305,[58]
KOTA SOLOK,231.69865996878997,"[58, 73]"
KAB. BENGKALIS,498.8804533096193,"[58, 73, 74]"
KAB. INDRAGIRI HILIR,565.1073623895819,"[58, 78, 77]"
KAB. INDRAGIRI HULU,460.29669437018003,"[58, 78]"
KAB. KAMPAR,304.06294739697654,[58]
KAB. KEPULAUAN MERANTI,492.33697759750316,"[58, 78]"
KAB. KUANTAN SINGINGI,309.14247804653337,[58]
KAB. PELALAWAN,413.3228728776174,"[58, 80]"
KAB. ROKAN HILIR,483.69664334087827,"[58, 73, 67]"
KAB. ROKAN HULU,559.5704727518298,"[58, 78, 84]"
KAB. SIAK,406.4188195271083,"[58, 78]"
KOTA DUMAI,511.2420813645996,"[58, 78, 84]"
KOTA PEKANBARU,640.281152406661,"[58, 78, 84, 85]"
KAB. BINTAN,701.220739550248,"[58, 59, 88]"
KAB. KARIMUN,573.1775410241708,"[58, 59]"
KAB. KEPULAUAN ANAMBAS,933.5951319998401,"[58, 59, 88]"
KAB. LINGGA,1339.0174887575013,"[58, 73, 74, 111, 149]"
KAB. NATUNA,1389.0911519491451,"[58, 66, 65, 93, 92]"
KOTA BATAM,824.1489343016774,"[58, 66, 65, 93]"
KOTA TANJUNG PINANG,772.5010342376888,"[58, 66, 65]"
PULAU TAMBELAN KAB. BINTAN,979.8620860419178,"[58, 95]"
PEKAJANG KAB. LINGGA,651.9474879417205,[58]
PULAU SERASAN KAB. NATUNA,1221.7107404020558,"[58, 95]"
PULAU MIDAI KAB. NATUNA,1140.777377107608,"[58, 95]"
PULAU LAUT KAB. NATUNA,1332.4188076435269,"[58, 95, 97]"
