city,distance,through
KAB. ACEH BARAT,3017.586786611735,"[384, 378]"
KAB. ACEH BARAT DAYA,3045.673737179942,"[384, 378, 400, 332, 331, 139, 140]"
KAB. ACEH BESAR,3179.002678388062,"[384, 383, 382, 78, 4, 3]"
KAB. ACEH JAYA,3102.6992050509634,"[384, 383, 382, 78, 4]"
KAB. ACEH SELATAN,2852.2340232913252,"[384, 383, 382, 78]"
KAB. ACEH SINGKIL,2795.8461975174923,"[384, 383, 335, 106, 107, 72]"
KAB. ACEH TAMIANG,2758.4761958548793,[384]
KAB. ACEH TENGAH,2890.1537210906563,"[384, 6]"
KAB. ACEH TENGGARA,2800.740085231024,"[384, 329, 328]"
KAB. ACEH TIMUR,2852.5604140341575,"[384, 329, 315]"
KAB. ACEH UTARA,2919.150548122645,"[384, 329, 315, 9]"
KAB. BENER MERIAH,2914.93014661972,"[384, 383, 335, 334, 42]"
KAB. BIREUEN,2952.459416187796,"[384, 383, 335, 334, 94]"
KAB. GAYO LUES,2883.539143188258,"[384, 383, 382, 137]"
KAB. NAGAN RAYA,2936.502272148073,"[384, 383, 335, 29, 25]"
KAB. PIDIE,3045.7938687953824,"[384, 383, 335, 29, 16]"
KAB. PIDIE JAYA,3016.2624721628017,"[384, 383, 335, 29]"
KAB. SIMEULUE,2978.517112210974,"[384, 383, 335, 334, 55]"
KOTA BANDA ACEH,3089.369522584987,"[384, 6]"
KOTA LANGSA,2849.8843040714937,"[384, 97]"
KOTA LHOKSEUMAWE,2965.9496884007376,"[384, 383, 335, 29, 28]"
KOTA SABANG,3182.0972281694158,"[384, 383, 335, 29, 28, 20]"
KOTA SUBULUSSALAM,2746.6121527819605,"[384, 383, 335, 29, 27]"
KAB. ASAHAN,2655.787479600485,"[384, 383, 335, 334, 94, 93, 92, 24]"
KAB. BATUBARA,2613.4549018001308,"[384, 383, 335, 334, 94, 93, 92]"
KAB. DAIRI,2695.204568373743,"[384, 383, 335, 29]"
KAB. DELI SERDANG,2711.9149082148374,"[384, 383, 335, 334, 321, 30]"
KAB. HUMBANG HASUNDUTAN,2654.016656242381,"[384, 383, 335, 29]"
KAB. KARO,2703.6249761643985,"[384, 383, 335, 29]"
KAB. LABUHANBATU,2475.713127952137,"[384, 383, 335]"
KAB. LABUHANBATU SELATAN,2475.5755734781287,"[384, 383, 335, 334, 321]"
KAB. LABUHANBATU UTARA,2540.9497691649235,"[384, 383, 335, 334, 321, 30]"
