city,distance,through
KAB. ACEH BARAT,4587.228624310763,"[482, 467, 396, 323]"
KAB. ACEH BARAT DAYA,4591.893244538496,"[482, 467, 385, 142, 141, 140]"
KAB. ACEH BESAR,4662.268600531273,"[482, 467, 89, 3]"
KAB. ACEH JAYA,4585.965127194174,"[482, 467, 89]"
KAB. ACEH SELATAN,4451.534941766782,"[482, 467, 78]"
KAB. ACEH SINGKIL,4462.196492686918,"[482, 467, 67, 73, 72]"
KAB. ACEH TAMIANG,4441.285183822534,"[482, 345, 321, 86]"
KAB. ACEH TENGAH,4478.108395153128,"[482, 85]"
KAB. ACEH TENGGARA,4329.946952781749,"[482, 467, 328]"
KAB. ACEH TIMUR,4398.531329202887,"[482, 345]"
KAB. ACEH UTARA,4418.266145661129,"[482, 467, 89]"
KAB. BENER MERIAH,4450.520582425779,"[482, 467, 328]"
KAB. BIREUEN,4501.5157559994,"[482, 467, 328, 11]"
KAB. GAYO LUES,4461.441499839519,"[482, 467, 385]"
KAB. NAGAN RAYA,4526.025592887627,"[482, 467, 96, 29, 25]"
KAB. PIDIE,4631.715726312897,"[482, 345, 321, 30]"
KAB. PIDIE JAYA,4605.785792902355,"[482, 467, 96, 29]"
KAB. SIMEULUE,4542.111427068861,"[482, 467, 396]"
KOTA BANDA ACEH,4646.633712566032,"[482, 467, 96, 97, 19]"
KOTA LANGSA,4329.474056999926,"[482, 467, 96, 97]"
KOTA LHOKSEUMAWE,4450.9452784803025,"[482, 467, 96, 97, 19]"
KOTA SABANG,4667.092818248981,"[482, 467, 96, 97, 19, 20]"
KOTA SUBULUSSALAM,4294.179551415928,"[482, 467, 328]"
KAB. ASAHAN,4182.288002624089,"[482, 467, 385]"
KAB. BATUBARA,4224.620580424443,"[482, 467, 385, 23]"
KAB. DAIRI,4284.727889113296,"[482, 467, 96, 29]"
KAB. DELI SERDANG,4279.449603210423,"[482, 345, 321, 30]"
KAB. HUMBANG HASUNDUTAN,4204.153508448887,"[482, 85]"
KAB. KARO,4293.148296903952,"[482, 467, 96, 29]"
KAB. LABUHANBATU,4065.2364486916904,"[482, 467, 96]"
KAB. LABUHANBATU SELATAN,4043.1102684737143,"[482, 345, 321]"
KAB. LABUHANBATU UTARA,4067.495106935567,[482]
KAB. LANGKAT,4304.971008993982,"[482, 31]"
KAB. MANDAILING NATAL,4135.939484324921,"[482, 467, 396]"
KAB. NIAS,4299.496730863072,"[482, 61, 62]"
KAB. NIAS BARAT,4320.414551156398,"[482, 512]"
KAB. NIAS SELATAN,4371.652299296263,"[482, 512, 35]"
KAB. NIAS UTARA,4324.584751842165,"[482, 38]"
KAB. PADANG LAWAS,4054.9213830141603,[482]
KAB. PADANG LAWAS UTARA,4098.387015416499,"[482, 345, 321, 84]"
KAB. PAKPAK BHARAT,4286.845585062795,"[482, 345, 321, 84, 39]"
KAB. SAMOSIR,4284.362023007859,"[482, 467, 320, 43, 42]"
KAB. SERDANG BEDAGAI,4200.132530176621,"[482, 467, 320, 43]"
KAB. SIMALUNGUN,4153.246464563834,"[482, 467, 320]"
KAB. TAPANULI SELATAN,4129.336214013033,"[482, 467, 328]"
KAB. TAPANULI TENGAH,4199.980425739656,"[482, 467, 328, 44]"
KAB. TAPANULI UTARA,4178.008993108164,"[482, 467, 47]"
KAB. TOBA SAMOSIR,4138.335120891459,"[482, 467]"
KOTA BINJAI,4268.563135235887,"[482, 467, 328, 52]"
KOTA GUNUNGSITOLI,4353.785806535842,"[482, 512, 35]"
KOTA MEDAN,4319.700818467524,"[482, 467, 385, 23]"
KOTA PADANGSIDEMPUAN,4260.7797845342175,"[482, 467, 320, 74]"
KOTA PEMATANGSIANTAR,4173.359871346683,"[482, 467, 328]"
KOTA SIBOLGA,4218.901431301364,"[482, 467, 78]"
KOTA TANJUNGBALAI,4275.584473438896,"[482, 345, 321, 55]"
KOTA TEBING TINGGI,4193.847725767338,"[482, 345, 321]"
KAB. AGAM,4077.1243930922824,"[482, 467, 385, 142, 57]"
KAB. DHARMASRAYA,3888.3095531051736,"[482, 467, 385, 142]"
KAB. KEPULAUAN MENTAWAI,4189.523809907415,"[482, 467, 385, 142, 57]"
KAB. LIMA PULUH KOTA,3997.192989939056,"[482, 345, 321, 322]"
KAB. PADANG PARIAMAN,4021.292803561787,"[482, 467, 396]"
KAB. PASAMAN,4008.4952901077195,[482]
KAB. PASAMAN BARAT,4068.117582432408,"[482, 61]"
KAB. PESISIR SELATAN,3923.2340454560554,"[482, 345]"
KAB. SIJUNJUNG,3961.767274503662,"[482, 345, 65]"
KAB. SOLOK,3922.842980719356,"[482, 345]"
KAB. SOLOK SELATAN,3981.2261798380287,"[482, 512, 511]"
KAB. TANAH DATAR,3961.1286337283773,"[482, 467]"
KOTA BUKITTINGGI,3981.846739196049,[482]
KOTA PADANG,4053.4654037502546,"[482, 68]"
KOTA PADANGPANJANG,4070.147022549733,"[482, 512, 103, 71]"
KOTA PARIAMAN,4034.783320628831,"[482, 512, 103]"
KOTA PAYAKUMBUH,4041.5933914032034,"[482, 467, 67, 73]"
KOTA SAWAHLUNTO,3989.834602483572,"[482, 467, 67]"
KOTA SOLOK,3975.585442883053,"[482, 467, 320]"
KAB. BENGKALIS,4090.779506444872,"[482, 512, 511, 459, 421]"
KAB. INDRAGIRI HILIR,3888.6163121134423,"[482, 512, 511, 510, 381, 341]"
KAB. INDRAGIRI HULU,3900.721380260537,"[482, 512, 511, 510, 427]"
KAB. KAMPAR,3900.978105007278,"[482, 467]"
KAB. KEPULAUAN MERANTI,3961.8093188055336,"[482, 512, 511, 405, 393]"
KAB. KUANTAN SINGINGI,4004.186639337176,"[482, 512, 511, 510, 509, 359]"
KAB. PELALAWAN,3989.7897262196666,"[482, 467, 396, 397]"
KAB. ROKAN HILIR,4074.740165875295,"[482, 345, 321, 84, 83]"
KAB. ROKAN HULU,3996.418230815112,"[482, 345, 321, 84]"
KAB. SIAK,3843.2665775903906,"[482, 345, 321]"
KOTA DUMAI,3884.3383473228755,[482]
KOTA PEKANBARU,3877.312831874826,"[482, 345, 321]"
KAB. BINTAN,3724.9402217526044,"[482, 512, 511, 352, 353]"
KAB. KARIMUN,3820.5981561554936,"[482, 467, 89]"
KAB. KEPULAUAN ANAMBAS,3460.1805651798245,"[482, 467]"
KAB. LINGGA,3640.052112924064,"[482, 467, 385, 142, 143]"
KAB. NATUNA,3533.4708893622083,"[482, 467, 385, 386]"
KOTA BATAM,3806.9107654169993,"[482, 512, 511, 510, 381, 339]"
KOTA TANJUNG PINANG,3791.943450198372,"[482, 512, 511, 510, 381, 339, 94]"
PULAU TAMBELAN KAB. BINTAN,3473.2428680470825,"[482, 512, 511, 510, 381, 339]"
PEKAJANG KAB. LINGGA,3611.9947688401244,"[482, 512, 511]"
PULAU SERASAN KAB. NATUNA,3078.4157031167865,"[482, 467]"
PULAU MIDAI KAB. NATUNA,3229.8323157124023,"[482, 467, 96]"
PULAU LAUT KAB. NATUNA,3421.4737462483213,"[482, 467, 96, 97]"
KAB. BATANGHARI,3849.6728078881765,"[482, 512, 511, 405]"
KAB. BUNGO,3825.1268329270106,"[482, 345, 321]"
KAB. KERINCI,3881.9212949683047,"[482, 345, 321, 100]"
KAB. MERANGIN,3826.949713020742,"[482, 512, 103]"
KAB. MUARO JAMBI,3610.922022326355,"[482, 512]"
KAB. SAROLANGUN,3744.5439743520524,"[482, 345, 321]"
KAB. TANJUNG JABUNG BARAT,3697.642847772733,"[482, 467, 396]"
KAB. TANJUNG JABUNG TIMUR,3779.890450086344,"[482, 467, 396, 105]"
KAB. TEBO,3869.6609763908946,"[482, 345, 321, 104]"
KOTA JAMBI,3748.2472068826282,"[482, 512, 511, 510]"
KOTA SUNGAI PENUH,3880.8688490973896,"[482, 467, 135]"
KAB. BENGKULU SELATAN,3726.6432434513554,"[482, 467, 385, 142]"
KAB. BENGKULU TENGAH,3783.8697930093294,"[482, 345]"
KAB. BENGKULU UTARA,3836.226397646308,"[482, 467, 385, 390, 139]"
KAB. KAUR,3732.3613558758825,"[482, 467, 135, 136]"
KAB. KEPAHIANG,3853.2617335345,"[482, 467, 135, 136, 113]"
KAB. LEBONG,3792.553186503762,"[482, 345]"
KAB. MUKOMUKO,3893.7452833518514,"[482, 467, 385, 390, 139]"
KAB. REJANG LEBONG,3732.5993100741007,"[482, 131]"
KAB. SELUMA,3798.967106351857,"[482, 131, 117]"
KOTA BENGKULU,3856.754126526057,"[482, 131, 117, 118]"
KAB. BANYUASIN,3624.939181381676,"[482, 512, 511, 510]"
KAB. EMPAT LAWANG,3703.5243493220096,"[482, 131, 122]"
KAB. LAHAT,3651.7242583250804,"[482, 131]"
KAB. MUARA ENIM,3609.702512195834,"[482, 345]"
KAB. MUSI BANYUASIN,3743.1166602118933,"[482, 345, 123]"
KAB. MUSI RAWAS,3782.6507404039203,"[482, 512, 511, 447, 446]"
KAB. MUSI RAWAS UTARA,3809.493667209399,"[482, 467, 385, 142, 141, 140, 128, 127]"
KAB. OGAN ILIR,3587.048486290953,"[482, 467, 385, 142, 141, 140, 128]"
KAB. OGAN KOMERING ILIR,3519.550718888696,"[482, 467, 385, 142, 141, 140]"
KAB. OGAN KOMERING ULU,3668.357852760557,"[482, 467, 385, 142, 141, 140, 128]"
KAB. OGAN KOMERING ULU SELATAN,3619.3292616496306,"[482, 131]"
KAB. OGAN KOMERING ULU TIMUR,3497.006188903384,[482]
KAB. PENUKAL ABAB LEMATANG ILIR,3604.4364984282574,"[482, 131]"
KOTA LUBUKLINGGAU,3731.762126768462,"[482, 467, 385, 390]"
KOTA PAGAR ALAM,3700.5236553740383,"[482, 467, 135]"
KOTA PALEMBANG,3491.8484378823646,"[482, 467]"
KOTA PRABUMULIH,3568.8957956688314,"[482, 467, 135]"
