city,distance,through
KAB. ACEH BARAT,1871.412467963606,"[318, 79, 62]"
KAB. ACEH BARAT DAYA,1991.1042645967743,"[318, 79, 62, 0]"
KAB. ACEH BESAR,1912.778680692794,"[318, 319, 4, 3]"
KAB. ACEH JAYA,1836.4752073556954,"[318, 319, 4]"
KAB. ACEH SELATAN,1586.010025596057,"[318, 319]"
KAB. ACEH SINGKIL,1704.7435037767725,"[318, 79, 80, 74, 73, 72]"
KAB. ACEH TAMIANG,1702.9047643032845,"[318, 88, 59]"
KAB. ACEH TENGAH,1768.0961200705156,"[318, 317, 19, 20]"
KAB. ACEH TENGGARA,1732.531923319329,"[318, 317, 138, 137]"
KAB. ACEH TIMUR,1599.7912288120099,"[318, 88]"
KAB. ACEH UTARA,1666.3813629004976,"[318, 88, 9]"
KAB. BENER MERIAH,1699.0474434081975,"[318, 319, 43, 42]"
KAB. BIREUEN,1750.042616981819,"[318, 319, 43, 42, 11]"
KAB. GAYO LUES,1775.8385664483621,"[318, 69, 70]"
KAB. NAGAN RAYA,1869.0079725265348,"[318, 79, 80]"
KAB. PIDIE,1842.4505968817964,"[318, 88, 83, 22]"
KAB. PIDIE JAYA,1871.9819935143769,"[318, 88, 83, 22, 15]"
KAB. SIMEULUE,1738.3690356289103,"[318, 88, 59]"
KOTA BANDA ACEH,1875.5095760075824,"[318, 317, 19]"
KOTA LANGSA,1558.3499204414761,"[318, 317]"
KOTA LHOKSEUMAWE,1679.8211419218528,"[318, 317, 19]"
KOTA SABANG,1895.968681690531,"[318, 317, 19, 20]"
KOTA SUBULUSSALAM,1500.4309568389303,"[318, 88, 83]"
KAB. ASAHAN,1691.6453617305856,"[318, 88, 83, 22]"
KAB. BATUBARA,1733.9779395309397,"[318, 88, 83, 22, 23]"
KAB. DAIRI,1630.1585231190297,"[318, 319, 31, 30, 29]"
KAB. DELI SERDANG,1595.400851978393,"[318, 319, 31, 30]"
KAB. HUMBANG HASUNDUTAN,1588.970610987668,"[318, 319, 31, 30, 29]"
KAB. KARO,1610.7746902013148,"[318, 319, 31, 30]"
KAB. LABUHANBATU,1410.667082697424,"[318, 319, 31, 30]"
KAB. LABUHANBATU SELATAN,1359.0615172416842,"[318, 319, 31]"
KAB. LABUHANBATU UTARA,1293.6873215548894,"[318, 319]"
KAB. LANGKAT,1531.1632236133037,"[318, 319, 31]"
KAB. MANDAILING NATAL,1281.8562854607899,"[318, 88]"
KAB. NIAS,1466.5879452481095,"[318, 88, 33]"
KAB. NIAS BARAT,1496.7140657469556,"[318, 88, 33, 34]"
KAB. NIAS SELATAN,1547.9518138868204,"[318, 88, 33, 34, 35]"
KAB. NIAS UTARA,1630.9913616701642,"[318, 88, 33, 34, 35, 36]"
KAB. PADANG LAWAS,1433.6524375453446,"[318, 88, 33, 39]"
KAB. PADANG LAWAS UTARA,1379.0829525428687,"[318, 88, 33]"
KAB. PAKPAK BHARAT,1440.8070216359638,"[318, 88]"
KAB. SAMOSIR,1501.8188550477173,"[318, 319, 43, 42]"
KAB. SERDANG BEDAGAI,1417.58936221648,"[318, 319, 43]"
KAB. SIMALUNGUN,1370.7032966036927,"[318, 319]"
KAB. TAPANULI SELATAN,1299.855136436891,"[318, 79]"
KAB. TAPANULI TENGAH,1370.4993481635147,"[318, 79, 44]"
KAB. TAPANULI UTARA,1361.9735432499178,"[318, 319]"
KAB. TOBA SAMOSIR,1401.6474154666223,"[318, 319, 46]"
KOTA BINJAI,1475.0434471299209,"[318, 319]"
KOTA GUNUNGSITOLI,1530.0853211263993,"[318, 88, 33, 34, 35]"
KOTA MEDAN,1708.9107898471707,"[318, 317, 138, 103, 65, 64]"
KOTA PADANGSIDEMPUAN,1503.131883364314,"[318, 79, 80, 74]"
KOTA PEMATANGSIANTAR,1394.084982744589,"[318, 319, 43]"
KOTA SIBOLGA,1422.2953223198479,"[318, 79, 78]"
KOTA TANJUNGBALAI,1433.8312684266316,"[318, 317, 138]"
KOTA TEBING TINGGI,1515.56801609819,"[318, 317, 138, 54]"
KAB. AGAM,1366.4638159977173,"[318, 317, 125, 126, 109]"
