city,distance,through
KAB. ACEH BARAT,3151.2753042888485,"[410, 411, 343, 342]"
KAB. ACEH BARAT DAYA,3093.809177697184,"[410, 411, 412, 363, 357]"
KAB. ACEH BESAR,3321.344855479432,"[410, 409, 408, 447, 89, 3]"
KAB. ACEH JAYA,3245.0413821423335,"[410, 409, 408, 447, 89]"
KAB. ACEH SELATAN,2996.2530153313865,"[410, 409, 408, 319]"
KAB. ACEH SINGKIL,2897.458921456594,[410]
KAB. ACEH TAMIANG,2942.904148463541,"[410, 409]"
KAB. ACEH TENGAH,3074.581673699318,"[410, 409, 6]"
KAB. ACEH TENGGARA,2955.488553356324,"[410, 409, 362]"
KAB. ACEH TIMUR,2994.839862958361,"[410, 409, 345]"
KAB. ACEH UTARA,3051.6197610261256,"[410, 409]"
KAB. BENER MERIAH,3090.7409627256266,"[410, 409, 10]"
KAB. BIREUEN,3140.1469269928593,"[410, 381, 339, 94]"
KAB. GAYO LUES,3007.3915042421077,"[410, 411]"
KAB. NAGAN RAYA,3104.4863413271264,"[410, 411, 13]"
KAB. PIDIE,3208.4956110310595,"[410, 26, 16]"
KAB. PIDIE JAYA,3178.964214398479,"[410, 26]"
KAB. SIMEULUE,3146.025355897926,"[410, 409, 345, 321, 55]"
KOTA BANDA ACEH,3273.7974751936486,"[410, 409, 6]"
KOTA LANGSA,2982.036440455216,"[410, 409, 408, 317]"
KOTA LHOKSEUMAWE,3069.07002651486,"[410, 409, 345]"
KOTA SABANG,3285.217566283538,"[410, 409, 345, 20]"
KOTA SUBULUSSALAM,2921.36562878182,"[410, 29, 27]"
KAB. ASAHAN,2786.214310733271,"[410, 411, 412, 363, 357]"
KAB. BATUBARA,2759.0314255660105,"[410, 411, 93, 92]"
KAB. DAIRI,2869.958044373602,"[410, 29]"
KAB. DELI SERDANG,2840.4447478853363,[410]
KAB. HUMBANG HASUNDUTAN,2828.7701322422404,"[410, 29]"
KAB. KARO,2878.378452164258,"[410, 29]"
KAB. LABUHANBATU,2650.466603951996,[410]
KAB. LABUHANBATU SELATAN,2639.4188022291883,"[410, 409, 345, 321]"
KAB. LABUHANBATU UTARA,2703.930311290219,"[410, 409, 408, 319]"
KAB. LANGKAT,2941.406213348633,"[410, 409, 408, 319, 31]"
KAB. MANDAILING NATAL,2736.7841536203446,"[410, 409, 408, 390]"
KAB. NIAS,2885.742972751989,"[410, 62]"
KAB. NIAS BARAT,2915.869093250835,"[410, 62, 34]"
KAB. NIAS SELATAN,2886.7146360118286,"[410, 409, 408, 447, 446]"
KAB. NIAS UTARA,2939.7229303676927,"[410, 381, 341, 38]"
KAB. PADANG LAWAS,2670.0595615396883,"[410, 381, 341]"
KAB. PADANG LAWAS UTARA,2692.017775741921,"[410, 411, 343]"
KAB. PAKPAK BHARAT,2879.5096759429684,"[410, 409, 408]"
KAB. SAMOSIR,2905.6633583787066,"[410, 409, 345, 321, 320, 43, 42]"
KAB. SERDANG BEDAGAI,2821.4338655474694,"[410, 409, 345, 321, 320, 43]"
KAB. SIMALUNGUN,2774.547799934682,"[410, 409, 345, 321, 320]"
KAB. TAPANULI SELATAN,2757.2613470863907,"[410, 409, 408, 447, 446, 346, 347]"
KAB. TAPANULI TENGAH,2821.2109171367624,"[410, 409, 408, 319, 46]"
KAB. TAPANULI UTARA,2772.216532985248,"[410, 409, 408, 319]"
KAB. TOBA SAMOSIR,2811.8904052019525,"[410, 409, 408, 319, 46]"
KOTA BINJAI,2885.286436865251,"[410, 409, 408, 319]"
KOTA GUNUNGSITOLI,2938.2311033910128,"[410, 381, 137, 138, 103, 65]"
KOTA MEDAN,2890.07802656033,"[410, 409, 362, 361]"
KOTA PADANGSIDEMPUAN,2818.5196563610434,"[410, 424]"
KOTA PEMATANGSIANTAR,2797.9294860755786,"[410, 409, 345, 321, 320, 43]"
KOTA SIBOLGA,2820.889445951318,"[410, 381, 137, 78]"
KOTA TANJUNGBALAI,2798.265257149702,"[410, 411, 382]"
KOTA TEBING TINGGI,2790.1562595228115,"[410, 409, 345, 321]"
KAB. AGAM,2601.1391668697747,"[410, 57]"
KAB. DHARMASRAYA,2412.324326882666,[410]
KAB. KEPULAUAN MENTAWAI,2708.2983171113983,"[410, 381, 137, 66]"
KAB. LIMA PULUH KOTA,2593.50152369453,"[410, 409, 345, 321, 322]"
KAB. PADANG PARIAMAN,2627.345740259509,"[410, 411, 412, 348]"
KAB. PASAMAN,2636.6892405824947,"[410, 409, 345, 321, 322, 59]"
