city,distance,through
KAB. ACEH BARAT,3125.217685565605,"[409, 345, 321, 322, 323]"
KAB. ACEH BARAT DAYA,3013.572654585038,"[409, 362, 363, 357]"
KAB. ACEH BESAR,3203.8830307809376,"[409, 408, 447, 89, 3]"
KAB. ACEH JAYA,3127.579557443839,"[409, 408, 447, 89]"
KAB. ACEH SELATAN,2878.7911906328927,"[409, 408, 319]"
KAB. ACEH SINGKIL,2916.6665500887048,"[409, 408, 355, 74, 73, 72]"
KAB. ACEH TAMIANG,2825.4423237650467,[409]
KAB. ACEH TENGAH,2957.1198490008237,"[409, 6]"
KAB. ACEH TENGGARA,2838.02672865783,"[409, 362]"
KAB. ACEH TIMUR,2877.378038259867,"[409, 345]"
KAB. ACEH UTARA,2934.1579363276314,[409]
KAB. BENER MERIAH,2973.2791380271324,"[409, 10]"
KAB. BIREUEN,3024.274311600754,"[409, 10, 11]"
KAB. GAYO LUES,2980.0496178659164,"[409, 362, 363, 357]"
KAB. NAGAN RAYA,2989.8378024374692,"[409, 362]"
KAB. PIDIE,3101.270654169191,"[409, 408, 447, 446, 16]"
KAB. PIDIE JAYA,3071.7392575366102,"[409, 408, 447, 446]"
KAB. SIMEULUE,3028.5635311994324,"[409, 345, 321, 55]"
KOTA BANDA ACEH,3156.3356504951544,"[409, 6]"
KOTA LANGSA,2864.574615756722,"[409, 408, 317]"
KOTA LHOKSEUMAWE,2951.6082018163656,"[409, 345]"
KOTA SABANG,3167.755741585044,"[409, 345, 20]"
KOTA SUBULUSSALAM,2808.6823052296695,"[409, 408, 447, 446, 346]"
KAB. ASAHAN,2705.9777876211247,"[409, 362, 363, 357]"
KAB. BATUBARA,2748.3103654214788,"[409, 362, 363, 357, 23]"
KAB. DAIRI,2793.05398340804,"[409, 345, 321, 30, 29]"
KAB. DELI SERDANG,2758.296312267403,"[409, 345, 321, 30]"
KAB. HUMBANG HASUNDUTAN,2746.751709610874,"[409, 345, 321, 84, 85]"
KAB. KARO,2773.670150490325,"[409, 345, 321, 30]"
KAB. LABUHANBATU,2573.562542986434,"[409, 345, 321, 30]"
KAB. LABUHANBATU SELATAN,2521.9569775306945,"[409, 345, 321]"
KAB. LABUHANBATU UTARA,2586.468486591725,"[409, 408, 319]"
KAB. LANGKAT,2823.9443886501394,"[409, 408, 319, 31]"
KAB. MANDAILING NATAL,2619.3223289218504,"[409, 408, 390]"
KAB. NIAS,2781.535788202104,"[409, 408, 447]"
KAB. NIAS BARAT,2811.66190870095,"[409, 408, 447, 34]"
KAB. NIAS SELATAN,2769.252811313335,"[409, 408, 447, 446]"
KAB. NIAS UTARA,2849.1365749010456,"[409, 408, 340]"
KAB. PADANG LAWAS,2584.881787624729,"[409, 408, 340]"
KAB. PADANG LAWAS UTARA,2577.2337244734795,"[409, 345, 321, 84]"
KAB. PAKPAK BHARAT,2762.0478512444743,"[409, 408]"
KAB. SAMOSIR,2788.201533680213,"[409, 345, 321, 320, 43, 42]"
KAB. SERDANG BEDAGAI,2703.9720408489757,"[409, 345, 321, 320, 43]"
KAB. SIMALUNGUN,2657.0859752361885,"[409, 345, 321, 320]"
KAB. TAPANULI SELATAN,2639.799522387897,"[409, 408, 447, 446, 346, 347]"
KAB. TAPANULI TENGAH,2703.7490924382682,"[409, 408, 319, 46]"
KAB. TAPANULI UTARA,2654.7547082867536,"[409, 408, 319]"
KAB. TOBA SAMOSIR,2694.4285805034583,"[409, 408, 319, 46]"
KOTA BINJAI,2767.8246121667567,"[409, 408, 319]"
KOTA GUNUNGSITOLI,2824.5143395321766,"[409, 408, 340]"
KOTA MEDAN,2772.6162018618356,"[409, 362, 361]"
KOTA PADANGSIDEMPUAN,2715.0549296762465,"[409, 408, 355, 74]"
KOTA PEMATANGSIANTAR,2680.467661377085,"[409, 345, 321, 320, 43]"
KOTA SIBOLGA,2742.3924850715885,"[409, 345, 321, 84, 78]"
KOTA TANJUNGBALAI,2740.055963741878,"[409, 408, 317, 138]"
KOTA TEBING TINGGI,2672.694434824318,"[409, 345, 321]"
KAB. AGAM,2491.3396920746964,"[409, 408]"
KAB. DHARMASRAYA,2319.5419285226744,"[409, 408, 447]"
KAB. KEPULAUAN MENTAWAI,2620.756185324916,"[409, 408, 447, 57]"
KAB. LIMA PULUH KOTA,2476.0396989960363,"[409, 345, 321, 322]"
KAB. PADANG PARIAMAN,2554.1421033221877,"[409, 345, 321, 322, 59]"
KAB. PASAMAN,2519.227415884001,"[409, 345, 321, 322, 59]"
KAB. PASAMAN BARAT,2557.7238579506593,"[409, 408, 447]"
KAB. PESISIR SELATAN,2402.080754513036,"[409, 345]"
KAB. SIJUNJUNG,2440.6139835606427,"[409, 345, 65]"
KAB. SOLOK,2401.6896897763368,"[409, 345]"
KAB. SOLOK SELATAN,2367.8091428911325,"[409, 408, 340, 341]"
KAB. TANAH DATAR,2473.010628640554,"[409, 408, 355, 74, 73]"
KOTA BUKITTINGGI,2501.883460062475,"[409, 408, 355, 74, 73, 67]"
KOTA PADANG,2497.323581642091,"[409, 408, 447, 448, 107]"
KOTA PADANGPANJANG,2477.644202155621,"[409, 408, 340]"
KOTA PARIAMAN,2494.227483289304,"[409, 408, 447, 446]"
KOTA PAYAKUMBUH,2496.063448804991,"[409, 408, 355, 74, 73]"
