city,distance,through
KAB. ACEH BARAT,2158.359452883078,"[349, 350, 87, 88, 59, 62]"
KAB. ACEH BARAT DAYA,2278.051249516246,"[349, 350, 87, 88, 59, 62, 0]"
KAB. ACEH BESAR,2227.303805571407,"[349, 348, 20, 21]"
KAB. ACEH JAYA,2193.812423661321,"[349, 348, 79, 78, 4]"
KAB. ACEH SELATAN,1943.347241901683,"[349, 348, 79, 78]"
KAB. ACEH SINGKIL,1867.4154454505544,"[349, 350, 87, 72]"
KAB. ACEH TAMIANG,1902.229171704448,"[349, 350, 87, 86]"
KAB. ACEH TENGAH,2033.9066969402252,"[349, 350, 87, 86, 6]"
KAB. ACEH TENGGARA,2021.4588845953858,"[349, 350, 87, 88, 9]"
KAB. ACEH TIMUR,1886.1807129230938,"[349, 350, 87, 88]"
KAB. ACEH UTARA,1911.0017044109,"[349, 350, 87]"
KAB. BENER MERIAH,1950.1229061104007,"[349, 350, 87, 10]"
KAB. BIREUEN,1965.6127207247903,[349]
KAB. GAYO LUES,2038.8607935398975,"[349, 14]"
KAB. NAGAN RAYA,1941.7659564548787,[349]
KAB. PIDIE,2063.791318539062,"[349, 14]"
KAB. PIDIE JAYA,2093.322715171643,"[349, 14, 15]"
KAB. SIMEULUE,2024.7585197399942,"[349, 350, 87, 88, 59]"
KOTA BANDA ACEH,2127.1616948039523,"[349, 350, 87]"
KOTA LANGSA,2049.823111898467,"[349, 348, 322, 323, 96, 97]"
KOTA LHOKSEUMAWE,1959.3795029796754,"[349, 348]"
KOTA SABANG,2175.5270427483533,"[349, 348, 20]"
KOTA SUBULUSSALAM,1786.8204409500145,"[349, 350, 87, 88, 83]"
KAB. ASAHAN,1635.8792702181659,"[349, 93, 92, 24]"
KAB. BATUBARA,1593.5466924178118,"[349, 93, 92]"
KAB. DAIRI,1734.906863831145,"[349, 93, 92, 24]"
KAB. DELI SERDANG,1813.3372559787067,"[349, 93, 92, 24, 25]"
KAB. HUMBANG HASUNDUTAN,1787.111051924813,"[349, 350, 87, 86, 85]"
KAB. KARO,1761.3378978945568,"[349, 93, 92, 24, 25]"
KAB. LABUHANBATU,1701.3196490271166,"[349, 135, 84, 30]"
KAB. LABUHANBATU SELATAN,1649.714083571377,"[349, 135, 84]"
KAB. LABUHANBATU UTARA,1715.0882792581717,"[349, 135, 84, 30]"
KAB. LANGKAT,1875.7058491021182,"[349, 350, 87, 44, 45]"
KAB. MANDAILING NATAL,1568.2457695718738,"[349, 350, 87, 88]"
KAB. NIAS,1744.7340803156724,"[349, 350, 87]"
KAB. NIAS BARAT,1774.8602008145185,"[349, 350, 87, 34]"
KAB. NIAS SELATAN,1826.0979489543834,"[349, 350, 87, 34, 35]"
KAB. NIAS UTARA,1846.6665423910567,"[349, 350, 39, 38]"
KAB. PADANG LAWAS,1577.0031735630523,"[349, 350, 39]"
KAB. PADANG LAWAS UTARA,1522.4336885605765,"[349, 350]"
KAB. PAKPAK BHARAT,1710.892258206873,"[349, 350, 39]"
KAB. SAMOSIR,1775.561870376834,"[349, 350, 39, 40]"
KAB. SERDANG BEDAGAI,1730.1731108514955,"[349, 350, 39, 43]"
KAB. SIMALUNGUN,1683.2870452387083,"[349, 350, 39]"
KAB. TAPANULI SELATAN,1576.6239321951962,"[349, 350, 87]"
KAB. TAPANULI TENGAH,1647.26814392182,"[349, 350, 87, 44]"
KAB. TAPANULI UTARA,1696.2625280733344,"[349, 350, 87, 44, 45]"
KAB. TOBA SAMOSIR,1735.9364002900388,"[349, 350, 87, 44, 45, 46]"
KOTA BINJAI,1801.8719952688084,"[349, 350, 39, 43, 52]"
KOTA GUNUNGSITOLI,1808.2314561939622,"[349, 350, 87, 34, 35]"
KOTA MEDAN,1773.2920860616005,"[349, 93, 92, 24, 23]"
KOTA PADANGSIDEMPUAN,1791.5502924807308,"[349, 348, 79, 80, 74]"
KOTA PEMATANGSIANTAR,1706.6687313796047,"[349, 350, 39, 43]"
KOTA SIBOLGA,1710.7137314362644,"[349, 348, 79, 78]"
KOTA TANJUNGBALAI,1887.8118726695784,"[349, 348, 79, 78, 53]"
KOTA TEBING TINGGI,1863.3278900189514,"[349, 93, 92, 24, 25, 28]"
KAB. AGAM,1532.602856970247,"[349, 135, 109]"
KAB. DHARMASRAYA,1646.2154373834426,"[349, 135, 131, 117, 118]"
KAB. KEPULAUAN MENTAWAI,1692.492084343347,"[349, 350, 87, 88, 59]"
KAB. LIMA PULUH KOTA,1448.2669046646715,"[349, 350, 87, 88]"
KAB. PADANG PARIAMAN,1425.7124162215107,"[349, 348]"
KAB. PASAMAN,1491.4546215526361,"[349, 350, 87, 88, 59]"
KAB. PASAMAN BARAT,1549.1905534187651,"[349, 350, 87, 88, 59]"
KAB. PESISIR SELATAN,1485.7485940127244,"[349, 135, 131]"
KAB. SIJUNJUNG,1475.6912465882003,"[349, 93, 65]"
KAB. SOLOK,1436.7669528038941,"[349, 93]"
KAB. SOLOK SELATAN,1501.0998118785462,"[349, 93, 65]"
KAB. TANAH DATAR,1527.2771018416665,"[349, 350, 87, 72, 73]"
KOTA BUKITTINGGI,1556.1499332635874,"[349, 350, 87, 72, 73, 67]"
KOTA PADANG,1565.6912313647742,"[349, 348, 105, 106, 107]"
KOTA PADANGPANJANG,1535.282984382571,"[349, 93, 71]"
KOTA PARIAMAN,1499.919282461669,"[349, 93]"
KOTA PAYAKUMBUH,1446.8123441668404,"[349, 350, 87]"
KOTA SAWAHLUNTO,1498.571133086472,"[349, 350, 87, 72]"
KOTA SOLOK,1506.3559508295668,"[349, 348, 79, 80]"
KAB. BENGKALIS,1773.5377441703963,"[349, 348, 79, 80, 74]"
KAB. INDRAGIRI HILIR,1653.8348201347842,"[349, 348, 79, 78, 77]"
KAB. INDRAGIRI HULU,1549.0241521153823,"[349, 348, 79, 78]"
KAB. KAMPAR,1392.7904051421788,"[349, 348, 79]"
KAB. KEPULAUAN MERANTI,1204.5163749416522,"[349, 348]"
KAB. KUANTAN SINGINGI,1402.2190736969023,"[349, 348, 79]"
KAB. PELALAWAN,1506.3994685279863,"[349, 348, 79, 80]"
KAB. ROKAN HILIR,1424.8635987890525,"[349, 350, 87, 88]"
KAB. ROKAN HULU,1450.3656167889776,"[349, 350, 87, 88]"
KAB. SIAK,1433.2837138092946,"[349, 135]"
KOTA DUMAI,1467.2958907988013,"[349, 350, 87, 86]"
KOTA PEKANBARU,1338.25681975674,"[349, 350, 87]"
KAB. BINTAN,991.2713447930989,"[349, 350]"
KAB. KARIMUN,1119.3145433191762,"[349, 350, 87]"
KAB. KEPULAUAN ANAMBAS,1479.7321342948455,"[349, 350, 87, 88]"
KAB. LINGGA,1595.3886328524297,"[349, 348, 188, 187, 149]"
KAB. NATUNA,1603.9625002000162,"[349, 93, 92]"
KOTA BATAM,1039.0202825525485,"[349, 93]"
KOTA TANJUNG PINANG,987.3723824885598,[349]
PULAU TAMBELAN KAB. BINTAN,1306.072964639849,"[349, 93]"
PEKAJANG KAB. LINGGA,1368.528010475662,"[349, 348, 322, 323, 96]"
PULAU SERASAN KAB. NATUNA,798.7647580153268,"[349, 348, 322, 323]"
PULAU MIDAI KAB. NATUNA,950.1813706109428,"[349, 348, 322, 323, 96]"
PULAU LAUT KAB. NATUNA,1141.8228011468618,"[349, 348, 322, 323, 96, 97]"
KAB. BATANGHARI,1338.2877187846623,"[349, 350, 87]"
KAB. BUNGO,1471.0595513993424,"[349, 350, 87, 99]"
KAB. KERINCI,1489.8443881620908,"[349, 348, 105, 106, 102]"
KAB. MERANGIN,1420.368538158179,"[349, 348, 105, 106]"
KAB. MUARO JAMBI,1392.6919785253122,"[349, 348, 105, 104]"
KAB. SAROLANGUN,1242.6509082682373,"[349, 348, 105]"
KAB. TANJUNG JABUNG BARAT,1101.2498585167177,"[349, 348]"
KAB. TANJUNG JABUNG TIMUR,1183.4974608303287,"[349, 348, 105]"
KAB. TEBO,1348.4227040891974,"[349, 348, 105, 106]"
KOTA JAMBI,1284.128924844486,"[349, 93]"
KOTA SUNGAI PENUH,1286.6323239643782,"[349, 135]"
KAB. BENGKULU SELATAN,1264.7896458025266,"[349, 135, 131, 132]"
KAB. BENGKULU TENGAH,1364.6919886755325,"[349, 135, 131, 132, 110]"
KAB. BENGKULU UTARA,1328.157422560326,"[349, 348, 136, 113]"
KAB. KAUR,1128.5828758694613,"[349, 348, 136]"
KAB. KEPAHIANG,1249.4832535280784,"[349, 348, 136, 113]"
KAB. LEBONG,1322.240626698962,"[349, 348, 136, 113, 114]"
KAB. MUKOMUKO,1395.1054589339708,"[349, 135, 131, 117]"
KAB. REJANG LEBONG,1231.1685494239894,"[349, 135, 131]"
KAB. SELUMA,1297.5363457017459,"[349, 135, 131, 117]"
KOTA BENGKULU,1355.3233658759457,"[349, 135, 131, 117, 118]"
KAB. BANYUASIN,1337.6541623385915,"[349, 348, 322, 323]"
KAB. EMPAT LAWANG,1202.0935886718985,"[349, 135, 131, 122]"
KAB. LAHAT,1150.293497674969,"[349, 135, 131]"
KAB. MUARA ENIM,1222.9334553488884,"[349, 135, 131, 122]"
