city,distance,through
KAB. ACEH BARAT,876.6656981320034,"[80, 74, 51]"
KAB. ACEH BARAT DAYA,996.3574947651716,"[80, 74, 51, 0]"
KAB. ACEH BESAR,1025.3043965505212,"[80, 74, 73, 67, 3]"
KAB. ACEH JAYA,949.0009232134225,"[80, 74, 73, 67]"
KAB. ACEH SELATAN,711.6135641368685,"[80, 74, 73, 72, 5]"
KAB. ACEH SINGKIL,590.9428391962871,"[80, 74, 73, 72]"
KAB. ACEH TAMIANG,799.8266003869369,"[80, 74, 73, 72, 5]"
KAB. ACEH TENGAH,753.013946916624,[80]
KAB. ACEH TENGGARA,676.1249492600898,"[80, 74, 73, 67]"
KAB. ACEH TIMUR,811.4031209323819,"[80, 74, 73, 67, 8]"
KAB. ACEH UTARA,808.0973513898105,"[80, 11]"
KAB. BENER MERIAH,768.9761496903097,[80]
KAB. BIREUEN,819.9713232639314,"[80, 11]"
KAB. GAYO LUES,673.7913077715046,[80]
KAB. NAGAN RAYA,755.2073079460492,[80]
KAB. PIDIE,877.2326700302326,"[80, 14]"
KAB. PIDIE JAYA,906.7640666628131,"[80, 14, 15]"
KAB. SIMEULUE,850.2085339530054,"[80, 81]"
KOTA BANDA ACEH,1130.7199271170446,"[80, 74, 73, 72, 5, 6]"
KOTA LANGSA,962.7601465456636,"[80, 7, 20]"
KOTA LHOKSEUMAWE,841.2889250652868,"[80, 7]"
KOTA SABANG,1057.436464833965,"[80, 7, 20]"
KOTA SUBULUSSALAM,728.1342599904838,"[80, 81, 30, 29, 27]"
KAB. ASAHAN,782.7814621099154,"[80, 74, 51, 50]"
KAB. BATUBARA,777.15780124418,"[80, 74, 63]"
KAB. DAIRI,676.7266755822664,"[80, 81, 30, 29]"
KAB. DELI SERDANG,625.6655887100084,"[80, 74, 51]"
KAB. HUMBANG HASUNDUTAN,635.5387634509045,"[80, 81, 30, 29]"
KAB. KARO,657.3428426645512,"[80, 81, 30]"
KAB. LABUHANBATU,457.2352351606604,"[80, 81, 30]"
