city,distance,through
KAB. ACEH BARAT,1882.0162636853627,"[319, 43, 52, 51]"
KAB. ACEH BARAT DAYA,1829.583647384119,"[319, 320, 140]"
KAB. ACEH BESAR,1734.2568849685567,"[319, 4, 3]"
KAB. ACEH JAYA,1657.953411631458,"[319, 4]"
KAB. ACEH SELATAN,1407.4882298718196,[319]
KAB. ACEH SINGKIL,1528.1589548124011,"[319, 4]"
KAB. ACEH TAMIANG,1646.325443517132,"[319, 138, 137, 86]"
KAB. ACEH TENGAH,1653.6383658006305,"[319, 31, 30, 26]"
KAB. ACEH TENGGARA,1599.41528991812,"[319, 138, 137]"
KAB. ACEH TIMUR,1626.2369834719484,"[319, 43, 42, 11, 10]"
KAB. ACEH UTARA,1559.6468493834607,"[319, 43, 42, 11]"
KAB. BENER MERIAH,1520.52564768396,"[319, 43, 42]"
KAB. BIREUEN,1571.5208212575815,"[319, 43, 42, 11]"
KAB. GAYO LUES,1670.8842826068756,"[319, 138, 137]"
KAB. NAGAN RAYA,1692.9344311691227,"[319, 31, 30, 29, 25]"
KAB. PIDIE,1769.1451793566293,"[319, 31, 30]"
KAB. PIDIE JAYA,1755.3985227672981,"[319, 31, 30, 26]"
KAB. SIMEULUE,1738.3204790720952,"[319, 138, 54, 55]"
KOTA BANDA ACEH,1977.2187702472397,"[319, 138, 137, 86, 6]"
KOTA LANGSA,1736.8717161657135,"[319, 318, 317]"
KOTA LHOKSEUMAWE,1641.51692099674,"[319, 46, 45]"
KOTA SABANG,1786.0336477916103,"[319, 4, 3, 2]"
KOTA SUBULUSSALAM,1503.04431180301,"[319, 31, 30, 29, 27]"
KAB. ASAHAN,1635.3294766084798,"[319, 31, 30, 29, 25, 24]"
KAB. BATUBARA,1592.9968988081257,"[319, 31, 30, 29, 25]"
KAB. DAIRI,1451.6367273947924,"[319, 31, 30, 29]"
KAB. DELI SERDANG,1416.8790562541556,"[319, 31, 30]"
KAB. HUMBANG HASUNDUTAN,1410.4488152634308,"[319, 31, 30, 29]"
KAB. KARO,1432.2528944770775,"[319, 31, 30]"
KAB. LABUHANBATU,1232.1452869731866,"[319, 31, 30]"
KAB. LABUHANBATU SELATAN,1180.5397215174469,"[319, 31]"
KAB. LABUHANBATU UTARA,1115.165525830652,[319]
KAB. LANGKAT,1352.6414278890666,"[319, 31]"
KAB. MANDAILING NATAL,1363.25970505373,"[319, 65, 63]"
KAB. NIAS,1461.7919657139487,"[319, 65, 49, 35]"
KAB. NIAS BARAT,1431.6658452151025,"[319, 65, 49]"
KAB. NIAS SELATAN,1482.9035933549674,"[319, 65, 49, 35]"
KAB. NIAS UTARA,1565.9431411383111,"[319, 65, 49, 35, 36]"
KAB. PADANG LAWAS,1374.077201482613,"[319, 31, 30, 29]"
KAB. PADANG LAWAS UTARA,1353.0348575575872,"[319, 43]"
KAB. PAKPAK BHARAT,1290.8171537821272,[319]
KAB. SAMOSIR,1323.29705932348,"[319, 43, 42]"
KAB. SERDANG BEDAGAI,1239.0675664922426,"[319, 43]"
KAB. SIMALUNGUN,1192.1815008794554,[319]
KAB. TAPANULI SELATAN,1303.0903434038187,"[319, 46, 45]"
KAB. TAPANULI TENGAH,1232.446131677195,"[319, 46]"
KAB. TAPANULI UTARA,1183.4517475256805,[319]
KAB. TOBA SAMOSIR,1223.125619742385,"[319, 46]"
KOTA BINJAI,1296.5216514056835,[319]
KOTA GUNUNGSITOLI,1398.2945898356588,"[319, 65]"
KOTA MEDAN,1539.2348968514643,"[319, 65, 64]"
KOTA PADANGSIDEMPUAN,1394.6817843371878,"[319, 43, 52]"
KOTA PEMATANGSIANTAR,1215.5631870203517,"[319, 43]"
KOTA SIBOLGA,1356.2495817870622,"[319, 43, 52]"
KOTA TANJUNGBALAI,1300.7146350254225,"[319, 138]"
KOTA TEBING TINGGI,1382.4513826969808,"[319, 138, 54]"
KAB. AGAM,1397.7116068647315,"[319, 320, 135, 109]"
KAB. DHARMASRAYA,1345.6290585634206,"[319, 138, 103, 102, 101, 81]"
KAB. KEPULAUAN MENTAWAI,1279.8622979781198,"[319, 65, 66]"
KAB. LIMA PULUH KOTA,1314.643683047116,"[319, 65, 63, 61]"
KAB. PADANG PARIAMAN,1357.843140940227,"[319, 65, 63, 61]"
KAB. PASAMAN,1271.4559661591513,"[319, 65, 63]"
KAB. PASAMAN BARAT,1279.7052669202756,"[319, 138, 103, 104, 107]"
KAB. PESISIR SELATAN,1041.0304689596762,"[319, 65]"
KAB. SIJUNJUNG,995.6801278400715,"[319, 65]"
KAB. SOLOK,956.7558340557653,[319]
