city,distance,through
KAB. ACEH BARAT,2354.606765008807,"[358, 357, 1]"
KAB. ACEH BARAT DAYA,2234.914968375639,"[358, 357]"
KAB. ACEH BESAR,2485.2098105791697,"[358, 357, 1]"
KAB. ACEH JAYA,2424.552839268435,"[358, 4]"
KAB. ACEH SELATAN,2174.087657508797,[358]
KAB. ACEH SINGKIL,2290.1569891852214,"[358, 357, 137, 66]"
KAB. ACEH TAMIANG,2332.765860924418,"[358, 357, 137, 86]"
KAB. ACEH TENGAH,2383.9515954047743,"[358, 357, 29, 30, 26]"
KAB. ACEH TENGGARA,2285.855707325406,"[358, 357, 137]"
KAB. ACEH TIMUR,2421.133878997698,"[358, 357, 137, 8]"
KAB. ACEH UTARA,2440.715467629532,"[358, 357, 13, 12, 11]"
KAB. BENER MERIAH,2401.5942659300313,"[358, 357, 13, 12]"
KAB. BIREUEN,2350.5990923564095,"[358, 357, 13]"
KAB. GAYO LUES,2201.3919316565175,"[358, 357]"
KAB. NAGAN RAYA,2298.4867687415363,"[358, 357, 13]"
KAB. PIDIE,2420.51213082572,"[358, 357, 13, 14]"
KAB. PIDIE JAYA,2399.7967298765157,"[358, 357, 29]"
KAB. SIMEULUE,2470.7831473898195,"[358, 357, 79, 61, 59]"
KOTA BANDA ACEH,2663.659187654526,"[358, 357, 137, 86, 6]"
KOTA LANGSA,2353.4627134535417,"[358, 359, 351, 96, 97]"
KOTA LHOKSEUMAWE,2349.4839461144516,"[358, 357, 29, 28]"
KOTA SABANG,2536.9865734022233,"[358, 357, 1, 2]"
KOTA SUBULUSSALAM,2118.534506303381,"[358, 357, 23]"
KAB. ASAHAN,1927.3201014117258,"[358, 357]"
KAB. BATUBARA,1969.6526792120799,"[358, 357, 23]"
KAB. DAIRI,2078.738826087457,"[358, 357, 29]"
KAB. DELI SERDANG,2147.1922858582993,"[358, 357, 29, 30]"
KAB. HUMBANG HASUNDUTAN,2037.550913956095,"[358, 357, 29]"
KAB. KARO,2087.1592338781124,"[358, 357, 29]"
KAB. LABUHANBATU,1859.247385665851,"[358, 357]"
KAB. LABUHANBATU SELATAN,1910.8529511215906,"[358, 357, 29]"
KAB. LABUHANBATU UTARA,1976.2271468083854,"[358, 357, 29, 30]"
KAB. LANGKAT,2213.7030488667997,"[358, 357, 29, 30, 31]"
KAB. MANDAILING NATAL,2088.96146381813,"[358, 359, 323]"
KAB. NIAS,2119.222115347009,"[358, 62]"
KAB. NIAS BARAT,2149.348235845855,"[358, 62, 34]"
KAB. NIAS SELATAN,2200.58598398572,"[358, 62, 34, 35]"
KAB. NIAS UTARA,2270.842669003282,"[358, 357, 29, 38]"
KAB. PADANG LAWAS,2001.1793001752776,"[358, 357, 29]"
KAB. PADANG LAWAS UTARA,2055.7487851777532,"[358, 357, 29, 38]"
KAB. PAKPAK BHARAT,2220.514027853834,"[358, 359, 360]"
KAB. SAMOSIR,2233.352492891777,"[358, 357, 79, 44, 43, 42]"
KAB. SERDANG BEDAGAI,2149.1230000605397,"[358, 357, 79, 44, 43]"
KAB. SIMALUNGUN,2102.2369344477524,"[358, 357, 79, 44]"
KAB. TAPANULI SELATAN,1946.4862006967192,"[358, 357, 79]"
KAB. TAPANULI TENGAH,2017.130412423343,"[358, 357, 79, 44]"
KAB. TAPANULI UTARA,2062.14612103484,"[358, 357, 79, 78]"
KAB. TOBA SAMOSIR,2101.8199932515445,"[358, 357, 79, 78, 46]"
KOTA BINJAI,2220.8218844778526,"[358, 357, 79, 44, 43, 52]"
KOTA GUNUNGSITOLI,2125.7482983468717,"[358, 357]"
KOTA MEDAN,2064.7329172551604,"[358, 357, 23]"
KOTA PADANGSIDEMPUAN,2149.7629476241427,"[358, 357, 79, 80, 74]"
KOTA PEMATANGSIANTAR,2125.618620588649,"[358, 357, 79, 44, 43]"
KOTA SIBOLGA,2068.926386579676,"[358, 357, 79, 78]"
KOTA TANJUNGBALAI,2081.3657454194513,"[358, 357, 137, 138]"
KOTA TEBING TINGGI,2163.1024930910094,"[358, 357, 137, 138, 54]"
KAB. AGAM,2001.8717531636757,"[358, 359, 360]"
KAB. DHARMASRAYA,2021.524784905704,"[358, 357, 79, 80, 81]"
KAB. KEPULAUAN MENTAWAI,1985.5721735445698,"[358, 357, 137, 66]"
KAB. LIMA PULUH KOTA,1894.2915323144969,"[358, 357, 79, 61]"
KAB. PADANG PARIAMAN,1937.4909902076079,"[358, 357, 79, 61]"
KAB. PASAMAN,1851.1038154265323,"[358, 357, 79]"
KAB. PASAMAN BARAT,1887.842966916345,[358]
KAB. PESISIR SELATAN,1858.2408389482018,"[358, 357, 137, 138, 103, 65]"
KAB. SIJUNJUNG,1812.890497828597,"[358, 357, 137, 138, 103, 65]"
KAB. SOLOK,1773.9662040442909,"[358, 357, 137, 138, 103]"
KAB. SOLOK SELATAN,1726.7985686968673,"[358, 357, 137]"
KAB. TANAH DATAR,1833.0625135415573,"[358, 68]"
KOTA BUKITTINGGI,1804.1896821196365,[358]
KOTA PADANG,1875.8083466738422,"[358, 68]"
KOTA PADANGPANJANG,1900.8375589005866,"[358, 357, 137, 138, 103, 71]"
KOTA PARIAMAN,1865.4738569796846,"[358, 357, 137, 138, 103]"
KOTA PAYAKUMBUH,1913.5272712163835,"[358, 68, 67, 73]"
KOTA SAWAHLUNTO,1861.768482296752,"[358, 68, 67]"
KOTA SOLOK,1864.5686059729785,"[358, 357, 79, 80]"
KAB. BENGKALIS,2131.750399313808,"[358, 357, 79, 80, 74]"
KAB. INDRAGIRI HILIR,1981.180903527098,"[358, 357, 363, 332, 331, 330, 341]"
KAB. INDRAGIRI HULU,1907.236807258794,"[358, 357, 79, 78]"
KAB. KAMPAR,1751.0030602855904,"[358, 357, 79]"
KAB. KEPULAUAN MERANTI,1562.7290300850639,"[358, 357]"
KAB. KUANTAN SINGINGI,1760.431728840314,"[358, 357, 79]"
KAB. PELALAWAN,1864.612123671398,"[358, 357, 79, 80]"
KAB. ROKAN HILIR,2070.798600018728,"[358, 68, 67]"
KAB. ROKAN HULU,2006.5105856404437,"[358, 357, 79, 78, 84]"
KAB. SIAK,1853.3589324157222,"[358, 357, 79, 78]"
KOTA DUMAI,1897.8325800187715,"[358, 357, 137, 86]"
KOTA PEKANBARU,1768.7935089767102,"[358, 357, 137]"
KAB. BINTAN,1653.2844627569561,"[358, 359, 351, 350]"
KAB. KARIMUN,1781.3276612830334,"[358, 359, 351, 350, 87]"
KAB. KEPULAUAN ANAMBAS,2039.8952977942251,"[358, 357, 363, 362, 90]"
KAB. LINGGA,1619.271894655632,"[358, 357, 363, 362]"
KAB. NATUNA,1609.785531867824,"[358, 357, 363, 332, 333]"
KOTA BATAM,1888.823102612833,"[358, 357, 363, 332, 333, 334, 94, 93]"
KOTA TANJUNG PINANG,1837.1752025488445,"[358, 357, 363, 332, 333, 334, 94]"
PULAU TAMBELAN KAB. BINTAN,1518.474620397555,"[358, 357, 363, 332, 333, 334]"
PEKAJANG KAB. LINGGA,1672.1676120307375,"[358, 359, 351, 96]"
PULAU SERASAN KAB. NATUNA,1102.404359570402,"[358, 359, 351]"
PULAU MIDAI KAB. NATUNA,1253.820972166018,"[358, 359, 351, 96]"
PULAU LAUT KAB. NATUNA,1432.460843663624,"[358, 357, 363, 362]"
KAB. BATANGHARI,1858.6985512324773,"[358, 357, 79]"
KAB. BUNGO,1783.9105614168009,"[358, 357, 137, 138, 103, 102, 101]"
KAB. KERINCI,1727.116099375507,"[358, 357, 137, 138, 103, 102]"
KAB. MERANGIN,1657.6402493715952,"[358, 357, 137, 138, 103]"
KAB. MUARO JAMBI,1441.6125586772087,"[358, 357, 137, 138]"
KAB. SAROLANGUN,1591.6536289342835,"[358, 357, 137, 138, 103]"
KAB. TANJUNG JABUNG BARAT,1689.4981701730496,"[358, 359]"
KAB. TANJUNG JABUNG TIMUR,1771.7457724866604,"[358, 359, 105]"
KAB. TEBO,1716.7706309731257,"[358, 357, 137, 138, 103, 104]"
KOTA JAMBI,1862.880029175681,"[358, 357, 137, 138, 103, 104, 107]"
KOTA SUNGAI PENUH,1924.9795269143715,"[358, 357, 137, 136, 135]"
KAB. BENGKULU SELATAN,1835.6826387498356,"[358, 357, 137, 112, 111]"
KAB. BENGKULU TENGAH,1735.7802958768298,"[358, 357, 137, 112]"
KAB. BENGKULU UTARA,1669.6510794190392,"[358, 357, 137]"
KAB. KAUR,1622.3773181199304,"[358, 357, 137, 136]"
KAB. KEPAHIANG,1743.2776957785477,"[358, 357, 137, 136, 113]"
KAB. LEBONG,1816.0350689494312,"[358, 357, 137, 136, 113, 114]"
KAB. MUKOMUKO,1918.5423062182767,"[358, 357, 137, 136, 113, 114, 115]"
KAB. REJANG LEBONG,1829.1360698717176,"[358, 357, 363]"
KAB. SELUMA,1895.503866149474,"[358, 357, 363, 117]"
KOTA BENGKULU,1953.290886323674,"[358, 357, 363, 117, 118]"
KAB. BANYUASIN,1654.3302114261908,"[358, 359, 323]"
KAB. EMPAT LAWANG,1810.6293715095287,"[358, 357, 137, 138, 139, 122]"
KAB. LAHAT,1758.8292805125993,"[358, 357, 137, 138, 139]"
KAB. MUARA ENIM,1727.2199928285188,"[358, 357, 137, 138, 139, 140]"
KAB. MUSI BANYUASIN,1759.7859192184442,"[358, 357, 363, 332]"
KAB. MUSI RAWAS,1854.2606446901657,"[358, 357, 363, 332, 124]"
KAB. MUSI RAWAS UTARA,1848.3019623272278,"[358, 359, 323]"
KAB. OGAN ILIR,1670.9299347856713,"[358, 357, 137, 138, 139, 140, 128]"
KAB. OGAN KOMERING ILIR,1603.4321673834143,"[358, 357, 137, 138, 139, 140]"
