city,distance,through
KAB. ACEH BARAT,960.0081840110635,"[30, 26, 51]"
KAB. ACEH BARAT DAYA,1032.2570299912318,"[30, 28, 20, 21, 2]"
KAB. ACEH BESAR,781.9621877877013,"[30, 28, 20, 21]"
KAB. ACEH JAYA,858.2656611248001,"[30, 28, 20, 21, 2]"
KAB. ACEH SELATAN,801.6297499338024,"[30, 70]"
KAB. ACEH SINGKIL,789.6386050910487,"[30, 70, 71, 72]"
KAB. ACEH TAMIANG,593.9156015173033,"[30, 29, 38]"
KAB. ACEH TENGAH,473.0986442831836,"[30, 26]"
KAB. ACEH TENGGARA,631.9066697647651,"[30, 26, 7]"
KAB. ACEH TIMUR,767.1848414370571,"[30, 26, 7, 8]"
KAB. ACEH UTARA,776.4256701497792,"[30, 29, 38, 39, 43, 42, 11]"
KAB. BENER MERIAH,737.3044684502785,"[30, 29, 38, 39, 43, 42]"
KAB. BIREUEN,758.6967074365867,"[30, 29, 25, 14, 13]"
KAB. GAYO LUES,609.4895467366947,"[30, 29, 25, 14]"
KAB. NAGAN RAYA,512.394709651676,"[30, 29, 25]"
KAB. PIDIE,588.6054578391823,[30]
KAB. PIDIE JAYA,574.8588012498514,"[30, 26]"
KAB. SIMEULUE,709.5722614591396,"[30, 28, 55]"
KOTA BANDA ACEH,899.1377937759445,"[30, 29, 38, 39]"
KOTA LANGSA,635.5091066763465,"[30, 28, 20]"
KOTA LHOKSEUMAWE,514.0378851959697,"[30, 28]"
KOTA SABANG,730.1854249646477,"[30, 28, 20]"
KOTA SUBULUSSALAM,322.50459028556304,"[30, 29, 27]"
KAB. ASAHAN,454.789755091033,"[30, 29, 25, 24]"
KAB. BATUBARA,412.45717729067894,"[30, 29, 25]"
KAB. DAIRI,271.0970058773456,"[30, 29]"
KAB. DELI SERDANG,236.3393347367087,[30]
KAB. HUMBANG HASUNDUTAN,229.9090937459838,"[30, 29]"
KAB. KARO,251.71317295963053,[30]
KAB. LABUHANBATU,51.60556545573968,[30]
KAB. LABUHANBATU SELATAN,0.0,[]
KAB. LABUHANBATU UTARA,65.37419568679478,[30]
KAB. LANGKAT,302.85009774520915,"[30, 31]"
KAB. MANDAILING NATAL,345.33363204972073,"[30, 29, 38, 39]"
KAB. NIAS,525.296934895823,"[30, 29, 25, 49, 35]"
KAB. NIAS BARAT,495.170814396977,"[30, 29, 25, 49]"
KAB. NIAS SELATAN,546.2403965765144,"[30, 29, 38, 37]"
KAB. NIAS UTARA,463.2008487931707,"[30, 29, 38]"
KAB. PADANG LAWAS,193.5374799651662,"[30, 29]"
KAB. PADANG LAWAS UTARA,248.10696496764194,"[30, 29, 38]"
KAB. PAKPAK BHARAT,436.5655346139385,"[30, 29, 38, 39]"
KAB. SAMOSIR,501.23514678389927,"[30, 29, 38, 39, 40]"
KAB. SERDANG BEDAGAI,455.846387258561,"[30, 29, 38, 39, 43]"
KAB. SIMALUNGUN,408.96032164577383,"[30, 29, 38, 39]"
KAB. TAPANULI SELATAN,564.7110553968073,"[30, 29, 38, 39, 43]"
KAB. TAPANULI TENGAH,531.2878029255075,"[30, 31, 32]"
KAB. TAPANULI UTARA,580.282187077022,"[30, 31, 32, 45]"
KAB. TOBA SAMOSIR,619.9560592937264,"[30, 31, 32, 45, 46]"
KOTA BINJAI,527.545271675874,"[30, 29, 38, 39, 43, 52]"
KOTA GUNUNGSITOLI,461.7995590175334,"[30, 29, 25]"
KOTA MEDAN,592.2025709344676,"[30, 29, 25, 24, 23]"
KOTA PADANGSIDEMPUAN,472.67370466288855,"[30, 26]"
KOTA PEMATANGSIANTAR,432.3420077866702,"[30, 29, 38, 39, 43]"
KOTA SIBOLGA,573.0284025533807,"[30, 29, 38, 39, 43, 52]"
KOTA TANJUNGBALAI,435.43991275558335,"[30, 28, 55]"
KOTA TEBING TINGGI,353.7031650840251,"[30, 28]"
KAB. AGAM,647.1767760952514,"[30, 81, 57]"
KAB. DHARMASRAYA,458.3619361081428,"[30, 81]"
KAB. KEPULAUAN MENTAWAI,582.7353220954972,"[30, 70, 71, 73]"
KAB. LIMA PULUH KOTA,693.8998950679057,"[30, 81, 62]"
KAB. PADANG PARIAMAN,738.9857134195762,"[30, 81, 62, 61]"
KAB. PASAMAN,652.5985386385006,"[30, 81, 62]"
KAB. PASAMAN BARAT,592.976246313812,"[30, 81]"
KAB. PESISIR SELATAN,487.0027331964185,"[30, 70, 71, 73, 74]"
KAB. SIJUNJUNG,606.3096271682147,"[30, 70, 71, 73, 74, 63]"
KAB. SOLOK,571.2773681003296,"[30, 70, 71, 73, 74, 63]"
KAB. SOLOK SELATAN,522.6817114033322,"[30, 70, 71, 73, 67]"
KAB. TANAH DATAR,394.18670274217857,"[30, 70, 71, 73]"
KOTA BUKITTINGGI,387.23733557915773,"[30, 70, 69]"
KOTA PADANG,315.61867102495216,"[30, 70]"
KOTA PADANGPANJANG,262.09308019279365,[30]
KOTA PARIAMAN,297.4567821136956,"[30, 70]"
KOTA PAYAKUMBUH,369.0355038073346,"[30, 70, 71]"
KOTA SAWAHLUNTO,365.4807339869841,"[30, 70, 71]"
KOTA SOLOK,379.924805847261,"[30, 70, 71, 73]"
KAB. BENGKALIS,647.1065991880903,"[30, 70, 71, 73, 74]"
KAB. INDRAGIRI HILIR,579.8306568848196,"[30, 84, 78, 77]"
KAB. INDRAGIRI HULU,475.01998886541776,"[30, 84, 78]"
KAB. KAMPAR,318.7862418922142,"[30, 84]"
KAB. KEPULAUAN MERANTI,507.06027209274083,"[30, 84, 78]"
KAB. KUANTAN SINGINGI,405.62966970492073,"[30, 81]"
KAB. PELALAWAN,301.4492748738367,[30]
KAB. ROKAN HILIR,447.90395804698676,"[30, 84, 83]"
KAB. ROKAN HULU,369.5820229868039,"[30, 84]"
KAB. SIAK,216.43036976208242,[30]
KOTA DUMAI,321.25363159957374,"[30, 84]"
KOTA PEKANBARU,450.2927026416351,"[30, 84, 85]"
KAB. BINTAN,797.2781776052761,"[30, 84, 85, 86]"
KAB. KARIMUN,700.6330964566052,"[30, 84, 83]"
KAB. KEPULAUAN ANAMBAS,992.7597760314923,"[30, 84, 83]"
KAB. LINGGA,1413.3831791700854,"[30, 84, 83, 89]"
KAB. NATUNA,1426.593799798261,"[30, 70, 71, 93, 92]"
KOTA BATAM,861.6515821507933,"[30, 70, 71, 93]"
KOTA TANJUNG PINANG,810.0036820868047,"[30, 70, 71]"
PULAU TAMBELAN KAB. BINTAN,799.8441690377492,[30]
PEKAJANG KAB. LINGGA,1127.7587671379465,"[30, 94]"
PULAU SERASAN KAB. NATUNA,1038.4263110306433,"[30, 29]"
PULAU MIDAI KAB. NATUNA,1189.8429236262593,"[30, 29, 96]"
PULAU LAUT KAB. NATUNA,1364.38186800966,"[30, 70, 69]"
KAB. BATANGHARI,606.4112315929634,"[30, 29]"
KAB. BUNGO,600.4951452627666,"[30, 81, 101]"
