city,distance,through
KAB. ACEH BARAT,1986.1321408226909,"[350, 87, 88, 59, 62]"
KAB. ACEH BARAT DAYA,2105.823937455859,"[350, 87, 88, 59, 62, 0]"
KAB. ACEH BESAR,2085.7404934639517,"[350, 39, 38]"
KAB. ACEH JAYA,2054.5163995699045,"[350, 87, 88, 59, 62, 4]"
KAB. ACEH SELATAN,1804.051217810266,"[350, 87, 88, 59, 62]"
KAB. ACEH SINGKIL,1695.1881333901672,"[350, 87, 72]"
KAB. ACEH TAMIANG,1730.0018596440607,"[350, 87, 86]"
KAB. ACEH TENGAH,1861.679384879838,"[350, 87, 86, 6]"
KAB. ACEH TENGGARA,1849.2315725349986,"[350, 87, 88, 9]"
KAB. ACEH TIMUR,1713.9534008627065,"[350, 87, 88]"
KAB. ACEH UTARA,1738.7743923505127,"[350, 87]"
KAB. BENER MERIAH,1777.8955940500134,"[350, 87, 10]"
KAB. BIREUEN,1828.890767623635,"[350, 87, 10, 11]"
KAB. GAYO LUES,1944.8903917303605,"[350, 87, 86, 25, 14]"
KAB. NAGAN RAYA,1847.7955546453418,"[350, 87, 86, 25]"
KAB. PIDIE,1956.6127689324933,"[350, 87, 88, 83, 22]"
KAB. PIDIE JAYA,1986.1441655650738,"[350, 87, 88, 83, 22, 15]"
KAB. SIMEULUE,1852.531207679607,"[350, 87, 88, 59]"
KOTA BANDA ACEH,1954.934382743565,"[350, 87]"
KOTA LANGSA,2005.5828426613546,"[350, 87, 44, 45, 20]"
KOTA LHOKSEUMAWE,1884.1116211809779,"[350, 87, 44, 45]"
KOTA SABANG,2070.2748576775202,"[350, 87, 88, 83, 22]"
KOTA SUBULUSSALAM,1614.5931288896272,"[350, 87, 88, 83]"
KAB. ASAHAN,1790.1906000846989,"[350, 87, 86, 25, 24]"
KAB. BATUBARA,1747.8580222843448,"[350, 87, 86, 25]"
KAB. DAIRI,1606.4978508710115,"[350, 87, 86]"
KAB. DELI SERDANG,1684.928243018573,"[350, 87, 86, 25]"
KAB. HUMBANG HASUNDUTAN,1614.8837398644257,"[350, 87, 86, 85]"
KAB. KARO,1632.9288849344232,"[350, 87, 86, 25]"
KAB. LABUHANBATU,1546.7077760120915,"[350, 39, 38]"
KAB. LABUHANBATU SELATAN,1598.3133414678312,"[350, 39, 38, 29]"
KAB. LABUHANBATU UTARA,1663.687537154626,"[350, 39, 38, 29, 30]"
KAB. LANGKAT,1703.478537041731,"[350, 87, 44, 45]"
KAB. MANDAILING NATAL,1396.0184575114865,"[350, 87, 88]"
KAB. NIAS,1572.5067682552851,"[350, 87]"
KAB. NIAS BARAT,1602.6328887541313,"[350, 87, 34]"
KAB. NIAS SELATAN,1653.870636893996,"[350, 87, 34, 35]"
KAB. NIAS UTARA,1674.4392303306695,"[350, 39, 38]"
KAB. PADANG LAWAS,1404.775861502665,"[350, 39]"
KAB. PADANG LAWAS UTARA,1350.2063765001892,[350]
KAB. PAKPAK BHARAT,1538.6649461464858,"[350, 39]"
KAB. SAMOSIR,1603.3345583164466,"[350, 39, 40]"
KAB. SERDANG BEDAGAI,1557.9457987911082,"[350, 39, 43]"
KAB. SIMALUNGUN,1511.059733178321,"[350, 39]"
KAB. TAPANULI SELATAN,1404.396620134809,"[350, 87]"
KAB. TAPANULI TENGAH,1475.0408318614327,"[350, 87, 44]"
KAB. TAPANULI UTARA,1524.035216012947,"[350, 87, 44, 45]"
KAB. TOBA SAMOSIR,1563.7090882296516,"[350, 87, 44, 45, 46]"
KOTA BINJAI,1629.6446832084212,"[350, 39, 43, 52]"
KOTA GUNUNGSITOLI,1636.004144133575,"[350, 87, 34, 35]"
KOTA MEDAN,1882.0196620201777,"[350, 87, 72, 73, 74, 51]"
KOTA PADANGSIDEMPUAN,1625.9822345375255,"[350, 87, 72, 73, 74]"
KOTA PEMATANGSIANTAR,1534.4414193192174,"[350, 39, 43]"
