city,distance,through
KAB. ACEH BARAT,1386.7715542300566,"[147, 115, 62]"
KAB. ACEH BARAT DAYA,1506.4633508632248,"[147, 115, 62, 0]"
KAB. ACEH BESAR,1527.206818636399,"[147, 65, 3]"
KAB. ACEH JAYA,1450.9033452993003,"[147, 65]"
KAB. ACEH SELATAN,1202.7021564339655,[147]
KAB. ACEH SINGKIL,1209.9729669043672,"[147, 115, 116, 69, 70, 71, 72]"
KAB. ACEH TAMIANG,1268.8117358110894,"[147, 115, 116, 69, 70]"
KAB. ACEH TENGAH,1343.6508187250247,"[147, 102, 101, 8]"
KAB. ACEH TENGGARA,1184.842793243443,"[147, 102, 101]"
KAB. ACEH TIMUR,1320.1209649157352,"[147, 102, 101, 8]"
KAB. ACEH UTARA,1386.711099004223,"[147, 102, 101, 8, 9]"
KAB. BENER MERIAH,1377.4775666277458,"[147, 115, 116, 69, 70]"
KAB. BIREUEN,1411.7304874742947,"[147, 115]"
KAB. GAYO LUES,1279.3386933730776,"[147, 115, 116, 69, 70]"
KAB. NAGAN RAYA,1376.4335304580964,"[147, 115, 116, 69, 70, 13]"
KAB. PIDIE,1498.4588925422797,"[147, 115, 116, 69, 70, 13, 14]"
KAB. PIDIE JAYA,1519.3793234487573,"[147, 115, 116, 69, 70, 30, 26]"
KAB. SIMEULUE,1393.5052749621661,"[147, 115, 114]"
KOTA BANDA ACEH,1599.705062541197,"[147, 115, 116, 69, 70, 6]"
KOTA LANGSA,1486.4459816062233,"[147, 102, 101, 100, 37]"
KOTA LHOKSEUMAWE,1431.9257968736874,"[147, 102, 101, 8, 7]"
KOTA SABANG,1578.9835814594526,"[147, 65, 3, 2]"
KOTA SUBULUSSALAM,1186.4485832385012,"[147, 115, 116, 69, 83]"
KAB. ASAHAN,1278.315559153466,"[147, 65, 63, 24]"
KAB. BATUBARA,1235.9829813531119,"[147, 65, 63]"
KAB. DAIRI,1215.6175280762516,"[147, 115, 116, 69, 70, 30, 29]"
KAB. DELI SERDANG,1180.8598569356147,"[147, 115, 116, 69, 70, 30]"
KAB. HUMBANG HASUNDUTAN,1174.4296159448897,"[147, 115, 116, 69, 70, 30, 29]"
KAB. KARO,1196.2336951585364,"[147, 115, 116, 69, 70, 30]"
KAB. LABUHANBATU,996.1260876546456,"[147, 115, 116, 69, 70, 30]"
KAB. LABUHANBATU SELATAN,944.520522198906,"[147, 115, 116, 69, 70]"
KAB. LABUHANBATU UTARA,1009.8947178857007,"[147, 115, 116, 69, 70, 30]"
KAB. LANGKAT,1190.123293329568,[147]
KAB. MANDAILING NATAL,992.2692206848076,"[147, 65, 63]"
KAB. NIAS,1002.6010812473222,"[147, 115, 116, 69]"
KAB. NIAS BARAT,1032.7272017461682,"[147, 115, 116, 69, 34]"
KAB. NIAS SELATAN,1083.964949886033,"[147, 115, 116, 69, 34, 35]"
KAB. NIAS UTARA,1129.6510778227048,"[147, 102, 101, 100]"
KAB. PADANG LAWAS,1138.0580021640721,"[147, 115, 116, 69, 70, 30, 29]"
KAB. PADANG LAWAS UTARA,1089.4958877668864,"[147, 65, 63, 33]"
KAB. PAKPAK BHARAT,1231.8115107256067,"[147, 115, 116, 69, 70, 71, 72, 41]"
KAB. SAMOSIR,1167.1418985556459,"[147, 115, 116, 69, 70, 71, 72]"
KAB. SERDANG BEDAGAI,1131.0969907721344,"[147, 52, 43]"
KAB. SIMALUNGUN,1084.2109251593472,"[147, 52]"
KAB. TAPANULI SELATAN,1150.5859617738251,"[147, 102, 47, 46, 45]"
KAB. TAPANULI TENGAH,1079.9417500472014,"[147, 102, 47, 46]"
KAB. TAPANULI UTARA,1030.947365895687,"[147, 102, 47]"
KAB. TOBA SAMOSIR,991.2734936789824,"[147, 102]"
KOTA BINJAI,1156.0325029076546,"[147, 52]"
KOTA GUNUNGSITOLI,1027.3041054667365,"[147, 65]"
KOTA MEDAN,1144.767734419137,"[147, 102]"
KOTA PADANGSIDEMPUAN,1049.8653326018195,"[147, 115, 114, 74]"
KOTA PEMATANGSIANTAR,1060.8292390184508,[147]
KOTA SIBOLGA,1095.2147335884717,"[147, 65, 66]"
KOTA TANJUNGBALAI,1201.1905979568912,"[147, 115, 116, 55]"
KOTA TEBING TINGGI,1119.453850285333,"[147, 115, 116]"
KAB. AGAM,993.8497814494449,"[147, 148, 57]"
KAB. DHARMASRAYA,805.0349414623363,"[147, 148]"
KAB. KEPULAUAN MENTAWAI,908.8718136091973,"[147, 65, 66]"
KAB. LIMA PULUH KOTA,878.5263035198374,"[147, 115, 62]"
KAB. PADANG PARIAMAN,923.6121218715078,"[147, 115, 62, 61]"
KAB. PASAMAN,837.2249470904322,"[147, 115, 62]"
KAB. PASAMAN BARAT,777.6026547657436,"[147, 115]"
KAB. PESISIR SELATAN,670.0399845907539,"[147, 65]"
KAB. SIJUNJUNG,624.689643471149,"[147, 65]"
KAB. SOLOK,585.7653496868428,[147]
KAB. SOLOK SELATAN,650.0982087614948,"[147, 65]"
KAB. TANAH DATAR,729.3933471500803,"[147, 115, 116, 69, 68]"
KOTA BUKITTINGGI,700.5205157281594,"[147, 115, 116, 69]"
KOTA PADANG,628.9018511739538,"[147, 115, 116]"
KOTA PADANGPANJANG,682.4274420061123,"[147, 115, 116, 69]"
KOTA PARIAMAN,717.7911439270143,"[147, 115, 116, 69, 70]"
KOTA PAYAKUMBUH,789.3698656206533,"[147, 115, 116, 69, 70, 71]"
KOTA SAWAHLUNTO,758.0993159052748,"[147, 115, 116, 69, 68, 67]"
KOTA SOLOK,764.6709909506556,"[147, 115, 114]"
KAB. BENGKALIS,1031.852784291485,"[147, 115, 114, 74]"
KAB. INDRAGIRI HILIR,1016.586898601957,"[147, 146, 145, 144, 77]"
KAB. INDRAGIRI HULU,911.7762305825552,"[147, 146, 145, 144]"
KAB. KAMPAR,1065.562035995551,"[147, 115, 116, 69, 70, 71, 84]"
KAB. KEPULAUAN MERANTI,951.6975895565217,"[147, 146]"
KAB. KUANTAN SINGINGI,821.1448398639372,"[147, 102, 101, 81]"
KAB. PELALAWAN,716.9644450328533,"[147, 102, 101]"
KAB. ROKAN HILIR,928.3156941376473,"[147, 115, 116, 69, 83]"
KAB. ROKAN HULU,849.9937590774643,"[147, 115, 116, 69]"
KAB. SIAK,963.2061638654193,"[147, 115, 116, 69, 70, 71]"
KOTA DUMAI,1068.0294257029107,"[147, 115, 116, 69, 70, 71, 84]"
KOTA PEKANBARU,1197.068496744972,"[147, 115, 116, 69, 70, 71, 84, 85]"
KAB. BINTAN,962.7867373972067,"[147, 148, 149, 139]"
KAB. KARIMUN,847.2636446942788,"[147, 115, 116]"
KAB. KEPULAUAN ANAMBAS,1126.4067422501382,"[147, 148, 149, 90]"
KAB. LINGGA,705.783339111545,"[147, 148, 149]"
KAB. NATUNA,1282.1531980903314,"[147, 148, 149, 139, 140]"
KOTA BATAM,1025.382771618054,"[147, 115, 116, 108, 93]"
KOTA TANJUNG PINANG,973.7348715540655,"[147, 115, 116, 108]"
PULAU TAMBELAN KAB. BINTAN,1292.4354537053548,"[147, 115, 116, 108, 93]"
PEKAJANG KAB. LINGGA,1231.291740973012,"[147, 148, 149, 111, 110]"
PULAU SERASAN KAB. NATUNA,1315.8581727914693,"[147, 148, 149, 139, 138, 323]"
PULAU MIDAI KAB. NATUNA,1467.2747853870853,"[147, 148, 149, 139, 138, 323, 96]"
PULAU LAUT KAB. NATUNA,1561.1926139190368,"[147, 102, 101, 100, 99]"
KAB. BATANGHARI,664.2793313411913,"[147, 102, 101, 100]"
KAB. BUNGO,531.5074987265112,"[147, 102, 101]"
KAB. KERINCI,474.71303668521733,"[147, 102]"
KAB. MERANGIN,405.2371866813055,[147]
KAB. MUARO JAMBI,621.2648773756921,"[147, 102]"
KAB. SAROLANGUN,771.3059476327668,"[147, 102, 103]"
KAB. TANJUNG JABUNG BARAT,724.3558663227666,"[147, 102, 106]"
KAB. TANJUNG JABUNG TIMUR,642.1082640091557,"[147, 102]"
KAB. TEBO,807.0335072680246,"[147, 102, 106]"
KOTA JAMBI,676.9783291981394,"[147, 115, 116]"
KOTA SUNGAI PENUH,928.6254282224415,"[147, 115, 116, 108]"
KAB. BENGKULU SELATAN,726.6386233466651,"[147, 148, 149, 111]"
KAB. BENGKULU TENGAH,626.7362804736592,"[147, 148, 149]"
KAB. BENGKULU UTARA,692.8654969314498,"[147, 148, 149, 111]"
KAB. KAUR,500.03492837274575,"[147, 115, 114]"
KAB. KEPAHIANG,379.1345507141285,"[147, 115]"
KAB. LEBONG,306.37717754324495,[147]
KAB. MUKOMUKO,408.8844148120904,"[147, 115]"
