city,distance,through
KAB. ACEH BARAT,1793.7799274398642,"[320, 74, 51]"
KAB. ACEH BARAT DAYA,1737.5193770632116,"[320, 140]"
KAB. ACEH BESAR,1826.3211552894643,"[320, 319, 4, 3]"
KAB. ACEH JAYA,1750.0176819523656,"[320, 319, 4]"
KAB. ACEH SELATAN,1499.5525001927272,"[320, 319]"
KAB. ACEH SINGKIL,1508.0570685041478,"[320, 74, 73, 72]"
KAB. ACEH TAMIANG,1716.9408296947975,"[320, 74, 73, 72, 5]"
KAB. ACEH TENGAH,1745.702636121538,"[320, 319, 31, 30, 26]"
KAB. ACEH TENGGARA,1593.2391785679506,"[320, 74, 73, 67]"
KAB. ACEH TIMUR,1632.9676107137989,"[320, 43, 42, 11, 10]"
KAB. ACEH UTARA,1566.3774766253111,"[320, 43, 42, 11]"
KAB. BENER MERIAH,1527.2562749258104,"[320, 43, 42]"
KAB. BIREUEN,1578.251448499432,"[320, 43, 42, 11]"
KAB. GAYO LUES,1727.458609199324,"[320, 43, 42, 11, 12]"
KAB. NAGAN RAYA,1784.9987014900303,"[320, 319, 31, 30, 29, 25]"
KAB. PIDIE,1861.2094496775367,"[320, 319, 31, 30]"
KAB. PIDIE JAYA,1839.4940341290321,"[320, 43, 52, 53]"
KAB. SIMEULUE,1808.524361942903,"[320, 74, 73, 58]"
KOTA BANDA ACEH,2010.79631360774,"[320, 43, 39]"
KOTA LANGSA,1828.935986486621,"[320, 319, 318, 317]"
KOTA LHOKSEUMAWE,1733.5811913176476,"[320, 319, 46, 45]"
KOTA SABANG,1878.0979181125178,"[320, 319, 4, 3, 2]"
KOTA SUBULUSSALAM,1595.1085821239174,"[320, 319, 31, 30, 29, 27]"
KAB. ASAHAN,1699.895691417776,"[320, 74, 51, 50]"
KAB. BATUBARA,1685.0611691290333,"[320, 319, 31, 30, 29, 25]"
KAB. DAIRI,1543.7009977157,"[320, 319, 31, 30, 29]"
KAB. DELI SERDANG,1508.943326575063,"[320, 319, 31, 30]"
KAB. HUMBANG HASUNDUTAN,1502.5130855843381,"[320, 319, 31, 30, 29]"
KAB. KARO,1524.317164797985,"[320, 319, 31, 30]"
KAB. LABUHANBATU,1324.209557294094,"[320, 319, 31, 30]"
KAB. LABUHANBATU SELATAN,1272.6039918383544,"[320, 319, 31]"
