city,distance,through
KAB. ACEH BARAT,1144.6674134638629,"[32, 45, 44, 43, 52, 51]"
KAB. ACEH BARAT DAYA,1155.7276392951055,"[32, 45, 20, 21, 2]"
KAB. ACEH BESAR,905.432797091575,"[32, 45, 20, 21]"
KAB. ACEH JAYA,981.7362704286738,"[32, 45, 20, 21, 2]"
KAB. ACEH SELATAN,1104.4798476790115,"[32, 31, 30, 70]"
KAB. ACEH SINGKIL,1066.344759074933,"[32, 45, 20, 7, 6]"
KAB. ACEH TAMIANG,857.4609978842834,"[32, 45, 20, 7]"
KAB. ACEH TENGAH,725.7834726485062,"[32, 45, 20]"
KAB. ACEH TENGGARA,884.5914981300876,"[32, 45, 20, 7]"
KAB. ACEH TIMUR,888.8881332504485,"[32, 45, 44, 43, 42, 11, 10]"
KAB. ACEH UTARA,822.2979991619609,"[32, 45, 44, 43, 42, 11]"
KAB. BENER MERIAH,783.1767974624602,"[32, 45, 44, 43, 42]"
KAB. BIREUEN,787.3329158508168,"[32, 45, 44]"
KAB. GAYO LUES,912.3396444819039,"[32, 31, 30, 29, 25, 14]"
KAB. NAGAN RAYA,815.2448073968851,"[32, 31, 30, 29, 25]"
KAB. PIDIE,891.4555555843915,"[32, 31, 30]"
KAB. PIDIE JAYA,877.7088989950605,"[32, 31, 30, 26]"
KAB. SIMEULUE,1012.4223592043486,"[32, 31, 30, 28, 55]"
KOTA BANDA ACEH,1076.1393715463264,"[32, 45, 20, 19]"
KOTA LANGSA,758.9797159802202,"[32, 45, 20]"
KOTA LHOKSEUMAWE,637.5084944998434,"[32, 45]"
KOTA SABANG,853.6560342685215,"[32, 45, 20]"
KOTA SUBULUSSALAM,625.3546880307722,"[32, 31, 30, 29, 27]"
KAB. ASAHAN,757.6398528362422,"[32, 31, 30, 29, 25, 24]"
KAB. BATUBARA,715.3072750358881,"[32, 31, 30, 29, 25]"
KAB. DAIRI,573.9471036225548,"[32, 31, 30, 29]"
KAB. DELI SERDANG,539.1894324819178,"[32, 31, 30]"
KAB. HUMBANG HASUNDUTAN,532.759191491193,"[32, 31, 30, 29]"
KAB. KARO,554.5632707048396,"[32, 31, 30]"
KAB. LABUHANBATU,354.45566320094883,"[32, 31, 30]"
KAB. LABUHANBATU SELATAN,302.85009774520915,"[32, 31]"
KAB. LABUHANBATU UTARA,237.47590205841436,[32]
KAB. LANGKAT,0.0,[]
KAB. MANDAILING NATAL,366.54654284064884,[32]
KAB. NIAS,551.2782026279683,"[32, 33]"
KAB. NIAS BARAT,581.4043231268143,"[32, 33, 34]"
KAB. NIAS SELATAN,632.6420712666792,"[32, 33, 34, 35]"
KAB. NIAS UTARA,715.6816190500228,"[32, 33, 34, 35, 36]"
KAB. PADANG LAWAS,496.38757771037535,"[32, 31, 30, 29]"
KAB. PADANG LAWAS UTARA,463.77320992272763,"[32, 33]"
KAB. PAKPAK BHARAT,650.6178212719407,"[32, 45, 44, 43, 42, 41]"
KAB. SAMOSIR,585.94820910198,"[32, 45, 44, 43, 42]"
KAB. SERDANG BEDAGAI,501.7187162707426,"[32, 45, 44, 43]"
KAB. SIMALUNGUN,454.83265065795547,"[32, 45, 44]"
KAB. TAPANULI SELATAN,299.081916906922,"[32, 45]"
KAB. TAPANULI TENGAH,228.43770518029834,[32]
KAB. TAPANULI UTARA,277.43208933181273,"[32, 45]"
KAB. TOBA SAMOSIR,317.1059615485172,"[32, 45, 46]"
KOTA BINJAI,481.90733206734905,"[32, 45, 46, 47]"
KOTA GUNUNGSITOLI,614.775578506258,"[32, 33, 34, 35]"
KOTA MEDAN,895.0526686796769,"[32, 31, 30, 29, 25, 24, 23]"
KOTA PADANGSIDEMPUAN,657.332934115688,"[32, 45, 44, 43, 52]"
KOTA PEMATANGSIANTAR,478.21433679885183,"[32, 45, 44, 43]"
KOTA SIBOLGA,618.9007315655624,"[32, 45, 44, 43, 52]"
KOTA TANJUNGBALAI,738.2900105007925,"[32, 31, 30, 28, 55]"
KOTA TEBING TINGGI,656.5532628292342,"[32, 31, 30, 28]"
KAB. AGAM,946.812543873495,"[32, 45, 46, 47, 48]"
KAB. DHARMASRAYA,761.2120338533521,"[32, 31, 30, 81]"
KAB. KEPULAUAN MENTAWAI,847.7674630025823,"[32, 45, 46, 73]"
KAB. LIMA PULUH KOTA,883.5809998127264,"[32, 33, 34, 62]"
KAB. PADANG PARIAMAN,928.6668181643969,"[32, 33, 34, 62, 61]"
KAB. PASAMAN,842.2796433833213,"[32, 33, 34, 62]"
KAB. PASAMAN BARAT,782.6573510586327,"[32, 33, 34]"
KAB. PESISIR SELATAN,688.7757789347027,"[32, 33]"
KAB. SIJUNJUNG,808.0826729064988,"[32, 33, 63]"
KAB. SOLOK,773.0504138386137,"[32, 33, 63]"
KAB. SOLOK SELATAN,787.7138523104172,"[32, 45, 46, 73, 67]"
KAB. TANAH DATAR,659.2188436492637,"[32, 45, 46, 73]"
KOTA BUKITTINGGI,688.0916750711847,"[32, 45, 46, 73, 67]"
KOTA PADANG,618.4687687701613,"[32, 31, 30, 70]"
KOTA PADANGPANJANG,564.9431779380028,"[32, 31, 30]"
KOTA PARIAMAN,600.3068798589048,"[32, 31, 30, 70]"
KOTA PAYAKUMBUH,671.8856015525438,"[32, 31, 30, 70, 71]"
KOTA SAWAHLUNTO,630.5128748940692,"[32, 45, 46]"
KOTA SOLOK,644.9569467543462,"[32, 45, 46, 73]"
KAB. BENGKALIS,912.1387400951755,"[32, 45, 46, 73, 74]"
KAB. INDRAGIRI HILIR,849.6195650736677,"[32, 45, 46, 78, 77]"
KAB. INDRAGIRI HULU,744.8088970542658,"[32, 45, 46, 78]"
KAB. KAMPAR,588.5751500810622,"[32, 45, 46]"
KAB. KEPULAUAN MERANTI,682.8390875185773,"[32, 45, 44]"
KAB. KUANTAN SINGINGI,708.4797674501299,"[32, 31, 30, 81]"
KAB. PELALAWAN,604.2993726190459,"[32, 31, 30]"
KAB. ROKAN HILIR,746.7659141837493,"[32, 84, 83]"
KAB. ROKAN HULU,668.4439791235664,"[32, 84]"
KAB. SIAK,515.2923258988449,[32]
KOTA DUMAI,620.1155877363361,"[32, 84]"
KOTA PEKANBARU,749.1546587783976,"[32, 84, 85]"
KAB. BINTAN,884.4345043090193,"[32, 45, 44]"
KAB. KARIMUN,815.4777690933464,"[32, 33]"
KAB. KEPULAUAN ANAMBAS,1175.8953600690156,"[32, 33, 88]"
KAB. LINGGA,1596.5187632076088,"[32, 33, 88, 89]"
KAB. NATUNA,1503.693722454344,"[32, 45, 44, 43, 52]"
KOTA BATAM,1164.5016798960025,"[32, 31, 30, 70, 71, 93]"
KOTA TANJUNG PINANG,1112.853779832014,"[32, 31, 30, 70, 71]"
PULAU TAMBELAN KAB. BINTAN,1102.6942667829585,"[32, 31, 30]"
PEKAJANG KAB. LINGGA,1430.6088648831558,"[32, 31, 30, 94]"
PULAU SERASAN KAB. NATUNA,1341.2764087758526,"[32, 31, 30, 29]"
PULAU MIDAI KAB. NATUNA,1492.6930213714686,"[32, 31, 30, 29, 96]"
PULAU LAUT KAB. NATUNA,1667.2319657548692,"[32, 31, 30, 70, 69]"
KAB. BATANGHARI,909.2613293381726,"[32, 31, 30, 29]"
KAB. BUNGO,903.3452430079758,"[32, 31, 30, 81, 101]"
KAB. KERINCI,846.5507809666818,"[32, 31, 30, 81]"
KAB. MERANGIN,903.1422685461941,"[32, 45, 46, 47]"
KAB. MUARO JAMBI,1024.1681781613806,"[32, 31, 30, 70, 71]"
KAB. SAROLANGUN,888.7866482638525,"[32, 45, 44, 107]"
KAB. TANJUNG JABUNG BARAT,1010.84249179749,"[32, 45, 44, 107, 106]"
KAB. TANJUNG JABUNG TIMUR,928.5948894838791,"[32, 45, 44, 107]"
KAB. TEBO,763.6696462250103,"[32, 45, 44]"
KOTA JAMBI,909.7790444275657,"[32, 45, 44, 107]"
KOTA SUNGAI PENUH,1139.9088164635837,"[32, 33, 34, 62, 59]"
KAB. BENGKULU SELATAN,1102.7880747374543,"[32, 84]"
KAB. BENGKULU TENGAH,1021.5010125272462,"[32, 45, 46, 73, 74]"
KAB. BENGKULU UTARA,1087.6302289850369,"[32, 45, 46, 73, 74, 111]"
KAB. KAUR,1099.639595021711,"[32, 45, 114]"
KAB. KEPAHIANG,978.7392173630938,"[32, 45]"
KAB. LEBONG,940.9934424008702,"[32, 31, 30, 70, 69, 116]"
KAB. MUKOMUKO,838.4862051320247,"[32, 31, 30, 70, 69]"
KAB. REJANG LEBONG,1002.4231146420061,"[32, 31, 30, 70, 69, 116]"
KAB. SELUMA,1052.028205321019,"[32, 125]"
KOTA BENGKULU,1109.8152254952188,"[32, 125, 118]"
KAB. BANYUASIN,1214.8245950990224,"[32, 45, 46, 47, 102]"
KAB. EMPAT LAWANG,1108.541309327231,"[32, 84, 122]"
KAB. LAHAT,1056.7412183303015,"[32, 84]"
KAB. MUARA ENIM,1106.8878140513782,"[32, 45, 44, 124]"
KAB. MUSI BANYUASIN,973.473666035319,"[32, 45, 44]"
KAB. MUSI RAWAS,938.325609809294,[32]
KAB. MUSI RAWAS UTARA,991.6632219282736,"[32, 125]"
KAB. OGAN ILIR,1186.6239836397492,"[32, 128]"
KAB. OGAN KOMERING ILIR,1119.1262162374921,[32]
KAB. OGAN KOMERING ULU,1128.5212302827445,"[32, 31, 30, 70]"
KAB. OGAN KOMERING ULU SELATAN,1141.0892458122837,"[32, 125]"
KAB. OGAN KOMERING ULU TIMUR,1148.9276424627062,"[32, 84, 135]"
KAB. PENUKAL ABAB LEMATANG ILIR,1153.2222107582331,"[32, 31, 30, 70, 71, 133]"
KOTA LUBUKLINGGAU,1025.383171379768,"[32, 31, 30, 70, 71]"
KOTA PAGAR ALAM,1117.6153934484075,"[32, 31, 30, 70, 71, 133]"
KOTA PALEMBANG,1050.9641269587864,"[32, 84]"
KOTA PRABUMULIH,1128.0114847452533,"[32, 84, 135]"
KAB. BANGKA,1147.5499447573702,"[32, 31, 30, 29]"
KAB. BANGKA BARAT,1109.5100117172933,"[32, 45, 46]"
KAB. BANGKA SELATAN,1251.9620860060036,"[32, 31, 30, 29]"
KAB. BANGKA TENGAH,1279.5821283503697,"[32, 128]"
KAB. BELITUNG,1444.1532728228062,"[32, 45, 46, 73]"
KAB. BELITUNG TIMUR,1489.3032867643585,"[32, 45, 46, 73, 141]"
KOTA PANGKAL PINANG,1572.3656140931184,"[32, 84, 135, 144]"
KAB. LAMPUNG TENGAH,1262.4479064926486,"[32, 84, 135]"
KAB. LAMPUNG UTARA,1234.3613470765695,"[32, 45, 44]"
KAB. LAMPUNG SELATAN,1353.1779752448745,"[32, 147]"
KAB. LAMPUNG BARAT,1190.123293329568,[32]
KAB. LAMPUNG TIMUR,1341.2488555596922,"[32, 33, 63]"
KAB. MESUJI,1325.375163176242,"[32, 45, 46, 47, 102]"
KAB. PESAWARAN,1320.7214273115294,"[32, 31, 151]"
KAB. PESISIR BARAT,1212.6016802019521,"[32, 31]"
KAB. PRINGSEWU,1308.1671699301048,"[32, 31, 151]"
KAB. TULANG BAWANG,1210.9270208754806,[32]
KAB. TULANG BAWANG BARAT,1263.0567221027939,"[32, 153]"
KAB. TANGGAMUS,1294.819521577463,"[32, 45, 46]"
KAB. WAY KANAN,1384.4759909309707,"[32, 45, 46, 155]"
KOTA BANDAR LAMPUNG,1287.623145396224,[32]
KOTA METRO,1319.0019842387396,"[32, 157]"
KAB. LEBAK,1459.3129116602645,"[32, 31, 30]"
KAB. PANDEGLANG,1486.7366989915424,"[32, 84, 135, 131]"
KAB. SERANG,1431.6598400151734,"[32, 33]"
KAB. TANGERANG,1481.3801080349383,"[32, 33, 161]"
KOTA CILEGON,1456.604391562977,"[32, 84, 135, 144, 164]"
KOTA SERANG,1435.8730034037003,"[32, 84, 135, 144]"
KOTA TANGERANG,1485.5068483348516,"[32, 84, 166]"
KOTA TANGERANG SELATAN,1474.4037347760936,"[32, 84]"
KAB. BANDUNG,1612.4226619862645,"[32, 84, 166]"
KAB. BANDUNG BARAT,1609.620028500466,"[32, 45, 44, 124]"
KAB. BEKASI,1571.601086798859,"[32, 45, 114, 113, 187]"
KAB. BOGOR,1509.9827398543089,"[32, 33]"
KAB. CIAMIS,1689.5831728100034,"[32, 84, 166]"
KAB. CIANJUR,1592.538605740987,"[32, 157]"
KAB. CIREBON,1739.1627189967398,"[32, 31, 30, 70, 69, 116, 115]"
KAB. GARUT,1674.7863358356663,"[32, 33, 161]"
KAB. INDRAMAYU,1679.4417551065505,"[32, 157, 158]"
KAB. KARAWANG,1621.7760182750335,"[32, 45, 46, 155]"
