city,distance,through
KAB. ACEH BARAT,1080.3943766868115,"[115, 62]"
KAB. ACEH BARAT DAYA,1200.0861733199797,"[115, 62, 0]"
KAB. ACEH BESAR,1225.0501375120484,"[115, 4, 3]"
KAB. ACEH JAYA,1148.7466641749497,"[115, 4]"
KAB. ACEH SELATAN,898.2814824153113,[115]
KAB. ACEH SINGKIL,903.5957893611223,"[115, 116, 69, 70, 71, 72]"
KAB. ACEH TAMIANG,962.4345582678445,"[115, 116, 69, 70]"
KAB. ACEH TENGAH,1094.1120835036218,"[115, 116, 69, 70, 6]"
KAB. ACEH TENGGARA,951.8542011187892,"[115, 116, 69, 68, 67]"
KAB. ACEH TIMUR,1087.1323727910813,"[115, 116, 69, 68, 67, 8]"
KAB. ACEH UTARA,1110.2215907840016,"[115, 116, 69, 70, 11]"
KAB. BENER MERIAH,1071.1003890845009,"[115, 116, 69, 70]"
KAB. BIREUEN,1105.3533099310498,[115]
KAB. GAYO LUES,972.9615158298327,"[115, 116, 69, 70]"
KAB. NAGAN RAYA,1070.0563529148515,"[115, 116, 69, 70, 13]"
KAB. PIDIE,1192.0817149990348,"[115, 116, 69, 70, 13, 14]"
KAB. PIDIE JAYA,1213.0021459055124,"[115, 116, 69, 70, 30, 26]"
KAB. SIMEULUE,1087.1280974189212,"[115, 114]"
KOTA BANDA ACEH,1293.3278849979522,"[115, 116, 69, 70, 6]"
KOTA LANGSA,1217.4222239096503,"[115, 116, 69, 34, 35, 36, 37]"
KOTA LHOKSEUMAWE,1152.1812298516306,"[115, 116, 69, 70, 30, 28]"
KOTA SABANG,1276.826900335102,"[115, 4, 3, 2]"
KOTA SUBULUSSALAM,880.0714056952563,"[115, 116, 69, 83]"
KAB. ASAHAN,1071.2858105869116,"[115, 116, 69, 83, 22]"
KAB. BATUBARA,1050.60052194634,"[115, 116, 69, 70, 30, 29, 25]"
KAB. DAIRI,909.2403505330067,"[115, 116, 69, 70, 30, 29]"
KAB. DELI SERDANG,874.4826793923697,"[115, 116, 69, 70, 30]"
KAB. HUMBANG HASUNDUTAN,868.0524384016448,"[115, 116, 69, 70, 30, 29]"
KAB. KARO,889.8565176152915,"[115, 116, 69, 70, 30]"
KAB. LABUHANBATU,689.7489101114007,"[115, 116, 69, 70, 30]"
KAB. LABUHANBATU SELATAN,638.143344655661,"[115, 116, 69, 70]"
KAB. LABUHANBATU UTARA,703.5175403424558,"[115, 116, 69, 70, 30]"
KAB. LANGKAT,940.9934424008702,"[115, 116, 69, 70, 30, 31]"
KAB. MANDAILING NATAL,880.9555634913968,"[115, 116, 69, 34]"
KAB. NIAS,696.2239037040773,"[115, 116, 69]"
KAB. NIAS BARAT,726.3500242029234,"[115, 116, 69, 34]"
KAB. NIAS SELATAN,777.5877723427882,"[115, 116, 69, 34, 35]"
KAB. NIAS UTARA,860.6273201261318,"[115, 116, 69, 34, 35, 36]"
KAB. PADANG LAWAS,831.6808246208273,"[115, 116, 69, 70, 30, 29]"
KAB. PADANG LAWAS UTARA,886.250309623303,"[115, 116, 69, 70, 30, 29, 38]"
KAB. PAKPAK BHARAT,925.4343331823617,"[115, 116, 69, 70, 71, 72, 41]"
KAB. SAMOSIR,860.764721012401,"[115, 116, 69, 70, 71, 72]"
KAB. SERDANG BEDAGAI,944.9942138436384,"[115, 116, 69, 70, 71, 72, 41]"
KAB. SIMALUNGUN,945.988438516307,"[115, 114, 74, 51, 52]"
KAB. TAPANULI SELATAN,893.7030970803025,"[115, 114, 45]"
KAB. TAPANULI TENGAH,823.0588853536789,"[115, 114]"
KAB. TAPANULI UTARA,804.8029239242863,"[115, 116, 69, 68, 67, 73]"
KAB. TOBA SAMOSIR,844.4767961409908,"[115, 116, 69, 68, 67, 73, 46]"
KOTA BINJAI,1009.2781666598227,"[115, 116, 69, 68, 67, 73, 46, 47]"
KOTA GUNUNGSITOLI,759.721279582367,"[115, 116, 69, 34, 35]"
KOTA MEDAN,999.5255825412269,"[115, 114, 74, 51]"
KOTA PADANGSIDEMPUAN,743.4881550585745,"[115, 114, 74]"
KOTA PEMATANGSIANTAR,922.6067523754107,"[115, 114, 74, 51]"
KOTA SIBOLGA,996.6277030949659,"[115, 116, 69, 68, 67, 66]"
KOTA TANJUNGBALAI,894.8134204136463,"[115, 116, 55]"
KOTA TEBING TINGGI,813.076672742088,"[115, 116]"
KAB. AGAM,868.2187836850655,"[115, 116, 108, 109]"
KAB. DHARMASRAYA,681.49103473828,"[115, 116, 117, 118]"
KAB. KEPULAUAN MENTAWAI,668.9767264705429,"[115, 116, 69, 68, 67, 73]"
KAB. LIMA PULUH KOTA,572.1491259765924,"[115, 62]"
KAB. PADANG PARIAMAN,617.2349443282628,"[115, 62, 61]"
KAB. PASAMAN,530.8477695471872,"[115, 62]"
KAB. PASAMAN BARAT,471.2254772224987,[115]
KAB. PESISIR SELATAN,565.371740756568,"[115, 114, 74]"
KAB. SIJUNJUNG,654.7683311269471,"[115, 116, 69, 68, 67, 66, 65]"
KAB. SOLOK,615.844037342641,"[115, 116, 69, 68, 67, 66]"
KAB. SOLOK SELATAN,551.511178267989,"[115, 116, 69, 68, 67]"
KAB. TANAH DATAR,423.0161696068354,"[115, 116, 69, 68]"
KOTA BUKITTINGGI,394.14333818491446,"[115, 116, 69]"
KOTA PADANG,322.5246736307089,"[115, 116]"
KOTA PADANGPANJANG,376.0502644628674,"[115, 116, 69]"
KOTA PARIAMAN,411.4139663837694,"[115, 116, 69, 70]"
KOTA PAYAKUMBUH,482.99268807740833,"[115, 116, 69, 70, 71]"
KOTA SAWAHLUNTO,451.72213836202985,"[115, 116, 69, 68, 67]"
KOTA SOLOK,458.29381340741054,"[115, 114]"
KAB. BENGKALIS,725.4756067482399,"[115, 114, 74]"
KAB. INDRAGIRI HILIR,956.5720223214134,"[115, 114, 74, 75]"
KAB. INDRAGIRI HULU,915.4186054255097,"[115, 116, 69, 70, 71, 84, 78]"
KAB. KAMPAR,759.1848584523061,"[115, 116, 69, 70, 71, 84]"
KAB. KEPULAUAN MERANTI,671.0282276463272,"[115, 116, 108]"
KAB. KUANTAN SINGINGI,562.430690540075,"[115, 114, 74]"
KAB. PELALAWAN,666.6110853711591,"[115, 114, 74, 80]"
KAB. ROKAN HILIR,621.9385165944024,"[115, 116, 69, 83]"
KAB. ROKAN HULU,543.6165815342194,"[115, 116, 69]"
KAB. SIAK,656.8289863221743,"[115, 116, 69, 70, 71]"
KOTA DUMAI,761.6522481596655,"[115, 116, 69, 70, 71, 84]"
KOTA PEKANBARU,890.6913192017269,"[115, 116, 69, 70, 71, 84, 85]"
KAB. BINTAN,668.9296656771112,"[115, 116, 88]"
KAB. KARIMUN,540.8864671510339,"[115, 116]"
KAB. KEPULAUAN ANAMBAS,901.3040581267032,"[115, 116, 88]"
KAB. LINGGA,1012.16051665479,"[115, 147, 148, 149]"
KAB. NATUNA,1283.947811722277,"[115, 116, 108, 93, 92]"
KOTA BATAM,719.0055940748092,"[115, 116, 108, 93]"
KOTA TANJUNG PINANG,667.3576940108206,"[115, 116, 108]"
PULAU TAMBELAN KAB. BINTAN,986.0582761621099,"[115, 116, 108, 93]"
PEKAJANG KAB. LINGGA,1063.9169744775088,"[115, 114, 113, 112, 111, 110]"
PULAU SERASAN KAB. NATUNA,1206.6275110442102,"[115, 114, 113, 136]"
PULAU MIDAI KAB. NATUNA,1352.585406895955,"[115, 116, 69, 70, 71]"
PULAU LAUT KAB. NATUNA,1371.2878706154165,"[115, 116, 69]"
KAB. BATANGHARI,803.1549441481978,"[115, 116, 117, 118, 101, 100]"
KAB. BUNGO,670.3831115335178,"[115, 116, 117, 118, 101]"
KAB. KERINCI,613.5886494922238,"[115, 116, 117, 118]"
KAB. MERANGIN,683.0644994961356,"[115, 116, 117, 118, 101]"
KAB. MUARO JAMBI,791.8686221533668,"[115, 116, 108, 107, 104]"
KAB. SAROLANGUN,641.8275518962921,"[115, 116, 108, 107]"
KAB. TANJUNG JABUNG BARAT,667.7813230983156,"[115, 116, 117, 118, 125]"
KAB. TANJUNG JABUNG TIMUR,681.6357931163187,"[115, 116, 108, 107]"
KAB. TEBO,516.7105498574499,"[115, 116, 108]"
KOTA JAMBI,370.60115165489447,"[115, 116]"
KOTA SUNGAI PENUH,622.2482506791966,"[115, 116, 108]"
KAB. BENGKULU SELATAN,559.2638568511618,"[115, 114, 113, 112, 111]"
KAB. BENGKULU TENGAH,459.361513978156,"[115, 114, 113, 112]"
KAB. BENGKULU UTARA,393.2322975203654,"[115, 114, 113]"
KAB. KAUR,193.65775082950077,"[115, 114]"
KAB. KEPAHIANG,72.75737317088354,[115]
KAB. LEBONG,0.0,[]
KAB. MUKOMUKO,102.50723726884547,[115]
KAB. REJANG LEBONG,266.44414677882685,"[115, 116]"
KAB. SELUMA,332.81194305658323,"[115, 116, 117]"
KOTA BENGKULU,390.59896323078306,"[115, 116, 117, 118]"
KAB. BANYUASIN,696.8790962602866,"[115, 116, 117, 118, 119]"
KAB. EMPAT LAWANG,708.5554283681688,"[115, 116, 117, 131, 122]"
KAB. LAHAT,656.7553373712395,"[115, 116, 117, 131]"
KAB. MUARA ENIM,674.4034120560889,"[115, 116, 117, 118, 125, 124]"
KAB. MUSI BANYUASIN,540.9892640400298,"[115, 116, 117, 118, 125]"
KAB. MUSI RAWAS,446.51453856830824,"[115, 116, 117, 118]"
KAB. MUSI RAWAS UTARA,499.8521506872879,"[115, 116, 117, 118, 125]"
KAB. OGAN ILIR,722.2973316057341,"[115, 116, 117, 118, 125, 126]"
KAB. OGAN KOMERING ILIR,789.7950990079911,"[115, 116, 117, 118, 125, 126, 127]"
KAB. OGAN KOMERING ULU,695.5139742556428,"[115, 116, 117, 131, 130]"
KAB. OGAN KOMERING ULU SELATAN,624.3603406957897,"[115, 116, 117, 131]"
KAB. OGAN KOMERING ULU TIMUR,502.0372679495433,"[115, 116, 117]"
KAB. PENUKAL ABAB LEMATANG ILIR,609.4675774744167,"[115, 116, 117, 131]"
KOTA LUBUKLINGGAU,735.0781083833317,"[115, 114, 113, 136, 135, 134]"
KOTA PAGAR ALAM,642.8458863146923,"[115, 114, 113, 136, 135]"
KOTA PALEMBANG,434.1706688230185,"[115, 114, 113, 136]"
KOTA PRABUMULIH,357.1233110365516,"[115, 114, 113]"
KAB. BANGKA,610.8665249546842,"[115, 114, 113, 136]"
KAB. BANGKA BARAT,657.9718714480555,"[115, 114, 113, 136, 137]"
KAB. BANGKA SELATAN,658.7144624552948,"[115, 116]"
KAB. BANGKA TENGAH,704.7164613579276,"[115, 116, 139]"
KAB. BELITUNG,881.4793932237635,"[115, 116, 139, 140]"
KAB. BELITUNG TIMUR,926.6294071653158,"[115, 116, 139, 140, 141]"
KOTA PANGKAL PINANG,796.6223528662922,"[115, 157]"
KAB. LAMPUNG TENGAH,645.6544483568806,"[115, 114, 113, 136, 135]"
KAB. LAMPUNG UTARA,590.6380381679531,"[115, 147, 146]"
KAB. LAMPUNG SELATAN,469.43185945855146,"[115, 147]"
KAB. LAMPUNG BARAT,306.37717754324495,[115]
KAB. LAMPUNG TIMUR,477.11411991835666,"[115, 147]"
KAB. MESUJI,607.2496058279415,"[115, 147, 148]"
KAB. PESAWARAN,657.0869242326717,"[115, 157, 152, 151]"
KAB. PESISIR BARAT,548.9671771230944,"[115, 157, 152]"
KAB. PRINGSEWU,453.4016873949417,"[115, 157]"
KAB. TULANG BAWANG,579.9039917320456,"[115, 157, 152]"
KAB. TULANG BAWANG BARAT,632.0336929593589,"[115, 157, 152, 153]"
KAB. TANGGAMUS,637.877268045599,"[115, 157, 156]"
KAB. WAY KANAN,548.2207986920913,"[115, 157]"
KOTA BANDAR LAMPUNG,421.46761126441857,[115]
KOTA METRO,452.84645010693424,"[115, 157]"
KAB. LEBAK,644.6759640337382,"[115, 157, 158]"
KAB. PANDEGLANG,710.2376974055138,"[115, 157, 158, 159]"
KAB. SERANG,676.3760294249212,"[115, 114, 164, 163, 162]"
KAB. TANGERANG,626.6557614051562,"[115, 114, 164, 163]"
KOTA CILEGON,570.0990894401202,"[115, 114, 164]"
KOTA SERANG,549.3677012808434,"[115, 114]"
KOTA TANGERANG,604.3552349783339,"[115, 114, 164]"
KOTA TANGERANG SELATAN,615.4583485370918,"[115, 114, 164, 165]"
KAB. BANDUNG,753.4772757472625,"[115, 114, 164, 165, 166]"
KAB. BANDUNG BARAT,744.0987323313439,"[115, 114, 113, 187, 169]"
KAB. BEKASI,665.6192426066486,"[115, 114, 113, 187]"
KAB. BOGOR,727.6884988286548,"[115, 114, 113, 182]"
KAB. CIAMIS,829.9085027972878,"[115, 114, 164, 165]"
KAB. CIANJUR,726.3830716091816,"[115, 157]"
KAB. CIREBON,798.1692765958695,[115]
KAB. GARUT,912.1593052682522,"[115, 114, 113, 182, 181]"
KAB. INDRAMAYU,813.2862209747452,"[115, 157, 158]"
KAB. KARAWANG,922.5111805250216,"[115, 157, 158, 175]"
KAB. KUNINGAN,856.9219017978747,"[115, 114, 113, 182]"
KAB. MAJALENGKA,897.7898864139743,"[115, 114, 113, 182, 177]"
KAB. PANGANDARAN,966.2234916226327,"[115, 157, 158, 159, 194]"
KAB. PURWAKARTA,827.8149824344225,"[115, 114, 113, 182, 181]"
KAB. SUBANG,784.0182718030627,"[115, 114, 113, 182]"
KAB. SUKABUMI,677.7256256617532,"[115, 114, 113]"
KAB. SUMEDANG,788.1402426770792,"[115, 114, 113, 182]"
