city,distance,through
KAB. ACEH BARAT,2900.3802281289804,"[386, 342]"
KAB. ACEH BARAT DAYA,2929.9684177433605,"[386, 385, 142, 141, 140]"
KAB. ACEH BESAR,3048.7075822721727,"[386, 385]"
KAB. ACEH JAYA,2991.2290089913618,"[386, 346, 347, 4]"
KAB. ACEH SELATAN,2740.7638272317236,"[386, 346, 347]"
KAB. ACEH SINGKIL,2743.098902882808,"[386, 106, 107, 72]"
KAB. ACEH TAMIANG,2739.723166461513,"[386, 387, 449, 329, 315]"
KAB. ACEH TENGAH,2841.820879173533,"[386, 85]"
KAB. ACEH TENGGARA,2738.253089613131,"[386, 387, 449, 329, 328]"
KAB. ACEH TIMUR,2755.5264809475184,"[386, 346, 345]"
KAB. ACEH UTARA,2813.417364648476,"[386, 346, 345]"
KAB. BENER MERIAH,2837.8661454344174,"[386, 346, 42]"
KAB. BIREUEN,2888.861319008039,"[386, 346, 42, 11]"
KAB. GAYO LUES,2799.5166730443834,"[386, 385]"
KAB. NAGAN RAYA,2896.611510129402,"[386, 385, 13]"
KAB. PIDIE,2975.475296888471,"[386, 387, 30]"
KAB. PIDIE JAYA,2961.72864029914,"[386, 387, 30, 26]"
KAB. SIMEULUE,2891.171650013889,"[386, 387, 59]"
KOTA BANDA ACEH,3030.8196036451063,"[386, 346, 347, 19]"
KOTA LANGSA,2713.659948079,"[386, 346, 347]"
KOTA LHOKSEUMAWE,2824.7851000963265,"[386, 427]"
KOTA SABANG,3040.9326398650046,"[386, 427, 20]"
KOTA SUBULUSSALAM,2657.644762304689,"[386, 346]"
KAB. ASAHAN,2520.3631758289544,"[386, 385]"
KAB. BATUBARA,2562.6957536293085,"[386, 385, 23]"
KAB. DAIRI,2657.9668449266346,"[386, 387, 30, 29]"
KAB. DELI SERDANG,2623.2091737859973,"[386, 387, 30]"
KAB. HUMBANG HASUNDUTAN,2567.7843839980374,[386]
KAB. KARO,2638.583012008919,"[386, 387, 30]"
KAB. LABUHANBATU,2438.4754045050286,"[386, 387, 30]"
KAB. LABUHANBATU SELATAN,2386.8698390492887,"[386, 387]"
KAB. LABUHANBATU UTARA,2452.2440347360834,"[386, 387, 30]"
KAB. LANGKAT,2689.7199367944977,"[386, 387, 30, 31]"
KAB. MANDAILING NATAL,2512.1717107984477,"[386, 385, 390]"
KAB. NIAS,2646.9828321233244,"[386, 387, 59, 62]"
KAB. NIAS BARAT,2677.1089526221704,"[386, 387, 59, 62, 34]"
KAB. NIAS SELATAN,2669.8999704958587,"[386, 387, 449, 450]"
KAB. NIAS UTARA,2679.9889645986123,"[386, 387, 38]"
KAB. PADANG LAWAS,2410.325595770608,"[386, 387]"
KAB. PADANG LAWAS UTARA,2448.8911906751323,"[386, 387, 449, 321, 84]"
KAB. PAKPAK BHARAT,2637.3497603214287,"[386, 387, 449, 321, 84, 39]"
KAB. SAMOSIR,2623.656597866131,"[386, 387, 51]"
KAB. SERDANG BEDAGAI,2556.4080642426998,"[386, 346]"
KAB. SIMALUNGUN,2528.7434414378404,"[386, 387, 449, 321, 320]"
KAB. TAPANULI SELATAN,2488.761979462916,"[386, 346, 347]"
KAB. TAPANULI TENGAH,2559.4061911895396,"[386, 346, 347, 44]"
KAB. TAPANULI UTARA,2534.388481096276,"[386, 387, 47]"
KAB. TOBA SAMOSIR,2494.714608879571,"[386, 387]"
KOTA BINJAI,2647.3283914679405,"[386, 387, 449, 321, 320, 43, 52]"
KOTA GUNUNGSITOLI,2661.418144603869,"[386, 387, 449]"
KOTA MEDAN,2657.775991672389,"[386, 385, 23]"
KOTA PADANGSIDEMPUAN,2474.2077659140496,"[386, 387]"
KOTA PEMATANGSIANTAR,2552.1251275787367,"[386, 387, 449, 321, 320, 43]"
KOTA SIBOLGA,2605.6352075222608,"[386, 387, 449, 329, 77, 78]"
KOTA TANJUNGBALAI,2626.0886486975282,"[386, 387, 449, 321, 55]"
KOTA TEBING TINGGI,2544.35190102597,"[386, 387, 449, 321]"
KAB. AGAM,2415.1995662971467,"[386, 385, 142, 57]"
KAB. DHARMASRAYA,2226.384726310038,"[386, 385, 142]"
KAB. KEPULAUAN MENTAWAI,2502.1946708225164,"[386, 346, 347]"
KAB. LIMA PULUH KOTA,2314.680034938566,"[386, 387]"
KAB. PADANG PARIAMAN,2392.7824392647176,"[386, 387, 59]"
KAB. PASAMAN,2357.867751826531,"[386, 387, 59]"
KAB. PASAMAN BARAT,2415.60368369266,"[386, 387, 59]"
KAB. PESISIR SELATAN,2280.229197200687,"[386, 346, 345]"
KAB. SIJUNJUNG,2318.7624262482937,"[386, 346, 345, 65]"
KAB. SOLOK,2279.8381324639877,"[386, 346, 345]"
KAB. SOLOK SELATAN,2281.083680371317,"[386, 387, 449, 329, 336, 137]"
KAB. TANAH DATAR,2334.271220229564,"[386, 387, 74, 73]"
KOTA BUKITTINGGI,2363.144051651485,"[386, 387, 74, 73, 67]"
KOTA PADANG,2317.312372964137,"[386, 106, 107]"
KOTA PADANGPANJANG,2370.8379637962958,"[386, 106, 107, 69]"
KOTA PARIAMAN,2349.7053553536252,"[386, 106]"
KOTA PAYAKUMBUH,2322.495801599094,"[386, 106, 107]"
KOTA SAWAHLUNTO,2305.5652514743692,"[386, 387, 74]"
KOTA SOLOK,2291.1211796140924,"[386, 387]"
KAB. BENGKALIS,2378.989768957157,"[386, 387, 449, 329, 330, 341, 76]"
KAB. INDRAGIRI HILIR,2147.8933533839836,"[386, 387, 449, 329, 330, 341]"
KAB. INDRAGIRI HULU,2131.478134254972,"[386, 387, 449, 329]"
KAB. KAMPAR,2287.711881228175,"[386, 387, 449, 329, 77]"
KAB. KEPULAUAN MERANTI,2244.348779242311,"[386, 346, 347, 348]"
KAB. KUANTAN SINGINGI,2256.7240182631026,"[386, 387, 449, 329, 336]"
KAB. PELALAWAN,2360.9044130941866,"[386, 387, 449, 329, 336, 80]"
KAB. ROKAN HILIR,2425.244341133928,"[386, 387, 449, 321, 84, 83]"
KAB. ROKAN HULU,2346.922406073745,"[386, 387, 449, 321, 84]"
KAB. SIAK,2193.7707528490237,"[386, 387, 449, 321]"
KOTA DUMAI,2248.0508313432806,[386]
KOTA PEKANBARU,2227.8170071334584,"[386, 387, 449, 321]"
KAB. BINTAN,2015.2843645785958,"[386, 351, 350]"
KAB. KARIMUN,2143.327563104673,"[386, 351, 350, 87]"
KAB. KEPULAUAN ANAMBAS,1973.1133112553182,"[386, 387, 449, 448, 447]"
KAB. LINGGA,1876.0223375482763,"[386, 342]"
KAB. NATUNA,1611.6488617223317,[386]
KOTA BATAM,2125.2909174673823,"[386, 342, 343, 344, 93]"
KOTA TANJUNG PINANG,2073.643017403394,"[386, 342, 343, 344]"
PULAU TAMBELAN KAB. BINTAN,1873.561606193034,"[386, 387, 449, 329, 330, 341, 340, 339]"
PEKAJANG KAB. LINGGA,2034.167513852377,"[386, 351, 96]"
PULAU SERASAN KAB. NATUNA,1464.4042613920417,"[386, 351]"
PULAU MIDAI KAB. NATUNA,1615.8208739876577,"[386, 351, 96]"
PULAU LAUT KAB. NATUNA,1807.4623045235767,"[386, 351, 96, 97]"
KAB. BATANGHARI,2308.402840800323,"[386, 387, 449, 321, 100]"
KAB. BUNGO,2175.6310081856427,"[386, 387, 449, 321]"
KAB. KERINCI,2218.5935046739633,"[386, 387, 449, 102]"
KAB. MERANGIN,2149.1176546700513,"[386, 387, 449]"
KAB. MUARO JAMBI,1995.8976703516582,"[386, 387, 449, 329, 336, 137, 138]"
KAB. SAROLANGUN,2095.048149610685,"[386, 387, 449, 321]"
KAB. TANJUNG JABUNG BARAT,2017.3662047433022,"[386, 106]"
KAB. TANJUNG JABUNG TIMUR,1935.1186024296912,[386]
KAB. TEBO,2100.04384568856,"[386, 106]"
KOTA JAMBI,2014.855016905673,"[386, 387, 449, 448]"
KOTA SUNGAI PENUH,2202.0981909189277,"[386, 342]"
KAB. BENGKULU SELATAN,2064.7184166562192,"[386, 385, 142]"
KAB. BENGKULU TENGAH,2102.4397934058434,"[386, 387, 149]"
KAB. BENGKULU UTARA,2168.569009863634,"[386, 387, 149, 111]"
KAB. KAUR,2077.9684760145406,"[386, 187]"
KAB. KEPAHIANG,2198.868853673158,"[386, 187, 113]"
KAB. LEBONG,2149.5483382483935,"[386, 346, 345]"
KAB. MUKOMUKO,2231.820456556716,"[386, 385, 390, 139]"
KAB. REJANG LEBONG,2198.7457420159103,"[386, 385, 390, 391, 131]"
KAB. SELUMA,2161.8026112222356,"[386, 387, 449, 448, 447, 446]"
KOTA BENGKULU,2219.5896313964354,"[386, 387, 449, 448, 447, 446, 118]"
KAB. BANYUASIN,2139.320218213037,"[386, 385, 198, 213, 214, 221, 153]"
KAB. EMPAT LAWANG,2046.3169455292575,"[386, 387, 149]"
KAB. LAHAT,2037.4682555149625,"[386, 385, 390, 139]"
KAB. MUARA ENIM,1966.6976639404656,"[386, 346, 345]"
KAB. MUSI BANYUASIN,2005.1832782251977,"[386, 387, 449, 329, 336]"
KAB. MUSI RAWAS,2099.6580036969194,"[386, 387, 449, 329, 336, 124]"
KAB. MUSI RAWAS UTARA,2147.568840414263,"[386, 385, 142, 141, 140, 128, 127]"
KAB. OGAN ILIR,1925.1236594958166,"[386, 385, 142, 141, 140, 128]"
KAB. OGAN KOMERING ILIR,1857.6258920935595,"[386, 385, 142, 141, 140]"
KAB. OGAN KOMERING ULU,2006.4330259654203,"[386, 385, 142, 141, 140, 128]"
KAB. OGAN KOMERING ULU SELATAN,1975.8829269547448,"[386, 385, 142]"
KAB. OGAN KOMERING ULU TIMUR,1963.152620845194,"[386, 385, 390, 391]"
KAB. PENUKAL ABAB LEMATANG ILIR,1980.8180528676326,"[386, 387, 449, 329, 336]"
KOTA LUBUKLINGGAU,2069.837299973327,"[386, 385, 390]"
KOTA PAGAR ALAM,2110.3771504762294,"[386, 387, 449, 329, 330, 341, 135]"
KOTA PALEMBANG,1901.7019329845557,"[386, 387, 449, 329, 330, 341]"
KOTA PRABUMULIH,1978.7492907710225,"[386, 387, 449, 329, 330, 341, 135]"
KAB. BANGKA,1759.4536556691965,"[386, 387, 449, 329, 336]"
KAB. BANGKA BARAT,1806.5590021625678,"[386, 387, 449, 329, 336, 137]"
KAB. BANGKA SELATAN,1675.6132313702667,"[386, 385, 390]"
KAB. BANGKA TENGAH,1697.169979980682,"[386, 385, 142, 141]"
KAB. BELITUNG,1520.4070481148462,"[386, 385, 142]"
KAB. BELITUNG TIMUR,1475.257034173294,"[386, 385]"
KOTA PANGKAL PINANG,1673.2623620870984,[386]
KAB. LAMPUNG TENGAH,1814.257946574126,"[386, 342]"
KAB. LAMPUNG UTARA,1876.4346618756942,"[386, 342, 144]"
KAB. LAMPUNG SELATAN,1779.1296453576829,"[386, 385]"
KAB. LAMPUNG BARAT,1942.1843272729893,"[386, 385, 146]"
KAB. LAMPUNG TIMUR,1906.7114271264657,"[386, 387, 149]"
KAB. MESUJI,1776.5759412168807,"[386, 387]"
KAB. PESAWARAN,1813.7800207753546,[386]
KAB. PESISIR BARAT,1919.0188993394045,"[386, 157, 152]"
KAB. PRINGSEWU,1823.4534096112518,"[386, 157]"
KAB. TULANG BAWANG,1932.0192931995668,"[386, 385, 198, 213, 214, 221]"
KAB. TULANG BAWANG BARAT,1904.2563671401203,"[386, 387, 449, 448, 447, 446]"
KAB. TANGGAMUS,1965.168018007145,"[386, 385, 390, 201]"
KAB. WAY KANAN,1918.2725209084015,"[386, 157]"
KOTA BANDAR LAMPUNG,1791.5193334807286,[386]
KOTA METRO,1822.8981723232444,"[386, 157]"
KAB. LEBAK,1733.771463478217,"[386, 387, 181]"
KAB. PANDEGLANG,1799.3331968499926,"[386, 387, 181, 159]"
KAB. SERANG,1735.795894101922,"[386, 385]"
KAB. TANGERANG,1751.1010379350687,"[386, 342]"
KOTA CILEGON,1776.6498576520826,"[386, 387, 449, 329]"
KOTA SERANG,1777.0977745996875,"[386, 385, 198, 166, 165]"
KOTA TANGERANG,1722.110240902197,"[386, 385, 198, 166]"
KOTA TANGERANG SELATAN,1711.007127343439,"[386, 385, 198]"
KAB. BANDUNG,1612.7336738982876,"[386, 387, 230]"
KAB. BANDUNG BARAT,1621.2841906044623,"[386, 385, 198, 213, 214, 221]"
KAB. BEKASI,1644.2837075069253,"[386, 187]"
KAB. BOGOR,1710.915675516957,"[386, 187, 169]"
KAB. CIAMIS,1636.7385994676038,"[386, 387, 449, 329, 330, 205]"
KAB. CIANJUR,1698.4217677321876,"[386, 256]"
KAB. CIREBON,1561.3450209603297,"[386, 243]"
KAB. GARUT,1628.1210382454374,"[386, 243]"
KAB. INDRAMAYU,1599.4124992681072,"[386, 346]"
KAB. KARAWANG,1674.332434968751,"[386, 273]"
KAB. KUNINGAN,1594.2927352218078,"[386, 387, 449, 329, 330, 341]"
KAB. MAJALENGKA,1635.1607198379074,"[386, 387, 449, 329, 330, 341, 177]"
KAB. PANGANDARAN,1714.7614009102365,"[386, 292]"
KAB. PURWAKARTA,1608.8622270611218,"[386, 387, 181]"
KAB. SUBANG,1565.0655164297618,"[386, 387]"
KAB. SUKABUMI,1671.3581625710715,"[386, 387, 181]"
KAB. SUMEDANG,1614.5656393855875,"[386, 243]"
KAB. TASIKMALAYA,1577.8234132472483,"[386, 387]"
KOTA BANDUNG,1576.8177980287076,[386]
KOTA BANJAR,1512.7179194025655,"[386, 385, 390, 201]"
KOTA BEKASI,1625.1453458721592,[386]
KOTA BOGOR,1669.2243006529602,"[386, 187]"
KOTA CIMAHI,1637.0931726226815,"[386, 387, 449]"
KOTA CIREBON,1599.3299744619337,"[386, 385, 390, 398]"
KOTA DEPOK,1729.5772577397584,"[386, 385, 390, 201, 192]"
KOTA SUKABUMI,1669.2825210892843,"[386, 385, 390, 201]"
KOTA TASIKMALAYA,1786.665139688842,"[386, 387, 449, 399, 400]"
KOTA JAKARTA,1748.6824372496415,"[386, 387, 181, 182]"
KAB. ADMINISTRASI KEPULAUAN SERIBU,1817.0208731428552,"[386, 387, 181, 182, 194]"
KAB. BANJARNEGARA,1467.1118900820552,"[386, 385, 265, 253]"
KAB. BANYUMAS,1446.1744984745126,"[386, 385, 198]"
KAB. BATANG,1348.7249001622397,"[386, 385]"
KAB. BLORA,1435.945764645324,"[386, 385, 279, 280]"
KAB. BOYOLALI,1440.2203657980233,"[386, 387, 449, 329, 330, 341]"
KAB. BREBES,1451.5090341661821,"[386, 385, 390]"
KAB. CILACAP,1508.03876002538,"[386, 385, 390, 239, 203]"
KAB. DEMAK,1298.9443045668638,"[386, 385, 390, 239]"
KAB. GROBOGAN,1312.8632935124688,"[386, 387, 449]"
KAB. JEPARA,1366.4640529820144,"[386, 387, 449, 329, 330]"
KAB. KARANGANYAR,1369.2854299393232,"[386, 387, 449, 448, 447]"
KAB. KEBUMEN,1412.306509978306,"[386, 273]"
KAB. KENDAL,1378.9888678631592,"[386, 387, 449]"
KAB. KLATEN,1370.7569482547972,"[386, 385, 265, 266, 267, 251]"
KAB. KUDUS,1376.3502499512924,"[386, 380]"
KAB. MAGELANG,1446.8153464467975,"[386, 243, 244, 212]"
KAB. PATI,1333.259900435121,"[386, 243, 244]"
KAB. PEKALONGAN,1380.2950599910798,"[386, 385, 198]"
KAB. PEMALANG,1401.3260166734567,"[386, 385, 198, 213]"
KAB. PURBALINGGA,1428.679968628018,"[386, 385, 198, 213, 214]"
KAB. PURWOREJO,1365.1339431131928,"[386, 385, 390]"
KAB. REMBANG,1401.6802734001021,"[386, 387, 449, 399]"
KAB. SEMARANG,1514.6242038308685,"[386, 387, 449, 399, 217]"
KAB. SRAGEN,1495.2240687000033,"[386, 292, 282, 281, 242, 241]"
KAB. SUKOHARJO,1524.82052433057,"[386, 292, 282, 281, 242, 241, 219]"
KAB. TEGAL,1443.232288248733,"[386, 385, 198, 213, 214]"
KAB. TEMANGGUNG,1419.0909996084379,"[386, 387, 449, 448]"
KAB. WONOGIRI,1382.1295195977305,"[386, 380]"
KAB. WONOSOBO,1416.737383205409,"[386, 243, 244]"
KOTA MAGELANG,1399.2330661385138,"[386, 385, 390, 216]"
KOTA PEKALONGAN,1409.580253591442,"[386, 273]"
KOTA SALATIGA,1327.4617559907913,"[386, 387]"
KOTA SEMARANG,1364.4665008995373,"[386, 387, 227]"
KOTA SURAKARTA,1291.1255332034934,"[386, 243, 268]"
KOTA TEGAL,1444.3416594318742,"[386, 387]"
KAB. BANTUL,1333.834751343016,[386]
KAB. GUNUNGKIDUL,1362.8676691383866,"[386, 231]"
KAB. KULON PROGO,1401.8557906042747,"[386, 387, 235, 234]"
KAB. SLEMAN,1373.5895232260875,"[386, 387, 235]"
KOTA YOGYAKARTA,1365.6921267483497,"[386, 387]"
KAB. BANGKALAN,1082.5490578887739,"[386, 387]"
KAB. BANYUWANGI,1289.8264242009345,"[386, 387, 236]"
KAB. BLITAR,1267.305978838943,"[386, 385, 390, 239]"
KAB. BOJONEGORO,1170.2452754625886,"[386, 385, 390]"
KAB. BONDOWOSO,1365.6874058649644,"[386, 380, 382, 383, 259]"
KAB. GRESIK,1320.1357291494892,"[386, 292, 282, 281, 242]"
KAB. JEMBER,1153.7351921210234,"[386, 292, 282, 281]"
KAB. JOMBANG,1129.5237880537618,[386]
KAB. KEDIRI,1159.1502203635962,"[386, 243]"
KAB. LAMONGAN,1219.7833768433152,"[386, 387, 449, 448, 447, 446]"
KAB. LUMAJANG,1268.3977265186709,"[386, 243, 244]"
KAB. MADIUN,1315.1836003867143,"[386, 387, 449, 448, 447, 446, 245]"
KAB. MAGETAN,1304.8382782510437,"[386, 387, 449]"
KAB. MALANG,1224.9843485023714,"[386, 380, 394]"
KAB. MOJOKERTO,1203.6165728674266,"[386, 385, 390, 391]"
KAB. NGANJUK,1233.9125624633286,"[386, 385, 265, 266, 267]"
KAB. NGAWI,1298.7320509027534,"[386, 385, 265, 266, 267, 251]"
KAB. PACITAN,1279.6758429644617,"[386, 385, 265]"
KAB. PAMEKASAN,1264.4971630688422,"[386, 387, 288]"
KAB. PASURUAN,1193.0237462180182,"[386, 387, 449, 448]"
KAB. PONOROGO,1224.0137541621214,[386]
KAB. PROBOLINGGO,1183.6630805249542,"[386, 292, 282, 281]"
KAB. SAMPANG,1252.3170146239597,"[386, 292, 282]"
KAB. SIDOARJO,1218.5372932772254,"[386, 380, 382, 383]"
KAB. SITUBONDO,1263.505086143478,"[386, 387, 449, 329]"
KAB. SUMENEP,1181.3068696870332,"[386, 387, 449, 329]"
KAB. TRENGGALEK,1229.442915031183,"[386, 243]"
KAB. TUBAN,1323.9989281163057,"[386, 385, 265, 264]"
KAB. TULUNGAGUNG,1190.8466132348146,"[386, 385, 265]"
KOTA BATU,1124.0335005613774,"[386, 385]"
KOTA BLITAR,1171.3651179659514,"[386, 385, 265]"
KOTA KEDIRI,1203.0780925363988,"[386, 385, 265, 266]"
KOTA MADIUN,1213.099880622796,"[386, 243]"
KOTA MALANG,1270.2820352917956,"[386, 292, 282, 281, 242]"
KOTA MOJOKERTO,1221.6692803239196,"[386, 385, 390, 398, 272, 271]"
KOTA PASURUAN,1167.3229808224396,"[386, 385, 390, 398, 272]"
KOTA PROBOLINGGO,1130.881778650495,"[386, 385, 390, 398]"
KOTA SURABAYA,1067.531267602803,[386]
KAB. BADUNG,1018.7959555097169,"[386, 380, 382, 383, 275]"
KAB. BANGLI,981.623193463614,"[386, 380, 382, 383]"
KAB. BULELENG,1026.7422914675258,"[386, 380, 382, 383, 275]"
KAB. GIANYAR,1028.4953463459583,"[386, 385, 278]"
KAB. JEMBRANA,962.2581500590884,"[386, 385]"
KAB. KARANGASEM,896.7006661324114,"[386, 385]"
KAB. KLUNGKUNG,939.1682125723337,"[386, 385, 279]"
KAB. TABANAN,999.0132008736689,"[386, 292, 282]"
KOTA DENPASAR,969.2961485664671,"[386, 292]"
KAB. BIMA,934.901147906103,"[386, 380, 393]"
KAB. DOMPU,946.9367359099303,"[386, 387, 449, 448]"
KAB. LOMBOK BARAT,1020.8724389320358,"[386, 387, 288, 287, 286]"
KAB. LOMBOK TENGAH,1001.9206218990355,"[386, 387, 288, 287]"
KAB. LOMBOK TIMUR,964.824830314568,"[386, 387, 288]"
KAB. LOMBOK UTARA,930.017331061766,"[386, 387]"
KAB. SUMBAWA,986.0317995668397,"[386, 417]"
KAB. SUMBAWA BARAT,952.7886793603001,"[386, 387]"
KOTA BIMA,965.7141904974521,"[386, 387, 449, 448, 447, 446]"
KOTA MATARAM,871.130306875706,[386]
KAB. ALOR,1085.9212144903647,"[386, 418, 419]"
KAB. BELU,1104.3203554000258,"[386, 417, 416, 295]"
KAB. ENDE,750.2096283516692,"[386, 417, 416]"
KAB. FLORES TIMUR,875.5375962404172,"[386, 380, 382]"
KAB. KUPANG,1087.6267006740443,"[386, 380, 382, 296]"
KAB. LEMBATA,970.6960927750144,"[386, 380, 394]"
KAB. MALAKA,1166.408288564775,"[386, 380, 394, 298]"
KAB. MANGGARAI,816.819404913688,"[386, 380, 394, 301]"
KAB. MANGGARAI BARAT,781.2716068771304,"[386, 380, 394]"
KAB. MANGGARAI TIMUR,784.7497429863186,"[386, 385, 390, 389]"
KAB. NGADA,827.3836857027094,"[386, 385, 390, 389, 302]"
KAB. NAGEKEO,863.4360258365704,"[386, 385, 390, 389, 302, 303]"
KAB. ROTE NDAO,1167.1172170430073,"[386, 385, 390, 389, 302, 303, 304]"
KAB. SABU RAIJUA,1066.7048707911192,"[386, 380, 394, 301]"
KAB. SIKKA,860.2534016264377,"[386, 385, 390, 389]"
KAB. SUMBA BARAT,958.9006440978242,"[386, 385, 390, 398, 310, 309]"
KAB. SUMBA BARAT DAYA,928.064948952383,"[386, 385, 390, 398, 310]"
KAB. SUMBA TENGAH,866.694627821151,"[386, 385, 390, 398]"
KAB. SUMBA TIMUR,956.2998095473282,"[386, 385, 390, 398, 310]"
KAB. TIMOR TENGAH SELATAN,1118.6912718502797,"[386, 417, 416, 295, 313]"
KAB. TIMOR TENGAH UTARA,1077.7548711018565,"[386, 417, 416, 295]"
KOTA KUPANG,1212.9048964070546,"[386, 417, 416, 295, 313]"
KAB. BENGKAYANG,1397.7062324626797,"[386, 387, 449, 329]"
KAB. KAPUAS HULU,1291.9414955703774,"[386, 387, 449, 329, 330, 355]"
KAB. KAYONG UTARA,1641.6742743798554,"[386, 418]"
KAB. KETAPANG,1600.41737936168,"[386, 387, 449, 321, 320, 319]"
KAB. KUBU RAYA,1421.8955836374425,"[386, 387, 449, 321, 320]"
KAB. LANDAK,1329.831313316535,"[386, 387, 449, 321]"
KAB. MELAWI,1083.714553745704,"[386, 387, 449]"
KAB. MEMPAWAH,1389.583186125771,"[386, 387, 449, 321]"
KAB. SAMBAS,1498.9125363804494,"[386, 387, 449, 321, 322]"
KAB. SANGGAU,1604.7815744391226,"[386, 380, 379, 378, 325]"
KAB. SEKADAU,1546.8526075373418,"[386, 380, 379, 378]"
KAB. SINTANG,1748.5019411406738,"[386, 380, 379, 378, 325]"
KOTA PONTIANAK,1493.4776599823235,"[386, 387, 449, 329, 330]"
KOTA SINGKAWANG,1455.775863149163,"[386, 387, 449, 329]"
KAB. BALANGAN,635.9308008065321,"[386, 387, 449]"
KAB. BANJAR,765.9411034708443,"[386, 387, 449, 329]"
KAB. BARITO KUALA,812.034343830451,"[386, 387, 449, 329, 330]"
KAB. HULU SUNGAI SELATAN,883.8076754417365,"[386, 387, 449, 329, 330, 331]"
