city,distance,through
KAB. ACEH BARAT,2919.711613954158,"[385, 142, 141, 140, 1]"
KAB. ACEH BARAT DAYA,2800.01981732099,"[385, 142, 141, 140]"
KAB. ACEH BESAR,2918.758981849802,[385]
KAB. ACEH JAYA,2995.0624551869005,"[385, 2]"
KAB. ACEH SELATAN,2778.5531913783057,"[385, 390, 391]"
KAB. ACEH SINGKIL,2676.4607358245585,"[385, 142, 141, 73, 72]"
KAB. ACEH TAMIANG,2742.4041930875997,"[385, 390, 391]"
KAB. ACEH TENGAH,2874.0817183233767,"[385, 390, 391, 6]"
KAB. ACEH TENGGARA,2761.642845888361,"[385, 142, 141, 73, 67]"
KAB. ACEH TIMUR,2885.4750813698893,"[385, 386, 346, 345]"
KAB. ACEH UTARA,2908.8916085950273,"[385, 13, 12, 11]"
KAB. BENER MERIAH,2869.7704068955263,"[385, 13, 12]"
KAB. BIREUEN,2818.7752333219046,"[385, 13]"
KAB. GAYO LUES,2669.5680726220126,[385]
KAB. NAGAN RAYA,2766.6629097070313,"[385, 13]"
KAB. PIDIE,2888.688271791215,"[385, 13, 14]"
KAB. PIDIE JAYA,2859.404188570965,"[385, 390]"
KAB. SIMEULUE,2933.108971540073,"[385, 142, 109, 59]"
KOTA BANDA ACEH,3073.2975198177073,"[385, 390, 391, 6]"
KOTA LANGSA,2824.2652728227695,"[385, 390, 389]"
KOTA LHOKSEUMAWE,2862.8630709200215,"[385, 23, 24, 25, 28]"
KOTA SABANG,2970.5357446728553,"[385, 2]"
KOTA SUBULUSSALAM,2581.6289802982387,"[385, 23]"
KAB. ASAHAN,2390.4145754065835,[385]
KAB. BATUBARA,2432.7471532069376,"[385, 23]"
KAB. DAIRI,2574.107324620271,"[385, 23, 24]"
KAB. DELI SERDANG,2652.5377167678325,"[385, 23, 24, 25]"
KAB. HUMBANG HASUNDUTAN,2621.474582043195,"[385, 390, 139, 29]"
KAB. KARO,2600.5383586836824,"[385, 23, 24, 25]"
KAB. LABUHANBATU,2443.1710537529507,"[385, 390, 139]"
KAB. LABUHANBATU SELATAN,2493.037409778593,"[385, 390, 389]"
KAB. LABUHANBATU UTARA,2558.4116054653878,"[385, 390, 389, 30]"
KAB. LANGKAT,2696.8162357516057,"[385, 390, 391]"
KAB. MANDAILING NATAL,2382.223110376077,"[385, 390]"
KAB. NIAS,2566.9547701633965,"[385, 390, 33]"
KAB. NIAS BARAT,2597.0808906622424,"[385, 390, 33, 34]"
KAB. NIAS SELATAN,2648.318638802107,"[385, 390, 33, 34, 35]"
KAB. NIAS UTARA,2637.8978286048946,"[385, 142, 57]"
KAB. PADANG LAWAS,2534.019262460631,"[385, 390, 33, 39]"
KAB. PADANG LAWAS UTARA,2479.4497774581555,"[385, 390, 33]"
KAB. PAKPAK BHARAT,2667.908347104452,"[385, 390, 33, 39]"
KAB. SAMOSIR,2633.629667475837,"[385, 142, 141, 73, 72]"
KAB. SERDANG BEDAGAI,2686.3566646650706,"[385, 386, 346]"
KAB. SIMALUNGUN,2640.3031341362876,"[385, 390, 33, 39]"
KAB. TAPANULI SELATAN,2604.78577993176,"[385, 390, 139, 87]"
KAB. TAPANULI TENGAH,2571.437303364677,"[385, 390, 139, 138, 46]"
KAB. TAPANULI UTARA,2522.4429192131624,"[385, 390, 139, 138]"
KAB. TOBA SAMOSIR,2562.116791429867,"[385, 390, 139, 138, 46]"
KOTA BINJAI,2726.918161948699,"[385, 390, 139, 138, 46, 47]"
KOTA GUNUNGSITOLI,2630.452146041686,"[385, 390, 33, 34, 35]"
KOTA MEDAN,2527.827391250018,"[385, 23]"
KOTA PADANGSIDEMPUAN,2503.7372591326534,"[385, 142, 141, 73, 74]"
KOTA PEMATANGSIANTAR,2663.684820277184,"[385, 390, 33, 39, 43]"
KOTA SIBOLGA,2630.4651017107963,"[385, 390, 139, 138, 137, 78]"
KOTA TANJUNGBALAI,2519.4568517590146,"[385, 390, 139, 138]"
KOTA TEBING TINGGI,2599.4825470964342,"[385, 390, 139]"
KAB. AGAM,2285.250965874776,"[385, 142, 57]"
KAB. DHARMASRAYA,2096.436125887667,"[385, 142]"
KAB. KEPULAUAN MENTAWAI,2397.6503826899084,"[385, 142, 57]"
KAB. LIMA PULUH KOTA,2356.6173564647506,"[385, 142, 109]"
KAB. PADANG PARIAMAN,2363.3852982475178,"[385, 390, 133]"
KAB. PASAMAN,2399.805073352715,"[385, 142, 109, 59]"
KAB. PASAMAN BARAT,2457.5410052188445,"[385, 142, 109, 59]"
KAB. PESISIR SELATAN,2296.331945287766,"[385, 390, 139, 138, 103, 65]"
KAB. SIJUNJUNG,2250.9816041681606,"[385, 390, 139, 138, 103, 65]"
KAB. SOLOK,2212.0573103838547,"[385, 390, 139, 138, 103]"
KAB. SOLOK SELATAN,2259.100368023174,"[385, 390, 139, 138, 137]"
KAB. TANAH DATAR,2232.804814376407,"[385, 142, 141, 73]"
KOTA BUKITTINGGI,2261.6776457983283,"[385, 142, 141, 73, 67]"
KOTA PADANG,2321.889292496209,"[385, 390, 139, 116]"
KOTA PADANGPANJANG,2291.717903570994,"[385, 71]"
KOTA PARIAMAN,2256.3542016500924,[385]
KOTA PAYAKUMBUH,2255.857634540844,"[385, 142, 141, 73]"
KOTA SAWAHLUNTO,2204.0988456212126,"[385, 142, 141]"
KOTA SOLOK,2218.5429174814894,"[385, 142, 141, 73]"
KAB. BENGKALIS,2485.7247108223187,"[385, 142, 141, 73, 74]"
KAB. INDRAGIRI HILIR,2277.8419538063545,"[385, 386, 387, 449, 329, 330, 341]"
KAB. INDRAGIRI HULU,2261.4267346773427,"[385, 386, 387, 449, 329]"
KAB. KAMPAR,2312.5417754167106,"[385, 390, 139, 138, 137]"
KAB. KEPULAUAN MERANTI,2330.2072117358794,"[385, 390, 389, 363, 357]"
KAB. KUANTAN SINGINGI,2322.6797946141537,"[385, 142, 141, 73, 74]"
KAB. PELALAWAN,2253.348787121973,"[385, 142, 57]"
KAB. ROKAN HILIR,2303.536093550158,"[385, 142]"
KAB. ROKAN HULU,2380.1131382308886,"[385, 390, 391]"
