city,distance,through
KAB. ACEH BARAT,2173.7474846833406,"[248, 230]"
KAB. ACEH BARAT DAYA,2087.3585017444766,"[248, 230, 165]"
KAB. ACEH BESAR,2335.0762891312847,"[248, 230, 123, 62, 4, 3]"
KAB. ACEH JAYA,2258.772815794186,"[248, 230, 123, 62, 4]"
KAB. ACEH SELATAN,2008.3076340345476,"[248, 230, 123, 62]"
KAB. ACEH SINGKIL,1922.2670595198554,"[248, 63, 72]"
KAB. ACEH TAMIANG,2048.4479970708394,"[248, 230, 123, 124, 86]"
KAB. ACEH TENGAH,2171.092485783504,"[248, 63, 74, 73, 67, 8]"
KAB. ACEH TENGGARA,2012.2844603019225,"[248, 63, 74, 73, 67]"
KAB. ACEH TIMUR,2110.1011917812702,"[248, 109]"
KAB. ACEH UTARA,2126.7656821889423,"[248, 230]"
KAB. BENER MERIAH,2165.886883888443,"[248, 230, 10]"
KAB. BIREUEN,2216.882057462065,"[248, 230, 10, 11]"
KAB. GAYO LUES,2085.8084497953587,"[248, 230, 165, 164, 163]"
KAB. NAGAN RAYA,2162.4259581943465,"[248, 63, 25]"
KAB. PIDIE,2239.1793619235127,"[248, 76, 75, 16]"
KAB. PIDIE JAYA,2209.647965290932,"[248, 76, 75]"
KAB. SIMEULUE,2089.5998342634734,"[248, 230, 165, 164, 114]"
KOTA BANDA ACEH,2323.128137608767,"[248, 230]"
KOTA LANGSA,2072.3502402031527,"[248, 230, 165]"
KOTA LHOKSEUMAWE,2188.7115128736687,"[248, 76, 75, 55, 28]"
KOTA SABANG,2361.3474775373456,"[248, 173, 22]"
KOTA SUBULUSSALAM,1905.6657487494526,"[248, 173]"
KAB. ASAHAN,1869.2169332481508,"[248, 93, 92, 24]"
KAB. BATUBARA,1826.8843554477967,"[248, 93, 92]"
KAB. DAIRI,1921.128254420016,"[248, 63]"
KAB. DELI SERDANG,1957.7956018349753,"[248, 63, 51]"
KAB. HUMBANG HASUNDUTAN,1892.0570612425267,"[248, 247, 29]"
KAB. KARO,1926.3868006373298,"[248, 76, 75, 55]"
KAB. LABUHANBATU,1713.7535329522827,"[248, 247]"
KAB. LABUHANBATU SELATAN,1730.2761404060745,"[248, 230, 165, 166, 84]"
KAB. LABUHANBATU UTARA,1795.6503360928693,"[248, 230, 165, 166, 84, 30]"
KAB. LANGKAT,2021.994239760042,"[248, 63, 33]"
KAB. MANDAILING NATAL,1655.4476969193934,"[248, 63]"
