city,distance,through
KAB. ACEH BARAT,1920.770457216594,"[178, 81, 62]"
KAB. ACEH BARAT DAYA,1960.9185571462576,"[178, 177, 182, 139, 140]"
KAB. ACEH BESAR,2061.288495036175,"[178, 177, 149, 4, 3]"
KAB. ACEH JAYA,1984.985021699076,"[178, 177, 149, 4]"
KAB. ACEH SELATAN,1734.5198399394376,"[178, 177, 149]"
KAB. ACEH SINGKIL,1630.4330372370728,"[178, 177, 129, 66]"
KAB. ACEH TAMIANG,1773.5157453109266,"[178, 177, 194, 195, 86]"
KAB. ACEH TENGAH,1789.0178307525512,"[178, 81]"
KAB. ACEH TENGGARA,1724.4076569218262,"[178, 177, 129, 66, 67]"
KAB. ACEH TIMUR,1859.6858285941182,"[178, 177, 129, 66, 67, 8]"
KAB. ACEH UTARA,1882.4229634836165,"[178, 177, 176]"
KAB. BENER MERIAH,1884.0106737523315,"[178, 177, 176]"
KAB. BIREUEN,1935.005847325953,"[178, 177, 176, 11]"
KAB. GAYO LUES,1796.7991703601474,"[178, 177, 194, 99]"
KAB. NAGAN RAYA,1798.1918529256018,"[178, 81]"
KAB. PIDIE,1910.129319025325,"[178, 81, 30]"
KAB. PIDIE JAYA,1896.382662435994,"[178, 81, 30, 26]"
KAB. SIMEULUE,1751.9642396924364,"[178, 58]"
KOTA BANDA ACEH,2068.601646174979,"[178, 177, 149]"
KOTA LANGSA,1776.8854287116285,"[178, 177]"
KOTA LHOKSEUMAWE,1835.5617463821125,"[178, 81, 30, 28]"
KOTA SABANG,2051.7092861507904,"[178, 81, 30, 28, 20]"
KOTA SUBULUSSALAM,1628.7805238040023,"[178, 143]"
KAB. ASAHAN,1736.3499036986568,"[178, 177, 194, 195, 153, 120, 92, 24]"
KAB. BATUBARA,1694.0173258983027,"[178, 177, 194, 195, 153, 120, 92]"
KAB. DAIRI,1592.6208670634883,"[178, 81, 30, 29]"
KAB. DELI SERDANG,1557.8631959228514,"[178, 81, 30]"
KAB. HUMBANG HASUNDUTAN,1551.4329549321264,"[178, 81, 30, 29]"
KAB. KARO,1573.2370341457734,"[178, 81, 30]"
KAB. LABUHANBATU,1373.1294266418824,"[178, 81, 30]"
KAB. LABUHANBATU SELATAN,1321.5238611861428,"[178, 81]"
KAB. LABUHANBATU UTARA,1386.8980568729376,"[178, 81, 30]"
KAB. LANGKAT,1624.3739589313518,"[178, 81, 30, 31]"
KAB. MANDAILING NATAL,1413.459401655936,"[178, 177, 182]"
KAB. NIAS,1542.9807061829456,"[178, 81, 62]"
KAB. NIAS BARAT,1514.4333098111265,"[178, 58, 36]"
KAB. NIAS SELATAN,1463.1955616712617,"[178, 58]"
KAB. NIAS UTARA,1546.2351094546054,"[178, 58, 36]"
KAB. PADANG LAWAS,1382.9080689849125,"[178, 177, 194, 195]"
KAB. PADANG LAWAS UTARA,1437.4775539873883,"[178, 177, 194, 195, 38]"
KAB. PAKPAK BHARAT,1617.7602961634054,"[178, 177, 194, 195]"
KAB. SAMOSIR,1601.4859511646994,"[178, 177, 194, 195, 73, 72]"
KAB. SERDANG BEDAGAI,1604.9203423527201,"[178, 177, 149]"
KAB. SIMALUNGUN,1598.3309106655202,"[178, 177, 194, 195, 38, 39]"
KAB. TAPANULI SELATAN,1484.4203303141264,"[178, 177, 194, 108, 107]"
KAB. TAPANULI TENGAH,1522.6838470242599,"[178, 177, 194]"
KAB. TAPANULI UTARA,1511.8705187731678,"[178, 177, 194, 195, 153]"
KAB. TOBA SAMOSIR,1522.7539489067487,"[178, 177, 194, 195]"
KOTA BINJAI,1687.5553194255806,"[178, 177, 194, 195, 47]"
KOTA GUNUNGSITOLI,1547.8045651905702,"[178, 58, 36, 35]"
KOTA MEDAN,1688.649280164738,"[178, 177, 176, 102]"
KOTA PADANGSIDEMPUAN,1471.593542821516,"[178, 177, 194, 195, 73, 74]"
KOTA PEMATANGSIANTAR,1611.681539368024,"[178, 177, 194, 195, 153, 123]"
KOTA SIBOLGA,1509.8746058451447,"[178, 177, 129]"
KOTA TANJUNGBALAI,1526.638312966169,"[178, 177, 176]"
KOTA TEBING TINGGI,1608.3750606377273,"[178, 177, 176, 54]"
KAB. AGAM,1358.2467937107856,"[178, 177, 194, 159, 160, 57]"
KAB. DHARMASRAYA,1169.431953723677,"[178, 177, 194, 159, 160]"
KAB. KEPULAUAN MENTAWAI,1196.3896441588486,[178]
KAB. LIMA PULUH KOTA,1298.2763248215228,"[178, 177, 176, 133, 60]"
KAB. PADANG PARIAMAN,1220.1739204953715,"[178, 177, 176, 133]"
KAB. PASAMAN,1299.8302701245955,"[178, 177, 194, 117]"
KAB. PASAMAN BARAT,1311.6015577522812,"[178, 81]"
KAB. PESISIR SELATAN,1179.0169067226855,"[178, 179, 180, 144, 145]"
KAB. SIJUNJUNG,1153.0573460117923,"[178, 177, 194, 99]"
KAB. SOLOK,1131.4074758233708,"[178, 177, 129, 66]"
KAB. SOLOK SELATAN,1067.0746167487187,"[178, 177, 129]"
KAB. TANAH DATAR,1195.5696254098723,"[178, 177, 129, 66]"
KOTA BUKITTINGGI,1218.596278093326,"[178, 177, 176]"
KOTA PADANG,1189.7465602132963,"[178, 177, 194, 117, 116]"
KOTA PADANGPANJANG,1208.7538213857388,"[178, 177, 129]"
KOTA PARIAMAN,1221.7536133196727,"[178, 177, 176, 133]"
KOTA PAYAKUMBUH,1223.7139182297067,"[178, 177, 194, 195, 73]"
KOTA SAWAHLUNTO,1171.955129310075,"[178, 177, 194, 195]"
KOTA SOLOK,1186.399201170352,"[178, 177, 194, 195, 73]"
KAB. BENGKALIS,1414.3983599162427,"[178, 177, 182, 170, 77, 76]"
KAB. INDRAGIRI HILIR,1183.3019443430692,"[178, 177, 182, 170, 77]"
KAB. INDRAGIRI HULU,1078.4912763236673,"[178, 177, 182, 170]"
KAB. KAMPAR,1234.7250232968709,"[178, 177, 182, 170, 77]"
KAB. KEPULAUAN MERANTI,1174.1502787849154,"[178, 177, 194, 108]"
KAB. KUANTAN SINGINGI,1124.25498114339,"[178, 81]"
KAB. PELALAWAN,1020.074586312306,[178]
KAB. ROKAN HILIR,1252.4348516544728,"[178, 81]"
KAB. ROKAN HULU,1330.7567867146556,"[178, 81, 82]"
KAB. SIAK,1302.0747955781228,"[178, 177, 194, 195, 153, 123, 122]"
KOTA DUMAI,1338.58246440528,"[178, 177, 194, 195, 86]"
KOTA PEKANBARU,1209.5433933632187,"[178, 177, 194, 195]"
KAB. BINTAN,1155.8866820627127,"[178, 177, 182, 139]"
KAB. KARIMUN,1113.5130434473056,"[178, 177, 194]"
KAB. KEPULAUAN ANAMBAS,1253.9226569793925,"[178, 143, 90]"
KAB. LINGGA,833.2992538407993,"[178, 143]"
KAB. NATUNA,1439.9605989456213,"[178, 179, 180]"
KOTA BATAM,1139.4909160330392,"[178, 177, 194, 195, 153, 120]"
KOTA TANJUNG PINANG,1170.4797451494087,"[178, 177, 194, 108]"
PULAU TAMBELAN KAB. BINTAN,1339.7769377092864,"[178, 177, 194, 195, 153, 123]"
PEKAJANG KAB. LINGGA,1427.337572141823,"[178, 177, 194, 155, 132, 110]"
PULAU SERASAN KAB. NATUNA,1043.1245497421185,"[178, 322, 323]"
PULAU MIDAI KAB. NATUNA,1194.5411623377345,"[178, 322, 323, 96]"
PULAU LAUT KAB. NATUNA,1386.1825928736534,"[178, 322, 323, 96, 97]"
KAB. BATANGHARI,901.2069364809694,"[178, 177, 194]"
KAB. BUNGO,1033.9787690956496,"[178, 177, 194, 99]"
KAB. KERINCI,1017.8169561105411,"[178, 177, 176]"
KAB. MERANGIN,949.1187324269064,"[178, 177, 176]"
KAB. MUARO JAMBI,1016.1571545498224,"[178, 177, 182, 139, 138]"
KAB. SAROLANGUN,944.80547149061,"[178, 177, 194, 159]"
KAB. TANJUNG JABUNG BARAT,991.0299491551757,"[178, 177, 182]"
KAB. TANJUNG JABUNG TIMUR,1073.2775514687864,"[178, 177, 182, 105]"
KAB. TEBO,1019.8326009960381,"[178, 177, 194, 108]"
KOTA JAMBI,873.7232027934826,"[178, 177, 194]"
KOTA SUNGAI PENUH,1125.3703018177848,"[178, 177, 194, 108]"
KAB. BENGKULU SELATAN,922.684454515476,"[178, 177, 194, 155, 132]"
KAB. BENGKULU TENGAH,858.5560879333641,"[178, 177, 149]"
KAB. BENGKULU UTARA,903.7066822753382,"[178, 177, 182, 113]"
KAB. KAUR,704.1321355844735,"[178, 177, 182]"
KAB. KEPAHIANG,825.0325132430908,"[178, 177, 182, 113]"
KAB. LEBONG,897.7898864139743,"[178, 177, 182, 113, 114]"
KAB. MUKOMUKO,969.7291238514329,"[178, 177, 194, 117]"
KAB. REJANG LEBONG,805.7922143414514,"[178, 177, 194]"
KAB. SELUMA,872.1600106192078,"[178, 177, 194, 117]"
KOTA BENGKULU,870.2160085058789,"[178, 177, 194, 159]"
KAB. BANYUASIN,716.4533050419975,"[178, 177, 194, 195, 153]"
KAB. EMPAT LAWANG,802.4332400567783,"[178, 177, 149]"
KAB. LAHAT,760.6259031466661,"[178, 177, 194, 195, 153, 123]"
KAB. MUARA ENIM,687.985945472747,"[178, 177, 194, 195, 153]"
KAB. MUSI BANYUASIN,821.4000934888061,"[178, 177, 194, 195, 153, 123]"
KAB. MUSI RAWAS,915.8748189605276,"[178, 177, 194, 195, 153, 123, 124]"
KAB. MUSI RAWAS UTARA,969.2124310795073,"[178, 177, 194, 195, 153, 123, 124, 125]"
KAB. OGAN ILIR,829.8668257164575,"[178, 177, 176, 175]"
KAB. OGAN KOMERING ILIR,793.982902912858,"[178, 177, 129]"
KAB. OGAN KOMERING ULU,645.1757690409971,"[178, 177]"
KAB. OGAN KOMERING ULU SELATAN,716.3294026008502,"[178, 177, 129]"
KAB. OGAN KOMERING ULU TIMUR,734.7783703342034,"[178, 177, 194, 159, 160]"
KAB. PENUKAL ABAB LEMATANG ILIR,760.9005464910957,"[178, 177, 194, 155]"
KOTA LUBUKLINGGAU,796.6773217988095,"[178, 177, 176]"
KOTA PAGAR ALAM,888.909543867449,"[178, 177, 176, 133]"
KOTA PALEMBANG,778.878361472204,"[178, 179, 180, 144]"
KOTA PRABUMULIH,707.0260535612231,"[178, 177, 182, 170]"
KAB. BANGKA,809.4445772131467,"[178, 179, 180]"
KAB. BANGKA BARAT,826.8184863607319,"[178, 177, 182, 139]"
KAB. BANGKA SELATAN,682.1181204809462,"[178, 177, 182]"
KAB. BANGKA TENGAH,728.1201193835791,"[178, 177, 182, 139]"
KAB. BELITUNG,854.5595252239017,"[178, 143, 142]"
KAB. BELITUNG TIMUR,809.4095112823494,"[178, 143]"
KOTA PANGKAL PINANG,569.919256583757,[178]
KAB. LAMPUNG TENGAH,567.3945819383418,"[178, 179, 180]"
KAB. LAMPUNG UTARA,629.5712972399101,"[178, 179, 180, 144]"
KAB. LAMPUNG SELATAN,750.7774759493118,"[178, 179, 180, 144, 145]"
KAB. LAMPUNG BARAT,833.5646640290981,"[178, 177, 149, 148]"
KAB. LAMPUNG TIMUR,662.8277216539864,"[178, 177, 149]"
KAB. MESUJI,532.6922357444015,"[178, 177]"
KAB. PESAWARAN,700.2466191472662,"[178, 177, 149]"
KAB. PESISIR BARAT,682.1154990615872,"[178, 177, 194, 159, 158, 157, 152]"
KAB. PRINGSEWU,586.5500093334344,"[178, 177, 194, 159, 158, 157]"
KAB. TULANG BAWANG,509.15238002852715,"[178, 177, 194, 195]"
KAB. TULANG BAWANG BARAT,561.2820812558405,"[178, 177, 194, 195, 153]"
KAB. TANGGAMUS,523.3102075477577,"[178, 177, 194]"
KAB. WAY KANAN,612.9666769012654,"[178, 177, 194, 155]"
KOTA BANDAR LAMPUNG,554.6159332029113,"[178, 177, 194, 159, 158]"
KOTA METRO,523.2370943603955,"[178, 177, 194, 159]"
KAB. LEBAK,331.40758043359153,"[178, 177, 194]"
KAB. PANDEGLANG,396.96931380536716,"[178, 177, 194, 159]"
KAB. SERANG,475.03929383500656,"[178, 177, 194, 159, 160]"
KAB. TANGERANG,524.7595618547715,"[178, 177, 194, 159, 160, 161]"
KOTA CILEGON,581.3162338198074,"[178, 177, 194, 159, 160, 161, 162]"
KOTA SERANG,602.0476219790842,"[178, 177, 194, 159, 160, 161, 162, 163]"
KOTA TANGERANG,597.401268596,"[178, 177, 182, 170, 169, 168, 167, 166]"
KOTA TANGERANG SELATAN,586.2981550372422,"[178, 177, 182, 170, 169, 168, 167]"
KAB. BANDUNG,448.27922782707134,"[178, 177, 182, 170, 169, 168]"
KAB. BANDUNG BARAT,415.1385916538497,"[178, 177, 182, 170, 169]"
KAB. BEKASI,336.6591019291545,"[178, 177, 182, 170]"
KAB. BOGOR,270.0271339191227,"[178, 177, 182]"
KAB. CIAMIS,478.78593023739023,"[178, 177, 182, 170]"
KAB. CIANJUR,576.6102873482324,"[178, 177, 194, 159, 160]"
KAB. CIREBON,553.2229988994832,"[178, 179, 180, 181, 174]"
KAB. GARUT,433.6325118860872,"[178, 179, 180, 181]"
KAB. INDRAMAYU,306.40678808440356,"[178, 177, 176]"
KAB. KARAWANG,197.18182853412716,"[178, 177]"
KAB. KUNINGAN,40.86798461609954,[178]
KAB. MAJALENGKA,0.0,[]
KAB. PANGANDARAN,95.89903304585987,[178]
KAB. PURWAKARTA,261.69476778953776,"[178, 179]"
KAB. SUBANG,305.49147842089764,"[178, 179, 180]"
KAB. SUKABUMI,220.06426075222112,"[178, 177]"
KAB. SUMEDANG,330.47887776754715,"[178, 177, 182]"
KAB. TASIKMALAYA,423.8556169598637,"[178, 177, 182, 183]"
KOTA BANDUNG,523.833029665284,"[178, 177, 182, 183, 184]"
KOTA BANJAR,569.0303364814821,"[178, 177, 182, 170, 169, 187]"
KOTA BEKASI,355.7974635639207,"[178, 177, 182, 170, 169]"
KOTA BOGOR,399.87641834472174,"[178, 177, 182, 170, 169, 187]"
KOTA CIMAHI,487.1191100731791,"[178, 177, 182, 170, 169, 187, 188]"
KOTA CIREBON,586.129570078422,"[178, 177, 194, 159]"
KOTA DEPOK,467.14815059295006,"[178, 177, 182, 183]"
KOTA SUKABUMI,527.442887243424,"[178, 177, 182, 183, 191]"
KOTA TASIKMALAYA,449.47399510585296,"[178, 177, 194]"
KOTA JAKARTA,251.03475029172742,"[178, 177]"
KAB. ADMINISTRASI KEPULAUAN SERIBU,319.3731861849412,"[178, 177, 194]"
KAB. BANJARNEGARA,682.9235948131907,"[178, 217, 226, 197]"
KAB. BANYUMAS,629.1960102602186,"[178, 217, 226]"
KAB. BATANG,616.6064022787814,"[178, 177, 176, 175, 222, 213]"
KAB. BLORA,703.1316859650907,"[178, 217, 224, 200]"
KAB. BOYOLALI,613.7129144763888,"[178, 217, 224]"
KAB. BREBES,630.2392217178653,"[178, 177, 182, 170, 169, 187, 186]"
KAB. CILACAP,591.8241372736682,"[178, 177, 182, 170, 169, 168]"
KAB. DEMAK,512.2481545918107,"[178, 217, 227]"
KAB. GROBOGAN,552.9008062443495,"[178, 217, 227, 203]"
KAB. JEPARA,623.1859849271515,"[178, 217, 227, 203, 204]"
KAB. KARANGANYAR,646.8471916616433,"[178, 177, 176, 207]"
KAB. KEBUMEN,493.2426578832129,"[178, 177, 176]"
KAB. KENDAL,578.0881904869975,"[178, 177, 182, 183]"
KAB. KLATEN,665.7980279284016,"[178, 177, 182, 183, 208]"
KAB. KUDUS,767.0428006812049,"[178, 177, 182, 183, 208, 209]"
KAB. MAGELANG,786.59453062527,"[178, 177, 194, 159]"
KAB. PATI,722.5027907203017,"[178, 179, 241]"
KAB. PEKALONGAN,585.0362424499413,"[178, 177, 176, 175, 222]"
KAB. PEMALANG,606.067199132318,"[178, 177, 176, 175, 222, 213]"
KAB. PURBALINGGA,609.627909219892,"[178, 217, 216]"
KAB. PURWOREJO,532.9678615044537,"[178, 217]"
KAB. REMBANG,346.98001131321837,[178]
KAB. SEMARANG,459.9239417439848,"[178, 217]"
KAB. SRAGEN,525.3618793183371,"[178, 217, 218]"
KAB. SUKOHARJO,554.9583349489037,"[178, 217, 218, 219]"
KAB. TEGAL,593.1904940095789,"[178, 177, 182, 170, 169, 168]"
KAB. TEMANGGUNG,527.2603461074485,"[178, 177, 176, 175]"
KAB. WONOGIRI,634.7942348790689,"[178, 217, 227, 203, 204]"
KAB. WONOSOBO,526.4644794758353,"[178, 217]"
KOTA MAGELANG,563.7929659689337,"[178, 217, 224]"
KOTA PEKALONGAN,540.7261696052809,"[178, 217]"
KOTA SALATIGA,463.8628600020758,"[178, 217]"
KOTA SEMARANG,500.8676049108219,"[178, 217, 227]"
KOTA SURAKARTA,577.2694103882147,"[178, 217, 227, 228]"
KOTA TEGAL,616.6712422934847,"[178, 177, 182, 170, 169, 168, 167]"
KAB. BANTUL,634.796540487608,"[178, 177, 176, 232]"
KAB. GUNUNGKIDUL,605.7636226922375,"[178, 177, 176]"
KAB. KULON PROGO,660.5389409581534,"[178, 177, 176, 232]"
KAB. SLEMAN,688.8052083363406,"[178, 177, 176, 232, 233]"
KOTA YOGYAKARTA,696.7026048140784,"[178, 177, 176, 232, 233, 234]"
KAB. BANGKALAN,798.2140616677666,"[178, 217, 227, 265]"
KAB. BANYUWANGI,981.4521137193434,"[178, 217, 227, 203, 239, 238]"
KAB. BLITAR,738.0078870724403,"[178, 217, 227, 203, 239]"
KAB. BOJONEGORO,640.9471836960859,"[178, 217, 227, 203]"
KAB. BONDOWOSO,638.6101510707113,"[178, 177]"
KAB. GRESIK,547.9845099252576,"[178, 179]"
KAB. JEMBER,714.3850469537235,"[178, 179, 241]"
KAB. JOMBANG,686.8425444745983,"[178, 217, 227, 244]"
KAB. KEDIRI,657.2161121647639,"[178, 217, 227]"
KAB. LAMONGAN,736.232174100844,"[178, 217, 227, 244]"
KAB. LUMAJANG,766.4636183198386,"[178, 217, 227, 244]"
KAB. MADIUN,831.632397644243,"[178, 217, 227, 244, 245]"
KAB. MAGETAN,860.7979350189192,"[178, 217, 227, 244, 245, 247]"
KAB. MALANG,827.5233164125528,"[178, 177, 176]"
KAB. MOJOKERTO,805.135788519927,"[178, 217, 227, 228, 229, 268, 267, 251]"
KAB. NGANJUK,745.039622191198,"[178, 217, 227, 228, 229, 268, 267]"
KAB. NGAWI,809.8591106306226,"[178, 217, 227, 228, 229, 268, 267, 251]"
KAB. PACITAN,850.9962886556025,"[178, 217, 227, 265]"
KAB. PAMEKASAN,906.790662742455,"[178, 177, 176, 175, 222]"
KAB. PASURUAN,822.159490808197,"[178, 217, 227, 203, 239, 238]"
KAB. PONOROGO,867.6430389239913,"[178, 177, 182, 170, 169, 168]"
KAB. PROBOLINGGO,718.8305287701843,"[178, 179, 241, 258]"
KAB. SAMPANG,622.7037306496338,"[178, 179, 241]"
KAB. SIDOARJO,702.0208422830985,"[178, 179, 241, 258]"
KAB. SITUBONDO,873.6238271812726,"[178, 179, 241, 258, 259]"
KAB. SUMENEP,974.667420096588,"[178, 179, 241, 258, 259, 260]"
KAB. TRENGGALEK,786.7616714520196,"[178, 217, 227, 244, 243]"
KAB. TUBAN,806.2466937607948,"[178, 177, 176, 232]"
KAB. TULUNGAGUNG,762.1670589259553,"[178, 217, 227, 265]"
KOTA BATU,695.3539462525182,"[178, 217, 227]"
KOTA BLITAR,742.6855636570922,"[178, 217, 227, 265]"
KOTA KEDIRI,714.2051522642681,"[178, 217, 227, 228, 229, 268]"
KOTA MADIUN,655.2950629689121,"[178, 217, 227, 228, 229]"
KOTA MALANG,782.3640190970874,"[178, 217, 227, 228, 229, 268]"
KOTA MOJOKERTO,809.3325095902642,"[178, 177, 240]"
KOTA PASURUAN,854.889651736817,"[178, 217, 227, 228, 229, 268, 267, 251]"
KOTA PROBOLINGGO,880.1907202408385,"[178, 177, 176, 273]"
KOTA SURABAYA,803.9829959000753,"[178, 177, 176]"
KAB. BADUNG,935.0720822560546,"[178, 179, 241, 258, 276, 275]"
KAB. BANGLI,897.8993202099517,"[178, 179, 241, 258, 276]"
KAB. BULELENG,852.7802222060401,"[178, 179, 241, 258]"
