city,distance,through
KAB. ACEH BARAT,2764.5713095974497,"[446, 346, 345, 321, 322, 323]"
KAB. ACEH BARAT DAYA,2835.0468482099395,"[446, 346, 345, 321, 320, 140]"
KAB. ACEH BESAR,2828.737663672655,"[446, 346, 347, 4, 3]"
KAB. ACEH JAYA,2752.434190335556,"[446, 346, 347, 4]"
KAB. ACEH SELATAN,2501.969008575918,"[446, 346, 347]"
KAB. ACEH SINGKIL,2596.5769446858703,"[446, 71, 72]"
KAB. ACEH TAMIANG,2559.485516911359,"[446, 346, 345, 321, 86]"
KAB. ACEH TENGAH,2634.409245845723,"[446, 346, 345, 321, 30, 26]"
KAB. ACEH TENGGARA,2652.0098339640044,"[446, 346, 345, 9]"
KAB. ACEH TIMUR,2516.7316622917124,"[446, 346, 345]"
KAB. ACEH UTARA,2574.62254599267,"[446, 346, 345]"
KAB. BENER MERIAH,2599.0713267786114,"[446, 346, 42]"
KAB. BIREUEN,2650.066500352233,"[446, 346, 42, 11]"
KAB. GAYO LUES,2736.6700749963843,"[446, 71, 70]"
KAB. NAGAN RAYA,2673.7053112142157,"[446, 346, 345, 321, 30, 29, 25]"
KAB. PIDIE,2711.4382925884042,"[446, 16]"
KAB. PIDIE JAYA,2681.9068959558235,[446]
KAB. SIMEULUE,2667.917155231278,"[446, 346, 345, 321, 55]"
KOTA BANDA ACEH,2792.0247849893008,"[446, 346, 347, 19]"
KOTA LANGSA,2474.8651294231945,"[446, 346, 347]"
KOTA LHOKSEUMAWE,2590.9618258482105,"[446, 346, 345]"
KOTA SABANG,2807.1093656168887,"[446, 346, 345, 20]"
KOTA SUBULUSSALAM,2418.8499436488833,"[446, 346]"
KAB. ASAHAN,2533.682290742798,"[446, 364, 363, 357]"
KAB. BATUBARA,2573.7677788532187,"[446, 346, 345, 321, 30, 29, 25]"
KAB. DAIRI,2432.4076074398854,"[446, 346, 345, 321, 30, 29]"
KAB. DELI SERDANG,2397.649936299248,"[446, 346, 345, 321, 30]"
KAB. HUMBANG HASUNDUTAN,2386.1053336427194,"[446, 346, 345, 321, 84, 85]"
KAB. KARO,2413.02377452217,"[446, 346, 345, 321, 30]"
KAB. LABUHANBATU,2212.9161670182793,"[446, 346, 345, 321, 30]"
KAB. LABUHANBATU SELATAN,2161.3106015625394,"[446, 346, 345, 321]"
KAB. LABUHANBATU UTARA,2204.9050250183163,[446]
KAB. LANGKAT,2442.3809270767306,"[446, 31]"
KAB. MANDAILING NATAL,2313.8140155874034,"[446, 346, 345, 321, 84, 39]"
KAB. NIAS,2447.69612021264,"[446, 346, 345, 321, 322, 59, 62]"
KAB. NIAS BARAT,2430.658197872413,"[446, 36]"
KAB. NIAS SELATAN,2379.420449732548,[446]
KAB. NIAS UTARA,2462.4599975158917,"[446, 36]"
KAB. PADANG LAWAS,2271.1568335078005,"[446, 346, 345, 321, 84, 39]"
KAB. PADANG LAWAS UTARA,2216.587348505325,"[446, 346, 345, 321, 84]"
KAB. PAKPAK BHARAT,2405.045918151621,"[446, 346, 345, 321, 84, 39]"
KAB. SAMOSIR,2401.842738418131,"[446, 346, 42]"
KAB. SERDANG BEDAGAI,2317.6132455868938,"[446, 346]"
KAB. SIMALUNGUN,2296.4395992680334,"[446, 346, 345, 321, 320]"
KAB. TAPANULI SELATAN,2249.9671608071103,"[446, 346, 347]"
KAB. TAPANULI TENGAH,2320.611372533734,"[446, 346, 347, 44]"
KAB. TAPANULI UTARA,2369.6057566852487,"[446, 346, 347, 44, 45]"
KAB. TOBA SAMOSIR,2409.2796289019534,"[446, 346, 347, 44, 45, 46]"
KOTA BINJAI,2415.0245492981335,"[446, 346, 345, 321, 320, 43, 52]"
KOTA GUNUNGSITOLI,2464.0294532518565,"[446, 36, 35]"
KOTA MEDAN,2623.522376603881,"[446, 346, 345, 65, 64]"
KOTA PADANGSIDEMPUAN,2395.036929256665,"[446, 346, 345, 321, 322, 74]"
KOTA PEMATANGSIANTAR,2319.8212854089297,"[446, 346, 345, 321, 320, 43]"
KOTA SIBOLGA,2381.746109103434,"[446, 346, 345, 321, 84, 78]"
KOTA TANJUNGBALAI,2393.7848065277212,"[446, 346, 345, 321, 55]"
KOTA TEBING TINGGI,2312.048058856163,"[446, 346, 345, 321]"
KAB. AGAM,2215.1397233506787,"[446, 447, 57]"
KAB. DHARMASRAYA,2026.32488336357,"[446, 447]"
KAB. KEPULAUAN MENTAWAI,2263.399852166711,"[446, 346, 347]"
KAB. LIMA PULUH KOTA,2115.3933230278817,"[446, 346, 345, 321, 322]"
KAB. PADANG PARIAMAN,2193.495727354033,"[446, 346, 345, 321, 322, 59]"
KAB. PASAMAN,2158.5810399158463,"[446, 346, 345, 321, 322, 59]"
KAB. PASAMAN BARAT,2216.3169717819756,"[446, 346, 345, 321, 322, 59]"
KAB. PESISIR SELATAN,2041.4343785448812,"[446, 346, 345]"
KAB. SIJUNJUNG,2079.967607592488,"[446, 346, 345, 65]"
KAB. SOLOK,2041.043313808182,"[446, 346, 345]"
KAB. SOLOK SELATAN,2105.376172882834,"[446, 346, 345, 65]"
KAB. TANAH DATAR,2152.9926282209726,"[446, 346, 345, 321, 322, 74, 73]"
KOTA BUKITTINGGI,2181.8654596428937,"[446, 346, 345, 321, 322, 74, 73, 67]"
KOTA PADANG,2193.284414461578,"[446, 71, 70]"
KOTA PADANGPANJANG,2139.758823629419,"[446, 71]"
KOTA PARIAMAN,2104.3951217085173,[446]
KOTA PAYAKUMBUH,2175.9738434021565,"[446, 71]"
KOTA SAWAHLUNTO,2124.286659465778,"[446, 346, 345, 321, 322, 74]"
KOTA SOLOK,2109.842587605501,"[446, 346, 345, 321, 322]"
KAB. BENGKALIS,2338.300508869488,"[446, 447, 448, 449, 329, 330, 341, 76]"
KAB. INDRAGIRI HILIR,2107.2040932963146,"[446, 447, 448, 449, 329, 330, 341]"
KAB. INDRAGIRI HULU,2090.7888741673028,"[446, 447, 448, 449, 329]"
KAB. KAMPAR,2063.822782809348,"[446, 346, 345, 321, 84]"
KAB. KEPULAUAN MERANTI,2005.5539605865054,"[446, 346, 347, 348]"
KAB. KUANTAN SINGINGI,2203.2566593417555,"[446, 346, 347, 348, 79]"
KAB. PELALAWAN,2183.237544597876,"[446, 447, 57]"
KAB. ROKAN HILIR,2192.9404989641207,"[446, 346, 345, 321, 84, 83]"
KAB. ROKAN HULU,2114.6185639039377,"[446, 346, 345, 321, 84]"
KAB. SIAK,1961.4669106792162,"[446, 346, 345, 321]"
KOTA DUMAI,2066.2901725167076,"[446, 346, 345, 321, 84]"
KOTA PEKANBARU,1995.5131649636512,"[446, 346, 345, 321]"
KAB. BINTAN,2017.3588951603488,"[446, 346, 333, 332, 352, 353]"
KAB. KARIMUN,2068.9955412460545,"[446, 447, 89]"
KAB. KEPULAUAN ANAMBAS,1708.5779502703854,"[446, 447]"
KAB. LINGGA,1896.0087399131746,"[446, 447, 448, 449, 329, 336, 342]"
KAB. NATUNA,1777.6181067761054,"[446, 346, 333]"
KOTA BATAM,2054.5483576258284,"[446, 346, 345, 344, 93]"
KOTA TANJUNG PINANG,2002.9004575618396,"[446, 346, 345, 344]"
PULAU TAMBELAN KAB. BINTAN,1686.3071953058366,"[446, 346, 333, 334]"
PEKAJANG KAB. LINGGA,1967.4057816475984,"[446, 346, 345, 321, 322, 323, 96]"
PULAU SERASAN KAB. NATUNA,1397.6425291872629,"[446, 346, 345, 321, 322, 323]"
PULAU MIDAI KAB. NATUNA,1549.059141782879,"[446, 346, 345, 321, 322, 323, 96]"
PULAU LAUT KAB. NATUNA,1568.0111092780473,"[446, 447]"
KAB. BATANGHARI,2076.098998630516,"[446, 346, 345, 321, 100]"
KAB. BUNGO,1943.3271660158357,"[446, 346, 345, 321]"
KAB. KERINCI,2000.1216280571296,"[446, 346, 345, 321, 100]"
KAB. MERANGIN,2066.5808804452017,"[446, 346, 345, 321, 320, 319, 138, 103]"
KAB. MUARO JAMBI,1850.5531897508151,"[446, 346, 345, 321, 320, 319, 138]"
KAB. SAROLANGUN,1862.7443074408775,"[446, 346, 345, 321]"
KAB. TANJUNG JABUNG BARAT,1902.2874441615709,"[446, 346, 347, 348]"
KAB. TANJUNG JABUNG TIMUR,1913.0917243085173,"[446, 447, 448, 449, 329]"
KAB. TEBO,1977.029800005611,"[446, 125]"
KOTA JAMBI,1843.6789163315113,"[446, 447, 448]"
KOTA SUNGAI PENUH,1977.6216551418809,"[446, 125, 126]"
KAB. BENGKULU SELATAN,1816.159284703076,"[446, 132]"
KAB. BENGKULU TENGAH,1902.0701260981552,"[446, 346, 345]"
KAB. BENGKULU UTARA,1968.1993425559458,"[446, 346, 345, 111]"
KAB. KAUR,1911.9020562802657,"[446, 214, 221, 168, 169, 187]"
KAB. KEPAHIANG,1983.5108927634712,"[446, 346, 345, 115]"
KAB. LEBONG,1910.7535195925877,"[446, 346, 345]"
KAB. MUKOMUKO,2013.2607568614333,"[446, 346, 345, 115]"
