city,distance,through
KAB. ACEH BARAT,3547.8178424588546,"[299, 1]"
KAB. ACEH BARAT DAYA,3428.1260458256866,[299]
KAB. ACEH BESAR,3678.420888029217,"[299, 1]"
KAB. ACEH JAYA,3626.174712276892,"[299, 298, 4]"
KAB. ACEH SELATAN,3375.709530517254,"[299, 298]"
KAB. ACEH SINGKIL,3286.3985753331635,"[299, 300]"
KAB. ACEH TAMIANG,3447.2527974518316,"[299, 298, 397, 315]"
KAB. ACEH TENGAH,3511.3299823728903,"[299, 300, 301, 30, 26]"
KAB. ACEH TENGGARA,3421.7345718937518,"[299, 298, 394, 327, 328]"
KAB. ACEH TIMUR,3413.476271308553,"[299, 298, 88]"
KAB. ACEH UTARA,3480.0664053970404,"[299, 298, 88, 9]"
KAB. BENER MERIAH,3519.1876070965413,"[299, 298, 88, 9, 10]"
KAB. BIREUEN,3570.182780670163,"[299, 298, 88, 9, 10, 11]"
KAB. GAYO LUES,3423.65341483689,"[299, 300, 301]"
KAB. NAGAN RAYA,3520.748251921909,"[299, 300, 301, 13]"
KAB. PIDIE,3626.836795928889,"[299, 300, 301, 30]"
KAB. PIDIE JAYA,3613.090139339558,"[299, 300, 301, 30, 26]"
KAB. SIMEULUE,3547.3985499131604,"[299, 300, 271, 81]"
KOTA BANDA ACEH,3703.586291429361,"[299, 298, 394, 327]"
KOTA LANGSA,3460.125203749765,"[299, 96, 97]"
KOTA LHOKSEUMAWE,3552.269223285676,"[299, 300, 301, 30, 28]"
KOTA SABANG,3730.1976508522707,"[299, 1, 2]"
KOTA SUBULUSSALAM,3314.1159993354736,"[299, 298, 88, 83]"
KAB. ASAHAN,3140.044049621447,"[299, 298, 394]"
KAB. BATUBARA,3153.8999234806015,"[299, 298, 92]"
KAB. DAIRI,3295.260094893935,"[299, 298, 92, 24]"
KAB. DELI SERDANG,3274.5706728264154,"[299, 300, 301, 30]"
KAB. HUMBANG HASUNDUTAN,3267.5423564733946,"[299, 300, 301, 270]"
KAB. KARO,3289.944511049337,"[299, 300, 301, 30]"
KAB. LABUHANBATU,3089.836903545446,"[299, 300, 301, 30]"
KAB. LABUHANBATU SELATAN,3038.2313380897067,"[299, 300, 301]"
KAB. LABUHANBATU UTARA,3103.6055337765015,"[299, 300, 301, 30]"
KAB. LANGKAT,3341.0814358349157,"[299, 300, 301, 30, 31]"
KAB. MANDAILING NATAL,3095.541327957333,"[299, 298, 88]"
KAB. NIAS,3242.1963014537255,"[299, 300, 108, 107, 62]"
KAB. NIAS BARAT,3272.3224219525714,"[299, 300, 108, 107, 62, 34]"
KAB. NIAS SELATAN,3297.484304025666,"[299, 300, 271, 81]"
KAB. NIAS UTARA,3288.513050702997,"[299, 300, 120]"
KAB. PADANG LAWAS,3144.6658757589257,"[299, 300, 301, 270, 133]"
KAB. PADANG LAWAS UTARA,3192.7679950394117,"[299, 298, 88, 33]"
KAB. PAKPAK BHARAT,3254.492064132507,"[299, 298, 88]"
KAB. SAMOSIR,3267.4553955274096,"[299, 300, 108, 107, 72]"
KAB. SERDANG BEDAGAI,3255.6080781198366,"[299, 298, 320, 43]"
KAB. SIMALUNGUN,3208.7220125070494,"[299, 298, 320]"
KAB. TAPANULI SELATAN,3131.819135999971,"[299, 300, 108, 107]"
KAB. TAPANULI TENGAH,3202.4633477265947,"[299, 300, 108, 107, 44]"
KAB. TAPANULI UTARA,3227.064083872767,"[299, 300, 74, 73]"
KAB. TOBA SAMOSIR,3259.1343972725135,"[299, 300, 120, 102]"
KOTA BINJAI,3327.3069625371495,"[299, 298, 320, 43, 52]"
KOTA GUNUNGSITOLI,3305.693677332015,"[299, 300, 108, 107, 62, 34, 35]"
KOTA MEDAN,3277.4568654648815,"[299, 298, 394, 23]"
KOTA PADANGSIDEMPUAN,3144.7335681013974,"[299, 300, 74]"
KOTA PEMATANGSIANTAR,3232.1036986479457,"[299, 298, 320, 43]"
KOTA SIBOLGA,3234.549504768414,"[299, 300, 271, 251, 78]"
KOTA TANJUNGBALAI,3215.843557516683,"[299, 300, 108, 107]"
KOTA TEBING TINGGI,3287.744890249202,"[299, 298, 397, 335, 334]"
KAB. AGAM,2999.855493900025,"[299, 300, 213, 57]"
KAB. DHARMASRAYA,2811.0406539129162,"[299, 300, 213]"
KAB. KEPULAUAN MENTAWAI,3040.3617755085097,"[299, 300, 271, 251]"
KAB. LIMA PULUH KOTA,2975.5624630501306,"[299, 298, 88]"
KAB. PADANG PARIAMAN,2971.5976309206585,"[299, 300, 301, 270, 133]"
KAB. PASAMAN,2960.1281384147405,"[299, 300, 120]"
KAB. PASAMAN BARAT,3010.817153023061,"[299, 300, 108, 107]"
KAB. PESISIR SELATAN,2837.649328952685,"[299, 248]"
KAB. SIJUNJUNG,2860.4988424237326,"[299, 300, 301, 270]"
KAB. SOLOK,2875.1000859064216,"[299, 298, 394]"
KAB. SOLOK SELATAN,2845.5942768913164,"[299, 298, 145]"
KAB. TANAH DATAR,2902.689267065705,"[299, 300, 74, 73]"
KOTA BUKITTINGGI,2910.520574065397,"[299, 300, 120]"
KOTA PADANG,2872.168581092695,[299]
KOTA PADANGPANJANG,2925.694171924854,"[299, 69]"
KOTA PARIAMAN,2942.0072501837985,"[299, 300, 74, 73]"
KOTA PAYAKUMBUH,2889.683362592417,"[299, 300, 108, 107]"
KOTA SAWAHLUNTO,2873.9832983105102,"[299, 300, 74]"
KOTA SOLOK,2859.5392264502334,"[299, 300]"
KAB. BENGKALIS,2967.642841263625,"[299, 300, 271, 251, 76]"
KAB. INDRAGIRI HILIR,2736.5464256904515,"[299, 300, 271, 251]"
KAB. INDRAGIRI HULU,2796.219636987745,"[299, 298, 309]"
KAB. KAMPAR,2916.6261784743283,"[299, 300, 271, 251]"
KAB. KEPULAUAN MERANTI,2821.5490844707597,"[299, 300, 108]"
KAB. KUANTAN SINGINGI,2786.033294055507,"[299, 300]"
KAB. PELALAWAN,2801.370410791239,"[299, 300, 271]"
KAB. ROKAN HILIR,2952.1591571745116,"[299, 298, 88]"
KAB. ROKAN HULU,2977.6611751744367,"[299, 298, 88]"
KAB. SIAK,2940.828757008148,"[299, 298, 397, 335, 334, 321]"
KOTA DUMAI,3013.7379906633,"[299, 298, 309]"
KOTA PEKANBARU,2938.6195800157625,"[299, 300, 271, 251, 252, 137]"
KAB. BINTAN,2695.5404699692085,"[299, 407]"
KAB. KARIMUN,2646.6101017046353,"[299, 298]"
KAB. KEPULAUAN ANAMBAS,2689.372109564073,"[299, 407, 408, 447]"
KAB. LINGGA,2568.654381782804,"[299, 298, 342]"
KAB. NATUNA,2445.823295463929,"[299, 298, 397, 335]"
KOTA BATAM,2599.373513615338,"[299, 298]"
KOTA TANJUNG PINANG,2651.0214136793265,"[299, 298, 92]"
PULAU TAMBELAN KAB. BINTAN,2353.6768841329317,"[299, 298, 397, 335, 334]"
PEKAJANG KAB. LINGGA,2625.3531155465244,"[299, 401, 317]"
PULAU SERASAN KAB. NATUNA,2209.0668498666255,[299]
PULAU MIDAI KAB. NATUNA,2360.4834624622417,"[299, 96]"
PULAU LAUT KAB. NATUNA,2548.805268571735,"[299, 407, 408, 447]"
KAB. BATANGHARI,2609.5446108432443,"[299, 300, 271]"
KAB. BUNGO,2731.9770549525892,"[299, 300, 239, 203]"
KAB. KERINCI,2739.1106631283133,"[299, 300, 120]"
KAB. MERANGIN,2673.0980902748365,"[299, 300, 120]"
KAB. MUARO JAMBI,2611.438629716261,"[299, 300, 271, 251, 252, 137, 138]"
KAB. SAROLANGUN,2621.567352896227,"[299, 300, 271, 251]"
KAB. TANJUNG JABUNG BARAT,2719.4255274741313,"[299, 300, 301, 198, 169]"
KAB. TANJUNG JABUNG TIMUR,2651.412551904513,"[299, 298, 397]"
KAB. TEBO,2667.2314066818826,"[299, 300, 108]"
KOTA JAMBI,2521.122008479327,"[299, 300]"
KOTA SUNGAI PENUH,2755.4889017395167,"[299, 300, 239, 126]"
KAB. BENGKULU SELATAN,2495.665824269027,"[299, 248]"
KAB. BENGKULU TENGAH,2569.4513196064872,"[299, 300]"
KAB. BENGKULU UTARA,2635.580536064278,"[299, 300, 111]"
KAB. KAUR,2462.4177281195393,"[299, 300, 271, 187]"
KAB. KEPAHIANG,2576.771780281269,"[299, 300, 230, 165, 164]"
KAB. LEBONG,2637.6487300116173,"[299, 248, 173]"
KAB. MUKOMUKO,2740.155967280463,"[299, 248, 173, 115]"
KAB. REJANG LEBONG,2603.0666390023575,"[299, 300, 301, 198, 118]"
KAB. SELUMA,2536.698842724601,"[299, 300, 301, 198]"
KOTA BENGKULU,2594.485862898801,"[299, 300, 301, 198, 118]"
KAB. BANYUASIN,2361.4157637220083,"[299, 300]"
KAB. EMPAT LAWANG,2553.4663563645427,"[299, 300, 230, 123, 122]"
KAB. LAHAT,2501.6662653676135,"[299, 300, 230, 123]"
KAB. MUARA ENIM,2429.0263076936944,"[299, 300, 230]"
KAB. MUSI BANYUASIN,2556.501318181775,"[299, 300, 271, 251, 235]"
KAB. MUSI RAWAS,2547.875574615608,"[299, 300, 301, 198]"
KAB. MUSI RAWAS UTARA,2588.2948341038004,"[299, 300, 239]"
KAB. OGAN ILIR,2507.2907812603016,"[299, 300, 213, 222, 175]"
KAB. OGAN KOMERING ILIR,2449.1640247300293,"[299, 300, 213, 222]"
KAB. OGAN KOMERING ULU,2434.2330225223236,"[299, 300, 239, 150]"
KAB. OGAN KOMERING ULU SELATAN,2420.820465054069,"[299, 300, 271, 251, 209, 226, 185]"
KAB. OGAN KOMERING ULU TIMUR,2431.821455205343,"[299, 300, 271, 272, 236]"
KAB. PENUKAL ABAB LEMATANG ILIR,2531.7275144973637,"[299, 300, 271, 155]"
KOTA LUBUKLINGGAU,2548.101032224097,"[299, 300, 301, 270]"
KOTA PAGAR ALAM,2489.794788534184,"[299, 300, 213, 214]"
KOTA PALEMBANG,2442.3262543274786,"[299, 300, 239, 203, 227]"
KOTA PRABUMULIH,2471.557479024289,"[299, 300, 213, 214, 221, 168]"
KAB. BANGKA,2374.994615033799,"[299, 300, 271, 251, 252]"
KAB. BANGKA BARAT,2422.0999615271703,"[299, 300, 271, 251, 252, 137]"
KAB. BANGKA SELATAN,2390.3778915655957,"[299, 401, 400, 332, 331]"
KAB. BANGKA TENGAH,2354.022730150191,"[299, 300, 271, 272, 273]"
KAB. BELITUNG,2177.9298887840823,"[299, 300, 271, 251, 252, 142]"
