city,distance,through
KAB. ACEH BARAT,3911.0759922616026,"[456, 379, 378]"
KAB. ACEH BARAT DAYA,3838.1051092990783,"[456, 413, 357]"
KAB. ACEH BESAR,4050.125837797442,"[456, 330, 341, 38]"
KAB. ACEH JAYA,3998.7090392254563,"[456, 413, 400, 347, 4]"
KAB. ACEH SELATAN,3748.243857465818,"[456, 413, 400, 347]"
KAB. ACEH SINGKIL,3714.3232722229154,"[456, 330, 341, 66]"
KAB. ACEH TAMIANG,3717.65506829345,"[456, 379, 378, 325]"
KAB. ACEH TENGAH,3721.535447304957,[456]
KAB. ACEH TENGGARA,3602.208046802985,[456]
KAB. ACEH TIMUR,3737.486218475277,"[456, 8]"
KAB. ACEH UTARA,3804.0763525637644,"[456, 8, 9]"
KAB. BENER MERIAH,3819.4186712847422,"[456, 330, 43, 42]"
KAB. BIREUEN,3870.413844858364,"[456, 330, 43, 42, 11]"
KAB. GAYO LUES,3801.3133698144366,"[456, 413, 411]"
KAB. NAGAN RAYA,3825.45187400532,"[456, 330]"
KAB. PIDIE,3947.4772360895035,"[456, 330, 14]"
KAB. PIDIE JAYA,3930.2893430099275,"[456, 413, 414]"
KAB. SIMEULUE,3898.7299702044925,"[456, 330, 355, 321, 55]"
KOTA BANDA ACEH,4011.595366616616,"[456, 330, 327]"
KOTA LANGSA,3721.1399783130946,"[456, 413, 400, 347]"
KOTA LHOKSEUMAWE,3809.8104254536197,"[456, 7]"
KOTA SABANG,4025.957965222298,"[456, 7, 20]"
KOTA SUBULUSSALAM,3633.2301997072673,"[456, 330, 331, 85, 27]"
KAB. ASAHAN,3530.5102423351655,"[456, 413, 357]"
KAB. BATUBARA,3552.9532911383394,"[456, 413, 411, 93, 92]"
KAB. DAIRI,3614.3242253615595,"[456, 330, 86]"
KAB. DELI SERDANG,3628.4627512724633,"[456, 330, 355, 321, 30]"
KAB. HUMBANG HASUNDUTAN,3540.634703167688,"[456, 330, 331, 85]"
KAB. KARO,3604.012091699262,"[456, 330, 341]"
KAB. LABUHANBATU,3443.728981991494,"[456, 330, 355, 321, 30]"
KAB. LABUHANBATU SELATAN,3392.1234165357546,"[456, 330, 355, 321]"
KAB. LABUHANBATU UTARA,3457.4976122225494,"[456, 330, 355, 321, 30]"
KAB. LANGKAT,3694.9735142809636,"[456, 330, 355, 321, 30, 31]"
KAB. MANDAILING NATAL,3495.1245554290026,"[456, 379, 378, 325, 88]"
KAB. NIAS,3646.6980876214166,"[456, 330, 341, 76, 35]"
KAB. NIAS BARAT,3616.5719671225706,"[456, 330, 341, 76]"
KAB. NIAS SELATAN,3667.8097152624355,"[456, 330, 341, 76, 35]"
KAB. NIAS UTARA,3638.8245746641596,"[456, 330, 341, 38]"
KAB. PADANG LAWAS,3369.161205836155,"[456, 330, 341]"
KAB. PADANG LAWAS UTARA,3423.730690838631,"[456, 330, 341, 38]"
KAB. PAKPAK BHARAT,3612.189260484927,"[456, 330, 341, 38, 39]"
KAB. SAMOSIR,3564.159728947423,"[456, 379]"
KAB. SERDANG BEDAGAI,3537.9605900930246,"[456, 330, 43]"
KAB. SIMALUNGUN,3491.0745244802374,"[456, 330]"
KAB. TAPANULI SELATAN,3496.2420096970104,"[456, 413, 400, 347]"
KAB. TAPANULI TENGAH,3566.886221423634,"[456, 413, 400, 347, 44]"
KAB. TAPANULI UTARA,3526.4964782328097,"[456, 413, 338]"
KAB. TOBA SAMOSIR,3566.1703504495144,"[456, 413, 338, 46]"
